kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultLanguage,snippet.defaultAudioLanguage
youtube#video,u3V1c1JrUQrK2lgakJ1HJrQ4Gqg,-sik0Tl6HiI,2012-06-06T17:37:41Z,UCpatxV6V7pVAyUs1RP06n6g,Amber Heard - VS Magazine: Behind the Scenes,Amber Heard on the set of VS Magazine photoshoot from 2011.,https://i.ytimg.com/vi/-sik0Tl6HiI/default.jpg,120,90,https://i.ytimg.com/vi/-sik0Tl6HiI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-sik0Tl6HiI/hqdefault.jpg,480,360,amberheardinspired,"['Amber', 'Heard', 'VS', 'Magazine', 'Behind', 'the', 'Scenes', 'Making']",22,none,Amber Heard - VS Magazine: Behind the Scenes,Amber Heard on the set of VS Magazine photoshoot from 2011.,PT1M33S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,16090,68,0,4,,,,,,,,
youtube#video,IcoIozDBAIm25OJQDqFLYEhlQt4,0ve3b0q5mg4,2012-09-04T09:22:02Z,UCt1dTmgxKH0auvot0lUeAUQ,Sexy Actress Amber Heard Signing Autographs for us in 2012!,Amber Signs a Stack of Photos for us while walking around the City! Check out these exact items and other Awesome Authentic Autographs from your favorite Celebs at http://pieceofhistorycollectibles.com,https://i.ytimg.com/vi/0ve3b0q5mg4/default.jpg,120,90,https://i.ytimg.com/vi/0ve3b0q5mg4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0ve3b0q5mg4/hqdefault.jpg,480,360,Piece Of History Collectibles,"['pineapple express', 'rum diary']",24,none,Sexy Actress Amber Heard Signing Autographs for us in 2012!,Amber Signs a Stack of Photos for us while walking around the City! Check out these exact items and other Awesome Authentic Autographs from your favorite Celebs at http://pieceofhistorycollectibles.com,PT37S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,1957,4,0,0,https://i.ytimg.com/vi/0ve3b0q5mg4/sddefault.jpg,640.0,480.0,,,,,
youtube#video,r8NU1G8DR-atNzdPK0zYUsZctgk,0ZssI_Mld64,2011-02-27T01:35:58Z,UCSpvhvDjbg5zhnyeOQIWyzg,"Amber Heard - Signing Autographs at ""Late Night with Jimmy Fallon"" in NYC","http://toppixautographs.com Amber Heard signed autographs at the ""Late Night with Jimmy Fallon"" in New York City. For authentic autographed memorabilia of Amber Heard and many other celebrities, check out TopPix Autographs at http://www.toppixautographs.com Get the Best Deals on Authentic Autographs on our eBay Store at https://www.ebay.com/str/newgraphs

We use and recommend the experts at AutographCOA (ACOA) Autograph Authentication for third-party autograph certification! http://www.autographcoa.com/",https://i.ytimg.com/vi/0ZssI_Mld64/default.jpg,120,90,https://i.ytimg.com/vi/0ZssI_Mld64/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0ZssI_Mld64/hqdefault.jpg,480,360,TopPix Autographs,"['Amber', 'Heard', 'signing', 'autographs', 'fallon', 'drive', 'crazy']",24,none,"Amber Heard - Signing Autographs at ""Late Night with Jimmy Fallon"" in NYC","http://toppixautographs.com Amber Heard signed autographs at the ""Late Night with Jimmy Fallon"" in New York City. For authentic autographed memorabilia of Amber Heard and many other celebrities, check out TopPix Autographs at http://www.toppixautographs.com Get the Best Deals on Authentic Autographs on our eBay Store at https://www.ebay.com/str/newgraphs

We use and recommend the experts at AutographCOA (ACOA) Autograph Authentication for third-party autograph certification! http://www.autographcoa.com/",PT1M,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,21926,87,0,15,https://i.ytimg.com/vi/0ZssI_Mld64/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0ZssI_Mld64/maxresdefault.jpg,1280.0,720.0,,
youtube#video,oO8ugBvw9s8AJ5e0ecHt17sKRg8,2qC0QqNmTac,2011-11-10T09:31:08Z,UCO93Lyuq1zJ9DnsVqh4l8Rw,Amber Heard Rum Diary Premiere Paris,Amber Heard signs autographs at Rum Diary premiere.,https://i.ytimg.com/vi/2qC0QqNmTac/default.jpg,120,90,https://i.ytimg.com/vi/2qC0QqNmTac/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2qC0QqNmTac/hqdefault.jpg,480,360,ohmss28,"['amber', 'heard', 'rum', 'diary']",22,none,Amber Heard Rum Diary Premiere Paris,Amber Heard signs autographs at Rum Diary premiere.,PT1M22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,5319,9,0,3,https://i.ytimg.com/vi/2qC0QqNmTac/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2qC0QqNmTac/maxresdefault.jpg,1280.0,720.0,,
youtube#video,rvhvTyn-eIiRWXTGcFgwaNy245U,3krOKUACYzY,2019-10-26T04:38:21Z,UC8_K9Id8od2CPnNVO54Rwrw,Amber Heard arriving in Paris and signing autographs,"Amber Heard was in Paris for Fashion Week and as usual she was super nice ! Here she is signing lots of pictures  after landing in Paris.

Find Amber Heard's autographs here : https://www.all-autographes.com/boutique_us/recherche_resultats.cfm?code_lg=lg_us&mot=heard",https://i.ytimg.com/vi/3krOKUACYzY/default.jpg,120,90,https://i.ytimg.com/vi/3krOKUACYzY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3krOKUACYzY/hqdefault.jpg,480,360,All-Autographes,"['amber heard', 'amber heard johnny depp', 'amber heard hot', 'amber heard movies', 'johnny depp amber heard', 'jason momoa and amber heard kiss', 'amber heard imdb', 'amber heard 2018', 'amber', 'heard', 'amber heard funny', 'amber heard video', 'amber heard scene', 'amber heard divorce', 'amber heard actress', 'amber heard net worth', 'amber heard elon musk', 'amber heard biography', 'amber heard interview', 'amber heard (celebrity)', 'amber heard james franco']",22,none,Amber Heard arriving in Paris and signing autographs,"Amber Heard was in Paris for Fashion Week and as usual she was super nice ! Here she is signing lots of pictures  after landing in Paris.

Find Amber Heard's autographs here : https://www.all-autographes.com/boutique_us/recherche_resultats.cfm?code_lg=lg_us&mot=heard",PT1M14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,966,8,0,1,https://i.ytimg.com/vi/3krOKUACYzY/sddefault.jpg,640.0,480.0,,,,en,
youtube#video,2XWbQ5hmsatgS0OrrkiSqFMIVJQ,3kWIzlPN0ok,2021-05-30T16:45:01Z,UCbGqVIL6UDZTeqOHqfm88-Q,Why Top Movie Studios Won’t Sign Amber Heard,"Why Top Movie Studios Won’t Sign Amber Heard?

As of right now, we are very unsure of Amber Heard’s professional acting career in Hollywood, but what we do currently know is that because she is fighting major court cases right now with her ex-husband, Johnny Depp The case is one that is revealing not so good things about her and her reputation. From this several fans have expressed their own personal desires to have her removed from role, Mira, in Aquaman 2. 

Because of all of this one can clearly see that she has gotten herself in a lot of trouble and is now currently looking to make a jump into another major movie franchise, if that is even possible. Now there is quite a bit that is taking place with Amber Heard's career.

All about Amber Heard and Johnny Depp: https://www.youtube.com/watch?v=ocYczSAnwe4&list=PL-LyakzH3f2lqAYSUPCvC1b8oXVhqyTPG

Wanna Learn More? Watch These- 

1.Johnny Depp Speaks on Amber Heard Ruining
https://youtu.be/7LrTTo4G1EY
2.Johnny Depp Lost $650 Million Due Court Cases
https://youtu.be/gXjvsXjH5m8
3.The Downfall of Amber Heard
https://youtu.be/d94qnUR2LkY
4. Johnny Depp And Amber Heard - Did he really say SAVE ME FROM AMBER HEARD?
https://youtu.be/sXF8uVQRgoo
5. Evan Rachel Wood and Dita von Teese, Make Allegations of Abuse Against Marilyn Manson
https://youtu.be/tKzYqpY4opU 
6. Surprising Harry Potter Stars Then and Now!
https://youtu.be/rHpLIlFyCgg
7. 10 Most Anticipated Movies in 2021
https://youtu.be/fS6c9YyLiCk
8. Lupin - What You Need to Know Before Next Season on Netflix
https://youtu.be/42yZ-Ay2stI
9. Ultimate Recap on Game Of Thrones from Netflix
https://youtu.be/SVytt4T79Bs

DON'T CLICK HERE- 
https://bit.ly/31NujjU",https://i.ytimg.com/vi/3kWIzlPN0ok/default.jpg,120,90,https://i.ytimg.com/vi/3kWIzlPN0ok/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3kWIzlPN0ok/hqdefault.jpg,480,360,Celebrities Tribe,"['amber heard', 'amber', 'heard', 'amber heard aquaman', 'amber heard johnny depp', 'amber heard apology video', 'amber heard interview', 'amber heard deposition', 'amber heard elon musk', 'amber heard fired', 'amber heard booed', 'amber heard jail', 'johnny depp', 'johnny depp amber heard', 'johnny depp interview', 'johnny depp young', 'johnny depp movies', 'johnny depp amber heard audio', 'johnny depp and winona ryder', 'johnny depp hairstyle', 'johnny depp lawyer', 'johnny depp lawsuit against amber heard', 'johnny', 'depp']",24,none,Why Top Movie Studios Won’t Sign Amber Heard,"Why Top Movie Studios Won’t Sign Amber Heard?

As of right now, we are very unsure of Amber Heard’s professional acting career in Hollywood, but what we do currently know is that because she is fighting major court cases right now with her ex-husband, Johnny Depp The case is one that is revealing not so good things about her and her reputation. From this several fans have expressed their own personal desires to have her removed from role, Mira, in Aquaman 2. 

Because of all of this one can clearly see that she has gotten herself in a lot of trouble and is now currently looking to make a jump into another major movie franchise, if that is even possible. Now there is quite a bit that is taking place with Amber Heard's career.

All about Amber Heard and Johnny Depp: https://www.youtube.com/watch?v=ocYczSAnwe4&list=PL-LyakzH3f2lqAYSUPCvC1b8oXVhqyTPG

Wanna Learn More? Watch These- 

1.Johnny Depp Speaks on Amber Heard Ruining
https://youtu.be/7LrTTo4G1EY
2.Johnny Depp Lost $650 Million Due Court Cases
https://youtu.be/gXjvsXjH5m8
3.The Downfall of Amber Heard
https://youtu.be/d94qnUR2LkY
4. Johnny Depp And Amber Heard - Did he really say SAVE ME FROM AMBER HEARD?
https://youtu.be/sXF8uVQRgoo
5. Evan Rachel Wood and Dita von Teese, Make Allegations of Abuse Against Marilyn Manson
https://youtu.be/tKzYqpY4opU 
6. Surprising Harry Potter Stars Then and Now!
https://youtu.be/rHpLIlFyCgg
7. 10 Most Anticipated Movies in 2021
https://youtu.be/fS6c9YyLiCk
8. Lupin - What You Need to Know Before Next Season on Netflix
https://youtu.be/42yZ-Ay2stI
9. Ultimate Recap on Game Of Thrones from Netflix
https://youtu.be/SVytt4T79Bs

DON'T CLICK HERE- 
https://bit.ly/31NujjU",PT9M32S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1155,47,0,29,https://i.ytimg.com/vi/3kWIzlPN0ok/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3kWIzlPN0ok/maxresdefault.jpg,1280.0,720.0,en,en
youtube#video,9vvV8KS2xsAIt3_UK4IUCzFNpmY,4vy-q3lMUzQ,2012-03-31T02:28:56Z,UCSpvhvDjbg5zhnyeOQIWyzg,Amber Heard - Signing Autographs at the Metropolitian Opera Opening Night in NYC,"http://toppixautographs.com Amber Heard signed autographs at Metropolitian Opera opening night in New York City. For authentic autographed memorabilia of Amber Heard and many other celebrities, check out TopPix Autographs at http://www.toppixautographs.com Get the Best Deals on Authentic Autographs on our eBay Store at https://www.ebay.com/str/newgraphs

We use and recommend the experts at AutographCOA (ACOA) Autograph Authentication for third-party autograph certification! http://www.autographcoa.com/",https://i.ytimg.com/vi/4vy-q3lMUzQ/default.jpg,120,90,https://i.ytimg.com/vi/4vy-q3lMUzQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4vy-q3lMUzQ/hqdefault.jpg,480,360,TopPix Autographs,"['Amber', 'Heard', 'signing', 'autographs']",24,none,Amber Heard - Signing Autographs at the Metropolitian Opera Opening Night in NYC,"http://toppixautographs.com Amber Heard signed autographs at Metropolitian Opera opening night in New York City. For authentic autographed memorabilia of Amber Heard and many other celebrities, check out TopPix Autographs at http://www.toppixautographs.com Get the Best Deals on Authentic Autographs on our eBay Store at https://www.ebay.com/str/newgraphs

We use and recommend the experts at AutographCOA (ACOA) Autograph Authentication for third-party autograph certification! http://www.autographcoa.com/",PT26S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,5014,28,0,4,https://i.ytimg.com/vi/4vy-q3lMUzQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/4vy-q3lMUzQ/maxresdefault.jpg,1280.0,720.0,,
youtube#video,DmqSFccRXvjHjjCIHaFUzLMI9L8,5lgxvbw9Ydg,2020-12-28T20:57:52Z,UCLw6wkB9hUunjyGEMdj2Vqw,Why Did Winona Ryder testify for Johnny Depp? (Amber Heard Playlist),Link to original CCN article-https://www.cnn.com/2017/11/30/opinions/women-complicit-harassment-lauer-roxanne-jones-opinion/index.html,https://i.ytimg.com/vi/5lgxvbw9Ydg/default.jpg,120,90,https://i.ytimg.com/vi/5lgxvbw9Ydg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5lgxvbw9Ydg/hqdefault.jpg,480,360,Theresa L. Dowling,,1,none,Why Did Winona Ryder testify for Johnny Depp? (Amber Heard Playlist),Link to original CCN article-https://www.cnn.com/2017/11/30/opinions/women-complicit-harassment-lauer-roxanne-jones-opinion/index.html,PT7M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,20,0,0,0,,,,,,,,
youtube#video,3oLnRtS8hlpMGp8oxy9WQGQVPdQ,6h_EjJxuE24,2018-09-18T15:00:52Z,UCSpvhvDjbg5zhnyeOQIWyzg,Amber Heard signs autographs for TopPix,"Amber Heard signed autographs for http://www.toppixautographs.com at the 2018 Toronto International Film Festival.

For authentic autographed memorabilia of Amber Heard and many other celebrities, check out TopPix Autographs at: http://www.toppixautographs.com

----------
Follow us on Social to see our latest celebrity autograph encounters:
----------
Facebook ► http://facebook.com/toppixautographs
Twitter ► http://twitter.com/toppix
----------

TopPix Autographs is:

RACC Trusted Seller #103 - http://www.racctrusted.com/
UACC Registered Dealer #328
AFTAL Approved Dealer #103 Get the Best Deals on Authentic Autographs on our eBay Store at https://www.ebay.com/str/newgraphs

We use and recommend the experts at AutographCOA (ACOA) Autograph Authentication for third-party autograph certification! http://www.autographcoa.com/",https://i.ytimg.com/vi/6h_EjJxuE24/default.jpg,120,90,https://i.ytimg.com/vi/6h_EjJxuE24/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6h_EjJxuE24/hqdefault.jpg,480,360,TopPix Autographs,"['autographs', 'autographed', 'signed', 'signing', 'signs', 'memorabilia', 'collectibles', 'interview', 'fans', 'paparazzi', 'nyc', 'new york', 'new york city', 'Amber Heard']",24,none,Amber Heard signs autographs for TopPix,"Amber Heard signed autographs for http://www.toppixautographs.com at the 2018 Toronto International Film Festival.

For authentic autographed memorabilia of Amber Heard and many other celebrities, check out TopPix Autographs at: http://www.toppixautographs.com

----------
Follow us on Social to see our latest celebrity autograph encounters:
----------
Facebook ► http://facebook.com/toppixautographs
Twitter ► http://twitter.com/toppix
----------

TopPix Autographs is:

RACC Trusted Seller #103 - http://www.racctrusted.com/
UACC Registered Dealer #328
AFTAL Approved Dealer #103 Get the Best Deals on Authentic Autographs on our eBay Store at https://www.ebay.com/str/newgraphs

We use and recommend the experts at AutographCOA (ACOA) Autograph Authentication for third-party autograph certification! http://www.autographcoa.com/",PT2M1S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,251,4,0,0,https://i.ytimg.com/vi/6h_EjJxuE24/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6h_EjJxuE24/maxresdefault.jpg,1280.0,720.0,,
youtube#video,7sONOoQlZUiKA6GQZ39BgO912OM,6ZL0kVvSM18,2021-12-28T20:30:00Z,UC2VjzgIJlJzaW5Lt-O7IKxw,Video critico ai danni di Johnny Depp da parte di Amber Heard,#johnnydepp #amberheard #gossip #cinema,https://i.ytimg.com/vi/6ZL0kVvSM18/default.jpg,120,90,https://i.ytimg.com/vi/6ZL0kVvSM18/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6ZL0kVvSM18/hqdefault.jpg,480,360,Francesco Quadrini Official,"['johnnydepp', 'cinema', 'gossip', 'amberheard']",24,none,Video critico ai danni di Johnny Depp da parte di Amber Heard,#johnnydepp #amberheard #gossip #cinema,PT1M54S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,58,7,0,5,https://i.ytimg.com/vi/6ZL0kVvSM18/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6ZL0kVvSM18/maxresdefault.jpg,1280.0,720.0,,
