kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,contentDetails.regionRestriction.blocked
youtube#video,J6YhrkqpMR-M-c-h81A6NxTNCpc,-luqPw-pEzI,2018-01-28T19:30:00Z,UC3dz-bCQMxRYRV6dLyGRTNA,"Aquaman Movie 2018 Teaser Trailer  Jason Momoa, Amber Heard Fan trailer","Aquaman (2018)

Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and to be a hero to the world.
_____________________________________________________________________________________
aquaman,justice league,jason momoa,aquaman movie trailer,wonder woman,aquaman trailer,aquaman movie,aquaman movie 2018,justice league trailer,amber heard,aquaman 2018,aquaman teaser,dc,2018,aquaman 2018 trailer,aquaman official trailer,justice league movie,dc comics,justice league aquaman,jason momoa aquaman,trailer,aquaman movie trailer 2018,aquaman teaser trailer,amber heard mera,ben affleck,movie,aquaman movie official trailer,aquaman official trailer 2018,the flash,wonder woman tv spot,aquaman trailer 2018,wonder woman trailer,aquaman 2018 movie,beyond the trailer,official trailer Aquaman, film, movie, teaser, moviemaniacs, DC Comics, DC Universe, Batman, Superman, Wonder Woman, Justice League, 2018, trailer, official trailer, hd, 4k, dc, joker, batman, wonder woman, comic, fanmade, fanmade trailer,wow, aquaman, aquaman 2018, aquaman movie, aquaman movie 2018, aquaman trailer 2018, aquaman trailer, aquaman movie trailer 2018, aquaman movie trailer, aquaman official trailer 2018, aquaman official trailer, aquaman movie official trailer 2018, aquaman movie official trailer, aquaman justice league, aquaman full movie, aquaman full movie in hindi, aquaman full movie in english, aquaman teaser, red smasher, Red smasher

Zee Music Company,latest songs,new songs,hindi songs,romantic songs,zee music hit songs,new movie songs,Latest Songs,Arijit Singh Songs,love songs,zee music company,Love Songs,album songs,superhit songs,party songs,zee music,Romantic Songs,Zee Music Hit Songs,upcoming movies 2017,Bollywood movie songsBaarish Full Song,kala chashma,singles 2017,movie songs,Upcoming Movies 2018,ajay devgn in milan luthrias baadshaho,vidyut jammwal,ileana d’cruz,bollywood movie teaser 2017,badshaho poster out,ajay devgn baadshaho poster,baadshaho release date,baadshaho trailer,baadshaho movie teaser 2017,baadshaho movie teaser,baadshaho teaser,dialogue baadshaho,gippy grewal,car nachdi gippy grewal,car nachdi bohemia,sad songs punjabi,Bollywood Song,Latest Punjabi Song,Latest Punjabi Movies,Punjabi Film,Punjabi Film Song,tseries movies,Punjabi Movies,official song,Folk Song,Punjabi Songs,Jaidev Kumar,Harbhajan Mann,new punjabi songs,T-Series Mixtape,millind gaba,t series,latest songs,mashup,tseries songs,subah subah,arijit singh new songs,2018 songs,arijit singh songs,Amaal Mallik new songs,Amaal Mallik songs,subah subah sonu ke titu ki sweety,sonu ke titu ki sweety all songs,sonu ke titu ki sweety songs,sonu ke titu ki sweety,sonu ke titu ki sweety movie songs,subah subah video,
______________________________________________________________________________
FAIR-USE COPYRIGHT DISCLAIMER

* Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, commenting, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.

1)This video has no negative impact on the original works (It would actually be positive for them)
2)This video is also for teaching purposes.
3)It is not transformative in nature.
4)I only used bits and pieces of videos to get the point across where necessary.

BEAT MUSIC does not own the rights to these video clips. They have, in accordance with fair use, been repurposed with the intent of educating and inspiring others. However, if any content owners would like their images removed, please contact us by email at fit-or-fight-4818@pages.plusgoogle.com",https://i.ytimg.com/vi/-luqPw-pEzI/default.jpg,120,90,https://i.ytimg.com/vi/-luqPw-pEzI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-luqPw-pEzI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-luqPw-pEzI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-luqPw-pEzI/maxresdefault.jpg,1280.0,720.0,abc,"['Aquaman', 'film', 'movie', 'teaser', 'moviemaniacs', 'DC Comics', 'DC Universe', 'Batman', 'Superman', 'Wonder Woman', 'Justice League', '2018', 'trailer', 'official trailer', 'hd', '4k', 'dc', 'joker', 'batman', 'wonder woman', 'comic', 'fanmade', 'fanmade trailer', 'aquaman full movie in english', 'aquaman teaser', 'red smasher', 'Red smasher']",24,none,hi,"Aquaman Movie 2018 Teaser Trailer  Jason Momoa, Amber Heard Fan trailer","Aquaman (2018)

Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and to be a hero to the world.
_____________________________________________________________________________________
aquaman,justice league,jason momoa,aquaman movie trailer,wonder woman,aquaman trailer,aquaman movie,aquaman movie 2018,justice league trailer,amber heard,aquaman 2018,aquaman teaser,dc,2018,aquaman 2018 trailer,aquaman official trailer,justice league movie,dc comics,justice league aquaman,jason momoa aquaman,trailer,aquaman movie trailer 2018,aquaman teaser trailer,amber heard mera,ben affleck,movie,aquaman movie official trailer,aquaman official trailer 2018,the flash,wonder woman tv spot,aquaman trailer 2018,wonder woman trailer,aquaman 2018 movie,beyond the trailer,official trailer Aquaman, film, movie, teaser, moviemaniacs, DC Comics, DC Universe, Batman, Superman, Wonder Woman, Justice League, 2018, trailer, official trailer, hd, 4k, dc, joker, batman, wonder woman, comic, fanmade, fanmade trailer,wow, aquaman, aquaman 2018, aquaman movie, aquaman movie 2018, aquaman trailer 2018, aquaman trailer, aquaman movie trailer 2018, aquaman movie trailer, aquaman official trailer 2018, aquaman official trailer, aquaman movie official trailer 2018, aquaman movie official trailer, aquaman justice league, aquaman full movie, aquaman full movie in hindi, aquaman full movie in english, aquaman teaser, red smasher, Red smasher

Zee Music Company,latest songs,new songs,hindi songs,romantic songs,zee music hit songs,new movie songs,Latest Songs,Arijit Singh Songs,love songs,zee music company,Love Songs,album songs,superhit songs,party songs,zee music,Romantic Songs,Zee Music Hit Songs,upcoming movies 2017,Bollywood movie songsBaarish Full Song,kala chashma,singles 2017,movie songs,Upcoming Movies 2018,ajay devgn in milan luthrias baadshaho,vidyut jammwal,ileana d’cruz,bollywood movie teaser 2017,badshaho poster out,ajay devgn baadshaho poster,baadshaho release date,baadshaho trailer,baadshaho movie teaser 2017,baadshaho movie teaser,baadshaho teaser,dialogue baadshaho,gippy grewal,car nachdi gippy grewal,car nachdi bohemia,sad songs punjabi,Bollywood Song,Latest Punjabi Song,Latest Punjabi Movies,Punjabi Film,Punjabi Film Song,tseries movies,Punjabi Movies,official song,Folk Song,Punjabi Songs,Jaidev Kumar,Harbhajan Mann,new punjabi songs,T-Series Mixtape,millind gaba,t series,latest songs,mashup,tseries songs,subah subah,arijit singh new songs,2018 songs,arijit singh songs,Amaal Mallik new songs,Amaal Mallik songs,subah subah sonu ke titu ki sweety,sonu ke titu ki sweety all songs,sonu ke titu ki sweety songs,sonu ke titu ki sweety,sonu ke titu ki sweety movie songs,subah subah video,
______________________________________________________________________________
FAIR-USE COPYRIGHT DISCLAIMER

* Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, commenting, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.

1)This video has no negative impact on the original works (It would actually be positive for them)
2)This video is also for teaching purposes.
3)It is not transformative in nature.
4)I only used bits and pieces of videos to get the point across where necessary.

BEAT MUSIC does not own the rights to these video clips. They have, in accordance with fair use, been repurposed with the intent of educating and inspiring others. However, if any content owners would like their images removed, please contact us by email at fit-or-fight-4818@pages.plusgoogle.com",hi,PT2M44S,2d,hd,false,False,rectangular,processed,public,creativeCommon,True,True,False,166,2,0,0,
youtube#video,VvRTz7XZsuxntyr-KabInUTUFoY,1AE-wMn7XPs,2020-11-07T06:15:09Z,UCl9I0U5y2mxI3YxvO3gng3Q,"¡¡¡ JOHNNY DEPP PIERDE EL JUICIO CONTRA AMBER HEARD, MUJER MARAVILLA EN 2021 Y MAS...!!!","Ya paso una semana mas y es tiempo de ver lo mas importante del universo DC.

Mascara de red hod: https://blogdesuperheroes.es/series-priemr-plano-mascara-red-hood-titans/
Imagen de sarfire: https://blogdesuperheroes.es/wp-content/plugins/BdSGallery/BdSGaleria/99176.jpg 
Entrevista con routh: https://www.youtube.com/watch?v=u6KMZLwUG1U&feature=emb_logo 
Imágenes de Superman: https://blogdesuperheroes.es/imagen-filtrada-superman-traje-tyler-hoechlin/",https://i.ytimg.com/vi/1AE-wMn7XPs/default.jpg,120,90,https://i.ytimg.com/vi/1AE-wMn7XPs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1AE-wMn7XPs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1AE-wMn7XPs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1AE-wMn7XPs/maxresdefault.jpg,1280.0,720.0,DC Comics Universe,"['grant morrison', 'titans', 'red hood', 'anna diop', 'hbo max', 'green lantern', 'stargirl', 'stephen amell', 'cw', 'arrow-verso', 'tyler ochelyn', 'david ayer', 'suicide squad', 'escuadron suicida', 'james gunn', 'margott robbie', 'snyder cut', 'ray porther', 'ray fisher', 'wonder woman', 'mujer maravilla', 'gal gadot', 'chris paine', 'patty jenkins', 'johnny deep', 'amber heard', 'harry potter', 'grindelwald', 'aquaman', 'jason momoa', 'aquaman 2', 'the batman', 'battinson', 'robert pattinson', 'matt reeves']",24,none,,"¡¡¡ JOHNNY DEPP PIERDE EL JUICIO CONTRA AMBER HEARD, MUJER MARAVILLA EN 2021 Y MAS...!!!","Ya paso una semana mas y es tiempo de ver lo mas importante del universo DC.

Mascara de red hod: https://blogdesuperheroes.es/series-priemr-plano-mascara-red-hood-titans/
Imagen de sarfire: https://blogdesuperheroes.es/wp-content/plugins/BdSGallery/BdSGaleria/99176.jpg 
Entrevista con routh: https://www.youtube.com/watch?v=u6KMZLwUG1U&feature=emb_logo 
Imágenes de Superman: https://blogdesuperheroes.es/imagen-filtrada-superman-traje-tyler-hoechlin/",es-419,PT22M58S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,9350,904,0,131,
youtube#video,5MGDeycybRotny1E5_rL00YRTCw,5NUGRfbn_3k,2016-11-15T09:46:41Z,UCUoL0D6XyQZM30CAbKaYF6g,"Demi Lovato, Zendaya, Amber Heard, Gwen Stefani 2016 Glamour Women of the Year Awards","Celebrities arrive at Glamour Women Of The Year 2016 Red Carpet Nov 14, 2016 - NeueHouse Hollywood - Los Angeles, California United States",https://i.ytimg.com/vi/5NUGRfbn_3k/default.jpg,120,90,https://i.ytimg.com/vi/5NUGRfbn_3k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5NUGRfbn_3k/hqdefault.jpg,480,360,,,,,,,Fashion Media,"['fashion media', 'Demi Lovato', 'Zendaya', 'Amber Heard', 'Cara Delevingne', 'Mindy Kaling', 'James Corden', 'Shonda Rhimes', 'Amy Poehler', 'Lena Dunham', 'Freida Pinto', 'Gabby Sidibe', 'Rowan Blanchard', 'Joe Jonas', 'Laura Dern', 'Rashida Jones', 'Anna Wintour', 'Yara Shahidi', 'Keke Palmer', 'Chelsea Handler', 'Gwen Stefani', 'Eve Hewson', 'Jordan Hewson', 'Bono', 'Alison Hewson', 'Caitlyn Jenner', 'Ashley Graham', 'Leona Lewis', 'Simone Biles', 'Tracee Ellis Ross', 'Angela Sarafyan', 'Jenna Dewan', 'Kat Graham']",24,none,,"Demi Lovato, Zendaya, Amber Heard, Gwen Stefani 2016 Glamour Women of the Year Awards","Celebrities arrive at Glamour Women Of The Year 2016 Red Carpet Nov 14, 2016 - NeueHouse Hollywood - Los Angeles, California United States",,PT5M5S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2929,19,0,2,
youtube#video,-h-RL7Lt3sqDH4a1sljEL9GOckI,88sg8A8OLSk,2018-12-05T19:57:35Z,UCGnlgHCdAsCNeAdNRTbS4hg,Aquaman's Amber Heard talks about playing an empowered superhero and her banter with Jason Momoa,"We talk to Aquamam star Amber Heard about her on-screen banter with Jason Momoa and taking on the role of an empowered superhero.

See more at: http://www.rte.ie/entertainment",https://i.ytimg.com/vi/88sg8A8OLSk/default.jpg,120,90,https://i.ytimg.com/vi/88sg8A8OLSk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/88sg8A8OLSk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/88sg8A8OLSk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/88sg8A8OLSk/maxresdefault.jpg,1280.0,720.0,RTÉ - IRELAND’S NATIONAL PUBLIC SERVICE MEDIA,"['RTE', 'RTÉ', 'RTÉ One', 'RTÉ Two', 'Raidió Teilifís Éireann', 'Ireland', 'Irish', 'Radio Teleifis Eireann', 'Amber Heard', 'Aquaman', 'Jason Momoa', 'Movies', 'Hollywood', 'Jason Wan', 'Justice League', 'Mera', 'Comics', 'Comic books']",24,none,,Aquaman's Amber Heard talks about playing an empowered superhero and her banter with Jason Momoa,"We talk to Aquamam star Amber Heard about her on-screen banter with Jason Momoa and taking on the role of an empowered superhero.

See more at: http://www.rte.ie/entertainment",en-GB,PT4M20S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,1279,15,0,0,
youtube#video,b169h0ymoqIgeh7OCsEWVKJduZU,9Zo5HMgyARE,2021-07-12T18:07:20Z,UCoXhie-Z8ylTCYK4d_Xt-wQ,Jhonny Depp kissing his wife Amber Heard || 💋💋💋💋,,https://i.ytimg.com/vi/9Zo5HMgyARE/default.jpg,120,90,https://i.ytimg.com/vi/9Zo5HMgyARE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9Zo5HMgyARE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9Zo5HMgyARE/sddefault.jpg,640.0,480.0,,,,KINDLY HELP ME TO REACH 69k SUBSCRIBERS WITH VIDEO,,22,none,,Jhonny Depp kissing his wife Amber Heard || 💋💋💋💋,,,PT18S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,128,3,0,0,
youtube#video,DzxOoPxoPv2jVgyJkNZ2gWsBLcA,a9sQc47igGw,2020-08-25T20:42:32Z,UCXrhM5_Z11LvlvICp7T7_Dw,Amber Heard Telling 10 incredible women to make up this year’s,"#HollywoodMonstersAmberHeardTelling10incrediblewomentomakeupthisyears 

#AmberHeard
#Telling  

Amber Heard Telling 10 incredible women to make up this year’s 
















































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",https://i.ytimg.com/vi/a9sQc47igGw/default.jpg,120,90,https://i.ytimg.com/vi/a9sQc47igGw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a9sQc47igGw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/a9sQc47igGw/sddefault.jpg,640.0,480.0,,,,Hollywood Monsters,,22,none,,Amber Heard Telling 10 incredible women to make up this year’s,"#HollywoodMonstersAmberHeardTelling10incrediblewomentomakeupthisyears 

#AmberHeard
#Telling  

Amber Heard Telling 10 incredible women to make up this year’s 
















































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",en,PT58S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,516,5,0,19,
youtube#video,yifHm1FreGlECc34a9kIj7Im7MA,df7LXFVsDcA,2021-07-29T15:48:10Z,UCe2RiKheFegUAwVfOReRh-A,Amber heard smoking with pro status,,https://i.ytimg.com/vi/df7LXFVsDcA/default.jpg,120,90,https://i.ytimg.com/vi/df7LXFVsDcA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/df7LXFVsDcA/hqdefault.jpg,480,360,,,,,,,PRO status,,22,none,,Amber heard smoking with pro status,,,PT21S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,345,8,0,0,
youtube#video,V1EZ-f42RG-l2tfgT8Ncvv7x_DE,dm6LVd7mcyQ,2017-12-29T01:05:25Z,UCMWH34-iB6pfkTGeIStAZkg,Amber Heard Dangerous Woman,"A tribute to one of my favorite blondes.Song: Dangerous woman by Ariana Grande.Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.",https://i.ytimg.com/vi/dm6LVd7mcyQ/default.jpg,120,90,https://i.ytimg.com/vi/dm6LVd7mcyQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dm6LVd7mcyQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dm6LVd7mcyQ/sddefault.jpg,640.0,480.0,,,,Weekly Trending,"['amber heard dangerous woman', 'amber heard']",22,none,,Amber Heard Dangerous Woman,"A tribute to one of my favorite blondes.Song: Dangerous woman by Ariana Grande.Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.",,PT1M29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,106,0,0,0,
youtube#video,mXOVz2U8gQNG0ROpTb0xlxeDYjc,DU-Ty8bcb70,2018-01-05T10:19:03Z,UCvrd7eb8iEpzsVSJuQ7hkWg,"Amber Heard, La mujer más bella del mundo.",Algunas fotos de esta preciosa mujer.,https://i.ytimg.com/vi/DU-Ty8bcb70/default.jpg,120,90,https://i.ytimg.com/vi/DU-Ty8bcb70/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DU-Ty8bcb70/hqdefault.jpg,480,360,https://i.ytimg.com/vi/DU-Ty8bcb70/sddefault.jpg,640.0,480.0,,,,Videos de internet,,22,none,,"Amber Heard, La mujer más bella del mundo.",Algunas fotos de esta preciosa mujer.,,PT1M44S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,448,13,0,1,
youtube#video,nHyVdKAj33a7zD0Lqe5DfAuBNew,EoAlhguZrRo,2014-05-29T01:34:51Z,UC8u5H72IfMAy1sk8Jl5NCig,Cotton Eyed Joe by Amber Hayes [official lyric video],"Click here to purchase on iTunes: http://bit.ly/1pxvPKm 
Official lyric video for ""Cotton Eyed Joe"" featured in the film ""Cowgirls N' Angels: Dakota's Summer""",https://i.ytimg.com/vi/EoAlhguZrRo/default.jpg,120,90,https://i.ytimg.com/vi/EoAlhguZrRo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EoAlhguZrRo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EoAlhguZrRo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/EoAlhguZrRo/maxresdefault.jpg,1280.0,720.0,Amber Hayes,,10,none,,Cotton Eyed Joe by Amber Hayes [official lyric video],"Click here to purchase on iTunes: http://bit.ly/1pxvPKm 
Official lyric video for ""Cotton Eyed Joe"" featured in the film ""Cowgirls N' Angels: Dakota's Summer""",,PT3M16S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,162461,1188,0,29,
