kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount
youtube#video,qESAf8wQjN6-0Mrse5H3Jr7jxLA,1eQnipr8zgA,2021-03-27T08:51:21Z,UCVxzTQDruKuxiHvK36BSYkQ,Late night talks weekend edition (Uk 🇬🇧 betrayal The injustice of Johnny Depp),"Johnny Depp loses bid to appeal UK court ruling that he assaulted ex-wife Amber Heard
https://www.usatoday.com/story/entertainment/celebrities/2021/03/25/johnny-depp-amber-heard-loses-bid-appeal-uk-court-ruling/6994186002/

""There's Not Much Theaters Can Do"": Disney's 'Black Widow' Tries Day-and-Date as Studios Experiment
https://www.hollywoodreporter.com/news/box-office-in-flux-disneys-black-widow-experiments-with-day-and-date-since-theres-not-much-theaters-can-do

Internet turns on Jensen Karp, ‘manipulative’ shrimp tail cereal man
https://nypost.com/2021/03/25/internet-turns-on-shrimp-tail-cinnamon-toast-crunch-cereal-man/

Catherine Tate ‘not filming Doctor Who series 13 in Liverpool’
https://nypost.com/2021/03/25/internet-turns-on-shrimp-tail-cinnamon-toast-crunch-cereal-man/

check out PB channel
https://t.co/DFC4UtYnX5?amp=1

check out mad squirrel
https://www.youtube.com/c/MadSquirrelConversation

check out the aussie stevie J
https://t.co/DeHsrGL3N8?amp=1

check out cybers channnel
https://t.co/0Xb48kmPZC?amp=1

check out purps channel
https://t.co/T1n7oUNaSe?amp=1

check out my website 
http://www.zodsfandomzone.com/

Plus my teespring for Zod says and father Zod merchandise 
https://teespring.com/stores/zod-fandom-zone-store",https://i.ytimg.com/vi/1eQnipr8zgA/default.jpg,120,90,https://i.ytimg.com/vi/1eQnipr8zgA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1eQnipr8zgA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1eQnipr8zgA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1eQnipr8zgA/maxresdefault.jpg,1280.0,720.0,Mr. Zod's Fandom Zone,"['abc news', 'black adam', 'black widow', 'dan wootton', 'dave filoni', 'hbo max', 'high court', 'holly & phillip funny', 'johnny depp', 'johnny depp amber heard divorce', 'johnny depp libel trial', 'johnny depp loses case', 'johnny depp loses libel suit', 'johnny depp sues sun newspaper', 'libel case', 'michael b jordan', 'movie talk', 'pedro pascal', 'saturday night fever', 'scarlet witch', 'the sun', 'this morning', 'united kingdom', 'why is johnny depp going to court', 'wife beater', 'zack snyder']",24,none,en,Late night talks weekend edition (Uk 🇬🇧 betrayal The injustice of Johnny Depp),"Johnny Depp loses bid to appeal UK court ruling that he assaulted ex-wife Amber Heard
https://www.usatoday.com/story/entertainment/celebrities/2021/03/25/johnny-depp-amber-heard-loses-bid-appeal-uk-court-ruling/6994186002/

""There's Not Much Theaters Can Do"": Disney's 'Black Widow' Tries Day-and-Date as Studios Experiment
https://www.hollywoodreporter.com/news/box-office-in-flux-disneys-black-widow-experiments-with-day-and-date-since-theres-not-much-theaters-can-do

Internet turns on Jensen Karp, ‘manipulative’ shrimp tail cereal man
https://nypost.com/2021/03/25/internet-turns-on-shrimp-tail-cinnamon-toast-crunch-cereal-man/

Catherine Tate ‘not filming Doctor Who series 13 in Liverpool’
https://nypost.com/2021/03/25/internet-turns-on-shrimp-tail-cinnamon-toast-crunch-cereal-man/

check out PB channel
https://t.co/DFC4UtYnX5?amp=1

check out mad squirrel
https://www.youtube.com/c/MadSquirrelConversation

check out the aussie stevie J
https://t.co/DeHsrGL3N8?amp=1

check out cybers channnel
https://t.co/0Xb48kmPZC?amp=1

check out purps channel
https://t.co/T1n7oUNaSe?amp=1

check out my website 
http://www.zodsfandomzone.com/

Plus my teespring for Zod says and father Zod merchandise 
https://teespring.com/stores/zod-fandom-zone-store",en,PT3H42M17S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,391,64,0,1
youtube#video,ziH7y7d8h144MLqGovM1zxRmBfA,3XTKtl4nc6o,2019-10-24T10:31:00Z,UCAGGQjQU-sIcnyEyeieippw,✅  VIDEO. Amber Heard dénonce la politique de nudité d'Instagram avec une photo topless de Jason Mom,"💖 Please Visit: https://www.facebook.com/Scathc/
💖 Please Subscribe: https://www.youtube.com/channel/UCAGGQjQU-sIcnyEyeieippw?sub_confirmation=1
✍   Amber Heard trouve la politique sur la nudité d’Instagram absurde et elle a prouvé qu’elle avait raison. L’actrice a posté la photo d’une poitrine nue sur le réseau… mais pas la sienne : celle de   Jason Momoa. Il s’agit d’un montage.   Amber Heard a remplacé son corps par celui de son collègue dans Aquaman. Le cliché initial, sur lequel on voyait la poitrine de l’actrice, avait été rapidement censuré par le réseau social.   « En l’honneur du règlement d’Instagram qui empêche de montrer les tétons de femmes, et puisque les miens ont eu le très bref privilège accordé à ceux de mes pairs masculins, j’ai décidé de les remplacer par une photo qui respecte ces règles si strictes », a-t-elle posté de manière sarcastique sur son compte Instagram.  Déso pas déso   Une belle façon, pour l'interprète de Mera d’illustrer le deux poids deux mesures qui règne sur Instagram. La star s’est ensuite excusée auprès de Jason Momoa.   « Au fait, je t’adore mon AquaMari ! Désolée de devoir utiliser tes p ...
💖 #People, #Vidéo, #Instagram, #AmberHeard, #reglementation, #nudite",https://i.ytimg.com/vi/3XTKtl4nc6o/default.jpg,120,90,https://i.ytimg.com/vi/3XTKtl4nc6o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3XTKtl4nc6o/hqdefault.jpg,480,360,,,,,,,Anh Lê,"['People', 'Vidéo', 'Instagram', 'Amber Heard', 'reglementation', 'nudite']",22,none,,✅  VIDEO. Amber Heard dénonce la politique de nudité d'Instagram avec une photo topless de Jason Mom,"💖 Please Visit: https://www.facebook.com/Scathc/
💖 Please Subscribe: https://www.youtube.com/channel/UCAGGQjQU-sIcnyEyeieippw?sub_confirmation=1
✍   Amber Heard trouve la politique sur la nudité d’Instagram absurde et elle a prouvé qu’elle avait raison. L’actrice a posté la photo d’une poitrine nue sur le réseau… mais pas la sienne : celle de   Jason Momoa. Il s’agit d’un montage.   Amber Heard a remplacé son corps par celui de son collègue dans Aquaman. Le cliché initial, sur lequel on voyait la poitrine de l’actrice, avait été rapidement censuré par le réseau social.   « En l’honneur du règlement d’Instagram qui empêche de montrer les tétons de femmes, et puisque les miens ont eu le très bref privilège accordé à ceux de mes pairs masculins, j’ai décidé de les remplacer par une photo qui respecte ces règles si strictes », a-t-elle posté de manière sarcastique sur son compte Instagram.  Déso pas déso   Une belle façon, pour l'interprète de Mera d’illustrer le deux poids deux mesures qui règne sur Instagram. La star s’est ensuite excusée auprès de Jason Momoa.   « Au fait, je t’adore mon AquaMari ! Désolée de devoir utiliser tes p ...
💖 #People, #Vidéo, #Instagram, #AmberHeard, #reglementation, #nudite",,PT2M52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,0,0,0
youtube#video,XgiBSYJynPSGrUApQzEfxatTDrI,4vmhQrxOYMs,2018-05-13T04:49:32Z,UCFXawhPC1g8o7WN-V-yczLg,"Cannes 2018: Aishwarya Rai, reine du  glamour face à Amber Heard","Cannes 2018: Aishwarya Rai, reine du glamour face à Amber Heard
Habituée du Festival de Cannes, la divine star indienne Aishwarya Rai a encore offert un récital glamour devant une autre ambassadrice L'Oréal, la non moins belle Amber Heard.
Célébrités & potins: Une complicité qui fait plaisir à voir !
+ Cliquez ici pour voir plus : https://goo.gl/kZmVyE
+ G Plus: https://goo.gl/kZmVyE
+ Potins Twitter: https://goo.gl/kZmVyE""",https://i.ytimg.com/vi/4vmhQrxOYMs/default.jpg,120,90,https://i.ytimg.com/vi/4vmhQrxOYMs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4vmhQrxOYMs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4vmhQrxOYMs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/4vmhQrxOYMs/maxresdefault.jpg,1280.0,720.0,TV Célébrité 2,"['Cannes', '2018', 'Aishwarya', 'Rai', 'reine', 'du', 'glamour', 'face', 'Amber', 'HeardCélébrités & potins', 'potins', 'Nouvelles']",22,none,,"Cannes 2018: Aishwarya Rai, reine du  glamour face à Amber Heard","Cannes 2018: Aishwarya Rai, reine du glamour face à Amber Heard
Habituée du Festival de Cannes, la divine star indienne Aishwarya Rai a encore offert un récital glamour devant une autre ambassadrice L'Oréal, la non moins belle Amber Heard.
Célébrités & potins: Une complicité qui fait plaisir à voir !
+ Cliquez ici pour voir plus : https://goo.gl/kZmVyE
+ G Plus: https://goo.gl/kZmVyE
+ Potins Twitter: https://goo.gl/kZmVyE""",fr-BE,PT1M52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,17,0,0,0
youtube#video,FxLsnhGeFd-m9pO_tMSXaAqKqgI,A0bkRFXrk20,2020-09-16T21:00:04Z,UC1DGpYiEiqBrQtYXFbLhMVQ,How Miranda Lambert Really Feels About Gwen Stefani,"For a few years, Blake Shelton and Miranda Lambert were one of the hottest couples in the country music scene, but it all came crashing down in 2015 when the two singers announced they were divorcing. Not long after, Shelton began dating another singer: former No Doubt frontwoman and fellow coach on ""The Voice,"" Gwen Stefani.

With Shelton quickly in another high-profile relationship, plenty of fans had opinions and questions, with many wondering how Lambert felt about the whole thing. Obviously, no one is going to be thrilled about a divorce, but let’s take a look at how Miranda Lambert really feels about Gwen Stefani.

#GwenStefani #MirandaLambert #Country

Read Full Article: https://www.nickiswift.com/242959/how-miranda-lambert-really-feels-about-gwen-stefani/",https://i.ytimg.com/vi/A0bkRFXrk20/default.jpg,120,90,https://i.ytimg.com/vi/A0bkRFXrk20/mqdefault.jpg,320,180,https://i.ytimg.com/vi/A0bkRFXrk20/hqdefault.jpg,480,360,https://i.ytimg.com/vi/A0bkRFXrk20/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/A0bkRFXrk20/maxresdefault.jpg,1280.0,720.0,Nicki Swift,"['nicki swift', 'nickiswift', 'miranda lambert', 'gwen stefani', 'miranda lamber gwen stefani', 'how miranda lambert feels about gwen stefani', 'miranda lambert gwen stefani feud', 'miranda lambert gwen stefani music', 'miranda lambert gwen stefani hate', 'miranda lambert gwen stefani beef', 'miranda lambert gwen stefani friends', 'gwen stefani blake shelton', 'miranda lambert blake shelton', 'gwen stefani stole blake shelton', 'miranda lambert blake shelton breakup', 'gwen stefani miranda lambert feud']",24,none,,How Miranda Lambert Really Feels About Gwen Stefani,"For a few years, Blake Shelton and Miranda Lambert were one of the hottest couples in the country music scene, but it all came crashing down in 2015 when the two singers announced they were divorcing. Not long after, Shelton began dating another singer: former No Doubt frontwoman and fellow coach on ""The Voice,"" Gwen Stefani.

With Shelton quickly in another high-profile relationship, plenty of fans had opinions and questions, with many wondering how Lambert felt about the whole thing. Obviously, no one is going to be thrilled about a divorce, but let’s take a look at how Miranda Lambert really feels about Gwen Stefani.

#GwenStefani #MirandaLambert #Country

Read Full Article: https://www.nickiswift.com/242959/how-miranda-lambert-really-feels-about-gwen-stefani/",en,PT4M38S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,451553,3071,0,906
youtube#video,4DOYmcD83q2pFVJL6lkJzDJE2Uw,a8D2XBPBXy8,2013-07-05T23:30:55Z,UCjnUZgk_NcStN256_uT76gg,zac efron + amber heard | i don't love him.,"» HD IS YOUR BEST FRIEND. 

For the pretty A.
I own nothing, just editing.

» Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.",https://i.ytimg.com/vi/a8D2XBPBXy8/default.jpg,120,90,https://i.ytimg.com/vi/a8D2XBPBXy8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a8D2XBPBXy8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/a8D2XBPBXy8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/a8D2XBPBXy8/maxresdefault.jpg,1280.0,720.0,TheirLastDance,"['zac efron', 'amber heard', 'fandom', 'zamber', 'black black heart', 'crossover', 'charlie st cloud', 'syrup', 'lucky one', 'love', 'RPG', 'RPG HP', 'Coleen Harper', 'Roy Montague', 'Never back down']",1,none,,zac efron + amber heard | i don't love him.,"» HD IS YOUR BEST FRIEND. 

For the pretty A.
I own nothing, just editing.

» Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.",,PT55S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1329,24,0,1
youtube#video,mAkGhO6_5kgkCPsc5pF5wjg_Uss,aSKX8WQp9R0,2020-02-04T05:35:13Z,UCnpXrtvXSpOxItOFbP8AIsA,✅  Johnny Depp frappé par Amber Heard ? Un enregistrement accable l'actrice,"💖 Please Visit: https://www.facebook.com/Scathc/
💖 Please Subscribe: https://www.youtube.com/channel/UCnpXrtvXSpOxItOFbP8AIsA?sub_confirmation=1
✍  C'est en 2016 que Johnny Depp et Amber Heard se séparaient brutalement. Peu de temps après, l'actrice américaine affirmait avoir été victime de violences conjugales de la part de son ex-époux. Et alors que sa carrière a été impactée par ces accusations qu'il a toujours niées, Johnny Depp pourrait bien voir cette affaire tourner à son avantage. Le Daily Mail a dévoilé il y a quelques jours un enregistrement audio datant de 2015 qui met en lumière la relation toxique entre les deux acteurs. Sur cet enregistrement qui a été réalisé avec le consentement de l'actrice de 33 ans lors d'une thérapie de couple, Johnny Depp et Amber Heard se confrontent après une violente dispute : ""Je ne sais pas exactement quel mouvement a fait ma main, mais tu vas bien. Je ne t'ai pas blessé, je ne t'ai pas donné de coup de poing, je t'ai frappé"", admet Amber Heard.""Je ne peux pas te promettre de ne plus être violente"" Johnny Depp explique ensuite pourquoi il est parti au milieu d'une dispute : ""Je ne peux p ...
💖 #johnnydepp, #amberheard, #violences, #frapper, #enregistrement, #accabler, #actrice",https://i.ytimg.com/vi/aSKX8WQp9R0/default.jpg,120,90,https://i.ytimg.com/vi/aSKX8WQp9R0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aSKX8WQp9R0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/aSKX8WQp9R0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aSKX8WQp9R0/maxresdefault.jpg,1280.0,720.0,Pénélope-Marie Dijoux,"['johnny depp', 'amber heard', 'violences', 'frapper', 'enregistrement', 'accabler', 'actrice']",22,none,,✅  Johnny Depp frappé par Amber Heard ? Un enregistrement accable l'actrice,"💖 Please Visit: https://www.facebook.com/Scathc/
💖 Please Subscribe: https://www.youtube.com/channel/UCnpXrtvXSpOxItOFbP8AIsA?sub_confirmation=1
✍  C'est en 2016 que Johnny Depp et Amber Heard se séparaient brutalement. Peu de temps après, l'actrice américaine affirmait avoir été victime de violences conjugales de la part de son ex-époux. Et alors que sa carrière a été impactée par ces accusations qu'il a toujours niées, Johnny Depp pourrait bien voir cette affaire tourner à son avantage. Le Daily Mail a dévoilé il y a quelques jours un enregistrement audio datant de 2015 qui met en lumière la relation toxique entre les deux acteurs. Sur cet enregistrement qui a été réalisé avec le consentement de l'actrice de 33 ans lors d'une thérapie de couple, Johnny Depp et Amber Heard se confrontent après une violente dispute : ""Je ne sais pas exactement quel mouvement a fait ma main, mais tu vas bien. Je ne t'ai pas blessé, je ne t'ai pas donné de coup de poing, je t'ai frappé"", admet Amber Heard.""Je ne peux pas te promettre de ne plus être violente"" Johnny Depp explique ensuite pourquoi il est parti au milieu d'une dispute : ""Je ne peux p ...
💖 #johnnydepp, #amberheard, #violences, #frapper, #enregistrement, #accabler, #actrice",,PT4M10S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,148,1,0,1
youtube#video,iwxygJ8ny5Z9feNTQLeNblXBCUc,BA9hJoNg3u8,2012-06-06T16:38:47Z,UC5tKd04rlzeWlpTJIkBaufQ,"Nicolas Cage, Naomi Watts, Jessica Alba& more help recreate the glamour of Monaco in Beijing","VIP Guests Nicolas Cage, Naomi Watts, Jessica Alba and Amber Heard Attend Opening",https://i.ytimg.com/vi/BA9hJoNg3u8/default.jpg,120,90,https://i.ytimg.com/vi/BA9hJoNg3u8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BA9hJoNg3u8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BA9hJoNg3u8/sddefault.jpg,640.0,480.0,,,,TVC Group,"['Montblanc', 'Beijing', 'China', 'Nicolas Cage', 'Naomi Watts', 'Jessica Alba', 'Amber Heard', 'Princesse Grace de Monaco', 'Monaco', 'Grace Kelly', 'jewellery', 'jewellery collection', 'concept store', 'store', 'luxury store', 'luxury concept store', 'launch', 'world premiere.']",24,none,,"Nicolas Cage, Naomi Watts, Jessica Alba& more help recreate the glamour of Monaco in Beijing","VIP Guests Nicolas Cage, Naomi Watts, Jessica Alba and Amber Heard Attend Opening",,PT2M56S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,213,0,0,0
youtube#video,3VHiwIpRVXpxXHvtlRwedYbPMq8,C9R5B7SASWA,2019-04-16T21:31:53Z,UC8nZEEBWm5HU8N1IZdBY0Ug,Où l'on apprend que Amber Heard a demandé une ordonnance de protection contre Johnny Depp... pour so,"Ainsi, si ces papiers attestent qu'elle avait bien réclamé 7 millions de dollars à l'acteur de Pirates des Caraïbes , on apprend également qu'elle a récupéré à l'issu de ce divorce, deux voitures, dont une Ford",https://i.ytimg.com/vi/C9R5B7SASWA/default.jpg,120,90,https://i.ytimg.com/vi/C9R5B7SASWA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/C9R5B7SASWA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/C9R5B7SASWA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/C9R5B7SASWA/maxresdefault.jpg,1280.0,720.0,Closer,"['yt', '6026875200001', 'teen', 'people', 'tv & télé réalité', 'closer', 'royautés']",22,none,,Où l'on apprend que Amber Heard a demandé une ordonnance de protection contre Johnny Depp... pour so,"Ainsi, si ces papiers attestent qu'elle avait bien réclamé 7 millions de dollars à l'acteur de Pirates des Caraïbes , on apprend également qu'elle a récupéré à l'issu de ce divorce, deux voitures, dont une Ford",,PT1M29S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,775,2,0,0
youtube#video,jl0HkWDg7qn3MZNgriIaMHB22Vk,dAyu1HKHhAI,2018-11-29T02:51:27Z,UCuWjQdcxYBCsZz8gbyzJTJA,"Vanessa Paradis « blâme» Amber Heard, sa réplique cinglante","Citée par « Glamour » qui lui consacre sa Une, Amber Heard semble répondre à quelques critiques de l’entourage de son ex mari, Johnny Depp, dont Vanessa Paradis, et leurs enfants, Lily-Rose et Jack. 


Merci beaucoup d'avoir regardé! 
Si vous aimez les vidéos, accédez-y et partagez-les avec vos amis. 
Si vous souhaitez plus de nouvelles, abonnez-vous à la chaîne! 

==================================================",https://i.ytimg.com/vi/dAyu1HKHhAI/default.jpg,120,90,https://i.ytimg.com/vi/dAyu1HKHhAI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dAyu1HKHhAI/hqdefault.jpg,480,360,,,,,,,Actualités 24h,"['Amber Heard', 'Vanessa Paradis.']",25,none,,"Vanessa Paradis « blâme» Amber Heard, sa réplique cinglante","Citée par « Glamour » qui lui consacre sa Une, Amber Heard semble répondre à quelques critiques de l’entourage de son ex mari, Johnny Depp, dont Vanessa Paradis, et leurs enfants, Lily-Rose et Jack. 


Merci beaucoup d'avoir regardé! 
Si vous aimez les vidéos, accédez-y et partagez-les avec vos amis. 
Si vous souhaitez plus de nouvelles, abonnez-vous à la chaîne! 

==================================================",fr,PT1M27S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,1306,2,0,0
youtube#video,NJAU6JvEfuGCe03a4pdigEjH6ec,fKmky5SRg0I,2016-11-15T19:54:46Z,UCN8Up3z_nzNn97ebFrFC3uA,Actresses read Emily Doe's words at Glamour's Women of the Year Awards 2016,"Freida Pinto, Amber Heard and Gabourey Sidibe read the powerful letter from Stanford sexual assault survivor and Glamour honoree ""Emily Doe"" at Glamour's Women of the Year Awards 2016",https://i.ytimg.com/vi/fKmky5SRg0I/default.jpg,120,90,https://i.ytimg.com/vi/fKmky5SRg0I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fKmky5SRg0I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/fKmky5SRg0I/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/fKmky5SRg0I/maxresdefault.jpg,1280.0,720.0,rvse,"['Freida Pinto', 'Amber Heard', 'Gabourey Sidibe', 'Lena Dunham', ""Glamour's Women of the Year Awards 2016""]",22,none,,Actresses read Emily Doe's words at Glamour's Women of the Year Awards 2016,"Freida Pinto, Amber Heard and Gabourey Sidibe read the powerful letter from Stanford sexual assault survivor and Glamour honoree ""Emily Doe"" at Glamour's Women of the Year Awards 2016",,PT8M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,17425,179,0,35
