kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultLanguage,contentDetails.contentRating.ytRating
youtube#video,vqmpogF9scnt3G-AY4dMMuBHh3A,-dPdoPDAi2g,2020-07-07T10:00:00Z,UCrz0vkmhuAEEVk6EimcnYLQ,DO YOU WANT AMBER HEARD  ?,"my personal thoughts about the dc universe after running a huge dc Facebook page we finally got our wish and we were given Zacks justice league.
in this video i ASK WHAT YOU THINK",https://i.ytimg.com/vi/-dPdoPDAi2g/default.jpg,120,90,https://i.ytimg.com/vi/-dPdoPDAi2g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-dPdoPDAi2g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-dPdoPDAi2g/sddefault.jpg,640.0,480.0,D.C. BEYOND,"['Batman', 'superman', 'wonder woman', 'cyborg', 'dceu', 'dc comics', 'aquaman', 'green arrow', 'flash', 'dc legends']",1,none,DO YOU WANT AMBER HEARD  ?,"my personal thoughts about the dc universe after running a huge dc Facebook page we finally got our wish and we were given Zacks justice league.
in this video i ASK WHAT YOU THINK",en-GB,PT8M56S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,25,0,0,0,,,,,
youtube#video,va2N99noYCUXENIHhd-GktHTbDI,-KuhP_qfF-Y,2021-11-18T16:49:26Z,UCqWYj_tUdUT940lG9D1S1aA,The Joneses Full Movie Facts | Demi Moore | David Duchovny | Amber Heard | Ben Hollingsworth,,https://i.ytimg.com/vi/-KuhP_qfF-Y/default.jpg,120,90,https://i.ytimg.com/vi/-KuhP_qfF-Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-KuhP_qfF-Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-KuhP_qfF-Y/sddefault.jpg,640.0,480.0,Hmm Movies Review,,22,none,The Joneses Full Movie Facts | Demi Moore | David Duchovny | Amber Heard | Ben Hollingsworth,,,PT1H46M4S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,229,2,0,0,,,,,
youtube#video,wUzIqBYUljW3jdgAR2NB-JDq5rc,-uaE0LMt8Ig,2020-08-13T16:00:00Z,UCGDun67wpWMPGAOb_dNraOA,Changing to Amber Electric? Watch this first!,"00:00 - Intro
01:10 - Why switch
04:18 - Amber bills 101
10:38 - Competitor bills
12:30 - Powerwall 2 & Amber
14:30 - Recommendations

SUPPORT
Help support this channel on Patreon. By joining from as little as $2 per month, you early access to news, polls, behind the scenes content, on-air shout-outs, and more. 
https://www.patreon.com/chrisvanderstock

If you’re in the market for a Tesla Model 3, S, or X, consider using my referral code for 1,500 km of free super-charging! https://ts.la/chris39709

SOCIALS
Twitter: @cvanderstock (for my rants and daily musings on random stuff)
Instagram: chris_vanderstock (for the pictures! We're visual creatures)

MUSIC
INOSSI www.soundcloud.com/inossi/

LINKS
Interview with Amber Electric
https://youtu.be/dv6tXU_q8GE

Default Market Offer
https://www.aer.gov.au/retail-markets/retail-guidelines-reviews/retail-electricity-prices-review-determination-of-default-market-offer-prices-2020-21

Comparisons
https://www.powershop.com.au/app/rates/resi/elec/jemena/resi-elec-jemena-shopper-offer-zone6-tariff-all.pdf?v=1

https://www.energyaustralia.com.au/epfs-documents/VIC_ELE_TOPH_PO_PKO_TRU193237MR_CZ6.pdf

https://www.energyaustralia.com.au/epfs-documents/VIC_ELE_TOPH_PO_T5_TRU193246MR_CZ6.pdf

https://www.originenergy.com.au/content/dam/origin/residential/docs/energy-price-fact-sheets/vic/1Jan2020/OR2180489MR.pdf",https://i.ytimg.com/vi/-uaE0LMt8Ig/default.jpg,120,90,https://i.ytimg.com/vi/-uaE0LMt8Ig/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-uaE0LMt8Ig/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-uaE0LMt8Ig/sddefault.jpg,640.0,480.0,Chris Vanderstock,"['technology', 'renewable energy', 'market analysis', 'australia', 'smart home', 'electric vehicles', 'autonomous vehicles', 'house', 'news', 'battery storage', 'disruption', 'tesla', 'EV', 'EVs', 'Electric Cars', 'Chris Vanderstock', 'Tesla automaker', 'Amber electric', 'Amber electricity company', 'Amber bill shock', 'Is Amber cheap?Is Amber expensive', 'Amber', 'Why switch to Amber', 'Amber bills 101', 'Amber compared to competitors', 'Amber and Tesla Powerwall 2', 'Is Amber recommended']",28,none,Changing to Amber Electric? Watch this first!,"00:00 - Intro
01:10 - Why switch
04:18 - Amber bills 101
10:38 - Competitor bills
12:30 - Powerwall 2 & Amber
14:30 - Recommendations

SUPPORT
Help support this channel on Patreon. By joining from as little as $2 per month, you early access to news, polls, behind the scenes content, on-air shout-outs, and more. 
https://www.patreon.com/chrisvanderstock

If you’re in the market for a Tesla Model 3, S, or X, consider using my referral code for 1,500 km of free super-charging! https://ts.la/chris39709

SOCIALS
Twitter: @cvanderstock (for my rants and daily musings on random stuff)
Instagram: chris_vanderstock (for the pictures! We're visual creatures)

MUSIC
INOSSI www.soundcloud.com/inossi/

LINKS
Interview with Amber Electric
https://youtu.be/dv6tXU_q8GE

Default Market Offer
https://www.aer.gov.au/retail-markets/retail-guidelines-reviews/retail-electricity-prices-review-determination-of-default-market-offer-prices-2020-21

Comparisons
https://www.powershop.com.au/app/rates/resi/elec/jemena/resi-elec-jemena-shopper-offer-zone6-tariff-all.pdf?v=1

https://www.energyaustralia.com.au/epfs-documents/VIC_ELE_TOPH_PO_PKO_TRU193237MR_CZ6.pdf

https://www.energyaustralia.com.au/epfs-documents/VIC_ELE_TOPH_PO_T5_TRU193246MR_CZ6.pdf

https://www.originenergy.com.au/content/dam/origin/residential/docs/energy-price-fact-sheets/vic/1Jan2020/OR2180489MR.pdf",en,PT17M2S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2412,112,0,32,https://i.ytimg.com/vi/-uaE0LMt8Ig/maxresdefault.jpg,1280.0,720.0,,
youtube#video,4LQwjsHMMv-jv8PcoL9gpP0R9-8,-xT06x_pcz4,2020-11-03T21:00:00Z,UCfpXRiZPw9mJFDXMe4j33dA,Invincible (Amber) Fight Gear Bag Gloves REVIEW- GREAT BAG GLOVES YOU NEVER KNEW ABOUT!,"Please LIKE and SUBSCRIBE for the latest reviews and updates! 
FOLLOW 
Instagram: https://www.instagram.com/_csquaredboxing/?hl=en
Youtube: https://www.youtube.com/user/csquaredboxing
Facebook: https://www.facebook.com/carlo.rosauro

Thanks for watching my videos and supporting this channel! Whether you're background is Boxing, MMA, or traditional Martial Arts, I hope my reviews help give you the answer your looking for to make informed choices. Whether it be needing to purchase new boxing gloves, headgear, footwear, I'll do my best to bring you my honest take on the equipment I'm using. Cheers to your continued support!

You can find these Invincible Gloves @

https://www.amazon.com/Invincible-Fight-Gear-Gloves-X-Large/dp/B072QZWRK6/ref=sr_1_4?dchild=1&qid=1603989671&sr=8-4&srs=8123701011

MY HAND SIZE FOR REFERENCE
9 1/4 "" Wide from side of index finger to side of pinky finger
8"" Tall from bottom of palm to top of middle finger
11"" Closed Fist Circumference",https://i.ytimg.com/vi/-xT06x_pcz4/default.jpg,120,90,https://i.ytimg.com/vi/-xT06x_pcz4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-xT06x_pcz4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-xT06x_pcz4/sddefault.jpg,640.0,480.0,csquaredboxing,"['best boxing gloves', 'boxing', 'boxing glove', 'boxing glove review', 'boxing headgear', 'boxing review', 'boxing training', 'boxing workout', 'canelo', 'cleto reyes', 'cobra bag', 'cobra reflex bag', 'csquaredboxing', 'fight gear', 'fight gloves', 'fit2box', 'heavy bag', 'home boxing', 'mayweather', 'mma', 'mma gloves', 'pacquiao', 'reflex bag', 'sabas boxing', 'top boxing gloves', 'ufc', 'winning boxing']",17,none,Invincible (Amber) Fight Gear Bag Gloves REVIEW- GREAT BAG GLOVES YOU NEVER KNEW ABOUT!,"Please LIKE and SUBSCRIBE for the latest reviews and updates! 
FOLLOW 
Instagram: https://www.instagram.com/_csquaredboxing/?hl=en
Youtube: https://www.youtube.com/user/csquaredboxing
Facebook: https://www.facebook.com/carlo.rosauro

Thanks for watching my videos and supporting this channel! Whether you're background is Boxing, MMA, or traditional Martial Arts, I hope my reviews help give you the answer your looking for to make informed choices. Whether it be needing to purchase new boxing gloves, headgear, footwear, I'll do my best to bring you my honest take on the equipment I'm using. Cheers to your continued support!

You can find these Invincible Gloves @

https://www.amazon.com/Invincible-Fight-Gear-Gloves-X-Large/dp/B072QZWRK6/ref=sr_1_4?dchild=1&qid=1603989671&sr=8-4&srs=8123701011

MY HAND SIZE FOR REFERENCE
9 1/4 "" Wide from side of index finger to side of pinky finger
8"" Tall from bottom of palm to top of middle finger
11"" Closed Fist Circumference",en,PT12M57S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1674,56,0,37,https://i.ytimg.com/vi/-xT06x_pcz4/maxresdefault.jpg,1280.0,720.0,en,
youtube#video,CFlbgxRLy4VXKsSt8cOo06Koo8s,00MxczMiAKA,2018-10-14T13:57:09Z,UCEehXmLrFxaZDoqsP1E5U-Q,Block Party - Amber Ale Kit review,"Quick review of my first ever homebrew, Block Party - Amber Ale. Had great fun but have skipped out the brewing process as there's much better videos than I could make on the subject.",https://i.ytimg.com/vi/00MxczMiAKA/default.jpg,120,90,https://i.ytimg.com/vi/00MxczMiAKA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/00MxczMiAKA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/00MxczMiAKA/sddefault.jpg,640.0,480.0,Alex Rees,"['Block Party Amber Ale', 'Home Brewing', 'Homebrew kit review', 'Homebrew review']",1,none,Block Party - Amber Ale Kit review,"Quick review of my first ever homebrew, Block Party - Amber Ale. Had great fun but have skipped out the brewing process as there's much better videos than I could make on the subject.",,PT3M51S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1509,21,0,6,,,,,
youtube#video,MecfA03H3KO4n5wRYdtSfPw_eYM,0ce6imokLp0,2012-12-17T12:10:50Z,UCo56zRXYmLNz3VyAaJYcIxg,Prada Amber Pour Homme Intense Review,"My take on this flanker of Prada Amber Pour Homme.

Please subscribe to my channel if you haven’t already:
➤ https://www.youtube.com/user/coachrob619?sub_confirmation=1 

Share this video:
➤ https://youtu.be/0ce6imokLp0

Purchase this Fragrance:
➤ http://amzn.to/2stCQpi

Like my Rob Reviews page on Facebook ➝ https://www.facebook.com/fragrancereviews 

Check me out on Instagram! ➝ https://www.instagram.com/coachrob619/ 

Contact me: Coachrob619@gmail.com
Mailing Address: P.O. Box 600603 San Diego, CA 92160",https://i.ytimg.com/vi/0ce6imokLp0/default.jpg,120,90,https://i.ytimg.com/vi/0ce6imokLp0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0ce6imokLp0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0ce6imokLp0/sddefault.jpg,640.0,480.0,CoachRob619,"['Prada Amber Pour Homme Intense', 'Prada Amber Intense', 'Prada', 'frangrance review', 'prada cologne', 'prada fragrance', 'prada amber pour homme intense review', 'prada amber pour homme review']",26,none,Prada Amber Pour Homme Intense Review,"My take on this flanker of Prada Amber Pour Homme.

Please subscribe to my channel if you haven’t already:
➤ https://www.youtube.com/user/coachrob619?sub_confirmation=1 

Share this video:
➤ https://youtu.be/0ce6imokLp0

Purchase this Fragrance:
➤ http://amzn.to/2stCQpi

Like my Rob Reviews page on Facebook ➝ https://www.facebook.com/fragrancereviews 

Check me out on Instagram! ➝ https://www.instagram.com/coachrob619/ 

Contact me: Coachrob619@gmail.com
Mailing Address: P.O. Box 600603 San Diego, CA 92160",,PT9M54S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,14061,200,0,41,https://i.ytimg.com/vi/0ce6imokLp0/maxresdefault.jpg,1280.0,720.0,,
youtube#video,ak-ezegc0Y693MQ3rhWxLqiYMOQ,1Jp2EuW25i8,2016-08-18T23:20:57Z,UCJpg1YJKIHKsBjbN4cNZ0Lg,Johnny Depp Goes Off on Amber Heard...Hurls Wine Glass Video Review,Video review of the viral TMZ footage of the Depp/heard drama. Enjoy!,https://i.ytimg.com/vi/1Jp2EuW25i8/default.jpg,120,90,https://i.ytimg.com/vi/1Jp2EuW25i8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1Jp2EuW25i8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1Jp2EuW25i8/sddefault.jpg,640.0,480.0,CLOSE2THAEDGE TV,"['Viral', 'Johnny Depp', 'Amber Heard', 'Johnny Depp Goes Off on Amber Heard...Hurls Wine Glass', 'TMZ', 'Reaction', 'Video Review', 'Masks', 'costume', 'comedy', 'fails', 'Cars', 'interesting video']",22,none,Johnny Depp Goes Off on Amber Heard...Hurls Wine Glass Video Review,Video review of the viral TMZ footage of the Depp/heard drama. Enjoy!,,PT10M34S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,175,2,0,0,https://i.ytimg.com/vi/1Jp2EuW25i8/maxresdefault.jpg,1280.0,720.0,,
youtube#video,aRtSK7zBdSreACJ6doRjiskQN0Q,27BmmROPtfE,2015-06-17T18:30:20Z,UCIoOAUDFs-6PpwPQ1Hfn-Ow,"Montale ""Blue Amber"" Fragrance Review","The next review in a long line of reviews from this brand. I'm slowly getting to know them, and this one surprised me. I was thankful for the lack of Oud. woohoo!",https://i.ytimg.com/vi/27BmmROPtfE/default.jpg,120,90,https://i.ytimg.com/vi/27BmmROPtfE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/27BmmROPtfE/hqdefault.jpg,480,360,,,,ouch110 Fragrance Reviews,"['Blue Amber', 'montale', 'ouch110', 'fragrance', 'review', 'perfume', 'scent', 'youtube', 'million subscriber wish', 'bergamot', 'geranium', 'coriander', 'patchouli', 'vanilla', 'amber', 'mascuilne', 'masculine', 'smell', 'niche perfume', 'london accent', 'british accent', 'british boy', 'vetiver']",22,none,"Montale ""Blue Amber"" Fragrance Review","The next review in a long line of reviews from this brand. I'm slowly getting to know them, and this one surprised me. I was thankful for the lack of Oud. woohoo!",,PT7M39S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,6121,64,0,31,,,,,
youtube#video,O1LT3CftV4Tr6nrzajs7aoGcYqQ,2FLC-4O5DIg,2018-12-22T18:25:03Z,UC_5tK85Zk_sq5XHx2wBUPnA,"Aquaman - Spoiler Free Review | Jason Momoa, Amber Heard, James Wan | Bangladeshi Review","Aquaman - Movie Review |  No Spoiler
Feel free to watch

Disclaimer:
All Images and clips are used in a fair way here. Copyright belongs to DC,  Warner Bros. Entertainment & other original creators.

#Aquaman the most anticipated & only #DC movie in this year. Here is the non spoiler review of the Aquaman.

Bankground Music:
Compass by - Kubbi https://soundcloud.com/kubbi
Creative Commons — Attribution-ShareAlike 3.0 Unported— CC BY-SA 3.0
http://creativecommons.org/licenses/b...
Music provided by Audio Library https://youtu.be/dDGFWJ1hAow

Follow us on
Facebook: https://www.facebook.com/bengaliaf
Instagram: https://www.instagram.com/bengali_af
Twitter: https://twitter.com/bengali_af",https://i.ytimg.com/vi/2FLC-4O5DIg/default.jpg,120,90,https://i.ytimg.com/vi/2FLC-4O5DIg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2FLC-4O5DIg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2FLC-4O5DIg/sddefault.jpg,640.0,480.0,Bengali AF,"['Aquaman', 'DC', 'Aquaman movie review', 'Aquaman movie spoiler free review', 'Jason Momoa', 'Amber heard', 'James Wan', 'Nicole Kidman', 'Patrick Wilson', 'Willem Dafoe', 'DC movie', 'Best movie of 2018', 'DCEU', 'DC Universe', 'Movie review', 'review', 'Superman']",24,none,"Aquaman - Spoiler Free Review | Jason Momoa, Amber Heard, James Wan | Bangladeshi Review","Aquaman - Movie Review |  No Spoiler
Feel free to watch

Disclaimer:
All Images and clips are used in a fair way here. Copyright belongs to DC,  Warner Bros. Entertainment & other original creators.

#Aquaman the most anticipated & only #DC movie in this year. Here is the non spoiler review of the Aquaman.

Bankground Music:
Compass by - Kubbi https://soundcloud.com/kubbi
Creative Commons — Attribution-ShareAlike 3.0 Unported— CC BY-SA 3.0
http://creativecommons.org/licenses/b...
Music provided by Audio Library https://youtu.be/dDGFWJ1hAow

Follow us on
Facebook: https://www.facebook.com/bengaliaf
Instagram: https://www.instagram.com/bengali_af
Twitter: https://twitter.com/bengali_af",en,PT3M46S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,902,74,0,8,https://i.ytimg.com/vi/2FLC-4O5DIg/maxresdefault.jpg,1280.0,720.0,,
youtube#video,pTTLiiBSo3JxWPaVE_ubZKtavLo,4dX1B2PDpps,2014-09-09T00:50:22Z,UClyWSky_VqzWn44Jc-Ux25A,My Review of The Art of Cure Baltic Amber Teething Necklace,"""This is Romance"" Kevin MacLeod (incompetech.com)

""This Is Romance"" Kevin MacLeod (incompetech.com) 
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

The Art of Cure 
http://shop.theartofcure.net/

About Certified Authentic Baltic Amber 
http://shop.theartofcure.net/certified-authentic-baltic-amber/

I purchased at Amazon
http://www.amazon.com/The-Art-CureTM-KNOTTED-Marble-/dp/B00AKFZ0X2/ref=sr_1_8?ie=UTF8&qid=1410215885&sr=8-8&keywords=teething+necklace

THANKS FOR WATCHING AND BE SURE TO SUBSCRIBE FOR MORE FAMILY AND MOMMY VIDEOS!!!",https://i.ytimg.com/vi/4dX1B2PDpps/default.jpg,120,90,https://i.ytimg.com/vi/4dX1B2PDpps/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4dX1B2PDpps/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4dX1B2PDpps/sddefault.jpg,640.0,480.0,I Am Nikki Nicole,"['balticamber', 'baltic', 'amber', 'teething', 'infant', 'newborn', 'baby', 'mommy', 'pregnancy']",22,none,My Review of The Art of Cure Baltic Amber Teething Necklace,"""This is Romance"" Kevin MacLeod (incompetech.com)

""This Is Romance"" Kevin MacLeod (incompetech.com) 
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

The Art of Cure 
http://shop.theartofcure.net/

About Certified Authentic Baltic Amber 
http://shop.theartofcure.net/certified-authentic-baltic-amber/

I purchased at Amazon
http://www.amazon.com/The-Art-CureTM-KNOTTED-Marble-/dp/B00AKFZ0X2/ref=sr_1_8?ie=UTF8&qid=1410215885&sr=8-8&keywords=teething+necklace

THANKS FOR WATCHING AND BE SURE TO SUBSCRIBE FOR MORE FAMILY AND MOMMY VIDEOS!!!",,PT7M31S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4668,25,0,7,https://i.ytimg.com/vi/4dX1B2PDpps/maxresdefault.jpg,1280.0,720.0,,
