kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.regionRestriction.blocked
youtube#video,16e_FgvqteCc7HgAPR26VJ21tiI,-iIZjZhnS40,2017-09-25T00:42:34Z,UCEcWqnK5ufQ3sUonColo2Tw,"Buying Chiapas Amber in Mexico, Tulum, Rocks and Minerals","I speak about buying Chiapas Amber in Mexico, its formation, testing for authenticity and some places in tulum where you can buy it along with other rocks and minerals",https://i.ytimg.com/vi/-iIZjZhnS40/default.jpg,120,90,https://i.ytimg.com/vi/-iIZjZhnS40/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-iIZjZhnS40/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-iIZjZhnS40/sddefault.jpg,640.0,480.0,Caver461,"['Chiapas', 'Chiapas amber', 'amber', 'buying amber', 'Mexico', 'tulum', 'Rocks and minerals', 'organic gemstones', 'organic', 'jewlery', 'mexico rocks and minerals']",27,none,"Buying Chiapas Amber in Mexico, Tulum, Rocks and Minerals","I speak about buying Chiapas Amber in Mexico, its formation, testing for authenticity and some places in tulum where you can buy it along with other rocks and minerals",PT11M28S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,7044,155,0,20,,,,,,
youtube#video,CNH3aMsvFJEIoaGNaXK1heW1g9Y,-XE0deQHWXk,2021-02-04T17:30:25Z,UCj8fSVDJwXy2uLm_8gZjBnQ,Amber espera convertirse en 2021 en el estudio de videojuegos más grande de México,,https://i.ytimg.com/vi/-XE0deQHWXk/default.jpg,120,90,https://i.ytimg.com/vi/-XE0deQHWXk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-XE0deQHWXk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-XE0deQHWXk/sddefault.jpg,640.0,480.0,Canal 44,"['canal 44', 'udgtv', 'udg', 'universidad de guadalajara']",27,none,Amber espera convertirse en 2021 en el estudio de videojuegos más grande de México,,PT3M2S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,228,13,0,0,https://i.ytimg.com/vi/-XE0deQHWXk/maxresdefault.jpg,1280.0,720.0,es-419,,
youtube#video,4GeKQwk9IiteWVYQJb5LvD94C-Y,2m8k46njvdg,2014-03-13T18:24:53Z,UCFQV8wUOJLiPOcU3wPYnLew,Amber Heard Esquire Mexico Covershoot (2014),"Behind the scene of Amber Heard's Esquire Mexico covershoot.

Pictures: John Russo
Year: March 2014
Uploaded by http://www.aheardfan.com/",https://i.ytimg.com/vi/2m8k46njvdg/default.jpg,120,90,https://i.ytimg.com/vi/2m8k46njvdg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2m8k46njvdg/hqdefault.jpg,480,360,,,,Axelle Simon,"['Amber Heard', 'Amber Heard Esquire Mexico']",22,none,Amber Heard Esquire Mexico Covershoot (2014),"Behind the scene of Amber Heard's Esquire Mexico covershoot.

Pictures: John Russo
Year: March 2014
Uploaded by http://www.aheardfan.com/",PT1M38S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,6160,34,0,3,,,,,,
youtube#video,7U7-WureFJLlfLW-ODqqKZh_W7g,34mHcQvCtMg,2020-06-17T15:14:04Z,UCjQglRblUgJa2jshLaQSIjA,PABLO ALBORAN CONFIESA SER HOMOSEXUAL! JOHNNY DEPP Y AMBER HEARD SIN ABOGADOS!? CHINA E INDIA!,"👉🏻Sal en mi videos!: https://tus10segundos.com/collections/creadores/products/candres-peredo
🔥Canal Personal de Vlogs!: https://www.youtube.com/channel/UCpSrKp-GKp1H_T-w2BLy52g
┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅
¡Nos vemos en internet! Estoy como @candresperedo más detalles:

❅Canal: https://www.youtube.com/candresperedo
❅Twitter: http://twitter.com/candresperedo
❅Instagram: http://instagram.com/candresperedo
❅Facebook: https://www.facebook.com/candresperedo
❅Contacto directo: candresperedo@gmail.com
❅Snapchat: candresperedo
❅Página Web: https://www.candresperedo.com
┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅
#PabloAlboran #JohnnyDepp #AmberHeard",https://i.ytimg.com/vi/34mHcQvCtMg/default.jpg,120,90,https://i.ytimg.com/vi/34mHcQvCtMg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/34mHcQvCtMg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/34mHcQvCtMg/sddefault.jpg,640.0,480.0,Candres Peredo,"['pablo alboran', 'pablo alboran y camilo', 'pablo alboran gay', 'pablo alboran sale del closet', 'pablo alboran homosexual', 'candres', 'candres peredo', 'rosalia', 'camilo', 'china e india', 'que paso con china', 'que pasa en india', 'johnny depp', 'JOHNNY DEPP Y AMBER HEARD', 'que paso con johnny depp 2020', 'johnny depp y amber heard', 'amber heard johnny depp', 'amber heard despedida', 'camilo y pablo alboran', 'camilo y rosalia', 'pablo alborán', 'pablo alboran homesick']",22,none,PABLO ALBORAN CONFIESA SER HOMOSEXUAL! JOHNNY DEPP Y AMBER HEARD SIN ABOGADOS!? CHINA E INDIA!,"👉🏻Sal en mi videos!: https://tus10segundos.com/collections/creadores/products/candres-peredo
🔥Canal Personal de Vlogs!: https://www.youtube.com/channel/UCpSrKp-GKp1H_T-w2BLy52g
┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅
¡Nos vemos en internet! Estoy como @candresperedo más detalles:

❅Canal: https://www.youtube.com/candresperedo
❅Twitter: http://twitter.com/candresperedo
❅Instagram: http://instagram.com/candresperedo
❅Facebook: https://www.facebook.com/candresperedo
❅Contacto directo: candresperedo@gmail.com
❅Snapchat: candresperedo
❅Página Web: https://www.candresperedo.com
┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅
#PabloAlboran #JohnnyDepp #AmberHeard",PT6M50S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,167634,9789,0,680,https://i.ytimg.com/vi/34mHcQvCtMg/maxresdefault.jpg,1280.0,720.0,es-419,,
youtube#video,vdD9uW2jZxsXlWzDpCJPub3nSNs,3SZGt4SWQsI,2014-05-13T17:08:39Z,UCNT4ALy6mZOZKfjLZUGtiXQ,Amber Heard,La linda actriz en exclusiva para Esquire.,https://i.ytimg.com/vi/3SZGt4SWQsI/default.jpg,120,90,https://i.ytimg.com/vi/3SZGt4SWQsI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3SZGt4SWQsI/hqdefault.jpg,480,360,,,,Esquire Latam,"['Amber Heard (TV Actor)', 'Esquire (Magazine)', 'Television (Invention)']",19,none,Amber Heard,La linda actriz en exclusiva para Esquire.,PT1M38S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,18459,157,0,5,,,,,,
youtube#video,OTj4KCI_s7J-kQWzh4nesYpLftA,4Lhr9jMRaOQ,2020-11-17T16:52:17Z,UCtiW7p40wIhr2wZBxlq7Anw,Japón Para Llevar #516 - Funen a Amber Heard | HiTOKEN Podcasts,"Mencos, Any y Nacho madrugaron en domingo para traer un nuevo episodio con bastantes noticias como más records batidos por la película de Kimetsu no Yaiba, el lanzamiento de Tenki no Ko en México, lo que viene para Nanatsu no Taisai y series clásicas en YouTube. También platicamos un poco de la nueva generación de consolas que ya llego, el secuestro de Ubisoft Montreal y al parecer la serie de Halo sigue viva. Que hablando de series, ya hay fecha de WandaVision y más detalles de lo que pasará con Creaturas Fantásticas ahora sin Johnny Depp.

Recuerden que ya tenemos patrocinador en quierohablarjapones.com

Apoyanos en Patreon:
http://patreon.com/hitokenmedia

Sigue a HiTOKEN:
Síguenos: 
http://facebook.com/hitokenmedia
http://twitter.com/hitokenmedia
http://instagram.com/hitokenmedia
http://twitch.tv/hitokenmedia

Geek and Fun: 
https://www.youtube.com/channel/UCWPBFSR4T_7UIfjgmi3z8cg",https://i.ytimg.com/vi/4Lhr9jMRaOQ/default.jpg,120,90,https://i.ytimg.com/vi/4Lhr9jMRaOQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4Lhr9jMRaOQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4Lhr9jMRaOQ/sddefault.jpg,640.0,480.0,HiTOKEN,"['amber heard', 'anime podcast', 'podcast de anime en español', 'johnny depp', 'podcast de videojuegos en español', 'kimetsu no yaiba movie', 'nanatsu no taisai', 'anilog', 'guardians of the galaxy', 'wonder woman 1984', 'wandavision', 'halo serie', 'ubisoft montreal secuestro', 'playstation 5', 'xbox series x']",24,none,Japón Para Llevar #516 - Funen a Amber Heard | HiTOKEN Podcasts,"Mencos, Any y Nacho madrugaron en domingo para traer un nuevo episodio con bastantes noticias como más records batidos por la película de Kimetsu no Yaiba, el lanzamiento de Tenki no Ko en México, lo que viene para Nanatsu no Taisai y series clásicas en YouTube. También platicamos un poco de la nueva generación de consolas que ya llego, el secuestro de Ubisoft Montreal y al parecer la serie de Halo sigue viva. Que hablando de series, ya hay fecha de WandaVision y más detalles de lo que pasará con Creaturas Fantásticas ahora sin Johnny Depp.

Recuerden que ya tenemos patrocinador en quierohablarjapones.com

Apoyanos en Patreon:
http://patreon.com/hitokenmedia

Sigue a HiTOKEN:
Síguenos: 
http://facebook.com/hitokenmedia
http://twitter.com/hitokenmedia
http://instagram.com/hitokenmedia
http://twitch.tv/hitokenmedia

Geek and Fun: 
https://www.youtube.com/channel/UCWPBFSR4T_7UIfjgmi3z8cg",PT1H20M33S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,151,15,0,0,https://i.ytimg.com/vi/4Lhr9jMRaOQ/maxresdefault.jpg,1280.0,720.0,es-419,,
youtube#video,X6QW875X-TYFDyvw8Vlu_JsoM4I,5UMXZUjpYPQ,2019-02-20T10:14:18Z,UCPrv4cfAAVTLVsbG0MsvFpA,"Amber Heard firma unas fotos a un fan en las que, en realidad, aparecía Amaia Salamanca","La actriz Amber Heard se tomó con humor que un fan le diera para firmar unas fotos de una actriz que no era ella: era Amaia Salmanca 
++++++++++++++++++++++++++++++++++++ 
Subscribe : https://goo.gl/C679By 
Twitter : https://goo.gl/f6P68c 
Website : http://spanishnews247.cf 
Facebook : https://goo.gl/ETm97W 
++++++++++++++++++++++++++++++++++++ 
Thanks For Watching 
Like - Share - Comment and Subscribe Channel",https://i.ytimg.com/vi/5UMXZUjpYPQ/default.jpg,120,90,https://i.ytimg.com/vi/5UMXZUjpYPQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5UMXZUjpYPQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5UMXZUjpYPQ/sddefault.jpg,640.0,480.0,Noticias Español 24/7,"['Noticias Español 24/7', 'Noticias Español', 'Spanish news', 'Amber Heard', 'Javier Bardem', 'Jeffrey Dean Morgan', 'Álex Ubago', 'David Schwimmer', 'celebridad', 'real estate', 'últimas noticias']",25,none,"Amber Heard firma unas fotos a un fan en las que, en realidad, aparecía Amaia Salamanca","La actriz Amber Heard se tomó con humor que un fan le diera para firmar unas fotos de una actriz que no era ella: era Amaia Salmanca 
++++++++++++++++++++++++++++++++++++ 
Subscribe : https://goo.gl/C679By 
Twitter : https://goo.gl/f6P68c 
Website : http://spanishnews247.cf 
Facebook : https://goo.gl/ETm97W 
++++++++++++++++++++++++++++++++++++ 
Thanks For Watching 
Like - Share - Comment and Subscribe Channel",PT3M2S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,77,1,0,0,https://i.ytimg.com/vi/5UMXZUjpYPQ/maxresdefault.jpg,1280.0,720.0,es,,
youtube#video,wD8-TtTJXfZ_vGKyYtKiR9ZVODc,65UiDS9QUtE,2021-09-07T04:22:37Z,UCdJs9_NFqHogYsGl-IVbMoQ,‘Aquaman 2’ está sufriendo amenazas de boicot por el papel que aún tiene Amber Heard,"#Noticias en #ElVIP de #24Noticias
Presentado por https://elviptv.com https://alchilenews.com y https://bancomec.com",https://i.ytimg.com/vi/65UiDS9QUtE/default.jpg,120,90,https://i.ytimg.com/vi/65UiDS9QUtE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/65UiDS9QUtE/hqdefault.jpg,480,360,,,,VIPYouNow,"['Noticias', 'News', 'VIP', '24 Noticias', '24 horas', 'México', 'Latinoamerica', 'Hispanos', 'Al chile', 'El VIP tv', 'Español', 'Actualidad', 'ElVIP', 'Al Chile Noticias', 'Bancomec', 'NacoFino']",25,none,‘Aquaman 2’ está sufriendo amenazas de boicot por el papel que aún tiene Amber Heard,"#Noticias en #ElVIP de #24Noticias
Presentado por https://elviptv.com https://alchilenews.com y https://bancomec.com",PT1M35S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,14,0,0,0,,,,es-MX,es,
youtube#video,--1AUoje7ZW81ze8NjZ59nknkH0,8A5XwmNrfJM,2021-09-24T00:11:19Z,UCxjC_VVez3w8Uyh7LWPnkXA,AMBER alert issued for four Navajo Nation children in New Mexico,"The Navajo Division of Public Safety issued an AMBER alert Thursday for four missing children out of New Mexico.

Turquoise Sky Peshlakai, 10 years old
Rain Cloud Peshlakai, 2 years old
Rumaldo Peshlakai, Jr., 7 years old
Coral Dawn Peshlakai, 5 years old

The children are believed to have been taken by their father, Rumaldo Peshlakai. He is about 5 feet, 9 inches tall and weighs about 210 pounds. The photo above is not current, he currently has a bald head and goatee.

FULL STORY - https://www.fox13now.com/news/local-news/navajo-division-of-public-safety-issues-amber-alert-for-four-missing-children-out-of-new-mexico

More Utah news: https://www.fox13now.com/

Subscribe: youtube.com/user/fox13newsutah
Like FOX 13 News on Facebook: https://bit.ly/3ydzNlD
Follow on Twitter: https://bit.ly/3kraqI8
Follow on Instagram: https://bit.ly/2XQc4eJ

Subscribe to FOX 13 Newsletters to receive breaking news, weather, and daily headlines from around Utah right in your inbox: https://bit.ly/3B9heku",https://i.ytimg.com/vi/8A5XwmNrfJM/default.jpg,120,90,https://i.ytimg.com/vi/8A5XwmNrfJM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8A5XwmNrfJM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8A5XwmNrfJM/sddefault.jpg,640.0,480.0,FOX 13 News Utah,"['Navajo Division of Public Safety', 'Rumaldo Peshlakai', 'amber alert', 'children', 'navajo nation', 'new mexico', 'news', 'utah news']",25,none,AMBER alert issued for four Navajo Nation children in New Mexico,"The Navajo Division of Public Safety issued an AMBER alert Thursday for four missing children out of New Mexico.

Turquoise Sky Peshlakai, 10 years old
Rain Cloud Peshlakai, 2 years old
Rumaldo Peshlakai, Jr., 7 years old
Coral Dawn Peshlakai, 5 years old

The children are believed to have been taken by their father, Rumaldo Peshlakai. He is about 5 feet, 9 inches tall and weighs about 210 pounds. The photo above is not current, he currently has a bald head and goatee.

FULL STORY - https://www.fox13now.com/news/local-news/navajo-division-of-public-safety-issues-amber-alert-for-four-missing-children-out-of-new-mexico

More Utah news: https://www.fox13now.com/

Subscribe: youtube.com/user/fox13newsutah
Like FOX 13 News on Facebook: https://bit.ly/3ydzNlD
Follow on Twitter: https://bit.ly/3kraqI8
Follow on Instagram: https://bit.ly/2XQc4eJ

Subscribe to FOX 13 Newsletters to receive breaking news, weather, and daily headlines from around Utah right in your inbox: https://bit.ly/3B9heku",PT27S,2d,hd,true,False,rectangular,processed,public,youtube,True,True,False,2073,43,0,15,https://i.ytimg.com/vi/8A5XwmNrfJM/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,ZHDT9JbXxw0_SgkOs9t54QLh4rA,CzrUnLeU8gE,2021-02-25T23:04:10Z,UCRCENRlLP4nB49QNnwsjnZA,Amber Heard quedaría fuera de Aquaman 2,"#NOTICIAS #DEL #MUNDO

Propiedad de: NOTICIAS DEL MUNDO.

🆂🆄🆂🅲🆁🅸🅱🅴🆃🅴 🅰🅻  🅲🅰🅽🅰🅻",https://i.ytimg.com/vi/CzrUnLeU8gE/default.jpg,120,90,https://i.ytimg.com/vi/CzrUnLeU8gE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CzrUnLeU8gE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CzrUnLeU8gE/sddefault.jpg,640.0,480.0,NOTICIAS DEL MUNDO,"['NOTICIAS INTERNACIONALES', 'NOTICIAS NACIONALES', 'ENTRETENIMIENTO', 'FARANDULA TV', 'TV Y NOVELAS', 'ESTADOS UNIDOS', 'COLOR VISION', 'NOTICIAS DE ULTIMAS HORA', 'LO MAS VIRALES', 'MEXICO UNIVISION', 'TV NOTAS', 'UNION LATINA', 'POPULARE EN YOUTUBE']",24,none,Amber Heard quedaría fuera de Aquaman 2,"#NOTICIAS #DEL #MUNDO

Propiedad de: NOTICIAS DEL MUNDO.

🆂🆄🆂🅲🆁🅸🅱🅴🆃🅴 🅰🅻  🅲🅰🅽🅰🅻",PT1M30S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,8,,0,0,,,,es,,
