kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.contentRating.ytRating
youtube#video,XmyxtPSl-hSGsXNDqAdvbxvJ36o,0YJflrxxU10,2021-01-10T19:21:26Z,UC3_iGIS4TpjjyWi0t1_Xy8A,Amber Heard 'cumplirá' su promesa,"""Amber ya se ha encargado de donar números muy elevados a fundaciones caritativas y su intención pasa por seguir contribuyendo en la medida de lo posible para, eventualmente, cumplir su promesa del todo. Sin embargo, los retrasos que se han producido hasta ahora se deben a que el señor Depp le ha vuelto a demandar en varias ocasiones. En consecuencia, Amber no ha tenido más remedio que gastar #millonesdedólares para defenderse de las graves y falsas acusaciones vertidas contra ella"", reza el comunicado que su abogada principal, Elaine Bredehoft, ha proporcionado al portal de noticias E! News. #AmberHeard #ahiteva",https://i.ytimg.com/vi/0YJflrxxU10/default.jpg,120,90,https://i.ytimg.com/vi/0YJflrxxU10/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0YJflrxxU10/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0YJflrxxU10/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0YJflrxxU10/maxresdefault.jpg,1280.0,720.0,Adid Nuñez,22,none,Amber Heard 'cumplirá' su promesa,"""Amber ya se ha encargado de donar números muy elevados a fundaciones caritativas y su intención pasa por seguir contribuyendo en la medida de lo posible para, eventualmente, cumplir su promesa del todo. Sin embargo, los retrasos que se han producido hasta ahora se deben a que el señor Depp le ha vuelto a demandar en varias ocasiones. En consecuencia, Amber no ha tenido más remedio que gastar #millonesdedólares para defenderse de las graves y falsas acusaciones vertidas contra ella"", reza el comunicado que su abogada principal, Elaine Bredehoft, ha proporcionado al portal de noticias E! News. #AmberHeard #ahiteva",PT2M50S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,20,3,0,1,,,,
youtube#video,xJuMVTCHHM8_4iuaqZ0WlJNLSIs,1QRWcVpmR_4,2021-01-19T10:38:41Z,UChcBzmPt3F3Z2GtinkctqXw,Amber Heard lied about donating her money to charity,You can follow me at: https://www.instagram.com/ghetto_jinn/,https://i.ytimg.com/vi/1QRWcVpmR_4/default.jpg,120,90,https://i.ytimg.com/vi/1QRWcVpmR_4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1QRWcVpmR_4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1QRWcVpmR_4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1QRWcVpmR_4/maxresdefault.jpg,1280.0,720.0,Shuja Hasan,22,none,Amber Heard lied about donating her money to charity,You can follow me at: https://www.instagram.com/ghetto_jinn/,PT6M44S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,256,19,0,4,"['Amber Heard', 'Jhonny Depp', 'Amber Heard vs Jhonny Depp', 'divorce', ""Jhonny Depp's divorce"", 'Jhonny lost the case', 'Amber lied', 'Amber Heard lied', 'Amber lied about her charity']",en,,
youtube#video,gwJgu0BRYZlupEzNPxrtm6bVtgY,1UqZWZGEHPw,2020-09-09T19:14:35Z,UCrOUeYHZhTQ4jhvIDNMrCdg,Victorlaszlo88 dissa Amber Heard,#Victorlaszlo88 oggi un video serio di victorlaszlo che si mette a fissare la moglie di Johnny Depp perché lo ha picchiato minacciato e insultato infatti si sta creando una questione tutta attorno al loro divorzio guardate il video per capire bene,https://i.ytimg.com/vi/1UqZWZGEHPw/default.jpg,120,90,https://i.ytimg.com/vi/1UqZWZGEHPw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1UqZWZGEHPw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1UqZWZGEHPw/sddefault.jpg,640.0,480.0,,,,re nabbone,23,none,Victorlaszlo88 dissa Amber Heard,#Victorlaszlo88 oggi un video serio di victorlaszlo che si mette a fissare la moglie di Johnny Depp perché lo ha picchiato minacciato e insultato infatti si sta creando una questione tutta attorno al loro divorzio guardate il video per capire bene,PT1M55S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,158,7,0,0,,it,,
youtube#video,UkNz0WZwDk6LDuoPv8b1ilIYuxM,29c3_jRsL8o,2020-12-29T14:45:00Z,UC3uyGOSfgQFpBK7KI6qAgdA,EX ASISTENTE DE AMBER HEARD-JOHNNY DEPP LO CUENTA TODO,"IMPACTANTES DECLARACIONES DE LA QUE FUERA LA ASISTENTE DE AMBER HEARD Y JOHNNY DEPP

ENLACE NOTICIA https://as.com/tikitakas/2020/03/11/portada/1583938782_250012.html",https://i.ytimg.com/vi/29c3_jRsL8o/default.jpg,120,90,https://i.ytimg.com/vi/29c3_jRsL8o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/29c3_jRsL8o/hqdefault.jpg,480,360,,,,,,,SkayWol,1,none,EX ASISTENTE DE AMBER HEARD-JOHNNY DEPP LO CUENTA TODO,"IMPACTANTES DECLARACIONES DE LA QUE FUERA LA ASISTENTE DE AMBER HEARD Y JOHNNY DEPP

ENLACE NOTICIA https://as.com/tikitakas/2020/03/11/portada/1583938782_250012.html",PT5M37S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,23,3,0,0,,,,
youtube#video,2XauXL11vU4zOOaG7OBs4qIARpQ,2Nlwvko7574,2021-08-08T20:15:09Z,UCO6cSNvOaDs-kjALLQLNhQw,Jason Momoa Congratulated Amber Heard on Welcoming her new baby | Flixet,"In this video, we are going to share what jason momoa has to say about amber's new baby. 

SUBSCRIBE FOR MORE : http://bit.ly/32rc7vI
____________________________________________

Game of Thrones actor Jason Momoa recently congratulated his Aquaman co-star Amber Heard for welcoming a baby! If she didn't know, earlier this week, the 35-year-old actress announced that she recently welcomed her first child, her daughter Oonagh, She revealed that she was able to do that with the help of a surrogate.

Music In This Video : 

Track: Odessa — LiQWYD & Scandinavianz
Music provided by Audio Library Plus
Watch: https://youtu.be/jNy-Dp3lgcg",https://i.ytimg.com/vi/2Nlwvko7574/default.jpg,120,90,https://i.ytimg.com/vi/2Nlwvko7574/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2Nlwvko7574/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2Nlwvko7574/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2Nlwvko7574/maxresdefault.jpg,1280.0,720.0,Flixet,24,none,Jason Momoa Congratulated Amber Heard on Welcoming her new baby | Flixet,"In this video, we are going to share what jason momoa has to say about amber's new baby. 

SUBSCRIBE FOR MORE : http://bit.ly/32rc7vI
____________________________________________

Game of Thrones actor Jason Momoa recently congratulated his Aquaman co-star Amber Heard for welcoming a baby! If she didn't know, earlier this week, the 35-year-old actress announced that she recently welcomed her first child, her daughter Oonagh, She revealed that she was able to do that with the help of a surrogate.

Music In This Video : 

Track: Odessa — LiQWYD & Scandinavianz
Music provided by Audio Library Plus
Watch: https://youtu.be/jNy-Dp3lgcg",PT2M23S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,195,11,0,8,"['flixet', 'johnny depp', 'amber heard', 'amber heard jason momoa', 'jason momoa on amber heard', 'amber heard new baby', 'amber heard baby', 'amber heard baby father', 'amber heard baby daddy', 'amber heard baby video', 'amber heard baby 2021', 'amber heard jason momoa aquaman', 'marvel', 'comics explained', 'star wars', 'spiderman', 'comic books', 'd23']",,,
youtube#video,2W8rgJX8hnpIUaR_bitQnV5RcoQ,3cr8TKI78DM,2020-12-10T01:46:21Z,UCG2QYlhnYYxksvv6ve11ijw,"🔴 LIVE Johnny Depp vs Amber Heard, With guest Gary Robinson!","Tonight at 6:30 PM Est, Gary Robinson will join me to talk About The Johnny Depp vs Amber Heard case. His thoughts, your thoughts, my thoughts and maybe some songs too.

#justicefordepp
#justiceforjohnnydepp
#closeyourwalletstowb",https://i.ytimg.com/vi/3cr8TKI78DM/default.jpg,120,90,https://i.ytimg.com/vi/3cr8TKI78DM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3cr8TKI78DM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3cr8TKI78DM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3cr8TKI78DM/maxresdefault.jpg,1280.0,720.0,Rob's Rules,24,none,"🔴 LIVE Johnny Depp vs Amber Heard, With guest Gary Robinson!","Tonight at 6:30 PM Est, Gary Robinson will join me to talk About The Johnny Depp vs Amber Heard case. His thoughts, your thoughts, my thoughts and maybe some songs too.

#justicefordepp
#justiceforjohnnydepp
#closeyourwalletstowb",PT2H35S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1942,166,0,67,"['Johnny Depp', 'Amber Heard', 'Johnny Depp vs Amber Heard', 'Johnny Depp UK Libel', 'Johnny Depp Verdict', 'Amber Heard vs Johnny Depp', 'Heard Depp', 'Depp', 'Heard', 'Depp Heard', 'Johnny Depp Videos', 'Johnny Depp UK Trial']",en,,
youtube#video,Qu1ZeKOgU1XDCHxRHKc1Ap9xI_E,55HspYOyzJo,2020-11-07T20:58:53Z,UC4ltvXoxGZobqqduv9iXOWg,NEW DETAILS emerge regarding Judge Nicol and Amber Heard's LEGAL TEAM!,"Hello and welcome to Come Geek Some! For all things Geek, like and subscribe to the channel! 

Please Ignore or flag spam, negative, or hateful comments.  We're here to have a good time.  Thanks everyone, and enjoy :]

If you would like to support the channel and help us grow! 
Donations: https://streamlabs.com/comegeeksome

I'm an avid Adobe Premiere Pro user and have been for quite some time! I would recommend the software to anyone (IF they have the spare money a month)

PS4 player with PC gameplay now and again. Still NOT used to PC gaming!

Interact with us on Twitter! https://twitter.com/ComeGeekSome1
Twitch: https://www.twitch.tv/geeksomegaming",https://i.ytimg.com/vi/55HspYOyzJo/default.jpg,120,90,https://i.ytimg.com/vi/55HspYOyzJo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/55HspYOyzJo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/55HspYOyzJo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/55HspYOyzJo/maxresdefault.jpg,1280.0,720.0,Come Geek Some,24,none,NEW DETAILS emerge regarding Judge Nicol and Amber Heard's LEGAL TEAM!,"Hello and welcome to Come Geek Some! For all things Geek, like and subscribe to the channel! 

Please Ignore or flag spam, negative, or hateful comments.  We're here to have a good time.  Thanks everyone, and enjoy :]

If you would like to support the channel and help us grow! 
Donations: https://streamlabs.com/comegeeksome

I'm an avid Adobe Premiere Pro user and have been for quite some time! I would recommend the software to anyone (IF they have the spare money a month)

PS4 player with PC gameplay now and again. Still NOT used to PC gaming!

Interact with us on Twitter! https://twitter.com/ComeGeekSome1
Twitch: https://www.twitch.tv/geeksomegaming",PT1H47M24S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,8794,745,0,151,"['Come Geek Some', '2020', 'awesome']",,en-GB,
youtube#video,qtIADj2TBladDsUC2h-9G-Hfb_w,5oSZm-vFkso,2020-12-04T15:14:05Z,UCeooMl4PFAM9kLPHvavt2KQ,Amber Heard Movie Released Onto Netflix! But BASHED by Media Source!,Amber Heard Movie Released Onto Netflix! But BASHED by Media Source!,https://i.ytimg.com/vi/5oSZm-vFkso/default.jpg,120,90,https://i.ytimg.com/vi/5oSZm-vFkso/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5oSZm-vFkso/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5oSZm-vFkso/sddefault.jpg,640.0,480.0,,,,eHacker,24,none,Amber Heard Movie Released Onto Netflix! But BASHED by Media Source!,Amber Heard Movie Released Onto Netflix! But BASHED by Media Source!,PT5M38S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,10880,895,0,403,"['amber heard', 'amber heard mera', 'johnny depp', 'amber heard and johnny depp', 'amber heard vs johnny depp', 'justice for johnny depp', 'amber heard instagram', 'amber johnny court', 'johnny depp vs the sun', 'johnny depp instagram', 'amber heard twitter', 'amber heard elon musk', 'defamation', 'netflix']",,,
youtube#video,7_fjH1jwDMYCDE0Ouq-5qJz8lEI,638gyVDm6Ts,2021-01-01T19:46:16Z,UCPJvhlD-Wc6Q0hb0fEjwU_w,amber heard.mp4,bitch,https://i.ytimg.com/vi/638gyVDm6Ts/default.jpg,120,90,https://i.ytimg.com/vi/638gyVDm6Ts/mqdefault.jpg,320,180,https://i.ytimg.com/vi/638gyVDm6Ts/hqdefault.jpg,480,360,https://i.ytimg.com/vi/638gyVDm6Ts/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/638gyVDm6Ts/maxresdefault.jpg,1280.0,720.0,Teapots,22,none,amber heard.mp4,bitch,PT19S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,11,1,0,0,"['meme', 'amber heard', 'amber heard 2020 takeaway', 'adapt and survive', 'bitch', 'dank meme', 'epic meme', 'oh no no', 'my ass']",,,
youtube#video,Uh7v6xKmj-UYWJs19GBPecNLHwQ,66YKncDUe0I,2016-11-11T22:06:19Z,UCBj4l8TsRw3BV3GEH4v9QaA,"One More Time - TRAILER 2016 - Christopher Walken, Amber Heard",,https://i.ytimg.com/vi/66YKncDUe0I/default.jpg,120,90,https://i.ytimg.com/vi/66YKncDUe0I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/66YKncDUe0I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/66YKncDUe0I/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/66YKncDUe0I/maxresdefault.jpg,1280.0,720.0,Artcity21 - MOVIES TRAILERS,22,none,"One More Time - TRAILER 2016 - Christopher Walken, Amber Heard",,PT2M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,0,0,0,,,,
