kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.tags,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.contentRating.ytRating
youtube#video,Ap0HgGGIGbFQFFTyb7qkRQIaXY4,0HWx8yMJBM4,2020-07-12T07:33:10Z,UCKVCuuvtBrtObHzeMvhjLzg,THE BLACK CAT Marvel's  Trailer  Netflix 2021 Amber Heard,,https://i.ytimg.com/vi/0HWx8yMJBM4/default.jpg,120,90,https://i.ytimg.com/vi/0HWx8yMJBM4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0HWx8yMJBM4/hqdefault.jpg,480,360,Ali Raza AKA Deadshot,22,none,THE BLACK CAT Marvel's  Trailer  Netflix 2021 Amber Heard,,PT1M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,45,1,0,0,,,,,,,,,,
youtube#video,JAU1h9JcF9F9AXUdlGYU4EVdOj4,5MAOeEcIj4M,2021-09-05T00:30:11Z,UCY6VB6PidbvVZFwyVmUcvEg,Amber Rose Is Pissed That Her Baby Daddy Cheated On Her With 12 Different Women,"Wongel Zelalem reports on Amber Rose finding out her baby daddy AE cheated on her with 12 different women.

Connect with Wongel👇🏽
https://www.youtube.com/wongelzelalem  (YT Channel)
https://www.instagram.com/wongelzelalem/  (Instagram)

Send Us Entertainment News & Topics
topics@phillipscottshow.com

Support us on Patreon for a minimum of $3 or $5 per month. 
https://www.patreon.com/philscottshow

Subscribe To All Of Our YouTube Channels
https://www.youtube.com/AfricanDiasporaNewsChannel (African Diaspora News Channel)     
https://www.youtube.com/c/AfricanDiasporaNewsInsider (African Diaspora News Insider)
https://www.youtube.com/thephillipscottshow (The Phillip Scott Show)
https://youtube.com/intercontinentalfoodreview (Intercontinental Food Review)

Follow us on Instagram https://www.instagram.com/philscottshow

Follow us on Twitter https://twitter.com/philscottshow

Follow us on Facebook https://www.facebook.com/ThePhillipScottShow

Paypal https://paypal.me/AdviseMediaNetwork

Cash App https://cash.app/$AfricanDiasporaNews

Send Money Orders Donations
2323 Clear Lake City Blvd.
Suite 180 Box 133
Houston, Tx 77062

Purchase merchandise from our store
https://teespring.com/stores/the-phillip-scott-show",https://i.ytimg.com/vi/5MAOeEcIj4M/default.jpg,120,90,https://i.ytimg.com/vi/5MAOeEcIj4M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5MAOeEcIj4M/hqdefault.jpg,480,360,The Phillip Scott Show,24,none,Amber Rose Is Pissed That Her Baby Daddy Cheated On Her With 12 Different Women,"Wongel Zelalem reports on Amber Rose finding out her baby daddy AE cheated on her with 12 different women.

Connect with Wongel👇🏽
https://www.youtube.com/wongelzelalem  (YT Channel)
https://www.instagram.com/wongelzelalem/  (Instagram)

Send Us Entertainment News & Topics
topics@phillipscottshow.com

Support us on Patreon for a minimum of $3 or $5 per month. 
https://www.patreon.com/philscottshow

Subscribe To All Of Our YouTube Channels
https://www.youtube.com/AfricanDiasporaNewsChannel (African Diaspora News Channel)     
https://www.youtube.com/c/AfricanDiasporaNewsInsider (African Diaspora News Insider)
https://www.youtube.com/thephillipscottshow (The Phillip Scott Show)
https://youtube.com/intercontinentalfoodreview (Intercontinental Food Review)

Follow us on Instagram https://www.instagram.com/philscottshow

Follow us on Twitter https://twitter.com/philscottshow

Follow us on Facebook https://www.facebook.com/ThePhillipScottShow

Paypal https://paypal.me/AdviseMediaNetwork

Cash App https://cash.app/$AfricanDiasporaNews

Send Money Orders Donations
2323 Clear Lake City Blvd.
Suite 180 Box 133
Houston, Tx 77062

Purchase merchandise from our store
https://teespring.com/stores/the-phillip-scott-show",PT5M44S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,6571,483,0,106,https://i.ytimg.com/vi/5MAOeEcIj4M/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/5MAOeEcIj4M/maxresdefault.jpg,1280.0,720.0,"['The Phillip Scott Show', 'African Diaspora News Channel', 'celebrity gossip', 'trending', 'hip hop', 'R & B', 'phillip scott', 'african diaspora news insider', 'entertainment', 'entertainment news', 'rumors', 'pop culture', 'blogs', 'comedy', 'hot topics', 'celebrity', 'interviews', 'documentary', 'people', 'podcast', 'gossip', 'twitter', 'black twitter', 'instagram', 'snapchat', 'social media', 'exclusive']",en,,
youtube#video,1RnnpEKsRwKezivJR9xcADoRPUY,BEsIO0V-AuA,2020-02-02T06:59:31Z,UCGi5An_wQvv5Ks9cmWzbJ9A,Amber Heard confiesa las agresiones físicas hacia Johnny Depp. Conversacion sub español.,,https://i.ytimg.com/vi/BEsIO0V-AuA/default.jpg,120,90,https://i.ytimg.com/vi/BEsIO0V-AuA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BEsIO0V-AuA/hqdefault.jpg,480,360,Mai Luzzera,22,none,Amber Heard confiesa las agresiones físicas hacia Johnny Depp. Conversacion sub español.,,PT10M9S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,145533,1222,0,347,,,,,,,,,,
youtube#video,aztmU2TQ2f4BuZDvkV08Rvd0u-E,gHf7j76vbXI,2021-03-08T21:15:00Z,UCIQz7nN_zTfIoSOh7HasYIQ,Johnny Depp REACTION to being CHEATED in Court!,"Johnny Depp REACTION to being CHEATED in Court!
Johnny Depp and Amber Heard have had a lot of drama and controversy and it doesn't seem to stop anytime soon. Both AH and Depp has been going through a lot, but there is no doubt that Depp has suffered the most, since he has been victimized and suffered a huge blow to his personal brand. In this video, we will show how he has reacted to being cheated in court by Amber Heard.

Here on Film Streak we are all about the latest spill in Hollywood! You can rest assure that we will bring you all the latest celebrity drama and gossip especially concerning you favorite actors! We´ll also make sure to keep you updated on the newest movie updates and releases – so if you are interested in anything that happens in Hollywood, you should make sure to stay tuned!  

And there you have it guys! We hope you enjoyed the video! If you did please consider leaving a like and telling us what you though in the comments! 

Here are some links to some of our other videos that you might find interesting as well:
""I LIED"" Amber Heard Apologies to Johnny Depp (IG LIVE VIDEO): https://www.youtube.com/watch?v=pLYxM0ztStg
Emilia Clarke REACTION Before Replacing Amber Heard in Aquaman 2! https://www.youtube.com/watch?v=PYXp9wXHUWw
Johnny Depp OFFICIALLY REHIRED | Back In a New Pirates of the Caribbean 6 Movie? https://www.youtube.com/watch?v=utozMdfngVk
Elon Musk Speaks Against Amber Heard & Defends Johnny Depp!
https://www.youtube.com/watch?v=wOo2BFTRrL4

So, if you are interested in anything related to Hollywood, make sure to smash that subscribe button to see more of our content in the future! 🎬 https://bit.ly/3kzplQd 

#JohnnyDepp #JusticeForJohnny #JohnnyDeppInCourt #AmberHeard #FilmStreak",https://i.ytimg.com/vi/gHf7j76vbXI/default.jpg,120,90,https://i.ytimg.com/vi/gHf7j76vbXI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gHf7j76vbXI/hqdefault.jpg,480,360,Film Streak,24,none,Johnny Depp REACTION to being CHEATED in Court!,"Johnny Depp REACTION to being CHEATED in Court!
Johnny Depp and Amber Heard have had a lot of drama and controversy and it doesn't seem to stop anytime soon. Both AH and Depp has been going through a lot, but there is no doubt that Depp has suffered the most, since he has been victimized and suffered a huge blow to his personal brand. In this video, we will show how he has reacted to being cheated in court by Amber Heard.

Here on Film Streak we are all about the latest spill in Hollywood! You can rest assure that we will bring you all the latest celebrity drama and gossip especially concerning you favorite actors! We´ll also make sure to keep you updated on the newest movie updates and releases – so if you are interested in anything that happens in Hollywood, you should make sure to stay tuned!  

And there you have it guys! We hope you enjoyed the video! If you did please consider leaving a like and telling us what you though in the comments! 

Here are some links to some of our other videos that you might find interesting as well:
""I LIED"" Amber Heard Apologies to Johnny Depp (IG LIVE VIDEO): https://www.youtube.com/watch?v=pLYxM0ztStg
Emilia Clarke REACTION Before Replacing Amber Heard in Aquaman 2! https://www.youtube.com/watch?v=PYXp9wXHUWw
Johnny Depp OFFICIALLY REHIRED | Back In a New Pirates of the Caribbean 6 Movie? https://www.youtube.com/watch?v=utozMdfngVk
Elon Musk Speaks Against Amber Heard & Defends Johnny Depp!
https://www.youtube.com/watch?v=wOo2BFTRrL4

So, if you are interested in anything related to Hollywood, make sure to smash that subscribe button to see more of our content in the future! 🎬 https://bit.ly/3kzplQd 

#JohnnyDepp #JusticeForJohnny #JohnnyDeppInCourt #AmberHeard #FilmStreak",PT11M11S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3741,108,0,25,https://i.ytimg.com/vi/gHf7j76vbXI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/gHf7j76vbXI/maxresdefault.jpg,1280.0,720.0,"['film streak', 'spill', 'celebrity news', 'movies', 'hollywood news', 'entertainment', 'johnny depp in court', 'johnny depp reaction to support', 'amber heard johnny depp reaction', 'johnny depp and amber heard in court', 'court case between amber heard and johnny depp', 'johnny depp', 'johnny depp amber heard', 'amber heard johnny depp', 'johnny depp and amber heard', 'justice for johnny depp', 'johnny depp news', 'clevver news', 'amber heard aquaman 2', 'amber heard fired', 'johnny depp loses case', 'divorce']",en,en,
youtube#video,FJWhD7MoOwQ1vC5KD6qdoZ0MgM4,jIqSH-7kGSE,2020-06-30T19:44:18Z,UCy8YFzbkvYTQOQxjgE3UTBQ,Did Amber Heard Cheat On Johnny Depp? -(Amber Heard Playlist),"https://www.washingtonpost.com/opinions/ive-seen-how-institutions-protect-men-accused-of-abuse-heres-what-we-can-do/2018/12/18/71fd876a-02ed-11e9-b5df-5d3874f1ac36_story.html

https://www.theguardian.com/film/2020/apr/08/amber-heard-to-testify-in-johnny-depp-case-behind-closed-doors",https://i.ytimg.com/vi/jIqSH-7kGSE/default.jpg,120,90,https://i.ytimg.com/vi/jIqSH-7kGSE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jIqSH-7kGSE/hqdefault.jpg,480,360,The Amber Heard Playlist!!,22,none,Did Amber Heard Cheat On Johnny Depp? -(Amber Heard Playlist),"https://www.washingtonpost.com/opinions/ive-seen-how-institutions-protect-men-accused-of-abuse-heres-what-we-can-do/2018/12/18/71fd876a-02ed-11e9-b5df-5d3874f1ac36_story.html

https://www.theguardian.com/film/2020/apr/08/amber-heard-to-testify-in-johnny-depp-case-behind-closed-doors",PT2M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,207,0,0,,https://i.ytimg.com/vi/jIqSH-7kGSE/sddefault.jpg,640.0,480.0,,,,,,,
youtube#video,yGyyGMZ_GAArVzfn9a9Wn_f4fKA,o2Uppl_x-uA,2014-11-16T16:54:58Z,UCodJhyuwBEH9SFHgSZcvF_Q,Amber Heard Cheating on Fiance Johnny Depp and Channing Tatum,,https://i.ytimg.com/vi/o2Uppl_x-uA/default.jpg,120,90,https://i.ytimg.com/vi/o2Uppl_x-uA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/o2Uppl_x-uA/hqdefault.jpg,480,360,Life 4 funist,22,none,Amber Heard Cheating on Fiance Johnny Depp and Channing Tatum,,PT1M51S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,320,0,0,0,https://i.ytimg.com/vi/o2Uppl_x-uA/sddefault.jpg,640.0,480.0,,,,,,,
youtube#video,m_CuVGSyNVEj82MZDn7iWiI6lxU,qkFcHfn4IRU,2020-03-29T21:24:49Z,UCnvl7P4B9Yy8h7JI4ZOO8yw,Amber Heard Cheated On Johnny Depp? Allegedly So.,"Patreon: https://www.patreon.com/caev

Merch: https://www.teepublic.com/user/caeruluesvalentinius1


Avi by piper steed twitter here
https://twitter.com/fyzzgiggidy

End card by vipersword100, sub here:
https://www.youtube.com/channel/UCR65oZmluBkVdBwt9_vRoIQ

Overlay By Rurik: https://www.youtube.com/channel/UCvHxeTXIrWuLkx_UcZKBBzw

Discord server:
https://discord.gg/BMgBM8m

Streamlabs:
https://youtube.streamlabs.com/caeruleusvalentiniuscae

Patrons
Fuq_Wad 
Trevor Collin
How To Train Your Sturgeon 
James U
cerulee
Chat Mort
Stefan Sims
Michelle Bender
Norwegian_Writer
The Mental Health Resource Hub
Velfarre



James' channel: https://www.youtube.com/user/jamesu1990
ChatMort: https://www.youtube.com/user/FluffyPurpleKitty

FAIR USE NOTICE
This video may contain copyrighted material; the use of which has not been specifically authorized by the copyright owner. We are making such material available for the purposes of criticism, comment, review and news reporting which constitute the 'fair use' of any such copyrighted material as provided for in section 107 of the US Copyright Law. Not withstanding the provisions of sections 106 and 106A, the fair use of a copyrighted work for purposes such as criticism, comment, review and news reporting is not an infringement of copyright.",https://i.ytimg.com/vi/qkFcHfn4IRU/default.jpg,120,90,https://i.ytimg.com/vi/qkFcHfn4IRU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qkFcHfn4IRU/hqdefault.jpg,480,360,Cae Valentine,24,none,Amber Heard Cheated On Johnny Depp? Allegedly So.,"Patreon: https://www.patreon.com/caev

Merch: https://www.teepublic.com/user/caeruluesvalentinius1


Avi by piper steed twitter here
https://twitter.com/fyzzgiggidy

End card by vipersword100, sub here:
https://www.youtube.com/channel/UCR65oZmluBkVdBwt9_vRoIQ

Overlay By Rurik: https://www.youtube.com/channel/UCvHxeTXIrWuLkx_UcZKBBzw

Discord server:
https://discord.gg/BMgBM8m

Streamlabs:
https://youtube.streamlabs.com/caeruleusvalentiniuscae

Patrons
Fuq_Wad 
Trevor Collin
How To Train Your Sturgeon 
James U
cerulee
Chat Mort
Stefan Sims
Michelle Bender
Norwegian_Writer
The Mental Health Resource Hub
Velfarre



James' channel: https://www.youtube.com/user/jamesu1990
ChatMort: https://www.youtube.com/user/FluffyPurpleKitty

FAIR USE NOTICE
This video may contain copyrighted material; the use of which has not been specifically authorized by the copyright owner. We are making such material available for the purposes of criticism, comment, review and news reporting which constitute the 'fair use' of any such copyrighted material as provided for in section 107 of the US Copyright Law. Not withstanding the provisions of sections 106 and 106A, the fair use of a copyrighted work for purposes such as criticism, comment, review and news reporting is not an infringement of copyright.",PT22M52S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,311,33,0,7,https://i.ytimg.com/vi/qkFcHfn4IRU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/qkFcHfn4IRU/maxresdefault.jpg,1280.0,720.0,,,,
youtube#video,nvuyHyRWNEBOtK7AicyQ6HiVsTg,wp8rDC_EVLA,2019-03-03T14:23:41Z,UClIQ0j0nz_5ObipDlKWqwTA,Johnny Depp Claims Amber Heard Cheated on Him With Elon Musk,,https://i.ytimg.com/vi/wp8rDC_EVLA/default.jpg,120,90,https://i.ytimg.com/vi/wp8rDC_EVLA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/wp8rDC_EVLA/hqdefault.jpg,480,360,arslan sha,22,none,Johnny Depp Claims Amber Heard Cheated on Him With Elon Musk,,PT3M42S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,622,8,0,6,,,,,,,,,,
youtube#video,K1IlpB0HJ7MG-aqL90rM8N3Pt3E,Yap-FQeSZKg,2020-06-30T20:02:52Z,UCtD-2nsKZg6jyUviLNfGnAg,Did Amber Heard Cheat On Johnny Depp? (Amber Heard Playlist!!),,https://i.ytimg.com/vi/Yap-FQeSZKg/default.jpg,120,90,https://i.ytimg.com/vi/Yap-FQeSZKg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Yap-FQeSZKg/hqdefault.jpg,480,360,#JohnnyDeppIsRacist,24,none,Did Amber Heard Cheat On Johnny Depp? (Amber Heard Playlist!!),,PT2M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,43,0,0,,https://i.ytimg.com/vi/Yap-FQeSZKg/sddefault.jpg,640.0,480.0,,,,,,,
youtube#video,nveDhiWdUh-hhjyDaxOzcL8lSAE,ykkiiZ5xGjM,2019-12-06T19:30:02Z,UCy3UqWIkz8dksfj533BjvGg,Amber Heard's Boobs and see thru,Amber Heard Deep Boobs Show and see thru from Never Back Down,https://i.ytimg.com/vi/ykkiiZ5xGjM/default.jpg,120,90,https://i.ytimg.com/vi/ykkiiZ5xGjM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ykkiiZ5xGjM/hqdefault.jpg,480,360,Furious Freezers,1,none,Amber Heard's Boobs and see thru,Amber Heard Deep Boobs Show and see thru from Never Back Down,PT28S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,5603,36,0,1,,,,,,,"['Amber Heard', 'Boobs', 'Never Back Down']",,,ytAgeRestricted
