kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,contentDetails.contentRating.ytRating,snippet.defaultLanguage,snippet.defaultAudioLanguage
youtube#video,p7GIGRPoNbiNEYfUliFOy6aS-N8,-bkURYcBxAg,2017-01-05T14:25:58Z,UCAntA-ijsWLMvCRUwu-BxoQ,"Amber Heard acusa a Johnny Depp de ""mezquino""","Aunque el divorcio entre Amber Heard y Johnny Depp acabó a mediados del mes de agosto, la actriz está indignada con el retraso de su procedimiento. Según adelanta Daily Mail, Amber presentó documentos en sede judicial en los que asegura sentirse ""castigada"" por su exmarido, Johnny Depp, y en los que lo califica como ""mezquino"". 

Puedes leer la noticia en: http://www.europapress.es/chance/gente/noticia-amber-heard-acusa-johnny-depp-mezquino-20170105113422.html

Visto en: http://www.youtube.com/chance",https://i.ytimg.com/vi/-bkURYcBxAg/default.jpg,120,90,https://i.ytimg.com/vi/-bkURYcBxAg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-bkURYcBxAg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-bkURYcBxAg/sddefault.jpg,640.0,480.0,CHANCE,"['Johnny Depp', 'Amber Heard', 'divorcio', 'resolución', 'matrimonio', 'proceso', 'juzgados', 'conflicto', '2017', '05/01/2017', '01/05/2017', 'famosos', 'moda', 'people', 'celebrity', 'star']",22,none,"Amber Heard acusa a Johnny Depp de ""mezquino""","Aunque el divorcio entre Amber Heard y Johnny Depp acabó a mediados del mes de agosto, la actriz está indignada con el retraso de su procedimiento. Según adelanta Daily Mail, Amber presentó documentos en sede judicial en los que asegura sentirse ""castigada"" por su exmarido, Johnny Depp, y en los que lo califica como ""mezquino"". 

Puedes leer la noticia en: http://www.europapress.es/chance/gente/noticia-amber-heard-acusa-johnny-depp-mezquino-20170105113422.html

Visto en: http://www.youtube.com/chance",PT1M16S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1105,7,0,0,,,,,,
youtube#video,af9EjopvNwozGTxCSXi_zwgmxcc,-f9Z3Hr-K2w,2019-03-02T16:15:02Z,UCAntA-ijsWLMvCRUwu-BxoQ,Johnny Depp demanda a Amber Heard y exige 50 millones de dólares,"El actor Johnny Depp ha iniciado una batalla legal contra su segunda exmujer, la tambien actriz Amber Heard. Según informa el portal 'The Blast', el intérprete la ha denunciado por difamación y ha exigido una indemnización de 50 millones de dólares.",https://i.ytimg.com/vi/-f9Z3Hr-K2w/default.jpg,120,90,https://i.ytimg.com/vi/-f9Z3Hr-K2w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-f9Z3Hr-K2w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-f9Z3Hr-K2w/sddefault.jpg,640.0,480.0,CHANCE,"['amber heard', 'johnny depp', 'denuncia', 'actriz', 'actor', '2019', '02/03/2019', '03/02/2019', 'famosos', 'moda', 'people', 'celebrity', 'star']",22,none,Johnny Depp demanda a Amber Heard y exige 50 millones de dólares,"El actor Johnny Depp ha iniciado una batalla legal contra su segunda exmujer, la tambien actriz Amber Heard. Según informa el portal 'The Blast', el intérprete la ha denunciado por difamación y ha exigido una indemnización de 50 millones de dólares.",PT1M10S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,813,9,0,5,,,,,,
youtube#video,AaV6_2jASRbpr611xu8nAIlIS5Q,0axaX_yt7do,2020-07-03T01:56:38Z,UCYyJQywCRHksVThijR06bqQ,Prueba de que AMBER HEARD fue infiel a JOHNNY DEPP 😱  FOTOGRAFÍAS  Y VÍDEOS SALEN A LA LUZ 😨,"#jonnydeep #JusticeForJonnyDeep #AmberHeardinfiel los espectáculos en  Hollywood no dejan de sonar tras varios años en que llevan jonny Deep y su ex esposa Amber Heard y su fatídico juicios continúa pero ahora el actor de Hollywood   JACKS SPARROW  BUSCA LIMPIAR SU NOMBRE Y DEMOSTRAR QUE ES INOCENTE DE TODOS LOS CARGOS QUE LE ACREDITAN  Y AHORA CON PRUEBAS EN MANO Y NUEVOS TESTIGOS.. 



 COMENTA...

DALE LIKE 


Y COMPARTE ...  


 BÚSCAME EN INSTAGRAM PARA CUALQUIER VIDEOS ESPECIAL Y SEGUIRME..😉",https://i.ytimg.com/vi/0axaX_yt7do/default.jpg,120,90,https://i.ytimg.com/vi/0axaX_yt7do/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0axaX_yt7do/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0axaX_yt7do/sddefault.jpg,640.0,480.0,#opinemos figura pública,,22,none,Prueba de que AMBER HEARD fue infiel a JOHNNY DEPP 😱  FOTOGRAFÍAS  Y VÍDEOS SALEN A LA LUZ 😨,"#jonnydeep #JusticeForJonnyDeep #AmberHeardinfiel los espectáculos en  Hollywood no dejan de sonar tras varios años en que llevan jonny Deep y su ex esposa Amber Heard y su fatídico juicios continúa pero ahora el actor de Hollywood   JACKS SPARROW  BUSCA LIMPIAR SU NOMBRE Y DEMOSTRAR QUE ES INOCENTE DE TODOS LOS CARGOS QUE LE ACREDITAN  Y AHORA CON PRUEBAS EN MANO Y NUEVOS TESTIGOS.. 



 COMENTA...

DALE LIKE 


Y COMPARTE ...  


 BÚSCAME EN INSTAGRAM PARA CUALQUIER VIDEOS ESPECIAL Y SEGUIRME..😉",PT5M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,124,22,0,12,https://i.ytimg.com/vi/0axaX_yt7do/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,mVcG-Z4WTp1T4XEEE8UquG7LlGg,1JJarwfoNDQ,2015-02-05T11:14:15Z,UCAntA-ijsWLMvCRUwu-BxoQ,"Johnny Depp y Amber Heard, ya son marido y mujer","Johnny Depp ya se ha casado. El actor ha contraído matrimonio con Amber Heard en Los Ángeles. Desde ayer, el pirata más loco del mundo del cine se ha convertido en un hombre casado, eso sí, ahora queda la celebración en la isla privada del actor en Bahamas.

Visto en: http://www.youtube.com/chance",https://i.ytimg.com/vi/1JJarwfoNDQ/default.jpg,120,90,https://i.ytimg.com/vi/1JJarwfoNDQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1JJarwfoNDQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1JJarwfoNDQ/sddefault.jpg,640.0,480.0,CHANCE,"['Johnny Depp', 'Amber Heard', 'Vanesa Paradi', 'Bahamas', 'Johnny Depp se casa', 'boda Johnny depp', '2015', '05/02/2015', '02/05/2015', 'famosos', 'moda', 'people', 'celebrity', 'star']",22,none,"Johnny Depp y Amber Heard, ya son marido y mujer","Johnny Depp ya se ha casado. El actor ha contraído matrimonio con Amber Heard en Los Ángeles. Desde ayer, el pirata más loco del mundo del cine se ha convertido en un hombre casado, eso sí, ahora queda la celebración en la isla privada del actor en Bahamas.

Visto en: http://www.youtube.com/chance",PT1M11S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,1194,11,0,0,,,,,,
youtube#video,LRWNRAABcylL17GJmzYAtHrH9LI,25Zzg5oCoAQ,2013-11-30T02:17:17Z,UCDs8NcInMXYFkjeOZ0hFjRw,Sexy Compilation of Amber Heard,Sexy Tribute Amber Heard,https://i.ytimg.com/vi/25Zzg5oCoAQ/default.jpg,120,90,https://i.ytimg.com/vi/25Zzg5oCoAQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/25Zzg5oCoAQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/25Zzg5oCoAQ/sddefault.jpg,640.0,480.0,SexyCelebs,"['hot', 'sexy', 'celebrity', 'naughty', '2012', '2013', '2014', 'boobs', 'bikini', 'compilation', 'montage', 'minitage', 'pictures', 'videos', 'breasts', 'pics', 'tribute', 'the rum diary', 'drive angry', 'machete kills', 'Never Back Down', 'the informers', 'paranoia', 'all the boys love mandy lane', 'zombieland', 'pineapple express', 'playboy', 'playboy club', 'hidden palms', 'amber heard', 'actress', 'topless', 'nude', 'actor', 'movie', 'movies', 'Slideshow', 'Entertainment']",22,none,Sexy Compilation of Amber Heard,Sexy Tribute Amber Heard,PT2M13S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,73001,112,0,7,https://i.ytimg.com/vi/25Zzg5oCoAQ/maxresdefault.jpg,1280.0,720.0,ytAgeRestricted,,
youtube#video,bm4Ys-DaMGH_50SwB_HoRNwS8fQ,2TQKUelvX3Y,2015-07-02T15:36:06Z,UCnZA03Ws5BRjzU08xCL5cTQ,Amber Heard Hollywood Actress Wallpapers,"http://www.hdfinewallpapers.com/wallpapers/amber-heard-wallpapers

For more hd photos and wallpapers of Amber Heard click on above link

Free download latest HD desktop wallpaper of Amber Heard which is very hot and beautiful american actress in hollywood movies Wide screen popular celebrities of english films star photos gallery, images and high quality pictures for android, windows and apple mobile phones",https://i.ytimg.com/vi/2TQKUelvX3Y/default.jpg,120,90,https://i.ytimg.com/vi/2TQKUelvX3Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2TQKUelvX3Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2TQKUelvX3Y/sddefault.jpg,640.0,480.0,HD Fine Wallpapers,"['Amber Heard (Celebrity)', 'Actress', 'Hollywood', 'hd', 'wallpapers', 'photos', 'picture', 'images', 'Pic']",24,none,Amber Heard Hollywood Actress Wallpapers,"http://www.hdfinewallpapers.com/wallpapers/amber-heard-wallpapers

For more hd photos and wallpapers of Amber Heard click on above link

Free download latest HD desktop wallpaper of Amber Heard which is very hot and beautiful american actress in hollywood movies Wide screen popular celebrities of english films star photos gallery, images and high quality pictures for android, windows and apple mobile phones",PT37S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1064,1,0,0,https://i.ytimg.com/vi/2TQKUelvX3Y/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,_97KCIxdx2S_onuvi1iZJLW2QdI,34htKp5nYrY,2021-08-29T18:30:02Z,UCC4RIwjtWgIIJzXJRxHwuUQ,Amber Heard not interested in taking selfies? | The HollyVibe,"Welcome toThe HollyVibe. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.

Please subscribe to our channel to stay up to date with interesting facts about Hollywood Celebs.

Cheers!",https://i.ytimg.com/vi/34htKp5nYrY/default.jpg,120,90,https://i.ytimg.com/vi/34htKp5nYrY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/34htKp5nYrY/hqdefault.jpg,480,360,,,,The HollyVibe,,24,none,Amber Heard not interested in taking selfies? | The HollyVibe,"Welcome toThe HollyVibe. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.

Please subscribe to our channel to stay up to date with interesting facts about Hollywood Celebs.

Cheers!",PT8M4S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,16,0,0,0,,,,,en-US,en-US
youtube#video,JFVqlAtMjYoA0ko8bJzxzGitjg8,4wGrxvsXRuM,2021-01-07T18:36:13Z,UCZUFgPILFPPT28WRcEPE42A,HOLA! USA- Johny Depp And Amber Heard Continue Their Controversial Legal Battle,"Johnny Depp and Amber Heard continue their public legal battle.

This time the actor is attempting to have the counterclaims made by his ex-wife to be dismissed, however a judge denied the request made by Depp’s legal team.

https://us.hola.com/celebrities/20210106fuotutw1l6/johnny-depp-amber-heard-continue-legal-battle",https://i.ytimg.com/vi/4wGrxvsXRuM/default.jpg,120,90,https://i.ytimg.com/vi/4wGrxvsXRuM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4wGrxvsXRuM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4wGrxvsXRuM/sddefault.jpg,640.0,480.0,HOLA! USA,,24,none,HOLA! USA- Johny Depp And Amber Heard Continue Their Controversial Legal Battle,"Johnny Depp and Amber Heard continue their public legal battle.

This time the actor is attempting to have the counterclaims made by his ex-wife to be dismissed, however a judge denied the request made by Depp’s legal team.

https://us.hola.com/celebrities/20210106fuotutw1l6/johnny-depp-amber-heard-continue-legal-battle",PT47S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,True,10,0,0,0,https://i.ytimg.com/vi/4wGrxvsXRuM/maxresdefault.jpg,1280.0,720.0,,,en
youtube#video,b86s9AqHjsYvTLpRnMiA8DmqYoU,5tPBMjyufsw,2021-10-27T04:00:01Z,UCAmaiEYnoTgj-dmjp8DpepQ,AMBER IS FINALLY GETTING LOCKED UP - Heard BUSTED And CHARGED By AUSTRALIAN SENATE | The Gossipy,"AMBER IS FINALLY GETTING LOCKED UP - Heard BUSTED And CHARGED By AUSTRALIAN SENATE | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
----------------------------------------------------------------------------------------------

Welcome to The Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",https://i.ytimg.com/vi/5tPBMjyufsw/default.jpg,120,90,https://i.ytimg.com/vi/5tPBMjyufsw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5tPBMjyufsw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5tPBMjyufsw/sddefault.jpg,640.0,480.0,The Gossipy,"['The Gossipy', 'celebrity craze', 'celebrity', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', 'AMBER IS FINALLY GETTING LOCKED UP - Heard BUSTED And CHARGED By AUSTRALIAN SENATE', 'celeb news', 'hollywood news']",24,none,AMBER IS FINALLY GETTING LOCKED UP - Heard BUSTED And CHARGED By AUSTRALIAN SENATE | The Gossipy,"AMBER IS FINALLY GETTING LOCKED UP - Heard BUSTED And CHARGED By AUSTRALIAN SENATE | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
----------------------------------------------------------------------------------------------

Welcome to The Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",PT8M5S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,538,27,0,9,https://i.ytimg.com/vi/5tPBMjyufsw/maxresdefault.jpg,1280.0,720.0,,en-US,en-US
youtube#video,3_wvbrNV5d0337RoRrvhStG_olY,5vvmGcquFCY,2021-11-07T15:30:13Z,UCyHjhjvfOSRbQTxOjrhdcSw,new amber heard hot 🔥 status full screen...,"aquaman bonus features,workout,aquaman amber heard,amber heard,amber heard mera first look,justice league,amber heard news,mera amber heard,amber heard role,amber heard mera,amber heard sing,behind the scenes,amber heard tattoos,sicily fight part 1,mera justice league,amber heard training,willem dafoe (vulko),dc extended universe,the making of aquaman,patrick wilson (king orm),bloopers,interwiew,graham mctavish (king atlan),amber heard u0026 jason momoa
#MR.STATUS.786#DC#60FPS",https://i.ytimg.com/vi/5vvmGcquFCY/default.jpg,120,90,https://i.ytimg.com/vi/5vvmGcquFCY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5vvmGcquFCY/hqdefault.jpg,480,360,,,,MR.STATUS.786,"['aquaman bonus features', 'workout', 'aquaman amber heard', 'amber heard', 'amber heard mera first look', 'justice league', 'amber heard news', 'mera amber heard', 'amber heard role', 'amber heard mera', 'amber heard sing', 'behind the scenes', 'amber heard tattoos', 'sicily fight part 1', 'mera justice league', 'amber heard training', 'willem dafoe (vulko)', 'dc extended universe', 'the making of aquaman', 'patrick wilson (king orm)', 'bloopers', 'interwiew', 'graham mctavish (king atlan)', 'amber heard u0026 jason momoa']",24,none,new amber heard hot 🔥 status full screen...,"aquaman bonus features,workout,aquaman amber heard,amber heard,amber heard mera first look,justice league,amber heard news,mera amber heard,amber heard role,amber heard mera,amber heard sing,behind the scenes,amber heard tattoos,sicily fight part 1,mera justice league,amber heard training,willem dafoe (vulko),dc extended universe,the making of aquaman,patrick wilson (king orm),bloopers,interwiew,graham mctavish (king atlan),amber heard u0026 jason momoa
#MR.STATUS.786#DC#60FPS",PT54S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,24,2,0,0,,,,,,
