kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,snippet.tags
youtube#video,fmLHc3CZV9WXtLkwUNrwDDqFR50,5SzlA-5bA2Y,2020-05-28T22:54:10Z,UCrCw6ipAPjJnd-olpRgPJcg,"Fitness 101 with Amber Stevens, May 28, 2020",,https://i.ytimg.com/vi/5SzlA-5bA2Y/default.jpg,120,90,https://i.ytimg.com/vi/5SzlA-5bA2Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5SzlA-5bA2Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5SzlA-5bA2Y/sddefault.jpg,640.0,480.0,North Liberty,29,none,"Fitness 101 with Amber Stevens, May 28, 2020",,PT50M10S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,7,0,0,0,,,,,
youtube#video,nQtKAkpM6spf_cdpu11hvp8lKvI,7LWb0NnDG4g,2020-05-21T18:57:41Z,UCrCw6ipAPjJnd-olpRgPJcg,"Fitness 101 with Amber Stevens, May 21, 2020",,https://i.ytimg.com/vi/7LWb0NnDG4g/default.jpg,120,90,https://i.ytimg.com/vi/7LWb0NnDG4g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7LWb0NnDG4g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7LWb0NnDG4g/sddefault.jpg,640.0,480.0,North Liberty,29,none,"Fitness 101 with Amber Stevens, May 21, 2020",,PT44M46S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,9,0,0,0,,,,,
youtube#video,U-us3KPa5R-i225op2wVo0mSAeM,cgBZBQIfNjM,2022-01-08T06:52:13Z,UCfVSlNDKv4RVT23Jmufj90g,McCuck Live: Hamberg Discusses the Sheet of Piece Cuban,"Streamed Live Jan 7, 2022",https://i.ytimg.com/vi/cgBZBQIfNjM/default.jpg,120,90,https://i.ytimg.com/vi/cgBZBQIfNjM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/cgBZBQIfNjM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/cgBZBQIfNjM/sddefault.jpg,640.0,480.0,CHUCK E CHEESE RANCH,22,none,McCuck Live: Hamberg Discusses the Sheet of Piece Cuban,"Streamed Live Jan 7, 2022",PT1H16M20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1980,41,0,64,https://i.ytimg.com/vi/cgBZBQIfNjM/maxresdefault.jpg,1280.0,720.0,en,
youtube#video,xiMW2I69Lgx8X3bdAY3rwb_eV_Y,cVCbgE5il_Q,2015-08-20T07:19:27Z,UCSQBG76T4QMHcUXbvLt1cSg,Sky Gym Amber Monson Interview for Our Atlanta,"Who hasn't heard of Sky Gym Atlanta?! I first learned of aerial acrobatic silk lessons on the pier in Santa Monica, CA years ago. 
        It wasn't until years later that I walked into Sky Gym for my first class in our hometown. I was so pleased to see this being brought to the public for all of us to learn here in Atlanta! 
       Are you one of the people who have yet to hear about Sky Gym, be sure to catch this informative interview with Amber Monson. A pioneer in her Atlanta, she is the owner, an instructor, and female entrepreneur making aerial acrobatics a lifestyle and living here in Atlanta. 
http://www.aerialsilksatlanta.com
https://www.facebook.com/SkyGymAtlanta?fref=ts

404-309-9696
Dance@theskygym.com

6780 Roswell Rd Studio D100 
Sandy Springs, GA
30328

Keep up with our weekly video interviews here on Youtube or follow us at the any of the links below

http://www.artistlifevision.com/Our-A...
https://instagram.com/artistlifevision/
https://www.facebook.com/OurAtlantaIn...
http://artistlifevision.tumblr.com/

Of course, thanks for watching!
Stephanie Marlo & Team
Our Atlanta - Artist.Life.Vision Photography",https://i.ytimg.com/vi/cVCbgE5il_Q/default.jpg,120,90,https://i.ytimg.com/vi/cVCbgE5il_Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/cVCbgE5il_Q/hqdefault.jpg,480,360,https://i.ytimg.com/vi/cVCbgE5il_Q/sddefault.jpg,640.0,480.0,Artist Life Vision VR,22,none,Sky Gym Amber Monson Interview for Our Atlanta,"Who hasn't heard of Sky Gym Atlanta?! I first learned of aerial acrobatic silk lessons on the pier in Santa Monica, CA years ago. 
        It wasn't until years later that I walked into Sky Gym for my first class in our hometown. I was so pleased to see this being brought to the public for all of us to learn here in Atlanta! 
       Are you one of the people who have yet to hear about Sky Gym, be sure to catch this informative interview with Amber Monson. A pioneer in her Atlanta, she is the owner, an instructor, and female entrepreneur making aerial acrobatics a lifestyle and living here in Atlanta. 
http://www.aerialsilksatlanta.com
https://www.facebook.com/SkyGymAtlanta?fref=ts

404-309-9696
Dance@theskygym.com

6780 Roswell Rd Studio D100 
Sandy Springs, GA
30328

Keep up with our weekly video interviews here on Youtube or follow us at the any of the links below

http://www.artistlifevision.com/Our-A...
https://instagram.com/artistlifevision/
https://www.facebook.com/OurAtlantaIn...
http://artistlifevision.tumblr.com/

Of course, thanks for watching!
Stephanie Marlo & Team
Our Atlanta - Artist.Life.Vision Photography",PT47S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,137,3,0,0,https://i.ytimg.com/vi/cVCbgE5il_Q/maxresdefault.jpg,1280.0,720.0,,"['Our Atlanta', 'Video Interviews', 'Atl lifestyle', 'Unique people', 'weekly releases', 'how to', 'Advice (Media Genre)', 'Atlanta (City/Town/Village)', 'Film (Media Genre)', 'aerial acrobatics', 'ouratlanta', 'our atl', 'Aerial Silks', 'Aerial Fitness', 'Aerial Acro', 'Broadcasting (Industry)', 'how to circus', 'circus school', 'aerial classes', 'amber monson', 'United States Of America (Country)', 'encouraging', 'female owner', 'female run business', 'empowerment', 'silk dance']"
youtube#video,IUKzTYafMEHYrHYVFLcnABD8vyg,gDaM77iQTmI,2012-11-30T20:20:23Z,UC7F_y9IUk023R0flOjcZRDw,Amber Dean Fitness, ,https://i.ytimg.com/vi/gDaM77iQTmI/default.jpg,120,90,https://i.ytimg.com/vi/gDaM77iQTmI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gDaM77iQTmI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gDaM77iQTmI/sddefault.jpg,640.0,480.0,Amber Dean,22,none,Amber Dean Fitness, ,PT5M3S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,344,0,0,0,,,,,"['ADF', '1', 'Public', '10', '20', '30']"
youtube#video,4r-c0bcjaylExeLpaSNC6n8Egfc,GwLyZeD9ckM,2021-12-11T21:27:18Z,UCXMNnsK0d44LDyEff9wt3Lg,Osman with Two Wives - Bala & Malhun 😍 Safari - Serena Remix 💲,"AQUAMAN | молод и глуп | JASON MOMOA | AMBER HEARD | HD WHATSAPP STATUS | FUL SCREEN | 4K | BEATS_DP

Subscribe to  my  Channel 
TURN NOTIFICATIONS ON!! 

Thank you for Watching! 

Diriliş Ertuğrul Urdu 

Diriliş Ertuğrul Hindi 

Ertugrul Ghazi Urdu 

Ertugrul Ghazi Hindi 

Kuruluş Osman Season 1 Urdu 

Kuruluş Osman Season 2 Urdu 

Kuruluş Osman Season 1 Hindi 

Kuruluş Osman Season 2 Hindi 

Diriliş Ertuğrul Urdu Season 1 

Diriliş Ertuğrul Urdu Season 2 

Diriliş Ertuğrul Urdu Season 3 

Diriliş Ertuğrul Urdu Season 4 

Diriliş Ertuğrul Urdu Season 5 

Diriliş Ertuğrul Hindi Season 1 

Diriliş Ertuğrul Hindi Season 2 

Diriliş Ertuğrul Hindi Season 3 

Diriliş Ertuğrul Hindi Season 4 

Diriliş Ertuğrul Hindi Season 5

Barbaroslar : Akdeniz'in Kılıcı 

Engin Altan Düzyatan

Halima Sultan 

Attitude Status 

Love Status 

Angry Mood Off Status 

Anger Status 

Hate Status 

Hurt Status 

Erhal Love Status 

Ertugrul ghazi Best Scenes 

Bamsi Bey Best Scenes 

Turgut Alp Best scenes 

Tiktok 2021 

Ptv Home 

Youtube Shorts 

Pakistan 

I don't own any music of this video copyright go to the real owner of the music.
Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. 

Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. 

#Dirilişertuğrul #Ertugrulghaziurdu
#Halimasultan #Ertugrulghazi #Erhal
#shorts #Youtube #tiktok
#Pakistan",https://i.ytimg.com/vi/GwLyZeD9ckM/default.jpg,120,90,https://i.ytimg.com/vi/GwLyZeD9ckM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/GwLyZeD9ckM/hqdefault.jpg,480,360,,,,Khan Info 111,27,none,Osman with Two Wives - Bala & Malhun 😍 Safari - Serena Remix 💲,"AQUAMAN | молод и глуп | JASON MOMOA | AMBER HEARD | HD WHATSAPP STATUS | FUL SCREEN | 4K | BEATS_DP

Subscribe to  my  Channel 
TURN NOTIFICATIONS ON!! 

Thank you for Watching! 

Diriliş Ertuğrul Urdu 

Diriliş Ertuğrul Hindi 

Ertugrul Ghazi Urdu 

Ertugrul Ghazi Hindi 

Kuruluş Osman Season 1 Urdu 

Kuruluş Osman Season 2 Urdu 

Kuruluş Osman Season 1 Hindi 

Kuruluş Osman Season 2 Hindi 

Diriliş Ertuğrul Urdu Season 1 

Diriliş Ertuğrul Urdu Season 2 

Diriliş Ertuğrul Urdu Season 3 

Diriliş Ertuğrul Urdu Season 4 

Diriliş Ertuğrul Urdu Season 5 

Diriliş Ertuğrul Hindi Season 1 

Diriliş Ertuğrul Hindi Season 2 

Diriliş Ertuğrul Hindi Season 3 

Diriliş Ertuğrul Hindi Season 4 

Diriliş Ertuğrul Hindi Season 5

Barbaroslar : Akdeniz'in Kılıcı 

Engin Altan Düzyatan

Halima Sultan 

Attitude Status 

Love Status 

Angry Mood Off Status 

Anger Status 

Hate Status 

Hurt Status 

Erhal Love Status 

Ertugrul ghazi Best Scenes 

Bamsi Bey Best Scenes 

Turgut Alp Best scenes 

Tiktok 2021 

Ptv Home 

Youtube Shorts 

Pakistan 

I don't own any music of this video copyright go to the real owner of the music.
Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. 

Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. 

#Dirilişertuğrul #Ertugrulghaziurdu
#Halimasultan #Ertugrulghazi #Erhal
#shorts #Youtube #tiktok
#Pakistan",PT11S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,56,4,0,0,,,,,
youtube#video,2SX-8uE2-n1WTv3US-YFid1phkI,KWHQdZ11Wdk,2020-07-23T15:01:56Z,UC6ceJIpkEWuPXHxvol_FDFw,Amber Turner Plan 2 Trailer,"Why not visit our website for a bigger insight on POWAH
https://powah.com/

Or check out our socials, we'd love to see you there!
Instagram - https://www.instagram.com/wepowahyou/
Facebook - https://www.facebook.com/wepowahyou/
Twitter - https://twitter.com/wepowahyou?lang=en-gb",https://i.ytimg.com/vi/KWHQdZ11Wdk/default.jpg,120,90,https://i.ytimg.com/vi/KWHQdZ11Wdk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KWHQdZ11Wdk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/KWHQdZ11Wdk/sddefault.jpg,640.0,480.0,POWAH,17,none,Amber Turner Plan 2 Trailer,"Why not visit our website for a bigger insight on POWAH
https://powah.com/

Or check out our socials, we'd love to see you there!
Instagram - https://www.instagram.com/wepowahyou/
Facebook - https://www.facebook.com/wepowahyou/
Twitter - https://twitter.com/wepowahyou?lang=en-gb",PT53S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,True,560,3,0,0,,,,en-GB,"['powah', 'influencer', 'Powah', 'website', 'celebrities', 'wepowahyou', 'fitness']"
youtube#video,pGUAVla-KLjSckMVjqKlqaGyrwM,KwvkAcp8S2s,2017-07-13T16:14:46Z,UCQ9fhAHr7I2uDclEl8w-jOw,Fitness Website Design Review for Amber,,https://i.ytimg.com/vi/KwvkAcp8S2s/default.jpg,120,90,https://i.ytimg.com/vi/KwvkAcp8S2s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KwvkAcp8S2s/hqdefault.jpg,480,360,https://i.ytimg.com/vi/KwvkAcp8S2s/sddefault.jpg,640.0,480.0,InControl Websites,22,none,Fitness Website Design Review for Amber,,PT27M5S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,9,0,0,0,https://i.ytimg.com/vi/KwvkAcp8S2s/maxresdefault.jpg,1280.0,720.0,en,"['Lynn Coffey', 'Fitness Website Design', 'Personal Trainer Website Design', 'Fitness Website Designer']"
youtube#video,88vu-3G7sgwECKahHlgEsn-DTn0,l00icAkflhM,2022-01-08T04:01:24Z,UCfVSlNDKv4RVT23Jmufj90g,Cuban Vs Hamberg,"Streamed Live Jan 5, 2022",https://i.ytimg.com/vi/l00icAkflhM/default.jpg,120,90,https://i.ytimg.com/vi/l00icAkflhM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/l00icAkflhM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/l00icAkflhM/sddefault.jpg,640.0,480.0,CHUCK E CHEESE RANCH,22,none,Cuban Vs Hamberg,"Streamed Live Jan 5, 2022",PT1H25M18S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2545,83,0,99,,,,en,
youtube#video,1VDry7-DsX1i3C6B2Mzi7Nsw_UQ,l7RcMFi7en4,2013-10-08T10:40:20Z,UCmbX8zhr6zSFcWPeiWEvECA,Behind the Scenes of Womens Health and Fitness photoshoot | Amber Renae,"Learn how you can become a Celebrity Stylist HERE : http://bit.ly/14jDclD

Stay stylish, subscribe now: https://www.youtube.com/user/amberrenaetv

Amber Renae takes you behind the scenes of our Womens Health and Fitness photoshoot, shot by the talented Cara O'Dowd.
Check out the finished shots here : http://amberrenae.com/blanc-canvas

Stay stylish, subscribe now: https://www.youtube.com/user/amberrenaetv",https://i.ytimg.com/vi/l7RcMFi7en4/default.jpg,120,90,https://i.ytimg.com/vi/l7RcMFi7en4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/l7RcMFi7en4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/l7RcMFi7en4/sddefault.jpg,640.0,480.0,Amber Renae,26,none,Behind the Scenes of Womens Health and Fitness photoshoot | Amber Renae,"Learn how you can become a Celebrity Stylist HERE : http://bit.ly/14jDclD

Stay stylish, subscribe now: https://www.youtube.com/user/amberrenaetv

Amber Renae takes you behind the scenes of our Womens Health and Fitness photoshoot, shot by the talented Cara O'Dowd.
Check out the finished shots here : http://amberrenae.com/blanc-canvas

Stay stylish, subscribe now: https://www.youtube.com/user/amberrenaetv",PT27S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,126,0,0,0,https://i.ytimg.com/vi/l7RcMFi7en4/maxresdefault.jpg,1280.0,720.0,,"['Photo Shoot', ""Women's Health (Magazine)"", 'Scene', 'Clique', 'Making', 'Fitness', 'Exercise', 'Workout', 'Muscle', 'Body', 'how to work out', 'how to be a fitness model', 'how to be a model', 'fitness model', 'health photoshoot', 'behind the scenes', 'behind the scenes photoshoot', 'fashion editorial', 'how to be a stylist', 'celebrity stylist', 'amber renae', 'what happens on a shoot']"
