kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.tags,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height
youtube#video,SaMl71vFECU7SBUVAZ2nYwt6H0k,14e5KvrqGeM,2022-01-01T03:32:59Z,UCzfDdhuAaX1oWDSm78Rx1dg,Johnny Depp Tiktoks that put Amber Heard in prison,...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................my peanut,https://i.ytimg.com/vi/14e5KvrqGeM/default.jpg,120,90,https://i.ytimg.com/vi/14e5KvrqGeM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/14e5KvrqGeM/hqdefault.jpg,480,360,CallieYanChan,24,none,en-GB,Johnny Depp Tiktoks that put Amber Heard in prison,...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................my peanut,en-GB,PT6M43S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,586,59,0,9,,,,,,,
youtube#video,lGruIbt4hMp12hgh4thnWL2c7yo,34v2Gxduqcc,2020-07-28T18:49:18Z,UCKY5PiEq8Tl9r7f3qittXng,Amber Heard Says It Was 'Incredibly Painful' To Re-Live Marriage To Johnny Depp,"As Johnny Depp's UK libel case against a British tabloid wraps up, Amber Heard addresses the media calling the trial ""incredibly painful"" to have to publicly re-live the intimate details of the break-up of her marriage to the actor.

#AmberHeard #JohnnyDepp

SUBSCRIBE to our channel:

https://www.youtube.com/user/ETCanadaOfficial

FOLLOW us here:

http://www.etcanada.com

Facebook: https://www.facebook.com/etcanada

Twitter: http://www.twitter.com/etcanada

Instagram: http://www.instagram.com/etcanada",https://i.ytimg.com/vi/34v2Gxduqcc/default.jpg,120,90,https://i.ytimg.com/vi/34v2Gxduqcc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/34v2Gxduqcc/hqdefault.jpg,480,360,ET Canada,24,none,,Amber Heard Says It Was 'Incredibly Painful' To Re-Live Marriage To Johnny Depp,"As Johnny Depp's UK libel case against a British tabloid wraps up, Amber Heard addresses the media calling the trial ""incredibly painful"" to have to publicly re-live the intimate details of the break-up of her marriage to the actor.

#AmberHeard #JohnnyDepp

SUBSCRIBE to our channel:

https://www.youtube.com/user/ETCanadaOfficial

FOLLOW us here:

http://www.etcanada.com

Facebook: https://www.facebook.com/etcanada

Twitter: http://www.twitter.com/etcanada

Instagram: http://www.instagram.com/etcanada",en,PT2M24S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,5306,30,0,128,https://i.ytimg.com/vi/34v2Gxduqcc/sddefault.jpg,640.0,480.0,"['entertainment', 'news', 'et canada', 'entertainment tonight', 'entertainment tonight canada', 'amber heard', 'johnny depp', 'libel', 'lawsuit', 'uk', 'high court', 'trial', 'marriage', 'ex', 'divorce', 'defamation', 'speech', 'actress', 'movies', 'the rum diary', 'testimony']",,,
youtube#video,Q06GcbIEnH142vaJJAFTSx9SYOw,3lPtPTV100c,2015-02-05T09:03:16Z,UCZfdfdB_zjONTND6oiCrpgg,Amber Heard and Johnny Depp Got Married,"Johnny depp and amber heard got married mtv
 . 
 ,
 . 
 . 
 . 
 . 
 Johnny depp and amber heard got married at depp's private home in los angeles. Our invites must have been lost in the mail here are some more compilation of topics and latest discussions relates to this video, which we found thorough the internet. Hope this information will helpful to get idea in brief about this. Johnny depp, , and amber heard, , reportedly held a civil ceremony and got married on tuesday evening, feb. , at their los angeles we have no idea if this news is true, but rumours are circling that johnny depp and amber heard could be getting married next weekend below information will help you to get some more though about the subject seen above looking like a constipated mr. Peanut and vintage barbie, johnny depp and amber heard got married at his house in l.A the pair who got engaged in tied the knot at their home in los angeles johnny depp and amber heard are married, people reports e! news has learned johnny depp and amber heard are set to say according to people, depp will become a married man on a private island in the so how did marshawn lynch get fined for his famous one liner?. Anyway if you want for more info, you would better continue reading. Get all your amber heard news and gossip here! johnny depp & amber heard are reportedly getting married next weekend on the actor's private island in johnny depp got married to amber heard in a civil ceremony at their home in los angeles ahead of their lavish nuptials in the bahamas this hollywood actor johnny depp married actress amber heard in his home this week ahead of a celebration in the bahamas, people reports multiple media reports say the hollywood couple will tie the knot this weekend update, amber heard and johnny depp are set to officially get married next week at his private island in the bahamas, page six reports. After months of page six reports today that johnny depp will marry amber heard the (does it matter when the man standing across from her is going to look in case you were thinking that everything is going smoothly in johnny depp's personal life, then you would be absolutely wrong. The star it's been almost a year since johnny depp's engagement to amber heard became public, and there's been no wedding in sight. What gives?. Johnny depp and amber heard are rumored to be getting married next week on his private island in the bahamas, according to page six johnny depp didn't want to wait until saturday to get married, so he did it in secret. Shhh. No one really believed it when it was confirmed amber heard is reportedly hesitant about getting married to johnny depp minutes ago johnny depp just got married to amber heard, say reports ti.Me logie photo mario anzuonireuters pic.Twitter ybnsahh 
 Most Discuss 
 Johnny depp and amber heard got married mtv. More interesting heading about this are amber heard & johnny depp married couple weds at la home johnny depp & amber heard to marry next week? glamour. Below topics also shows some interset as well dlisted . Johnny depp and amber heard are married now. Just married! johnny depp, , and amber heard, daily mail. Johnny depp can't wait to marry amber heard this weekend on hope you will get rough idea as well johnny depp & amber heard their love story in perez hilton. Johnny depp has got married to amber heard msn . Johnny depp just got married to amber heard, say reports . Time. Are johnny depp and amber heard getting married this weekend johnny depp & amber heard to wed next week harper's bazaar. Johnny depp to marry amber heard next weekend.Lainey gossip johnny depp and amber heard marrying, she refuses to sign when are johnny depp & amber heard getting married? i still johnny depp & amber heard might get married next week! . Amber official johnny depp and amber heard are married. Mamamia. Amber heard johnny depp wedding actress hesitant about getting me on twitter 'johnny depp just got married to amber heard",https://i.ytimg.com/vi/3lPtPTV100c/default.jpg,120,90,https://i.ytimg.com/vi/3lPtPTV100c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3lPtPTV100c/hqdefault.jpg,480,360,New Buzz,22,none,,Amber Heard and Johnny Depp Got Married,"Johnny depp and amber heard got married mtv
 . 
 ,
 . 
 . 
 . 
 . 
 Johnny depp and amber heard got married at depp's private home in los angeles. Our invites must have been lost in the mail here are some more compilation of topics and latest discussions relates to this video, which we found thorough the internet. Hope this information will helpful to get idea in brief about this. Johnny depp, , and amber heard, , reportedly held a civil ceremony and got married on tuesday evening, feb. , at their los angeles we have no idea if this news is true, but rumours are circling that johnny depp and amber heard could be getting married next weekend below information will help you to get some more though about the subject seen above looking like a constipated mr. Peanut and vintage barbie, johnny depp and amber heard got married at his house in l.A the pair who got engaged in tied the knot at their home in los angeles johnny depp and amber heard are married, people reports e! news has learned johnny depp and amber heard are set to say according to people, depp will become a married man on a private island in the so how did marshawn lynch get fined for his famous one liner?. Anyway if you want for more info, you would better continue reading. Get all your amber heard news and gossip here! johnny depp & amber heard are reportedly getting married next weekend on the actor's private island in johnny depp got married to amber heard in a civil ceremony at their home in los angeles ahead of their lavish nuptials in the bahamas this hollywood actor johnny depp married actress amber heard in his home this week ahead of a celebration in the bahamas, people reports multiple media reports say the hollywood couple will tie the knot this weekend update, amber heard and johnny depp are set to officially get married next week at his private island in the bahamas, page six reports. After months of page six reports today that johnny depp will marry amber heard the (does it matter when the man standing across from her is going to look in case you were thinking that everything is going smoothly in johnny depp's personal life, then you would be absolutely wrong. The star it's been almost a year since johnny depp's engagement to amber heard became public, and there's been no wedding in sight. What gives?. Johnny depp and amber heard are rumored to be getting married next week on his private island in the bahamas, according to page six johnny depp didn't want to wait until saturday to get married, so he did it in secret. Shhh. No one really believed it when it was confirmed amber heard is reportedly hesitant about getting married to johnny depp minutes ago johnny depp just got married to amber heard, say reports ti.Me logie photo mario anzuonireuters pic.Twitter ybnsahh 
 Most Discuss 
 Johnny depp and amber heard got married mtv. More interesting heading about this are amber heard & johnny depp married couple weds at la home johnny depp & amber heard to marry next week? glamour. Below topics also shows some interset as well dlisted . Johnny depp and amber heard are married now. Just married! johnny depp, , and amber heard, daily mail. Johnny depp can't wait to marry amber heard this weekend on hope you will get rough idea as well johnny depp & amber heard their love story in perez hilton. Johnny depp has got married to amber heard msn . Johnny depp just got married to amber heard, say reports . Time. Are johnny depp and amber heard getting married this weekend johnny depp & amber heard to wed next week harper's bazaar. Johnny depp to marry amber heard next weekend.Lainey gossip johnny depp and amber heard marrying, she refuses to sign when are johnny depp & amber heard getting married? i still johnny depp & amber heard might get married next week! . Amber official johnny depp and amber heard are married. Mamamia. Amber heard johnny depp wedding actress hesitant about getting me on twitter 'johnny depp just got married to amber heard",,PT1M6S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,65,0,0,0,https://i.ytimg.com/vi/3lPtPTV100c/sddefault.jpg,640.0,480.0,"['Johnny Depp (Record Producer)', 'Amber Heard (TV Actor)', 'Pirates', 'Jack', 'married', 'Vanessa Paradis (Musical Artist)', 'funny', 'story', 'celebrity', 'gossip', 'news', 'laugh', 'ELLE', 'elle magazine', 'magazine', 'beauty', 'fashion']",https://i.ytimg.com/vi/3lPtPTV100c/maxresdefault.jpg,1280.0,720.0
youtube#video,grewG6flAz4PyP5TPMvm90OFrHo,9WcUMaJn0oY,2020-02-06T22:56:27Z,UCJtO27QCPktDmaPAGhsNNeg,It's Johnny Depp's Fault Amber Heard Abused Him (Mr. Locario Breaks Down the Game),http://www.badboymembership.com,https://i.ytimg.com/vi/9WcUMaJn0oY/default.jpg,120,90,https://i.ytimg.com/vi/9WcUMaJn0oY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9WcUMaJn0oY/hqdefault.jpg,480,360,Mr. Locario,22,none,,It's Johnny Depp's Fault Amber Heard Abused Him (Mr. Locario Breaks Down the Game),http://www.badboymembership.com,,PT14M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4588,271,0,135,https://i.ytimg.com/vi/9WcUMaJn0oY/sddefault.jpg,640.0,480.0,,https://i.ytimg.com/vi/9WcUMaJn0oY/maxresdefault.jpg,1280.0,720.0
youtube#video,2fo4-a6tN81-Qw6apcf68mccBRI,b-37C5sC4QQ,2020-02-07T15:08:17Z,UCPGaaPVbeCQ4BcEcqzQTQiQ,Johnny depp vs Amber Heard,,https://i.ytimg.com/vi/b-37C5sC4QQ/default.jpg,120,90,https://i.ytimg.com/vi/b-37C5sC4QQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/b-37C5sC4QQ/hqdefault.jpg,480,360,hmm fine,22,none,,Johnny depp vs Amber Heard,,en,PT26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,20,2,0,0,https://i.ytimg.com/vi/b-37C5sC4QQ/sddefault.jpg,640.0,480.0,"['Johnny depp', 'Amber Heard', 'Justice', 'Metoo']",https://i.ytimg.com/vi/b-37C5sC4QQ/maxresdefault.jpg,1280.0,720.0
youtube#video,loV-FNSo1mWCDGvP0za1rIAdQEc,H3XSULxmZ9g,2020-12-12T23:00:45Z,UCG2QYlhnYYxksvv6ve11ijw,🔴 Livestream Johnny Depp vs Amber Heard with special guest Gary Robinson!,"At 4 Pm Est, Gary Robinson Joins me as we talk about Johnny Depp vs Amber Heard case with you !",https://i.ytimg.com/vi/H3XSULxmZ9g/default.jpg,120,90,https://i.ytimg.com/vi/H3XSULxmZ9g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/H3XSULxmZ9g/hqdefault.jpg,480,360,Rob's Rules,24,none,,🔴 Livestream Johnny Depp vs Amber Heard with special guest Gary Robinson!,"At 4 Pm Est, Gary Robinson Joins me as we talk about Johnny Depp vs Amber Heard case with you !",en,PT1H48M16S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1994,159,0,32,https://i.ytimg.com/vi/H3XSULxmZ9g/sddefault.jpg,640.0,480.0,,https://i.ytimg.com/vi/H3XSULxmZ9g/maxresdefault.jpg,1280.0,720.0
youtube#video,YOFjMb91ZPUOBEChduKQ-r2n-uM,jAuCCu_qunA,2021-02-25T02:41:26Z,UC8AGq7bm-x4teGcvQonvnPw,Johnny Depp EXPOSED!? | @Nicki Swift attacks in GARBAGE Video in Defense of Amber Heard,"@Nicki Swift made an absolutely wrong Johnny depp attack video, Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

☆Other Platforms☆


•Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA


☆Support The Channel☆

•Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

•If you want to support my Channel, please check out my patreon And subscribe star below:

•Patreon:
https://www.patreon.com/user?u=21542407

#JusticeForJohnnyDepp #AmberHeard #JohnnyDepp #TheSun",https://i.ytimg.com/vi/jAuCCu_qunA/default.jpg,120,90,https://i.ytimg.com/vi/jAuCCu_qunA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jAuCCu_qunA/hqdefault.jpg,480,360,Nerdette's NewsStand,24,none,,Johnny Depp EXPOSED!? | @Nicki Swift attacks in GARBAGE Video in Defense of Amber Heard,"@Nicki Swift made an absolutely wrong Johnny depp attack video, Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

☆Other Platforms☆


•Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA


☆Support The Channel☆

•Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

•If you want to support my Channel, please check out my patreon And subscribe star below:

•Patreon:
https://www.patreon.com/user?u=21542407

#JusticeForJohnnyDepp #AmberHeard #JohnnyDepp #TheSun",en,PT17M50S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2771,384,0,135,https://i.ytimg.com/vi/jAuCCu_qunA/sddefault.jpg,640.0,480.0,"['Johnny depp', 'Nikki swift', 'Nikki swift Johnny depp', 'amber heard twitter', 'amber heard disney', 'amber heard', 'amber heard donations', 'amber heard Johnny depp divorce', 'Amber Heard access Hollywood', 'nerdettes newsstand', 'Johnny depp lawsuit', 'amber heard lawsuit', 'Johnny depp vs the sun', 'Johnny depp abuse', 'amber heard abuse', 'Johnny depp libel', 'Johnny depp fairfax', 'Johnny depp court results', 'amber heard court results', 'Johnny depp quits', 'Johnny depp fired', 'Johnny depp appeal']",,,
youtube#video,2CjqYL2ZO3DYejWJ7z2H5fV_hc8,L4Ym5NbyNZg,2021-09-26T20:44:29Z,UCG2QYlhnYYxksvv6ve11ijw,🚨 LIVE Let’s Talk About The Johnny Depp-vs- Amber Heard Case,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",https://i.ytimg.com/vi/L4Ym5NbyNZg/default.jpg,120,90,https://i.ytimg.com/vi/L4Ym5NbyNZg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/L4Ym5NbyNZg/hqdefault.jpg,480,360,Rob's Rules,24,none,,🚨 LIVE Let’s Talk About The Johnny Depp-vs- Amber Heard Case,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",en,PT1H58M17S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,949,134,0,21,https://i.ytimg.com/vi/L4Ym5NbyNZg/sddefault.jpg,640.0,480.0,"['Johnny Depp', 'Johnny', 'Depp', 'Johnny Depp Amber Heard', 'Johnny Depp Amber', 'Depp Heard', 'Heard Depp', 'Amber Heard Johnny Depp']",https://i.ytimg.com/vi/L4Ym5NbyNZg/maxresdefault.jpg,1280.0,720.0
youtube#video,en7FtT507fe6lTL9LQsMtcfBlKk,O4jgSYGhW3w,2020-02-08T01:57:38Z,UCRUkAXf63dJ1oImRUIotRHA,Amber Heard Gaslighting Johnny Depp For An Hour (Uncensored Audio),"These recordings were hard to find in their uncensored format without commentary and external opinions. I left out other recordings where family members and children were mentioned at length because I have a soul. I tried to think of a decent title for this video, but this is really just Amber Heard intimidating and gaslighting Johnny Depp for damn near an hour.

#AmberHeard #JohnnyDepp #Metoo #Aquaman",https://i.ytimg.com/vi/O4jgSYGhW3w/default.jpg,120,90,https://i.ytimg.com/vi/O4jgSYGhW3w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/O4jgSYGhW3w/hqdefault.jpg,480,360,Totally Offensive Comedy,22,none,,Amber Heard Gaslighting Johnny Depp For An Hour (Uncensored Audio),"These recordings were hard to find in their uncensored format without commentary and external opinions. I left out other recordings where family members and children were mentioned at length because I have a soul. I tried to think of a decent title for this video, but this is really just Amber Heard intimidating and gaslighting Johnny Depp for damn near an hour.

#AmberHeard #JohnnyDepp #Metoo #Aquaman",,PT57M52S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,447,12,0,5,https://i.ytimg.com/vi/O4jgSYGhW3w/sddefault.jpg,640.0,480.0,,,,
youtube#video,qF_wcE4RuLp7WDD3oSXHds3qcE8,OlEYNhxCl5Y,2020-02-14T12:05:34Z,UCvsx4mTL00o5NisMGUdOtnQ,Pt 2: Analysing the Argument between Johnny Depp And Amber Heard,"In this video I look at more of the recorded conversation between Johnny Depp and Amber Heard. I talk about the dynamic between them as well as the traits I believe I can see in Amber Heard, that are consistent with some of the traits of Borderline Personality Disorder and of Narcissistic Personality Disorder.

I have a BSc (Hons) in Psychology, have trained and worked as an ABA therapist and I have a post graduate diploma in Integrative Counselling and another in Counselling Psychology. I have done extensive research on narcissism and the effects of narcissistic abuse. I work as a coach specifically with people who have experienced narcissistic abuse. Let me know in the comments section below what video you would like me to make about an aspect of narcissism that interests you and please subscribe to my channel!
contact@liveabusefree.com
https://www.liveabusefree.com",https://i.ytimg.com/vi/OlEYNhxCl5Y/default.jpg,120,90,https://i.ytimg.com/vi/OlEYNhxCl5Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OlEYNhxCl5Y/hqdefault.jpg,480,360,Live Abuse Free,27,none,,Pt 2: Analysing the Argument between Johnny Depp And Amber Heard,"In this video I look at more of the recorded conversation between Johnny Depp and Amber Heard. I talk about the dynamic between them as well as the traits I believe I can see in Amber Heard, that are consistent with some of the traits of Borderline Personality Disorder and of Narcissistic Personality Disorder.

I have a BSc (Hons) in Psychology, have trained and worked as an ABA therapist and I have a post graduate diploma in Integrative Counselling and another in Counselling Psychology. I have done extensive research on narcissism and the effects of narcissistic abuse. I work as a coach specifically with people who have experienced narcissistic abuse. Let me know in the comments section below what video you would like me to make about an aspect of narcissism that interests you and please subscribe to my channel!
contact@liveabusefree.com
https://www.liveabusefree.com",,PT50M29S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,63172,2251,0,1405,https://i.ytimg.com/vi/OlEYNhxCl5Y/sddefault.jpg,640.0,480.0,"['Johnny Depp', 'amber heard', 'Johnny Depp and amber heard', 'narcissistic personality disorder', 'abusive relationship', 'bpd', 'borderline personality disorder', 'narcissistic abuse', 'npd', 'abusive girlfriend', 'abusive wife', 'abusive mother', 'narcissistic behaviour', 'borderline behaviour', 'borderline traits', 'narcissistic traits', 'traits of narcissistic personality disorder', 'toxic relationship', 'gaslighting', 'manipulation', 'manipulative behaviour', 'domestic violence', 'domestic abuse']",,,
