kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,snippet.defaultLanguage
youtube#video,tneB1G-aiDbyal4vdAczhYU-H5c,0eTn6hxQXZM,2018-07-12T14:50:24Z,UCtGuIoCc7ZNEqbiAzhcq4tA,"London Fields (2018) Amber Heard, Johnny Depp, Crime, Mystery, Thriller Movie - Trailer #1 [HD]","HOT New Trailers: https://www.youtube.com/playlist?list=PLcUYOz0HwvHFo09XxdHzv_VG_TdRt5bvs


Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.
Director: Mathew Cullen
Writers: Martin Amis (novel), Roberta Hanley
Stars: Amber Heard, Gemma Chan, Cara Delevingne",https://i.ytimg.com/vi/0eTn6hxQXZM/default.jpg,120,90,https://i.ytimg.com/vi/0eTn6hxQXZM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0eTn6hxQXZM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0eTn6hxQXZM/sddefault.jpg,640,480,Movie Trailers,"['film', 'Movie', 'movies trailer', 'movie trailer', 'animation', 'official', 'compilation', 'Amber Heard', 'Gemma Chan', 'Cara Delevingne']",1,none,"London Fields (2018) Amber Heard, Johnny Depp, Crime, Mystery, Thriller Movie - Trailer #1 [HD]","HOT New Trailers: https://www.youtube.com/playlist?list=PLcUYOz0HwvHFo09XxdHzv_VG_TdRt5bvs


Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.
Director: Mathew Cullen
Writers: Martin Amis (novel), Roberta Hanley
Stars: Amber Heard, Gemma Chan, Cara Delevingne",PT2M4S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,15577,41,0,1,,,,,
youtube#video,NMeSlDRuwyian7g5IOoL9MXNrwM,0QzP_hHqp48,2020-05-03T06:59:22Z,UCeqFeP84qViFxaALk4GSKGQ,Johnny Depp Claims Amber Heard Once Faked A Bloody Nose By Pouring Red Nail Polish On A Tissue,"Johnny Depp Claims Amber Heard Once Faked A Bloody Nose By Pouring Red Nail Polish On A Tissue




amber heard,johnny depp,amber heard johnny depp,johnny depp amber heard,johnny depp and amber heard,amber heard aquaman,amber heard johnny depp audio,amber heard vs johnny depp,amber heard and johnny depp,johnny depp amber heard fight,amber heard aquaman 2,johnny depp abuse,johnny depp lawsuit,amber heard audio,justice for johnny depp,johnny depp sues amber heard,johnny depp amber heard audio",https://i.ytimg.com/vi/0QzP_hHqp48/default.jpg,120,90,https://i.ytimg.com/vi/0QzP_hHqp48/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0QzP_hHqp48/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0QzP_hHqp48/sddefault.jpg,640,480,Gulia -Brothers,"['amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'johnny depp and amber heard', 'amber heard aquaman', 'amber heard johnny depp audio', 'amber heard vs johnny depp', 'amber heard and johnny depp', 'johnny depp amber heard fight', 'amber heard aquaman 2', 'johnny depp abuse', 'johnny depp lawsuit', 'amber heard audio', 'justice for johnny depp', 'johnny depp sues amber heard', 'johnny depp amber heard audio']",22,none,Johnny Depp Claims Amber Heard Once Faked A Bloody Nose By Pouring Red Nail Polish On A Tissue,"Johnny Depp Claims Amber Heard Once Faked A Bloody Nose By Pouring Red Nail Polish On A Tissue




amber heard,johnny depp,amber heard johnny depp,johnny depp amber heard,johnny depp and amber heard,amber heard aquaman,amber heard johnny depp audio,amber heard vs johnny depp,amber heard and johnny depp,johnny depp amber heard fight,amber heard aquaman 2,johnny depp abuse,johnny depp lawsuit,amber heard audio,justice for johnny depp,johnny depp sues amber heard,johnny depp amber heard audio",PT4M13S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,326,10,0,0,https://i.ytimg.com/vi/0QzP_hHqp48/maxresdefault.jpg,1280.0,720.0,,
youtube#video,9tOuxdir23gm0wgvdxCwRv8wGBc,19ABxIc--lI,2020-06-01T13:40:56Z,UCeooMl4PFAM9kLPHvavt2KQ,Amber Heard's Friend iOTillet Had Early Signs of Losing Control!,"Amber Heard's Friend iOTillet Had Early Signs of Losing Control!

My Patreon! Starting at $1.00! https://www.patreon.com/user?u=11797644
MY TWITTER: @EnterHacker
MAIL ME: campsmithmedia@gmail.com

https://christhead.bandcamp.com/releases Chirst Head Album Here!

Patreon Channels! CHECK THEM OUT!

the Stove Top Ninja: https://www.youtube.com/watch?v=LGLjyJmYCe0

Adega's Book: https://www.amazon.com/Evolution-Adega/dp/1645305953/ref=sr_1_1?crid=3GE2MYD9LNPMO&keywords=evolution+by+adega&qid=1584844229&sprefix=Evolution+by+%2Caps%2C247&sr=8-1

TitozWorld Channel : https://www.youtube.com/watch?v=2WALmC4JcoA

Teresa Martin : https://www.youtube.com/channel/UCOtslVrAWs_pdhaqqkJ1iyw

TEE SPRING! I have merch. Prices are standard TeeSpring for now.

https://teespring.com/stores/hacker-goods",https://i.ytimg.com/vi/19ABxIc--lI/default.jpg,120,90,https://i.ytimg.com/vi/19ABxIc--lI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/19ABxIc--lI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/19ABxIc--lI/sddefault.jpg,640,480,eHacker,"['amber heard', 'iotillet', 'iotillet wright', 'amber heard vs johnny depp', 'johnny depp and amber heard', 'amber heard aquaman', 'amber heard aquaman 2', 'amber heard vs megan fox', 'amber heard tmz', 'amber heard instagram', 'amber heard twitter', 'iotillet twitter']",24,none,Amber Heard's Friend iOTillet Had Early Signs of Losing Control!,"Amber Heard's Friend iOTillet Had Early Signs of Losing Control!

My Patreon! Starting at $1.00! https://www.patreon.com/user?u=11797644
MY TWITTER: @EnterHacker
MAIL ME: campsmithmedia@gmail.com

https://christhead.bandcamp.com/releases Chirst Head Album Here!

Patreon Channels! CHECK THEM OUT!

the Stove Top Ninja: https://www.youtube.com/watch?v=LGLjyJmYCe0

Adega's Book: https://www.amazon.com/Evolution-Adega/dp/1645305953/ref=sr_1_1?crid=3GE2MYD9LNPMO&keywords=evolution+by+adega&qid=1584844229&sprefix=Evolution+by+%2Caps%2C247&sr=8-1

TitozWorld Channel : https://www.youtube.com/watch?v=2WALmC4JcoA

Teresa Martin : https://www.youtube.com/channel/UCOtslVrAWs_pdhaqqkJ1iyw

TEE SPRING! I have merch. Prices are standard TeeSpring for now.

https://teespring.com/stores/hacker-goods",PT5M16S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,4405,257,0,177,,,,,
youtube#video,FFMsAAtUhpT328BNeKUSigQQsew,2YavuUadpaM,2018-04-10T05:11:50Z,UCx2lANPyIHJiSZi4GvMX78w,"Amber Heard  Humiliée, elle fait finalement taire toutes les mauvaises langues !","Amber Heard  Humiliée, elle fait finalement taire toutes les mauvaises langues !.
La comédienne Amber Heard n’a pas lancé de paroles en l’air après avoir affirmé qu’elle donnerait l’argent reçu de la part de Johnny Depp à des associations caritatives peu après son divorce. 

Souvent considérée comme une femme intéressée au moment du scandale qui a suivi sa séparation avec l’acteur de Pirates des Caraïbes, l’actrice de 31 ans vient de prouver qu’il n’en était rien en offrant une partie de cet argent à un hôpital pour enfants. Elle n’a d’ailleurs rien fait pour faire connaître son geste. C’est en effet l’établissement de Los Angeles qui a ajouté Amber Heard a la liste d’honneur de ses donateurs. L'accès à cette liste d'honneur est réservé aux personnes ayant effectué un don compris entre 1 et 5 millions de dollars.

Amber Heard avait néanmoins évoqué récemment son désir d’implication dans des causes caritatives, dans les colonnes du magazine People. "" Mes efforts philanthropiques seront toujours centrés autour de la santé, en particulier celle des femmes et des enfants "" avait-elle expliqué, sans pour autant s’épancher sur les montants donnés. Elle avait préféré rappeler que "" l’argent n’avait jamais joué aucun rôle pour elle "", excepté "" lorsqu’il sert à aider ceux qui ont le moins de possibilités pour se défendre "".",https://i.ytimg.com/vi/2YavuUadpaM/default.jpg,120,90,https://i.ytimg.com/vi/2YavuUadpaM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2YavuUadpaM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2YavuUadpaM/sddefault.jpg,640,480,People News,"['Amber', 'Heard', 'Humiliée', 'elle', 'fait', 'finalement', 'taire', 'toutes', 'les', 'mauvaises', 'langues', 'Amber Heard Humiliée', 'elle fait finalement taire toutes les mauvaises langues !']",24,none,"Amber Heard  Humiliée, elle fait finalement taire toutes les mauvaises langues !","Amber Heard  Humiliée, elle fait finalement taire toutes les mauvaises langues !.
La comédienne Amber Heard n’a pas lancé de paroles en l’air après avoir affirmé qu’elle donnerait l’argent reçu de la part de Johnny Depp à des associations caritatives peu après son divorce. 

Souvent considérée comme une femme intéressée au moment du scandale qui a suivi sa séparation avec l’acteur de Pirates des Caraïbes, l’actrice de 31 ans vient de prouver qu’il n’en était rien en offrant une partie de cet argent à un hôpital pour enfants. Elle n’a d’ailleurs rien fait pour faire connaître son geste. C’est en effet l’établissement de Los Angeles qui a ajouté Amber Heard a la liste d’honneur de ses donateurs. L'accès à cette liste d'honneur est réservé aux personnes ayant effectué un don compris entre 1 et 5 millions de dollars.

Amber Heard avait néanmoins évoqué récemment son désir d’implication dans des causes caritatives, dans les colonnes du magazine People. "" Mes efforts philanthropiques seront toujours centrés autour de la santé, en particulier celle des femmes et des enfants "" avait-elle expliqué, sans pour autant s’épancher sur les montants donnés. Elle avait préféré rappeler que "" l’argent n’avait jamais joué aucun rôle pour elle "", excepté "" lorsqu’il sert à aider ceux qui ont le moins de possibilités pour se défendre "".",PT1M30S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4,0,0,0,,,,zxx,
youtube#video,Gp6lz__jc9f1MaC35LCgRcva2_M,3ctbpO_pb3Y,2016-08-11T13:43:29Z,UCFtutWOw-ojSmtsyQFmoTSA,Se complica el divorcio de Johnny Depp y Amber Heard,"No son buenas noticias para Amber Heard. El divorcio entre la actriz y Johnny Depp está lejos de solucionarse. Parecer ser que las negociaciones han sufrido un contratiempo. Se suponía que Amber debía sentarse con los abogados de su ex pareja para conseguir un preacuerdo, pero a pesar de acudir a los tribunales, nunca se llevó a cabo la reunión.",https://i.ytimg.com/vi/3ctbpO_pb3Y/default.jpg,120,90,https://i.ytimg.com/vi/3ctbpO_pb3Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3ctbpO_pb3Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3ctbpO_pb3Y/sddefault.jpg,640,480,Zoomin Local Heroes Español,"['Actores', 'Acuerdo', 'Depp', 'Problema', 'Separación']",24,none,Se complica el divorcio de Johnny Depp y Amber Heard,"No son buenas noticias para Amber Heard. El divorcio entre la actriz y Johnny Depp está lejos de solucionarse. Parecer ser que las negociaciones han sufrido un contratiempo. Se suponía que Amber debía sentarse con los abogados de su ex pareja para conseguir un preacuerdo, pero a pesar de acudir a los tribunales, nunca se llevó a cabo la reunión.",PT1M1S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2784,12,0,2,https://i.ytimg.com/vi/3ctbpO_pb3Y/maxresdefault.jpg,1280.0,720.0,,
youtube#video,Dne4mVWrSW__wraCKuo-aq7kOGg,8rbPjJLIqz0,2018-02-03T18:57:05Z,UCS329gsHH6mSiSXZ_xy5GvA,Elon Musk ve Amber Heard yine ayrıldı,"Elon Musk ve Amber Heard yine ayrıldı
- Thanks for watching, Hope you like it - AND DON'T FORGET TO LIKE COMMENTS AND SUBSCRIBE!
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Hollywood’un ünlü isimlerinden Amber Heard ve Tesla Motors’un kurucusu Elon Musk, yine ayrıldı.",https://i.ytimg.com/vi/8rbPjJLIqz0/default.jpg,120,90,https://i.ytimg.com/vi/8rbPjJLIqz0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8rbPjJLIqz0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8rbPjJLIqz0/sddefault.jpg,640,480,Últimas noticias - Noticias de última hora,"['defne joy foster', 'bitirim zeki', 'cumali akgül', 'cooking mama', 'amber heard', 'flamethrower', 'yehuda adi devir', 'selçuk tv', 'Elon Musk', 'Amber Heard', 'Tesla Motors']",24,none,Elon Musk ve Amber Heard yine ayrıldı,"Elon Musk ve Amber Heard yine ayrıldı
- Thanks for watching, Hope you like it - AND DON'T FORGET TO LIKE COMMENTS AND SUBSCRIBE!
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Hollywood’un ünlü isimlerinden Amber Heard ve Tesla Motors’un kurucusu Elon Musk, yine ayrıldı.",PT58S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,65,0,0,0,,,,,
youtube#video,oFKu2wwT5XFFnvD0P0ho3NbCfrQ,EOeoRfpXFkg,2018-02-08T04:43:01Z,UCUmaoub_YlTlt5EPmHYLJRQ,Are Amber Heard & Elon Musk Still Hanging On To Their Exes?,"Cara may not pose a threat to Amber Heard and Elon Musk’s new love, but the couple’s not-so-lost loves might.",https://i.ytimg.com/vi/EOeoRfpXFkg/default.jpg,120,90,https://i.ytimg.com/vi/EOeoRfpXFkg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EOeoRfpXFkg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EOeoRfpXFkg/sddefault.jpg,640,480,Today's Internet Sensation,,22,none,Are Amber Heard & Elon Musk Still Hanging On To Their Exes?,"Cara may not pose a threat to Amber Heard and Elon Musk’s new love, but the couple’s not-so-lost loves might.",PT50S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,127,1,0,0,,,,,zh-CN
youtube#video,Aq7jBF60JhtBI-5MTNO2wNIQjTU,J9U3nqAMKD0,2020-07-27T16:37:47Z,UClrMnC8PI91QFiafqRReUWA,Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior,"Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior 
 
Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior 
 
Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior",https://i.ytimg.com/vi/J9U3nqAMKD0/default.jpg,120,90,https://i.ytimg.com/vi/J9U3nqAMKD0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/J9U3nqAMKD0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/J9U3nqAMKD0/sddefault.jpg,640,480,Berita TV,"['amber heard email', 'amber heard johnny depp', 'amber heard email to', 'amber heard email dr', 'amber heard email in', 'celebrity news', 'news']",25,none,Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior,"Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior 
 
Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior 
 
Amber Heard Private Email Draft Details Johnny Depp's 'Dr Jekyll and Mr Hyde' Behavior",PT2M53S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,31,0,0,0,https://i.ytimg.com/vi/J9U3nqAMKD0/maxresdefault.jpg,1280.0,720.0,id,
youtube#video,H6q936t1IiZOIU0y5B1PjTjGgAg,lZBiH1K4NYg,2020-07-08T17:12:48Z,UC6Jg4O_ToFYmo0Asg9uiz8A,✅  Johnny Depp : cette moquerie d'Amber Heard qui l'aurait fait sortir de ses gonds,"💖 Please Visit: https://www.facebook.com/Scathc/
💖 Please Subscribe: https://www.youtube.com/channel/UC6Jg4O_ToFYmo0Asg9uiz8A?sub_confirmation=1
✍ Accusé de violences conjugales envers son ex-femme, Amber Heard, Johnny Depp a été dans l'obligation de dévoiler son dossier médical, et plus particulièrement de révéler les données sur sa consommation de drogue et d'alcool.  En effet, la comédienne souhaiterait s'appuyer ses données afin de discrédités les propos de son ex-mari.  La légende hollywoodienne a ainsi été accusée d'avoir giflé Amber Heard à trois reprises après que cette dernière se soit moqué de son célèbre tatouage 'Wino Forever' (Alcoolique pour toujours).  .Si des SMS révèle que la comédienne essayée de sevrer Johnny Depp de sa consommation de drogue, ce dernier a déclaré au tribunal qu'elle ne l'avait pas totalement soutenu dans sa quête de sobriété : ""Elle était assez catégorique pour que je ne boive plus et elle était catégorique sur le fait que je devais cesser toute utilisation de cocaïne et autres drogues. "" Avant d'ajouter que si quelqu'un souhaitait aider ""un alcoolique ou quelqu'un qui est supposé être toxicom ...
💖",https://i.ytimg.com/vi/lZBiH1K4NYg/default.jpg,120,90,https://i.ytimg.com/vi/lZBiH1K4NYg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/lZBiH1K4NYg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/lZBiH1K4NYg/sddefault.jpg,640,480,Nouvelles Des Célébrités,,22,none,✅  Johnny Depp : cette moquerie d'Amber Heard qui l'aurait fait sortir de ses gonds,"💖 Please Visit: https://www.facebook.com/Scathc/
💖 Please Subscribe: https://www.youtube.com/channel/UC6Jg4O_ToFYmo0Asg9uiz8A?sub_confirmation=1
✍ Accusé de violences conjugales envers son ex-femme, Amber Heard, Johnny Depp a été dans l'obligation de dévoiler son dossier médical, et plus particulièrement de révéler les données sur sa consommation de drogue et d'alcool.  En effet, la comédienne souhaiterait s'appuyer ses données afin de discrédités les propos de son ex-mari.  La légende hollywoodienne a ainsi été accusée d'avoir giflé Amber Heard à trois reprises après que cette dernière se soit moqué de son célèbre tatouage 'Wino Forever' (Alcoolique pour toujours).  .Si des SMS révèle que la comédienne essayée de sevrer Johnny Depp de sa consommation de drogue, ce dernier a déclaré au tribunal qu'elle ne l'avait pas totalement soutenu dans sa quête de sobriété : ""Elle était assez catégorique pour que je ne boive plus et elle était catégorique sur le fait que je devais cesser toute utilisation de cocaïne et autres drogues. "" Avant d'ajouter que si quelqu'un souhaitait aider ""un alcoolique ou quelqu'un qui est supposé être toxicom ...
💖",PT3M29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,6,0,0,0,https://i.ytimg.com/vi/lZBiH1K4NYg/maxresdefault.jpg,1280.0,720.0,,
youtube#video,z6YZOaqQPr3-EHxKsx1x-0Cn2J4,mCNRFI62Cjs,2020-04-08T19:00:16Z,UC8PY4o5sTc1iCGIlSX4f15g,Johnny Depps Devastating Counter Suit to Amber Heard (music video edition),"Johnny Depps Devastating Counter Suit to Amber Heard (music video edition)

MERCH STORE: http://bit.ly/shakteestore
OLD MERCH STORE: http://bit.ly/MerchStoreStream
MERCH STORE XXL: http://bit.ly/XXLShakstore

Support the channel: 
http://PayPal.me/shakaama or 
https://www.subscribestar.com/shakaama or
http://Cash.App/$shakaama or 
http://patreon.com/shakaama

Follow me
twitter: @shakaama
facebook: shakaama or the shakaama live show
instagram: shakaama
linkedin: shakaama

#johnnydepp #amberherd #music",https://i.ytimg.com/vi/mCNRFI62Cjs/default.jpg,120,90,https://i.ytimg.com/vi/mCNRFI62Cjs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mCNRFI62Cjs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/mCNRFI62Cjs/sddefault.jpg,640,480,Shakaama,"['music', 'music video', 'Johnny Depps Devastating Counter Suit to Amber Herd (music video edition)', 'johnny depp', 'johnny depp amber heard', 'amber heard', 'johnny', 'depp', 'amber', 'heard', 'amber heard aquaman', 'johnny depp defamation lawsuit', 'johnny depp lawsuit', 'johnny depp sues amber heard', 'hollywood', 'entertainment', 'shakaama', 'shakaama hollywood', 'shakaama law', 'lawyer', 'attorney', 'lawsuit', 'counter suit', 'celebrity', 'countersuit']",24,none,Johnny Depps Devastating Counter Suit to Amber Heard (music video edition),"Johnny Depps Devastating Counter Suit to Amber Heard (music video edition)

MERCH STORE: http://bit.ly/shakteestore
OLD MERCH STORE: http://bit.ly/MerchStoreStream
MERCH STORE XXL: http://bit.ly/XXLShakstore

Support the channel: 
http://PayPal.me/shakaama or 
https://www.subscribestar.com/shakaama or
http://Cash.App/$shakaama or 
http://patreon.com/shakaama

Follow me
twitter: @shakaama
facebook: shakaama or the shakaama live show
instagram: shakaama
linkedin: shakaama

#johnnydepp #amberherd #music",PT2M42S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,697,95,0,19,https://i.ytimg.com/vi/mCNRFI62Cjs/maxresdefault.jpg,1280.0,720.0,en,en
