kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.tags,snippet.defaultAudioLanguage,contentDetails.contentRating.ytRating,contentDetails.regionRestriction.blocked,snippet.defaultLanguage
youtube#video,wpsVAfdBWF0NE4_1qUG0CLog21k,-RIv1UQRtMo,2013-03-07T09:30:14Z,UCwDQx43Wb5RKU-jFppz9BRA,Eric Bellinger x Amber Riley x Never Be Lonely (Official Video),"Wuddup Ya'll! Here's ""Never Be Lonely""  Feat. Amber Riley off the In The Meantime Compilation! Hope you enjoy!!!

Directed By: Andraya Whitehurst
Edited By: BJ Coulter

#BIISVIII Coming SOON!!!",https://i.ytimg.com/vi/-RIv1UQRtMo/default.jpg,120,90,https://i.ytimg.com/vi/-RIv1UQRtMo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-RIv1UQRtMo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-RIv1UQRtMo/sddefault.jpg,640.0,480.0,Eric Bellinger,10,none,Eric Bellinger x Amber Riley x Never Be Lonely (Official Video),"Wuddup Ya'll! Here's ""Never Be Lonely""  Feat. Amber Riley off the In The Meantime Compilation! Hope you enjoy!!!

Directed By: Andraya Whitehurst
Edited By: BJ Coulter

#BIISVIII Coming SOON!!!",PT4M3S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,743273,8472,0,381,,,,,,,,
youtube#video,iZ9ZvPZA5Yipi5H4xSvwIMhlIy8,0dkqUrWcEb0,2018-09-12T13:21:12Z,UCdmMvAC00gFl4gz2M9W1Q4Q,[Kiss] Amber Heard,"[Kiss] Amber Heard


Never Back Down (2008)
The Informers (2008)
The River Why (2010)
The Rum Diary (2011)
Syrup (2013)
Paranoia (2013)
The Adderall Diaries (2015)


Wikipedia : https://en.wikipedia.org/wiki/Amber_Heard
IMDb : https://www.imdb.com/name/nm1720028/

Music :  Defqwop - Heart Afire (Ft. Strix) 
 https://www.youtube.com/watch?v=gJeh_dLjPN4
Facebook : https://bit.ly/2I1RwY1",https://i.ytimg.com/vi/0dkqUrWcEb0/default.jpg,120,90,https://i.ytimg.com/vi/0dkqUrWcEb0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0dkqUrWcEb0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0dkqUrWcEb0/sddefault.jpg,640.0,480.0,Beautiful Star,22,none,[Kiss] Amber Heard,"[Kiss] Amber Heard


Never Back Down (2008)
The Informers (2008)
The River Why (2010)
The Rum Diary (2011)
Syrup (2013)
Paranoia (2013)
The Adderall Diaries (2015)


Wikipedia : https://en.wikipedia.org/wiki/Amber_Heard
IMDb : https://www.imdb.com/name/nm1720028/

Music :  Defqwop - Heart Afire (Ft. Strix) 
 https://www.youtube.com/watch?v=gJeh_dLjPN4
Facebook : https://bit.ly/2I1RwY1",PT3M21S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,151138,660,0,16,https://i.ytimg.com/vi/0dkqUrWcEb0/maxresdefault.jpg,1280.0,720.0,"['영화', '영화배우', 'Actress', 'Movie Star', 'अभिनेत्री', 'اداکارہ', '여배우', 'BS', 'Beautiful Star', 'Atriz', 'Bonita', 'Sexy', 'Kiss', 'Beijo', 'Beso', 'Hermosa', 'Actriz', 'Película', 'Filme', 'Film', 'Actrice', 'Baiser', 'Beau']",en-US,ytAgeRestricted,,
youtube#video,jZA3x5ML1d_Kmtcz2n7QAxorRVw,4HMx5oPdQd0,2017-12-03T18:16:01Z,UCTuk7-hi3h7_jWl42f8iclQ,Dusk Till Dawn - ZAYN ft. Sia (Acapella Cover By Amber Heard),"you'll never be alone


As requested... my cover of Dusk Till Dawn. I decided to do this one without the backing track, enjoy!

LINKS

insta - amberhearrd
twitter - BadReputatiom
snap - amb3rheard
spotify - ambxrheard

FAQ 

how old are you? 16 
what grade are you in? grade 11
what camera do you use? iphone 6, canon eos rebel T3 or canon powershot ELPH 350 HS
what editing software do you use? imovie and garageband

business & partnership contact - heardamber2001@gmail.com",https://i.ytimg.com/vi/4HMx5oPdQd0/default.jpg,120,90,https://i.ytimg.com/vi/4HMx5oPdQd0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4HMx5oPdQd0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4HMx5oPdQd0/sddefault.jpg,640.0,480.0,Amber Heard,10,none,Dusk Till Dawn - ZAYN ft. Sia (Acapella Cover By Amber Heard),"you'll never be alone


As requested... my cover of Dusk Till Dawn. I decided to do this one without the backing track, enjoy!

LINKS

insta - amberhearrd
twitter - BadReputatiom
snap - amb3rheard
spotify - ambxrheard

FAQ 

how old are you? 16 
what grade are you in? grade 11
what camera do you use? iphone 6, canon eos rebel T3 or canon powershot ELPH 350 HS
what editing software do you use? imovie and garageband

business & partnership contact - heardamber2001@gmail.com",PT4M27S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,440,20,0,1,https://i.ytimg.com/vi/4HMx5oPdQd0/maxresdefault.jpg,1280.0,720.0,"['Amber Heard', 'cover', 'acapella', 'singing', 'ZAYN', 'Sia', 'dusk till dawn', 'youtube']",,,,
youtube#video,HcM8S8W0CWBCG01dsbvGz5-lK14,961xmW15Cf0,2009-12-27T11:25:29Z,UCcRNbfse_kChGtqU_CXSUog,Amber Heard Never back down Hot scene !!!,Amber Heard  Never back down Hot sceneit s very hot Amber Heard Never back down Hot scene !!!,https://i.ytimg.com/vi/961xmW15Cf0/default.jpg,120,90,https://i.ytimg.com/vi/961xmW15Cf0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/961xmW15Cf0/hqdefault.jpg,480,360,,,,utumnfwz,22,none,Amber Heard Never back down Hot scene !!!,Amber Heard  Never back down Hot sceneit s very hot Amber Heard Never back down Hot scene !!!,PT2M31S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,15205347,7786,0,304,,,,"['Heard', 'porn', 'down', 'Amber', 'video', 'clip', 'xxx', 'Hot', '2008', 'Never', 'back', 'girls', 'boob', 'teen', 'bigtits', 'scenesex', 'kiss', 'movie', 'film']",,,"['AT', 'DE']",
youtube#video,F0Hg34B2ONRY6Mg5KEyuGvimT14,b7mTO18n468,2021-09-09T02:45:03Z,UCTlz4BHE6g6qEVtswlPbsFA,Never Back Down (Amber Heard & Sean Faris) - Kissing Scene,"Never Back Down (Amber Heard & Sean Faris) - Kissing Scene

A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.

Amber Heard : Baja Miller
Sean Faris : Jake Tyler 

#love #scene #kissing #movie #never #back #down #neverbackdown #amberheard #seanfaris #boxing #action",https://i.ytimg.com/vi/b7mTO18n468/default.jpg,120,90,https://i.ytimg.com/vi/b7mTO18n468/mqdefault.jpg,320,180,https://i.ytimg.com/vi/b7mTO18n468/hqdefault.jpg,480,360,https://i.ytimg.com/vi/b7mTO18n468/sddefault.jpg,640.0,480.0,FavorScene,1,none,Never Back Down (Amber Heard & Sean Faris) - Kissing Scene,"Never Back Down (Amber Heard & Sean Faris) - Kissing Scene

A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.

Amber Heard : Baja Miller
Sean Faris : Jake Tyler 

#love #scene #kissing #movie #never #back #down #neverbackdown #amberheard #seanfaris #boxing #action",PT17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3039,9,0,3,https://i.ytimg.com/vi/b7mTO18n468/maxresdefault.jpg,1280.0,720.0,"['lovescene', 'makelove', 'makeout', 'kissingscene', 'kissing', 'boxing', 'action', 'movie', 'amberheard', 'seanfaris', 'never', 'back', 'down', 'neverbackdown']",,,,
youtube#video,mVnUmw8RbDbnMVKznqyMLY1uUfA,c4_WvgwrKoo,2021-11-15T16:15:01Z,UC-lZTlG05ETwyjDS1JQCv3w,AMBER'S PETTY - Amber Heard WON'T Apologize to Johnny Depp After LOSING Again | Celebrity Craze,"AMBER'S PETTY - Amber Heard WON'T Apologize to Johnny Depp After LOSING Again | Celebrity Craze

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
------------------------------------------------------------------------------------------------------------------------------
Subscribe: https://www.youtube.com/channel/UC-lZTlG05ETwyjDS1JQCv3w/featured?sub_confirmation=1

CHECK OUT OUR OTHER VIDEOS!

Johnny Depp - Amber Heard Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZeBBelsB9UPo7VTXRu_zcu

David Dobrik Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZvMGJgSPbWh2dnA6a1d1aX

Justin Bieber Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZTJh_XpqH_BjfmbY4sRJJD

Kardashian Family Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZOHixd1sAisB2wgS5JzLua

This Channel intends to provide the most breaking celeb news, drama and controversies all in one place. Also, information not only about Celebrities from Hollywood Film Industry but also Famous People around the World. We maintain different Playlists which you could come back and watch videos from your desired interest category. 

We also promise to keep our viewers entertained. Thanks for taking your time to checkout the Channel!

Subscribe to never miss a video.",https://i.ytimg.com/vi/c4_WvgwrKoo/default.jpg,120,90,https://i.ytimg.com/vi/c4_WvgwrKoo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c4_WvgwrKoo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/c4_WvgwrKoo/sddefault.jpg,640.0,480.0,Celebrity Craze,24,none,AMBER'S PETTY - Amber Heard WON'T Apologize to Johnny Depp After LOSING Again | Celebrity Craze,"AMBER'S PETTY - Amber Heard WON'T Apologize to Johnny Depp After LOSING Again | Celebrity Craze

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
------------------------------------------------------------------------------------------------------------------------------
Subscribe: https://www.youtube.com/channel/UC-lZTlG05ETwyjDS1JQCv3w/featured?sub_confirmation=1

CHECK OUT OUR OTHER VIDEOS!

Johnny Depp - Amber Heard Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZeBBelsB9UPo7VTXRu_zcu

David Dobrik Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZvMGJgSPbWh2dnA6a1d1aX

Justin Bieber Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZTJh_XpqH_BjfmbY4sRJJD

Kardashian Family Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZOHixd1sAisB2wgS5JzLua

This Channel intends to provide the most breaking celeb news, drama and controversies all in one place. Also, information not only about Celebrities from Hollywood Film Industry but also Famous People around the World. We maintain different Playlists which you could come back and watch videos from your desired interest category. 

We also promise to keep our viewers entertained. Thanks for taking your time to checkout the Channel!

Subscribe to never miss a video.",PT8M32S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,143,16,0,6,https://i.ytimg.com/vi/c4_WvgwrKoo/maxresdefault.jpg,1280.0,720.0,"['celebrity craze', 'celebrity', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', ""AMBER'S PETTY - Amber Heard WON'T Apologize to Johnny Depp After LOSING Again"", 'justice for johnny depp']",en-US,,,en-US
youtube#video,4EOY2UpT_dP8xWWkfZCpSF3drsk,FaB4XjCxm3s,2021-06-28T15:13:43Z,UC-X32pnCMPE3Njrfp5ho9dQ,Hot Tribute to Amber Heard | Filmography | Part 1,"all rights reserved to the maker of the movies. This video is not monetized. It is created just for entertainment and out of respect and love for the actress.


0:05 Friday Night Lights
0:22 Drop Dead Sexy
0:35 North Country
0:59 Price to Pay
1:14 Alpha Dog
1:43 All the Boys Love Mandy Lane
2:13 Spin
2:32 Day 73 with Sarah
2:53 Remember the Daze
3:16 Never Back Down





Music Credit:
-------------------------------------------------------------------------------------
Cartoon - On & On (feat. Daniel Levi) [NCS Release]
https://www.youtube.com/watch?v=K4DyBUG242c

SoundCloud https://soundcloud.com/cartoonbaboon
Facebook https://www.facebook.com/cartoondband

Youtube https://www.youtube.com/user/danielle...
Facebook http://facebook.com/daniellevimusic
Instagram https://www.instagram.com/danielleviv...
--------------------------------------------------------------------------------------
Acoustic/Folk Instrumental by Hyde - Free Instrumentals https://soundcloud.com/davidhydemusic
Creative Commons — Attribution 3.0 Unported— CC BY 3.0 
Free Download / Stream:  https://bit.ly/acoustic-folk-instrume...
Music promoted by Audio Library https://youtu.be/YKdXVnaHfo8",https://i.ytimg.com/vi/FaB4XjCxm3s/default.jpg,120,90,https://i.ytimg.com/vi/FaB4XjCxm3s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FaB4XjCxm3s/hqdefault.jpg,480,360,,,,Kat Pis,24,none,Hot Tribute to Amber Heard | Filmography | Part 1,"all rights reserved to the maker of the movies. This video is not monetized. It is created just for entertainment and out of respect and love for the actress.


0:05 Friday Night Lights
0:22 Drop Dead Sexy
0:35 North Country
0:59 Price to Pay
1:14 Alpha Dog
1:43 All the Boys Love Mandy Lane
2:13 Spin
2:32 Day 73 with Sarah
2:53 Remember the Daze
3:16 Never Back Down





Music Credit:
-------------------------------------------------------------------------------------
Cartoon - On & On (feat. Daniel Levi) [NCS Release]
https://www.youtube.com/watch?v=K4DyBUG242c

SoundCloud https://soundcloud.com/cartoonbaboon
Facebook https://www.facebook.com/cartoondband

Youtube https://www.youtube.com/user/danielle...
Facebook http://facebook.com/daniellevimusic
Instagram https://www.instagram.com/danielleviv...
--------------------------------------------------------------------------------------
Acoustic/Folk Instrumental by Hyde - Free Instrumentals https://soundcloud.com/davidhydemusic
Creative Commons — Attribution 3.0 Unported— CC BY 3.0 
Free Download / Stream:  https://bit.ly/acoustic-folk-instrume...
Music promoted by Audio Library https://youtu.be/YKdXVnaHfo8",PT3M57S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1507,12,0,0,,,,,,ytAgeRestricted,,
youtube#video,jcEI9dqS649bBd98ezEbbk5VtxQ,f_Pag-wordo,2021-07-11T15:00:15Z,UCC4RIwjtWgIIJzXJRxHwuUQ,Amber Heard Reportedly Feels Like Her Career Is Safe Now | The HollyVibe,"""AMBER WON THE CASE"" Amber Heard Feels SHE'S WON and Her Career Is Safe Now | Celebrity Craze

Amber Heard remains at the frontline of celebrity news due to his ongoing legal battles with ex husband Johnny Depp. The Johnny Depp Amber Heard court case has gotten ugly for many reasons.

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#AmberHeard #JohnnyDepp #JusticeForJohnny #JackSparrow #Pirates


We tell you interesting things about these Hollywood celebrities that you may have never heard before.

Please subscribe to our channel to stay up to date with interesting facts about Hollywood Celebs.

Cheers!",https://i.ytimg.com/vi/f_Pag-wordo/default.jpg,120,90,https://i.ytimg.com/vi/f_Pag-wordo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/f_Pag-wordo/hqdefault.jpg,480,360,,,,The HollyVibe,24,none,Amber Heard Reportedly Feels Like Her Career Is Safe Now | The HollyVibe,"""AMBER WON THE CASE"" Amber Heard Feels SHE'S WON and Her Career Is Safe Now | Celebrity Craze

Amber Heard remains at the frontline of celebrity news due to his ongoing legal battles with ex husband Johnny Depp. The Johnny Depp Amber Heard court case has gotten ugly for many reasons.

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#AmberHeard #JohnnyDepp #JusticeForJohnny #JackSparrow #Pirates


We tell you interesting things about these Hollywood celebrities that you may have never heard before.

Please subscribe to our channel to stay up to date with interesting facts about Hollywood Celebs.

Cheers!",PT8M8S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,73,2,0,1,,,,"['celebrity', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', 'justice for johnny depp', 'pirates of the caribbean', 'jack sparrow', 'captain jack sparrow', 'Johnny Depp RUINED by DISNEY and REMOVED from Captain Jack Sparrow', 'the hollyvibe']",en-US,,,en-US
youtube#video,4DhLaF-LGX9KdTAMODpyEG5Omr0,G-fIRqvy6yQ,2015-09-15T02:28:22Z,UC6ARUw6neVd4XsgzF5wfLpg,"TIFF 2015:  Amber Heard Tells Here Mom To ""Never Make Eye Contact"" with the Press","Amber Heard was was walking the TIFF carpet to suport Johnny Depp at the ""Black Mass"" screening, and told her mom ""never make eye contact"" with the press!",https://i.ytimg.com/vi/G-fIRqvy6yQ/default.jpg,120,90,https://i.ytimg.com/vi/G-fIRqvy6yQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/G-fIRqvy6yQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/G-fIRqvy6yQ/sddefault.jpg,640.0,480.0,KiSS 92.5,24,none,"TIFF 2015:  Amber Heard Tells Here Mom To ""Never Make Eye Contact"" with the Press","Amber Heard was was walking the TIFF carpet to suport Johnny Depp at the ""Black Mass"" screening, and told her mom ""never make eye contact"" with the press!",PT19S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,66359,63,0,40,,,,"['Toronto International Film Festival (Film Festival)', 'TIFF', 'Amber Heard (Celebrity)', 'Johnny Depp (Celebrity)', 'KiSS 92.5', 'Kiss (Radio Station)', 'CKIS-FM', 'Toronto (City/Town/Village)', 'Roz & Mocha', 'The Roz & Mocha Show', 'Mocha Frapp', 'Roz Weston', 'Damnit Maurie', 'Maurie Sherman', 'Black Mass']",,,,
youtube#video,_4AF_KToXHthqf_BFRzUFBEHyeI,H6ciAY-9iNw,2021-08-27T02:42:33Z,UCgTDxdd_gY50QJZ5OLxWVZA,🔥Amber Heard Hottest Scene Ever | ULTRA HD Vertical Edit,,https://i.ytimg.com/vi/H6ciAY-9iNw/default.jpg,120,90,https://i.ytimg.com/vi/H6ciAY-9iNw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/H6ciAY-9iNw/hqdefault.jpg,480,360,,,,Movie Hotties 2.O,24,none,🔥Amber Heard Hottest Scene Ever | ULTRA HD Vertical Edit,,PT3M12S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,5256,43,0,0,,,,,,ytAgeRestricted,,
