kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultLanguage,snippet.defaultAudioLanguage,contentDetails.contentRating.ytRating
youtube#video,Yh7KmsxdS067cZos6mcVRViDP1U,4mZgm_TyjxI,2015-03-18T12:50:08Z,UCnfbIGXZc4_yDTGRgUey7lQ,Johnny Depp and Amber Heard held a second wedding ceremony on his island,"The couple exchanged vows under a white marquee decorated with white flowers, smiling and gazing into each other's eyes as guests looked on.

Amber wore a long-sleeved white vintage wedding gown and veil that fell to the floor. Johnny was dressed in a white tuxedo jacket and black trousers, as was his 12-year-old son Jack, who was reportedly his best man. The star's 15-year-old daughter Lily Rose was also in attendance.

The bride was flanked by a number of bridesmaids, who wore blush-coloured gowns and white heels, which they kicked off to walk in the sand, E! Online reports.

After the ceremony, which lasted around 30 minutes, guests gathered in a pavilion set back from the beach for drinks with the happy couple.",https://i.ytimg.com/vi/4mZgm_TyjxI/default.jpg,120,90,https://i.ytimg.com/vi/4mZgm_TyjxI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4mZgm_TyjxI/hqdefault.jpg,480,360,World of Wedding,"['Amber Heard (Celebrity)', 'Johnny Depp (Celebrity)', 'Ceremony (Quotation Subject)', 'Music (TV Genre)', 'Wedding', 'Television (Invention)', 'His', 'Jack', 'Island', 'Drama', 'Pirates', 'John F. Kennedy (US President)', 'Total', 'Your', 'Caribbean', 'Action', 'Hand', 'Hands', 'Keep', 'Put', 'Hold', 'Won', 'Holding', 'Clap', 'Your Hands', 'Put Your', 'Down', 'Sparrow', 'Held', 'Captain', 'Orlando', 'Tenacious', 'Elizabeth', 'Pirates Caribbean', 'End', 'Kyle', 'Pick']",22,none,Johnny Depp and Amber Heard held a second wedding ceremony on his island,"The couple exchanged vows under a white marquee decorated with white flowers, smiling and gazing into each other's eyes as guests looked on.

Amber wore a long-sleeved white vintage wedding gown and veil that fell to the floor. Johnny was dressed in a white tuxedo jacket and black trousers, as was his 12-year-old son Jack, who was reportedly his best man. The star's 15-year-old daughter Lily Rose was also in attendance.

The bride was flanked by a number of bridesmaids, who wore blush-coloured gowns and white heels, which they kicked off to walk in the sand, E! Online reports.

After the ceremony, which lasted around 30 minutes, guests gathered in a pavilion set back from the beach for drinks with the happy couple.",PT2M1S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,587,1,0,0,,,,,,,,,
youtube#video,oTP14k0s_5IICGLvQ0hQ-1EqFfA,74gjPUiUxrU,2020-06-08T21:51:29Z,UCy8YFzbkvYTQOQxjgE3UTBQ,Women Don't Want To Report Abuse-(Amber Heard Playlist),,https://i.ytimg.com/vi/74gjPUiUxrU/default.jpg,120,90,https://i.ytimg.com/vi/74gjPUiUxrU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/74gjPUiUxrU/hqdefault.jpg,480,360,The Amber Heard Playlist!!,,22,none,Women Don't Want To Report Abuse-(Amber Heard Playlist),,PT48M29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,36,0,0,,https://i.ytimg.com/vi/74gjPUiUxrU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/74gjPUiUxrU/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,7SWeU9RTKzOaQJPRI1Lg8K98bGg,7u1oQN1MZ1g,2016-04-18T13:49:54Z,UChlnBlkI2P2bITMPPBJxSrQ,"Johnny Depp, Amber Heard Apologize for Smuggling Dog","Johnny Depp and Amber Heard ApJohnny Depp, Amber Heardologize for Smuggling Dog | The stars were said to have failed to report their two dogs properly .

Exclusive visuals of Johnny Depp and wife Amber Heard apologizing for smuggling their pet dog inside Australia is going viral across the globe. However, the .

After illegally trying to smuggle her dogs into Australia, the case between the land down under and Amber Heard has resulted in an odd video. She and her .

Johnny Depp and Amber Heard have released this awkward apology video after Heard brought the couple's Yorkshire Terriers (Pistol and Boo) into Australia .",https://i.ytimg.com/vi/7u1oQN1MZ1g/default.jpg,120,90,https://i.ytimg.com/vi/7u1oQN1MZ1g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7u1oQN1MZ1g/hqdefault.jpg,480,360,Latest News,"['Johnny Depp', 'Amber Heard', 'Smuggling Dog', 'Australia', 'johnny depp dog', 'amber heard dog']",25,none,"Johnny Depp, Amber Heard Apologize for Smuggling Dog","Johnny Depp and Amber Heard ApJohnny Depp, Amber Heardologize for Smuggling Dog | The stars were said to have failed to report their two dogs properly .

Exclusive visuals of Johnny Depp and wife Amber Heard apologizing for smuggling their pet dog inside Australia is going viral across the globe. However, the .

After illegally trying to smuggle her dogs into Australia, the case between the land down under and Amber Heard has resulted in an odd video. She and her .

Johnny Depp and Amber Heard have released this awkward apology video after Heard brought the couple's Yorkshire Terriers (Pistol and Boo) into Australia .",PT2M39S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3,0,0,0,https://i.ytimg.com/vi/7u1oQN1MZ1g/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/7u1oQN1MZ1g/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,anUF3wowqyevD3Sg8hVUuYLum6o,8cdCdknuUE0,2021-09-24T14:10:22Z,UCTSi4gPt74YG23vaAY8He5w,Amber Heard subpoenas LAPD for records in 2016 domestic disturbance incident with Johnny Depp: ...,"Amber Heard subpoenas LAPD for records in 2016 domestic disturbance incident with Johnny Depp: report

Fox News Flash top entertainment and celebrity headlines are here. Check out what's clicking today i...
=========================
Thank for your watching!
#breaking #news #breakingnews",https://i.ytimg.com/vi/8cdCdknuUE0/default.jpg,120,90,https://i.ytimg.com/vi/8cdCdknuUE0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8cdCdknuUE0/hqdefault.jpg,480,360,Breaking Celebrity News,,24,none,Amber Heard subpoenas LAPD for records in 2016 domestic disturbance incident with Johnny Depp: ...,"Amber Heard subpoenas LAPD for records in 2016 domestic disturbance incident with Johnny Depp: report

Fox News Flash top entertainment and celebrity headlines are here. Check out what's clicking today i...
=========================
Thank for your watching!
#breaking #news #breakingnews",PT3M20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,5,,0,0,https://i.ytimg.com/vi/8cdCdknuUE0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8cdCdknuUE0/maxresdefault.jpg,1280.0,720.0,en-US,en-US,
youtube#video,_rEZ4wLQFYh5vJTFnUt10YyxzCk,8K6fMg-0JjQ,2021-09-19T12:45:01Z,UCAmaiEYnoTgj-dmjp8DpepQ,DISNEY REHIRES Johnny Depp - The Media Begins TO TURN ON DISNEY and Amber Heard | The Gossipy,"DISNEY REHIRES Johnny Depp- The Media Begins TO TURN ON DISNEY and Amber Heard | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
----------------------------------------------------------------------------------------------

Welcome to The Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",https://i.ytimg.com/vi/8K6fMg-0JjQ/default.jpg,120,90,https://i.ytimg.com/vi/8K6fMg-0JjQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8K6fMg-0JjQ/hqdefault.jpg,480,360,The Gossipy,"['The Gossipy', 'celebrity craze', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', 'DISNEY REHIRES Johnny Depp - The Media Begins TO TURN ON DISNEY and Amber Heard', 'celeb news', 'hollywood news', 'johnny depp amber heard audio']",24,none,DISNEY REHIRES Johnny Depp - The Media Begins TO TURN ON DISNEY and Amber Heard | The Gossipy,"DISNEY REHIRES Johnny Depp- The Media Begins TO TURN ON DISNEY and Amber Heard | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
----------------------------------------------------------------------------------------------

Welcome to The Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",PT8M8S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3324,95,0,18,https://i.ytimg.com/vi/8K6fMg-0JjQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8K6fMg-0JjQ/maxresdefault.jpg,1280.0,720.0,en-US,en-US,
youtube#video,CVB0qGiULKSDGNwaynYuVnWoI-s,aa3h2c7TTp8,2020-05-18T11:00:04Z,UCsEaTDlh3kfgl17DnaRFW2g,Did Amber Heard Fake A Bloody Nose With Red Nail Polish?,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCsEaTDlh3kfgl17DnaRFW2g/join

TIP JAR ~ Tips and donations are not expected but greatly appreciated. 
https://paypal.me/lesleepowers


Can I follow you on Twitter?https://twitter.com/spirituallyemp1

➤FOR ONE ON ONE COACHING WITH ME   https://bookwithspirituallyempoweredcoaching.as.me/ 

➤Email me support@empowerandthrive.ca

#justiceforjohnnydepp",https://i.ytimg.com/vi/aa3h2c7TTp8/default.jpg,120,90,https://i.ytimg.com/vi/aa3h2c7TTp8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aa3h2c7TTp8/hqdefault.jpg,480,360,SEC,"['Narcissist', 'certified Life Coach', 'abuse', 'mindset', 'allegations', 'amber heard', 'amber heard ~ lies', 'amber heard aquaman', 'amber heard johnny depp', 'aquaman', 'certified life coach', 'deception and threats', 'disney', 'domestic abuse', 'entertainment', 'evidence', 'hoax', 'hollywood', 'hollywood news', 'johnny depp', 'johnny depp amber heard', 'johnny depp amber heard audio reaction', 'law of attraction', 'lawsuit', 'lies', 'narcissist', 'news', 'pirates of the caribbean', 'the secret']",22,none,Did Amber Heard Fake A Bloody Nose With Red Nail Polish?,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCsEaTDlh3kfgl17DnaRFW2g/join

TIP JAR ~ Tips and donations are not expected but greatly appreciated. 
https://paypal.me/lesleepowers


Can I follow you on Twitter?https://twitter.com/spirituallyemp1

➤FOR ONE ON ONE COACHING WITH ME   https://bookwithspirituallyempoweredcoaching.as.me/ 

➤Email me support@empowerandthrive.ca

#justiceforjohnnydepp",PT6M4S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,1867,108,0,22,https://i.ytimg.com/vi/aa3h2c7TTp8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aa3h2c7TTp8/maxresdefault.jpg,1280.0,720.0,en-GB,en-CA,
youtube#video,Zo4uLE_k33-oXqLS3DmP_wk8ox4,apUoIO6YnEc,2020-08-18T13:58:07Z,UC0FBCW_VwQUjlw4BdTgounA,"Amber Heard kunjungi Masjid Istanbul Turki, Pakaiannya Jadi Sorotan dan Dikecam Umat Islam","Miftah's TV -- Aktris Amber Heard sedang liburan di Turki dengan salah satunya menyambangi masjid di Istanbul. Pakaiannya menimbulkan polemik karena dinilai tak pantas.

Amber mengunggah foto sedang berada di Istanbul lewat Instagram pada Sabtu (16/8/2020). Dia memberi keterangan,""Menghabiskan hari dengan menjelajahi keajaiban masjid Istanbul dan sangat mencintai kota yang indah ini"".

Penampilan Amber Heard memakai blouse berbelahan dada rendah dan diduga tidak memakai bra menjadi perhatian warganet.

""Amber Heard tidak menaruh hormat kepada agama dan ras yang sudah kita lihat berulang kali. Mengunggah foto saat berkeliling ke masjid. Memakai hijab hanya sebagai asesoris fashion. Rambut dan leher terlihat dan tak memakai bra,"" begitulah cuitan salah satu netizen di Twitter.
 #AmberHeard.""
============================================
Agar Kamu Ngga Ketinggalan Update Video dari Channel Miftah's TV, Jangan Lupa, Klik Subscribe & Nyalakan 🔔'nya
▬▬▬▬▬▬▬▬▬▬▬▬  ✪  ▬▬▬▬▬▬▬▬▬▬▬▬
Jika Anda meyakini bahwa ada Materi, Gambar, Video, Audio atau Kekayaan Intelektual milik anda yang dilindungi hak cipta atau yang lainnya telah ditampilkan pada Video di Channel Miftah's TV tanpa izin dari Anda, harap Kontak Langsung ke : miftahfaridfrd@gmail.com  Kami akan Menghapusnya Jika Jelas dan telah sesuai Undang-Undang Komunitas Youtube.

Copyright Disclaimer :
🔰 Under section 107 of the Copyright Act of 1976
🔰 Every Video, Audio, Footage, Image etc in this content under terms of Fair Use, Permitted by Copyright Statute.
🔰 Every Content in this Channel for purpose such as Education, News Report, interpretation etc.

Copyright © 2020 Miftah's TV — All Rights Reserved",https://i.ytimg.com/vi/apUoIO6YnEc/default.jpg,120,90,https://i.ytimg.com/vi/apUoIO6YnEc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/apUoIO6YnEc/hqdefault.jpg,480,360,Miftah's TV,"['amber heard', 'istanbul', 'turki', 'turkey', 'mosque', 'amber heard di istanbul']",19,none,"Amber Heard kunjungi Masjid Istanbul Turki, Pakaiannya Jadi Sorotan dan Dikecam Umat Islam","Miftah's TV -- Aktris Amber Heard sedang liburan di Turki dengan salah satunya menyambangi masjid di Istanbul. Pakaiannya menimbulkan polemik karena dinilai tak pantas.

Amber mengunggah foto sedang berada di Istanbul lewat Instagram pada Sabtu (16/8/2020). Dia memberi keterangan,""Menghabiskan hari dengan menjelajahi keajaiban masjid Istanbul dan sangat mencintai kota yang indah ini"".

Penampilan Amber Heard memakai blouse berbelahan dada rendah dan diduga tidak memakai bra menjadi perhatian warganet.

""Amber Heard tidak menaruh hormat kepada agama dan ras yang sudah kita lihat berulang kali. Mengunggah foto saat berkeliling ke masjid. Memakai hijab hanya sebagai asesoris fashion. Rambut dan leher terlihat dan tak memakai bra,"" begitulah cuitan salah satu netizen di Twitter.
 #AmberHeard.""
============================================
Agar Kamu Ngga Ketinggalan Update Video dari Channel Miftah's TV, Jangan Lupa, Klik Subscribe & Nyalakan 🔔'nya
▬▬▬▬▬▬▬▬▬▬▬▬  ✪  ▬▬▬▬▬▬▬▬▬▬▬▬
Jika Anda meyakini bahwa ada Materi, Gambar, Video, Audio atau Kekayaan Intelektual milik anda yang dilindungi hak cipta atau yang lainnya telah ditampilkan pada Video di Channel Miftah's TV tanpa izin dari Anda, harap Kontak Langsung ke : miftahfaridfrd@gmail.com  Kami akan Menghapusnya Jika Jelas dan telah sesuai Undang-Undang Komunitas Youtube.

Copyright Disclaimer :
🔰 Under section 107 of the Copyright Act of 1976
🔰 Every Video, Audio, Footage, Image etc in this content under terms of Fair Use, Permitted by Copyright Statute.
🔰 Every Content in this Channel for purpose such as Education, News Report, interpretation etc.

Copyright © 2020 Miftah's TV — All Rights Reserved",PT2M32S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1628,6,0,0,https://i.ytimg.com/vi/apUoIO6YnEc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/apUoIO6YnEc/maxresdefault.jpg,1280.0,720.0,id,id,
youtube#video,H49UPFFivzhsGjwpLGRiYz_2Z-I,ARpUP_3lwTI,2020-05-19T04:00:04Z,UChs7lcuw4qOCxl3SJRPuidQ,Amber Heard cut off with her father when he spoke out to protect Johnny Depp: Report,,https://i.ytimg.com/vi/ARpUP_3lwTI/default.jpg,120,90,https://i.ytimg.com/vi/ARpUP_3lwTI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ARpUP_3lwTI/hqdefault.jpg,480,360,DT Media,"['DT Media', 'news', 'Amber Heard', 'cut off', 'father', 'spoke out', 'protect', 'Johnny Depp', 'Report']",24,none,Amber Heard cut off with her father when he spoke out to protect Johnny Depp: Report,,PT3M27S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,1462,12,0,5,https://i.ytimg.com/vi/ARpUP_3lwTI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/ARpUP_3lwTI/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,PtQEzUWyEqo6kTOrjZHd9Lf-2zE,aT3DLerI-dk,2020-12-27T17:43:24Z,UCLJb5eQdhvHpz-ubhzs2kVw,AMBER HEARD A POSSIBLE NEW DISNEY PRINCESS?,"From the rumors of her being Sue Storm and many other characters in other places. This has got to be the most weirdest one, and for good reason. To me, she doesn't really have that 'vibe' going for her. More of a villainess type of vibe if you ask me. 

Follow me on my other social media!
My twitter: https://twitter.com/KateDazzling 
My deviantart: https://www.deviantart.com/dazzlingkate 
My Facebook: https://www.facebook.com/DazzlingKate22",https://i.ytimg.com/vi/aT3DLerI-dk/default.jpg,120,90,https://i.ytimg.com/vi/aT3DLerI-dk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aT3DLerI-dk/hqdefault.jpg,480,360,DazzlingKate22,"['Comic news', 'entertainment news', 'disney', 'disney princess', 'amber heard', 'disney amber heard', 'rumors', 'amber heard as a disney princess', 'sjw', 'get woke go broke']",24,none,AMBER HEARD A POSSIBLE NEW DISNEY PRINCESS?,"From the rumors of her being Sue Storm and many other characters in other places. This has got to be the most weirdest one, and for good reason. To me, she doesn't really have that 'vibe' going for her. More of a villainess type of vibe if you ask me. 

Follow me on my other social media!
My twitter: https://twitter.com/KateDazzling 
My deviantart: https://www.deviantart.com/dazzlingkate 
My Facebook: https://www.facebook.com/DazzlingKate22",PT10M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,107,0,0,21,https://i.ytimg.com/vi/aT3DLerI-dk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aT3DLerI-dk/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,ErEpdK-PuwKsmKTst2vbPVTSPQs,atpvDWNW4KE,2020-11-23T18:53:32Z,UCpRbx6QWC70rmmWZ2ys5X3w,Your Weekly Memes but I report Amber Heard,"Don't forget to LIKE the video and SUBSCRIBE if you have enjoyed, I release content almost daily, also SHARE the video with a friend to spread the good vibes.







#YourWeeklyMemes #Memes #MemeCompilation",https://i.ytimg.com/vi/atpvDWNW4KE/default.jpg,120,90,https://i.ytimg.com/vi/atpvDWNW4KE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/atpvDWNW4KE/hqdefault.jpg,480,360,iOGD,"['iOGD', 'your weekly memes', 'funny memes', 'funny memes comppilation', '2020 memes', 'amber heard', 'joe biden memes']",24,none,Your Weekly Memes but I report Amber Heard,"Don't forget to LIKE the video and SUBSCRIBE if you have enjoyed, I release content almost daily, also SHARE the video with a friend to spread the good vibes.







#YourWeeklyMemes #Memes #MemeCompilation",PT8M43S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,15,4,0,2,https://i.ytimg.com/vi/atpvDWNW4KE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/atpvDWNW4KE/maxresdefault.jpg,1280.0,720.0,en,en-US,
