kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.contentRating.ytRating,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultAudioLanguage,snippet.defaultLanguage
youtube#video,5LwxMbwmVr8j1t_QERBYXfSBLT4,-ZWwjPpHC14,2020-11-28T22:01:53Z,UCP9C5mrOcBsvFJt9VvOwoSQ,CBS’s The Stand 2020 (why I won’t watch/support it)/The Amber Heard ruling,"Info on the show: https://www.cbs.com/shows/the-stand/

Also, Josh Boone is the main creator of the show, as well as Owen King and Stephen King who also have had some creative say/control in it as well.",https://i.ytimg.com/vi/-ZWwjPpHC14/default.jpg,120,90,https://i.ytimg.com/vi/-ZWwjPpHC14/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-ZWwjPpHC14/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-ZWwjPpHC14/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-ZWwjPpHC14/maxresdefault.jpg,1280.0,720.0,Steve Trowbridge,25,none,CBS’s The Stand 2020 (why I won’t watch/support it)/The Amber Heard ruling,"Info on the show: https://www.cbs.com/shows/the-stand/

Also, Josh Boone is the main creator of the show, as well as Owen King and Stephen King who also have had some creative say/control in it as well.",PT19M52S,2d,hd,false,False,ytAgeRestricted,rectangular,processed,public,youtube,True,True,False,121,9,0,10,,,
youtube#video,KAr1uS7Q7mfrxBlQiVvxFKG88wM,2oaOyyESQOU,2011-11-14T06:51:22Z,UCO5vtkTKXRT3F5VpSDGHc4A,Jensen Ackles + Amber Heard - Won't Back Down,,https://i.ytimg.com/vi/2oaOyyESQOU/default.jpg,120,90,https://i.ytimg.com/vi/2oaOyyESQOU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2oaOyyESQOU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2oaOyyESQOU/sddefault.jpg,640.0,480.0,,,,AriaApril,24,none,Jensen Ackles + Amber Heard - Won't Back Down,,PT4M4S,2d,sd,false,False,,rectangular,processed,public,youtube,True,True,False,2955,44,0,1,"['Jensen', 'Ackles', 'Amber', 'Heard', ""Won't"", 'Back', 'Down']",,
youtube#video,FwUF98nauz8W4GdlFZNp_N_NBSk,3Y2icHOgC5U,2012-02-28T08:00:00Z,UCJQplYDHQjYbmADXC-_y27Q,Miranda Lambert - Over You,"The official music video for “Over You” by Miranda Lambert. 
Purchase/Stream Four The Record: http://smarturl.it/ML-FourTheRecord?IQid=youtube 
Sign up to receive email updates from Miranda Lambert: http://2ml.us/yt-updates
 
Subscribe to Miranda Lambert’s Channel: http://smarturl.it/MLYTsub?IQid=youtube 

See Miranda Lambert on Tour: http://2ml.us/yt-tour 

Follow Miranda: 
Facebook: https://www.facebook.com/MirandaLambert 
Instagram: http://instagram.com/MirandaLambert 
Twitter: https://twitter.com/mirandalambert 

#MirandaLambert #OverYou #FourtheRecord #CountryMusic",https://i.ytimg.com/vi/3Y2icHOgC5U/default.jpg,120,90,https://i.ytimg.com/vi/3Y2icHOgC5U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3Y2icHOgC5U/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3Y2icHOgC5U/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3Y2icHOgC5U/maxresdefault.jpg,1280.0,720.0,mirandalambertVEVO,10,none,Miranda Lambert - Over You,"The official music video for “Over You” by Miranda Lambert. 
Purchase/Stream Four The Record: http://smarturl.it/ML-FourTheRecord?IQid=youtube 
Sign up to receive email updates from Miranda Lambert: http://2ml.us/yt-updates
 
Subscribe to Miranda Lambert’s Channel: http://smarturl.it/MLYTsub?IQid=youtube 

See Miranda Lambert on Tour: http://2ml.us/yt-tour 

Follow Miranda: 
Facebook: https://www.facebook.com/MirandaLambert 
Instagram: http://instagram.com/MirandaLambert 
Twitter: https://twitter.com/mirandalambert 

#MirandaLambert #OverYou #FourtheRecord #CountryMusic",PT4M14S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,40584878,197642,0,9468,"['miranda lambert', 'over you miranda lambert', 'over you', 'miranda lambert over you', 'miranda lambert songs', 'you went away miranda lambert', 'miranda lambert how dare you', 'sad songs', 'how dare you i miss you miranda lambert', 'miranda lambert i miss you', 'blake shelton', 'blake shelton and miranda lambert', 'miranda lambert you went away', 'Bluebird', 'the house that built me', ""somethin' bad"", ""mama's broken heart"", 'tin man', 'little red wagon', 'gunpowder and lead', 'music']",en-US,
youtube#video,bC22XjAOrUK-Ufe7bzNcyd2t5Ew,4fRCx-6NqQ8,2021-08-03T21:00:01Z,UCoHtJO5LWXWnqBNjBlXiKyQ,Amber Heard's Friend Just Testified AGAINST HER!,"►Amber Heard's Friend Just Testified AGAINST HER! 
Not all love stories have happy endings. So was the case with Amber Heard and Johnny Depp. They had met on the set of The Rum Diary, People magazine reported that Depp and Heard were engaged after a picture emerged of the actress wearing an ornate engagement ring, which was later confirmed by Johnny Depp in a video interview with the Daily Mail. They married in 2015 in a private ceremony. 

🧡 If you enjoyed this video please consider leaving a like and a comment telling us what you thought 🧡

Here on Viral Uncut we are all about the latest celebrity news and the hottest spill. We consider ourselves a drama channel, so you can definitely expect to see all of the latest news and drama talked about here on our channel! If this sounds like somehting for you - please consider subscribing to the channel

#AmberHeardLoosing #AmberHeardCourt #JusticeForJohnny #ViralUncut",https://i.ytimg.com/vi/4fRCx-6NqQ8/default.jpg,120,90,https://i.ytimg.com/vi/4fRCx-6NqQ8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4fRCx-6NqQ8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4fRCx-6NqQ8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/4fRCx-6NqQ8/maxresdefault.jpg,1280.0,720.0,Viral Uncut,24,none,Amber Heard's Friend Just Testified AGAINST HER!,"►Amber Heard's Friend Just Testified AGAINST HER! 
Not all love stories have happy endings. So was the case with Amber Heard and Johnny Depp. They had met on the set of The Rum Diary, People magazine reported that Depp and Heard were engaged after a picture emerged of the actress wearing an ornate engagement ring, which was later confirmed by Johnny Depp in a video interview with the Daily Mail. They married in 2015 in a private ceremony. 

🧡 If you enjoyed this video please consider leaving a like and a comment telling us what you thought 🧡

Here on Viral Uncut we are all about the latest celebrity news and the hottest spill. We consider ourselves a drama channel, so you can definitely expect to see all of the latest news and drama talked about here on our channel! If this sounds like somehting for you - please consider subscribing to the channel

#AmberHeardLoosing #AmberHeardCourt #JusticeForJohnny #ViralUncut",PT6M5S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,89,5,0,0,"['viral uncut', 'spill', 'drama channel', 'hollywood news', 'celebrity news', ""amber heard's friend just testified against her"", 'clevver news', 'thatumbrellaguy johnny depp', 'johnny depp appeal', 'that umbrella guy johnny depp', 'amber heard donation', 'celeb news', 'amber heard', 'amber heard lawsuit', 'amber heard news', 'amber heard elon musk', 'johnny depp suing amber heard', 'amber heard loses', 'amber heard judge ruling', 'johnny depp defamation', 'amber heard aquaman 2', 'johnny depp news']",en,en
youtube#video,KR3KofeTs4QfXjUmKkf0BUc8Ci8,4njjhHs508g,2020-11-10T00:50:29Z,UCqj4wIlc4HGsD6vMQT2_cMg,Johnny Depp Amber Heard Audio Proof,Amber Heard says she can’t promise she won’t get physical.,https://i.ytimg.com/vi/4njjhHs508g/default.jpg,120,90,https://i.ytimg.com/vi/4njjhHs508g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4njjhHs508g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4njjhHs508g/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/4njjhHs508g/maxresdefault.jpg,1280.0,720.0,lolURM0Mlol,20,none,Johnny Depp Amber Heard Audio Proof,Amber Heard says she can’t promise she won’t get physical.,PT2M26S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,66,2,0,0,,en,
youtube#video,GoPe5lklAEl7jBltDcujMJoDdms,7YEQHBx8gG4,2020-12-30T10:24:54Z,UCG2QYlhnYYxksvv6ve11ijw,Brie Larson OR Amber Heard ? Who is the most disliked and why ?,"Brie Larson or Amber Heard ? Who is the most disliked and why ? We will discuss why these two have such negativity towards them, but who is the worse of the two ?",https://i.ytimg.com/vi/7YEQHBx8gG4/default.jpg,120,90,https://i.ytimg.com/vi/7YEQHBx8gG4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7YEQHBx8gG4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7YEQHBx8gG4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/7YEQHBx8gG4/maxresdefault.jpg,1280.0,720.0,Rob's Rules,24,none,Brie Larson OR Amber Heard ? Who is the most disliked and why ?,"Brie Larson or Amber Heard ? Who is the most disliked and why ? We will discuss why these two have such negativity towards them, but who is the worse of the two ?",PT11M31S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,1440,156,0,164,"['amber heard', 'amber heard 2020 takeaway', 'amber heard aquaman', 'amber heard channel', 'amber heard disliked', 'amber heard johnny depp', 'amber heard new video', 'amber heard the stand', ""amber heard they won't believe you"", 'amber heard vs johnny depp', 'amber heard youtube video', 'brie larson', 'brie larson captain marvel', 'brie larson interview', 'brie larson youtube channel', 'captain marvel', 'captain marvel 2', 'depp heard', 'johnny depp', 'johnny depp amber heard', 'justice for johnny depp']",en,
youtube#video,DSWPuYmndpni5SnvWWItm0f9IKA,bY55RP7ed5c,2021-09-24T23:30:03Z,UCewayCXyIfgrraIi2AGwJZQ,Amber Heard Being Hilarious! Part 2,"Welcome to Popping Celeb!

In today's video you will see Amber Heard Being Hilarious! Part 2 
Watch until the end, you won't believe what Amber Heard did.

Make sure to LIKE and SUBSCRIBE if you enjoyed today's video!
ALSO, make sure to turn our post notifications on so you NEVER miss an upload from us!

COMMENT down below what videos you would like to see next!

#celebrities #amberheard #funnymoments #poppingceleb",https://i.ytimg.com/vi/bY55RP7ed5c/default.jpg,120,90,https://i.ytimg.com/vi/bY55RP7ed5c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bY55RP7ed5c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bY55RP7ed5c/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/bY55RP7ed5c/maxresdefault.jpg,1280.0,720.0,Popping Celeb,24,none,Amber Heard Being Hilarious! Part 2,"Welcome to Popping Celeb!

In today's video you will see Amber Heard Being Hilarious! Part 2 
Watch until the end, you won't believe what Amber Heard did.

Make sure to LIKE and SUBSCRIBE if you enjoyed today's video!
ALSO, make sure to turn our post notifications on so you NEVER miss an upload from us!

COMMENT down below what videos you would like to see next!

#celebrities #amberheard #funnymoments #poppingceleb",PT4M47S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,6,0,0,0,"['amber heard', 'amber heard johnny depp', 'johnny depp amber heard', 'amber heard aquaman 2', 'amber heard aquaman', 'johnny depp and amber heard', 'amber heard fired', 'johnny depp amber heard audio', 'amber heard audio', 'amber heard and johnny depp', 'johnny depp amber heard court', 'amber heard deposition', 'amber heard lawsuit', 'amber heard being rude', 'amber heard abuse', 'amber heard facing 10 years', 'amber heard petition', 'amber heard interview', 'amber heard interviews', 'depp heard', 'celebrity news']",en,
youtube#video,qbo0xAOUVEwGxg9wzwhlUUpHZvs,D20coSWsBZA,2020-02-21T11:33:16Z,UCxFzpY6V1mvp7OubZetSTxw,Amber Heard MOCKS Johnny Depp   Says No One Will Believe Him In Court,Amber Heard MOCKS Johnny Depp   Says No One Will Believe Him In Court,https://i.ytimg.com/vi/D20coSWsBZA/default.jpg,120,90,https://i.ytimg.com/vi/D20coSWsBZA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/D20coSWsBZA/hqdefault.jpg,480,360,,,,,,,Mixed Magic,22,none,Amber Heard MOCKS Johnny Depp   Says No One Will Believe Him In Court,Amber Heard MOCKS Johnny Depp   Says No One Will Believe Him In Court,PT6M38S,2d,sd,false,False,,rectangular,processed,public,youtube,True,True,False,51,2,0,0,,,
youtube#video,7s_q0bL7zLfdhb2z3ok7F7EkQIs,DQYNM6SjD_o,2010-03-31T20:07:24Z,UCJQplYDHQjYbmADXC-_y27Q,Miranda Lambert - The House That Built Me,"The official music video for “The House That Built Me” by Miranda Lambert. 
Purchase/Stream Revolution: http://smarturl.it/ML-Revolution?IQid=youtube 
Sign up to receive email updates from Miranda Lambert: http://2ml.us/yt-updates 

Subscribe to Miranda Lambert’s Channel: http://smarturl.it/MLYTsub?IQid=youtube 

See Miranda Lambert on Tour: http://2ml.us/yt-tour 

Follow Miranda: 
Facebook: https://www.facebook.com/MirandaLambert 
Instagram: http://instagram.com/MirandaLambert 
Twitter: https://twitter.com/mirandalambert 

#MirandaLambert #TheHouseThatBuiltMe #Revolution #CountryMusic",https://i.ytimg.com/vi/DQYNM6SjD_o/default.jpg,120,90,https://i.ytimg.com/vi/DQYNM6SjD_o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DQYNM6SjD_o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/DQYNM6SjD_o/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/DQYNM6SjD_o/maxresdefault.jpg,1280.0,720.0,mirandalambertVEVO,10,none,Miranda Lambert - The House That Built Me,"The official music video for “The House That Built Me” by Miranda Lambert. 
Purchase/Stream Revolution: http://smarturl.it/ML-Revolution?IQid=youtube 
Sign up to receive email updates from Miranda Lambert: http://2ml.us/yt-updates 

Subscribe to Miranda Lambert’s Channel: http://smarturl.it/MLYTsub?IQid=youtube 

See Miranda Lambert on Tour: http://2ml.us/yt-tour 

Follow Miranda: 
Facebook: https://www.facebook.com/MirandaLambert 
Instagram: http://instagram.com/MirandaLambert 
Twitter: https://twitter.com/mirandalambert 

#MirandaLambert #TheHouseThatBuiltMe #Revolution #CountryMusic",PT4M12S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,84714108,397508,0,16442,"['miranda lambert', 'the house that built me', 'house that built me miranda lambert', 'miranda lambert the house that built me', 'miranda lambert house that built me', 'house that built me', 'burning house', 'the house that built me miranda lambert', 'the house that built me miranda lambert lyrics', 'country music', '2010 country hits', 'carrie underwood', 'Bluebird', ""somethin' bad"", ""mama's broken heart"", 'tin man', 'little red wagon', 'gunpowder and lead', 'country']",en-US,
youtube#video,tG4syvMtZTPjnK11sZZMBl3xPD4,FgCuT8upghk,2020-07-18T18:59:12Z,UC4gD0czpXVv_LpADTSU624g,"Poor Amber Heard! Media Portrayal is UNFAIR, Says The Independent.","Amber Heard is looking pretty bad in during testimony for the Johnny Depp v The Sun case. But some media outlets say it's really UNFAIR, because she's not the one who is actually on trial... The Sun is.

🐱‍👤 WANT TO PRINT A COMIC OR MANGA?
We recommend our friends over at PrintNinja! Mention “CLOWNFISH TV” in the quote form or on the phone for some FREE BOOKS!
LINK - https://printninja.com/printing-products


🤡🐠📺 CLOWNFISH TV CHANNELS -
💬 Clownfish TV (Geek Commentary) - https://www.youtube.com/c/ClownfishTV
🇪🇸 Clownfish TV en Español (Spanish Dub) - https://www.youtube.com/channel/UCHlB7RolZVap0hVcw3LDgFQ
🎮 Clownfish TV Gaming (Video Games) - https://www.youtube.com/channel/UCIRgLgyIL5uEVdElTX33eHw
🎨 Clownfish Animation (Art and Animation) - http://www.youtube.com/c/ClownfishAnimation

Follow Clownfish TV on Social Media -
► DISCORD - http://discord.gg/dtWKtSj
► TWITTER - http://twitter.com/RealClownfishTV
► FACEBOOK - http://facebook.com/ClownfishTV
► INSTAGRAM - http://instagram.com/RealClownfishTV
► D-REZZED - http://d-rezzed.clownfishtv.com

CLOWNFISH TV covers Pop Culture news on Movies, Anime, Cartoons, Comic Books, Gaming, TV and more. Hosted by Kneon and Geeky Sparkles.

Business Inquiries can be sent to shoutout [at] clownfishtv.com

Some music and sound FX courtesy of Epidemic Sound - http://www.epidemicsound.com/

#AmberHeard #JohnnyDepp #TheSun #Hollywood #Gossip #MovieNews",https://i.ytimg.com/vi/FgCuT8upghk/default.jpg,120,90,https://i.ytimg.com/vi/FgCuT8upghk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FgCuT8upghk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/FgCuT8upghk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/FgCuT8upghk/maxresdefault.jpg,1280.0,720.0,Clownfish TV,1,none,"Poor Amber Heard! Media Portrayal is UNFAIR, Says The Independent.","Amber Heard is looking pretty bad in during testimony for the Johnny Depp v The Sun case. But some media outlets say it's really UNFAIR, because she's not the one who is actually on trial... The Sun is.

🐱‍👤 WANT TO PRINT A COMIC OR MANGA?
We recommend our friends over at PrintNinja! Mention “CLOWNFISH TV” in the quote form or on the phone for some FREE BOOKS!
LINK - https://printninja.com/printing-products


🤡🐠📺 CLOWNFISH TV CHANNELS -
💬 Clownfish TV (Geek Commentary) - https://www.youtube.com/c/ClownfishTV
🇪🇸 Clownfish TV en Español (Spanish Dub) - https://www.youtube.com/channel/UCHlB7RolZVap0hVcw3LDgFQ
🎮 Clownfish TV Gaming (Video Games) - https://www.youtube.com/channel/UCIRgLgyIL5uEVdElTX33eHw
🎨 Clownfish Animation (Art and Animation) - http://www.youtube.com/c/ClownfishAnimation

Follow Clownfish TV on Social Media -
► DISCORD - http://discord.gg/dtWKtSj
► TWITTER - http://twitter.com/RealClownfishTV
► FACEBOOK - http://facebook.com/ClownfishTV
► INSTAGRAM - http://instagram.com/RealClownfishTV
► D-REZZED - http://d-rezzed.clownfishtv.com

CLOWNFISH TV covers Pop Culture news on Movies, Anime, Cartoons, Comic Books, Gaming, TV and more. Hosted by Kneon and Geeky Sparkles.

Business Inquiries can be sent to shoutout [at] clownfishtv.com

Some music and sound FX courtesy of Epidemic Sound - http://www.epidemicsound.com/

#AmberHeard #JohnnyDepp #TheSun #Hollywood #Gossip #MovieNews",PT15M29S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,59216,3321,0,753,"['Clownfish TV', 'amber heard johnny depp', 'johnny depp amber heard', 'johnny depp', 'amber heard aquaman', 'amber heard', 'amber heard johnny depp audio', 'movie news']",en,en
