kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage,contentDetails.regionRestriction.blocked,contentDetails.contentRating.ytRating
youtube#video,0iU5cWWwwIehf60BAKS655HvEho,27tpX9XBb3c,2021-08-25T19:01:14Z,UCG2QYlhnYYxksvv6ve11ijw,"Amber Heard And James Franco, Elevator Video","Amber Heard Invited James Franco for a little fun. While Johnny Depp was away, Amber Heard wanted to play at their LA Penthouse. 5/22/2016

Thank you for your support, it means more then you could imagine.

Please check out :

Rob's Rules Store : https://my-store-11481277.preview.teespring.com/listing/rob-s-rules-on-the-go#previewData=U2FsdGVkX199RoZW699ZJ3m8XTfYU19xx5uTV9OfRtLTQDKtnYudTBv7HIV6yyJv
NEW VIDEO FOOTAGE From LAPD Body Cam Proves Amber Heard Is nothing but a Liar. This is the second time the LAPD showed up to Johnny Depp’s LA Penthouse. 


Tammy Tips and Tricks : https://instagram.com/tammy.tipsandtrips?igshid=sk5olemcpdhp

Rob’s Rebellion Star Wars Channel : 

https://youtube.com/channel/UCneEOMqlDbQxHDPdMxaq1Pg

Rob’s Rules Discord :

https://discord.gg/B2R5aubJ

Twitter : @wars_everything

Email : estarwars1977@gmail.com

#JusticeForJohnnyDepp 
#JusticeForDepp

Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",https://i.ytimg.com/vi/27tpX9XBb3c/default.jpg,120,90,https://i.ytimg.com/vi/27tpX9XBb3c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/27tpX9XBb3c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/27tpX9XBb3c/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/27tpX9XBb3c/maxresdefault.jpg,1280.0,720.0,Rob's Rules,"['Johnny Depp', 'Johnny Depp Amber Heard', 'Amber Heard', 'James Franco', 'Depp', 'Depp Heard', 'Heard Depp', 'Johnny Depp News', 'Amber Heard Johnny Depp', 'Johnny Depp LA Penthouse', 'Amber Heard cheating on Johnny Depp', 'Amber Heard James Franco', 'Heard Franco', 'James Franco Amber Heard', 'Amber Heard Johnny', 'Johnny Depp Amber']",24,none,"Amber Heard And James Franco, Elevator Video","Amber Heard Invited James Franco for a little fun. While Johnny Depp was away, Amber Heard wanted to play at their LA Penthouse. 5/22/2016

Thank you for your support, it means more then you could imagine.

Please check out :

Rob's Rules Store : https://my-store-11481277.preview.teespring.com/listing/rob-s-rules-on-the-go#previewData=U2FsdGVkX199RoZW699ZJ3m8XTfYU19xx5uTV9OfRtLTQDKtnYudTBv7HIV6yyJv
NEW VIDEO FOOTAGE From LAPD Body Cam Proves Amber Heard Is nothing but a Liar. This is the second time the LAPD showed up to Johnny Depp’s LA Penthouse. 


Tammy Tips and Tricks : https://instagram.com/tammy.tipsandtrips?igshid=sk5olemcpdhp

Rob’s Rebellion Star Wars Channel : 

https://youtube.com/channel/UCneEOMqlDbQxHDPdMxaq1Pg

Rob’s Rules Discord :

https://discord.gg/B2R5aubJ

Twitter : @wars_everything

Email : estarwars1977@gmail.com

#JusticeForJohnnyDepp 
#JusticeForDepp

Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",en,PT1M22S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,750,118,0,59,,,
youtube#video,myv-VyqWxouy9pNgftvBAt6i1qg,2MXB2SSf4Dg,2020-07-21T08:03:08Z,UChjDtGelMNkllI5S22oO_aA,"Johnny Depp Considered Channing Tatum and Leonardo DiCaprio 'Sexual Threat,' Amber Heard Reveals","Taking the stand in her ex-husband libel trial against a British tabloid, the 'Aquaman' actress accuses the 'Fantastic' actor of constant jealousy with her co-stars, including Eddie Redmayne and James Franco.  Jul 21, 2020   AceShowbiz - Johnny Depp constantly accused Amber Heard of having an affair with her co-stars during their marriage, according to the actress. The Mera depicter in ""Aquaman"" shared details of their marital issues in a statement revealed during her husband's libel trial against British tabloid The Sun on Monday, July 20.    ""He accused me of having affairs with each of my co-stars, movie after movie: Eddie Redmayne, James Franco, Jim Sturgess, Kevin Costner, Liam Hemsworth, Billy Bob Thornton, Channing Tatum,"" Amber said. She added that his jealousy wasn't limited to only her male co-stars, as he allegedly also suspected his then-wife of having an affair with ""even women co-stars like Kelli Garner.""         The 34-year-old actress claimed the 57-year-old actor also ...",https://i.ytimg.com/vi/2MXB2SSf4Dg/default.jpg,120,90,https://i.ytimg.com/vi/2MXB2SSf4Dg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2MXB2SSf4Dg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2MXB2SSf4Dg/sddefault.jpg,640.0,480.0,,,,Myra Lamb,"['Johnny Depp', 'Channing Tatum', 'Leonardo DiCaprio', 'Sexual Threat', 'Amber Heard', 'libel trial']",22,none,"Johnny Depp Considered Channing Tatum and Leonardo DiCaprio 'Sexual Threat,' Amber Heard Reveals","Taking the stand in her ex-husband libel trial against a British tabloid, the 'Aquaman' actress accuses the 'Fantastic' actor of constant jealousy with her co-stars, including Eddie Redmayne and James Franco.  Jul 21, 2020   AceShowbiz - Johnny Depp constantly accused Amber Heard of having an affair with her co-stars during their marriage, according to the actress. The Mera depicter in ""Aquaman"" shared details of their marital issues in a statement revealed during her husband's libel trial against British tabloid The Sun on Monday, July 20.    ""He accused me of having affairs with each of my co-stars, movie after movie: Eddie Redmayne, James Franco, Jim Sturgess, Kevin Costner, Liam Hemsworth, Billy Bob Thornton, Channing Tatum,"" Amber said. She added that his jealousy wasn't limited to only her male co-stars, as he allegedly also suspected his then-wife of having an affair with ""even women co-stars like Kelli Garner.""         The 34-year-old actress claimed the 57-year-old actor also ...",,PT4M44S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,56,,0,1,,,
youtube#video,92F5PxiSAtstlamsn8CsibvNAp0,6uA6_Z_-C6M,2021-12-26T14:46:50Z,UCWE-mm9ISgORvz4ZCUb3yTA,Wird James Franco (43) in den Rechtsstreit zwischen Johnny Depp (58) und Amber Heard (35) hineingezo,"Wird James Franco (43) in den Rechtsstreit zwischen Johnny Depp (58) und Amber Heard (35) hineingezogen? Laut ""Page Six"" könnte der 43-Jährige angeblich erklären müssen, wie eng sein Verhältnis zu Heard war. Die Anwälte von Depp wollen den Schauspieler demnach auch fragen, ob er angebliche Verletzungen bei Heard gesehen habe, berichtet die Promiseite der ""New York Post"" weiter.
Please Subscribe: https://www.youtube.com/channel/UCWE-mm9ISgORvz4ZCUb3yTA?sub_confirmation=1
Source: https://www.gala.de/stars/news/james-franco--wollen-ihn-johnny-depps-anwaelte-befragen--22571788.html
#WirdJamesFranco(43), #Rechtsstreit, #zwischenJohnnyDepp(58), #AmberHeard(35), #hineingezogenLaut",https://i.ytimg.com/vi/6uA6_Z_-C6M/default.jpg,120,90,https://i.ytimg.com/vi/6uA6_Z_-C6M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6uA6_Z_-C6M/hqdefault.jpg,480,360,,,,,,,Ma Thi Hồng,,22,none,Wird James Franco (43) in den Rechtsstreit zwischen Johnny Depp (58) und Amber Heard (35) hineingezo,"Wird James Franco (43) in den Rechtsstreit zwischen Johnny Depp (58) und Amber Heard (35) hineingezogen? Laut ""Page Six"" könnte der 43-Jährige angeblich erklären müssen, wie eng sein Verhältnis zu Heard war. Die Anwälte von Depp wollen den Schauspieler demnach auch fragen, ob er angebliche Verletzungen bei Heard gesehen habe, berichtet die Promiseite der ""New York Post"" weiter.
Please Subscribe: https://www.youtube.com/channel/UCWE-mm9ISgORvz4ZCUb3yTA?sub_confirmation=1
Source: https://www.gala.de/stars/news/james-franco--wollen-ihn-johnny-depps-anwaelte-befragen--22571788.html
#WirdJamesFranco(43), #Rechtsstreit, #zwischenJohnnyDepp(58), #AmberHeard(35), #hineingezogenLaut",,PT2M49S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3,0,0,0,,,
youtube#video,Vz3HbRCypVo803MfMzdqLO0PUZU,6X_RfhL0orY,2017-07-04T12:29:19Z,UC2-FWL7Qtc-bvrS5AhiIeBw,127 Hours 2010 Trailer HD | James Franco | Amber Tamblyn,"127 Hours 2010 

An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.

Director: Danny Boyle
Writers: Danny Boyle (screenplay), Simon Beaufoy (screenplay)
Stars: James Franco, Amber Tamblyn, Kate Mara",https://i.ytimg.com/vi/6X_RfhL0orY/default.jpg,120,90,https://i.ytimg.com/vi/6X_RfhL0orY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6X_RfhL0orY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6X_RfhL0orY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6X_RfhL0orY/maxresdefault.jpg,1280.0,720.0,Trailer Chan,"['127 Hours 2010 Trailer', '127 hours trailer', 'James Franco', 'Amber Tamblyn', 'Kate Mara']",1,none,127 Hours 2010 Trailer HD | James Franco | Amber Tamblyn,"127 Hours 2010 

An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.

Director: Danny Boyle
Writers: Danny Boyle (screenplay), Simon Beaufoy (screenplay)
Stars: James Franco, Amber Tamblyn, Kate Mara",,PT2M40S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,140,1,0,0,,,
youtube#video,BbOht-XKkgLKA18nxgnDTkBWEcY,93uyJ6-U2ns,2020-07-08T18:28:06Z,UCYeIMy1UI235OhcGToTilbw,"Amber Heard Called James Franco a 'Rapist,' According to Johnny Depp","not biased to any side! ✌
hit that subscribe button!✌
Amber Heard Called James Franco a 'Rapist,' According to Johnny Depp
Amber Heard allegedly called James Franco a “rapist,” her ex husband Johnny Depp apparently said in court today while being questioned by lawyers.

During his libel case against a UK tabloid, he was asked about the period of time where Amber agreed to star in 2015′s The Adderall Diaries alongside James Franco. Johnny said he was “shocked” when she signed on to make the film and admitted it made him feel “jealous.”

“It shocked me she was suddenly so friendly and happy with him,” Johnny said on the stand today (via the Evening Standard). “She told me many things that were very very negative about Mr Franco, that he had tried to kiss her and made sexual advances towards her on the previous film they had made together. She said he was a creep and a rapist. She said he was quite aggressive in his advances towards her.”

The lawyer then clarified Johnny‘s use of the word “rapist,” “You have made an 
extremely important statement just now.”

Johnny replied, “It’s just a word that came out for the actions of Mr Franco, as described to me by Ms Heard, which were sexual advances, him leaning over and saying I’m going to kiss you. She had to sort of run from the advances at one point, that he was kind of non-stop, she felt he was creepy and rapey so I said a rapist.”",https://i.ytimg.com/vi/93uyJ6-U2ns/default.jpg,120,90,https://i.ytimg.com/vi/93uyJ6-U2ns/mqdefault.jpg,320,180,https://i.ytimg.com/vi/93uyJ6-U2ns/hqdefault.jpg,480,360,https://i.ytimg.com/vi/93uyJ6-U2ns/sddefault.jpg,640.0,480.0,,,,Celebrity Goss Today,"['Johnny Depp', 'amber heard', 'James franco', 'aqua man', 'celebrity news', '2020', 'USA', 'UK']",24,none,"Amber Heard Called James Franco a 'Rapist,' According to Johnny Depp","not biased to any side! ✌
hit that subscribe button!✌
Amber Heard Called James Franco a 'Rapist,' According to Johnny Depp
Amber Heard allegedly called James Franco a “rapist,” her ex husband Johnny Depp apparently said in court today while being questioned by lawyers.

During his libel case against a UK tabloid, he was asked about the period of time where Amber agreed to star in 2015′s The Adderall Diaries alongside James Franco. Johnny said he was “shocked” when she signed on to make the film and admitted it made him feel “jealous.”

“It shocked me she was suddenly so friendly and happy with him,” Johnny said on the stand today (via the Evening Standard). “She told me many things that were very very negative about Mr Franco, that he had tried to kiss her and made sexual advances towards her on the previous film they had made together. She said he was a creep and a rapist. She said he was quite aggressive in his advances towards her.”

The lawyer then clarified Johnny‘s use of the word “rapist,” “You have made an 
extremely important statement just now.”

Johnny replied, “It’s just a word that came out for the actions of Mr Franco, as described to me by Ms Heard, which were sexual advances, him leaning over and saying I’m going to kiss you. She had to sort of run from the advances at one point, that he was kind of non-stop, she felt he was creepy and rapey so I said a rapist.”",,PT1M41S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,167,,0,0,,,
youtube#video,KcoWM59IEOGcDRQeLvTIh9nkLBw,B4dtRGyoGDg,2019-07-03T18:50:28Z,UCVY5DajJFwUJ6AA0oTZ1eYA,Involucran a James Franco en la demanda de Johnny Depp contra Amber Heard,"Johnny Depp y Amber Heard han estado en guerra desde 2016 cuando ella le solicitó el divorcio y lo acusó de violencia doméstica, sin embargo el actor ahora le exige 50 millones de dólares por haberlo difamado.

Ahora los abogados del actor han citado a James Franco para que de la versión del día que compartió con ella un ascensor, ya que de acuerdo con declaraciones de la actriz un día antes Deep le pegó, causándole varios hematomas en el rostro, según informó la revista People.

Asimismo el portal estadounidense The Blast, reveló un video en donde aparecen Franco y Heard en un elevador, aunque no se les ve el rostro, ya que ambos están agachados.

La fecha de esta grabación es del 22 de mayo del 2016, justo un día después de la pelea que terminó con la relación de esta pareja.

Antes de su separación, Heard levantó varias denuncias en contra del actor por maltrato físico.

Se convertía en una persona delirante y violenta y cuando consumía alcohol y drogas me pegaba”. Amber Heard.

También confesó que Franco era uno de los principales causantes de sus peleas y del enojo el actor le lanzaba objetos y la insultaba.

Por su parte, Deep niega este comportamiento violento y por eso ha decidido acusarla de difamación. Además asegura que la actriz le fue infiel con Elon Musk, fundador de Tesla mientras todavía estaban casados.

Visítanos también en:
✩ FaceBook - http://bit.ly/2jZ5N6Z
✩ Instagram - https://bit.ly/2KSOypr",https://i.ytimg.com/vi/B4dtRGyoGDg/default.jpg,120,90,https://i.ytimg.com/vi/B4dtRGyoGDg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/B4dtRGyoGDg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/B4dtRGyoGDg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/B4dtRGyoGDg/maxresdefault.jpg,1280.0,720.0,Tuitealo,['Noticias'],25,none,Involucran a James Franco en la demanda de Johnny Depp contra Amber Heard,"Johnny Depp y Amber Heard han estado en guerra desde 2016 cuando ella le solicitó el divorcio y lo acusó de violencia doméstica, sin embargo el actor ahora le exige 50 millones de dólares por haberlo difamado.

Ahora los abogados del actor han citado a James Franco para que de la versión del día que compartió con ella un ascensor, ya que de acuerdo con declaraciones de la actriz un día antes Deep le pegó, causándole varios hematomas en el rostro, según informó la revista People.

Asimismo el portal estadounidense The Blast, reveló un video en donde aparecen Franco y Heard en un elevador, aunque no se les ve el rostro, ya que ambos están agachados.

La fecha de esta grabación es del 22 de mayo del 2016, justo un día después de la pelea que terminó con la relación de esta pareja.

Antes de su separación, Heard levantó varias denuncias en contra del actor por maltrato físico.

Se convertía en una persona delirante y violenta y cuando consumía alcohol y drogas me pegaba”. Amber Heard.

También confesó que Franco era uno de los principales causantes de sus peleas y del enojo el actor le lanzaba objetos y la insultaba.

Por su parte, Deep niega este comportamiento violento y por eso ha decidido acusarla de difamación. Además asegura que la actriz le fue infiel con Elon Musk, fundador de Tesla mientras todavía estaban casados.

Visítanos también en:
✩ FaceBook - http://bit.ly/2jZ5N6Z
✩ Instagram - https://bit.ly/2KSOypr",,PT1M15S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3351,17,0,2,,,
youtube#video,dr4TGoGdm96bpJyYJpfCdWi1mLw,dilGW1fMy9g,2020-07-08T23:18:10Z,UCeHZU0QhhQZlSUxXprsQrUA,Während Ehe: Hatte Amber Heard Affäre mit James Franco?  - Fox News,"Thanks for watching my video. 
If you like my videos, please subscribe to the channel to receive the latest videos 
Videos can use content-based copyright law contains reasonable use Fair Use (https://www.youtube.com/yt/copyright/). 
For any copyright, please send me a message.",https://i.ytimg.com/vi/dilGW1fMy9g/default.jpg,120,90,https://i.ytimg.com/vi/dilGW1fMy9g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dilGW1fMy9g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dilGW1fMy9g/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/dilGW1fMy9g/maxresdefault.jpg,1280.0,720.0,Fox News 247,"['Star', 'Promi', 'Stars', 'Promis', 'Klatsch', 'Fotos', 'Bilder', 'Starfotos', 'News', 'Starnews', 'Starbilder', 'Videos']",22,none,Während Ehe: Hatte Amber Heard Affäre mit James Franco?  - Fox News,"Thanks for watching my video. 
If you like my videos, please subscribe to the channel to receive the latest videos 
Videos can use content-based copyright law contains reasonable use Fair Use (https://www.youtube.com/yt/copyright/). 
For any copyright, please send me a message.",,PT1M32S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,11,0,0,0,,,
youtube#video,iyxwmWXRzLvonNxjc3imJ9XGXmE,EDC5IqHy4-8,2021-12-18T14:00:11Z,UCZl7g9DCILZCD7EFLwuOlaw,"""Amber Deserved It"" - James Franco Reacts To Johnny Depp Victory In Court | The HollyNews","""Amber Deserved It"" - James Franco Reacts To Johnny Depp Victory In Court | The HollyNews

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD #TheHollyNews",https://i.ytimg.com/vi/EDC5IqHy4-8/default.jpg,120,90,https://i.ytimg.com/vi/EDC5IqHy4-8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EDC5IqHy4-8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EDC5IqHy4-8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/EDC5IqHy4-8/maxresdefault.jpg,1280.0,720.0,The HollyNews,"['The hollynews', 'celebrity', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', 'justice for johnny depp', ""AMBER LIED - JOHNNY DEPP's Estate Manager INTERVIEWED In Amber Heard PERJURY Case"", 'aquaman', 'aquaman 2', 'celeb news']",24,none,"""Amber Deserved It"" - James Franco Reacts To Johnny Depp Victory In Court | The HollyNews","""Amber Deserved It"" - James Franco Reacts To Johnny Depp Victory In Court | The HollyNews

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD #TheHollyNews",en-US,PT8M2S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,91,0,0,0,en-US,,
youtube#video,9ZIZJnOuUdBo-lDBoVSKEdup2cg,eMuv_m3iDBo,2010-05-04T20:51:13Z,UCkXR824GFkz2Ui_EjNQ9eoA,"Interview 'P.E': James Franco, Seth Rogen & Danny  McBride /2008","Movie Interview  'Pineapple Express' with the stars James Franco, Seth Rogen, Danny  McBride & Amber Heard.",https://i.ytimg.com/vi/eMuv_m3iDBo/default.jpg,120,90,https://i.ytimg.com/vi/eMuv_m3iDBo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/eMuv_m3iDBo/hqdefault.jpg,480,360,,,,,,,IrinaJF,"['James', 'Franco', ""'Pineapple"", ""Express'"", 'Interview', 'Seth', 'Rogen', 'Danny', 'McBride', 'Amber', 'Heard']",24,none,"Interview 'P.E': James Franco, Seth Rogen & Danny  McBride /2008","Movie Interview  'Pineapple Express' with the stars James Franco, Seth Rogen, Danny  McBride & Amber Heard.",,PT2M29S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,1269,4,0,1,,,
youtube#video,kP1oGDw9TrQuac1ta0DzfnBPu0U,g66FzcU8TT0,2015-04-17T05:06:50Z,UCmAnHi0aaVTh37oW2cQ90FQ,James Franco & Amber Heard Bring 'The Adderall Diaries' to Tribeca Film Festival 2015,"James Franco & Amber Heard Bring 'The Adderall Diaries' to Tribeca Film Festival 2015
James Franco suits while posing next to Amber Heard at the premiere of their new film The Adderall Diaries during the 2015 Tribeca Film Festival at BMCC Tribeca PAC on Thursday night (April 16) in New York City.

The duo was joined on the red carpet by their co-stars Christian Slater and Cynthia Nixon.

Based on the bestselling memoir by Stephen Elliott, The Adderall Diaries is the story of an author (Franco) paralyzed by writer’s block and an escalating drug dependency who is sucked down the rabbit hole of a high-profile murder case.

FYI: Amber is wearing Stella McCartney.",https://i.ytimg.com/vi/g66FzcU8TT0/default.jpg,120,90,https://i.ytimg.com/vi/g66FzcU8TT0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/g66FzcU8TT0/hqdefault.jpg,480,360,,,,,,,Arohi Deep,"[""James Franco & Amber Heard Bring 'The Adderall Diaries' to Tribeca Film Festival 2015"", 'Hollywood news', 'Hollywood gossip', 'hollywood celebrity', 'hollywood scandals', 'Hollywood movies', 'Hollywood stars', 'Hollywood actresses', 'hollywood actors', 'hollywood life']",22,none,James Franco & Amber Heard Bring 'The Adderall Diaries' to Tribeca Film Festival 2015,"James Franco & Amber Heard Bring 'The Adderall Diaries' to Tribeca Film Festival 2015
James Franco suits while posing next to Amber Heard at the premiere of their new film The Adderall Diaries during the 2015 Tribeca Film Festival at BMCC Tribeca PAC on Thursday night (April 16) in New York City.

The duo was joined on the red carpet by their co-stars Christian Slater and Cynthia Nixon.

Based on the bestselling memoir by Stephen Elliott, The Adderall Diaries is the story of an author (Franco) paralyzed by writer’s block and an escalating drug dependency who is sucked down the rabbit hole of a high-profile murder case.

FYI: Amber is wearing Stella McCartney.",,PT1M18S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,320,0,0,0,,,
