kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultLanguage,snippet.defaultAudioLanguage,contentDetails.contentRating.ytRating
youtube#video,a7Zt_jy5epPAIvSJO-2kDGEbLDc,-yRwun9kOhI,2018-12-17T14:53:03Z,UCf7QWoveIOsLgJxuhvBDsag,Amber Star Soap,"Looking for a scent that's great for men and women? Try Amber Star!  I'm doing a few restocks of soap figured I would drag you guys so long lol.

My videos are not intended to be tutorials. I use videos to show customers how I make different items for sale. New soapers should read Smart Soapmaking by Anne L Watson. 

TO BUY SOAP:
http://www.davidahandcraftsoap.com

Instagram:
https://instagram.com/davidahandcraftsoap/",https://i.ytimg.com/vi/-yRwun9kOhI/default.jpg,120,90,https://i.ytimg.com/vi/-yRwun9kOhI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-yRwun9kOhI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-yRwun9kOhI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-yRwun9kOhI/maxresdefault.jpg,1280.0,720.0,Davida Hand Craft Soap,22,none,Amber Star Soap,"Looking for a scent that's great for men and women? Try Amber Star!  I'm doing a few restocks of soap figured I would drag you guys so long lol.

My videos are not intended to be tutorials. I use videos to show customers how I make different items for sale. New soapers should read Smart Soapmaking by Anne L Watson. 

TO BUY SOAP:
http://www.davidahandcraftsoap.com

Instagram:
https://instagram.com/davidahandcraftsoap/",PT20M20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,43,7,0,9,,,,
youtube#video,rXYpF6EIWWsy-P9WQepfFFPxZzY,7shP9bBT1ME,2015-10-20T22:01:22Z,UCO0dMRd66S6uDUan73Lg3Mg,WHO’S RICHER? - Amber Heard or Enrique Iglesias? - Net Worth Revealed!,Who’s worth more? How much money do actress Amber Heard and Enrique Iglesias have? We reveal their net worth and see who’s the richest between the two!,https://i.ytimg.com/vi/7shP9bBT1ME/default.jpg,120,90,https://i.ytimg.com/vi/7shP9bBT1ME/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7shP9bBT1ME/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7shP9bBT1ME/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/7shP9bBT1ME/maxresdefault.jpg,1280.0,720.0,The Real Hollywood,24,none,WHO’S RICHER? - Amber Heard or Enrique Iglesias? - Net Worth Revealed!,Who’s worth more? How much money do actress Amber Heard and Enrique Iglesias have? We reveal their net worth and see who’s the richest between the two!,PT33S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,35,1,0,0,"['Net Worth', 'Networth', 'Wealth', 'Rich', 'Facts', 'Factoids', 'Vs', 'Celebrity', 'Money', 'Fortune', 'Amber Heard', 'Ripped Shirt', 'Jeans', 'Long Hair', 'Messy Hair', 'Blonde', 'Enrique Iglesias', 'Latin', 'Undershirt', 'Muscles', 'Hot', 'Cute', 'Handsome']",,,
youtube#video,7eZ94Vo7OcIimc0XO0MlSOqoLOY,8c_PF1Xbtr8,2021-12-19T16:30:01Z,UCxHoBXkY88Tb8z1Ssj6CWsQ,বিয়ে-বিচ্ছেদ-মামলা নিয়ে ক্যারিয়ারে ধস জনির | Johnny Depp | Amber Heard | Somoy TV,"#Johnny_Depp #Amber_Heard #Somoy_TV
বিয়ে-বিচ্ছেদ-মামলা নিয়ে বার বারই আলোচনায় থাকা হলিউড তারকা জুটি জনি ডেপ ও অ্যাম্বার হার্ড। দুজনই ক্যারিয়ারের সর্বোচ্চ স্থান পেলেও নিজেদের ব্যক্তিগত বিষয় নিয়ে কাঁদা ছোড়াছুড়ি করে সিনেমা ইন্ডাস্ট্রিতে বদনামই কুড়িয়েছেন। একের পর সিনেমাও তাদের হাতছাড়া হচ্ছে। 

আরও বিস্তারিত জানতে ভিজিট করুন: https://www.somoynews.tv

Fair Use Disclaimer: 
=================
This channel may use some copyrighted materials without specific authorization of the owner but contents used here falls under the “Fair Use” as described in The Copyright Act 2000 Law No. 28 of the year 2000 of Bangladesh under Chapter 6, Section 36 and Chapter 13 Section 72. According to that law allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.

""Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for -fair use- for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.""

About SOMOY TV:
===============
SOMOY TV is the Bangladesh Government Approved 24/7 News Based TV Channel, Where we makes all the news contents and program materials with the own team or employees. 
Somoy TV has the sole rights of all contents and it does not give permission to any business entity or individual to use these contents except SOMOY TV (SOMOY Media Limited).
According to TRP (Television Rating Point), it is the most popular news channel in Bangladesh from 2013.

""SOMOY TV"" is the Most Reliable News Source and Leading 24/7 News Based TV Channel in Bangladesh

====================
Somoy TV has the sole rights of all contents and it does not give permission to any business entity or individual to use these contents except ‍SOMOY TV (SOMOY Media Limited).

This Channel is Based on News and Current Affairs. The uploaded all contents are Made by our own team. Also Sometimes We are using some Third-Party materials where we have the specific authorization and permission to use this on YouTube.


Stay Connected with us:
====================
""SOMOY TV (Somoy Media Limited)"" is the Leading 24/7 News Based TV Channel in Bangladesh.

Website: http://www.somoynews.tv
YouTube: http://www.youtube.com/somoytvnetupdate
Facebook: http://www.facebook.com/somoynews.tv
Twitter: http://www.twitter.com/somoytv",https://i.ytimg.com/vi/8c_PF1Xbtr8/default.jpg,120,90,https://i.ytimg.com/vi/8c_PF1Xbtr8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8c_PF1Xbtr8/hqdefault.jpg,480,360,,,,,,,SOMOY TV,24,none,বিয়ে-বিচ্ছেদ-মামলা নিয়ে ক্যারিয়ারে ধস জনির | Johnny Depp | Amber Heard | Somoy TV,"#Johnny_Depp #Amber_Heard #Somoy_TV
বিয়ে-বিচ্ছেদ-মামলা নিয়ে বার বারই আলোচনায় থাকা হলিউড তারকা জুটি জনি ডেপ ও অ্যাম্বার হার্ড। দুজনই ক্যারিয়ারের সর্বোচ্চ স্থান পেলেও নিজেদের ব্যক্তিগত বিষয় নিয়ে কাঁদা ছোড়াছুড়ি করে সিনেমা ইন্ডাস্ট্রিতে বদনামই কুড়িয়েছেন। একের পর সিনেমাও তাদের হাতছাড়া হচ্ছে। 

আরও বিস্তারিত জানতে ভিজিট করুন: https://www.somoynews.tv

Fair Use Disclaimer: 
=================
This channel may use some copyrighted materials without specific authorization of the owner but contents used here falls under the “Fair Use” as described in The Copyright Act 2000 Law No. 28 of the year 2000 of Bangladesh under Chapter 6, Section 36 and Chapter 13 Section 72. According to that law allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.

""Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for -fair use- for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.""

About SOMOY TV:
===============
SOMOY TV is the Bangladesh Government Approved 24/7 News Based TV Channel, Where we makes all the news contents and program materials with the own team or employees. 
Somoy TV has the sole rights of all contents and it does not give permission to any business entity or individual to use these contents except SOMOY TV (SOMOY Media Limited).
According to TRP (Television Rating Point), it is the most popular news channel in Bangladesh from 2013.

""SOMOY TV"" is the Most Reliable News Source and Leading 24/7 News Based TV Channel in Bangladesh

====================
Somoy TV has the sole rights of all contents and it does not give permission to any business entity or individual to use these contents except ‍SOMOY TV (SOMOY Media Limited).

This Channel is Based on News and Current Affairs. The uploaded all contents are Made by our own team. Also Sometimes We are using some Third-Party materials where we have the specific authorization and permission to use this on YouTube.


Stay Connected with us:
====================
""SOMOY TV (Somoy Media Limited)"" is the Leading 24/7 News Based TV Channel in Bangladesh.

Website: http://www.somoynews.tv
YouTube: http://www.youtube.com/somoytvnetupdate
Facebook: http://www.facebook.com/somoynews.tv
Twitter: http://www.twitter.com/somoytv",PT1M50S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,4502,66,0,13,"['Johnny Depp', 'Amber Heard', 'amber heard', 'amber heard johnny depp', 'johnny depp amber heard', 'johnny depp and amber heard', 'johnny depp', 'johnny depp amber heard court', 'amber heard and johnny depp', 'amber heard lawsuit', 'johnny depp news', 'johnny depp suing amber heard', 'justice for johnny depp', 'amber heard aquaman 2', 'johnny depp appeal', 'johnny depp vs amber heard', 'amber heard aquaman', 'depp heard', 'johnny depp sues amber heard', 'amber heard audio', 'amber heard fired']",bn,en,
youtube#video,xCZUvxkiccK27Ojxn-ceojuKA3g,9aCp1kDFUTg,2021-09-13T12:56:33Z,UC4reEx8mkY_G8Bk5mbQQC1Q,youtube demonetized all amber heard hate videos but refuse to demonetize all brie larson hate videos,"MechaRandom42, Comedian, Smart-A$$,WomanBaby😉
@RandomMnky
Replying to 
@ZeldaGamer4Life
I wouldn't know, I don't make videos on her anymore. Not only does Youtube not monetize them, but my viewers don't like that I don't like Johnny Depp either lol
10:57 PM · Sep 12, 2021·Twitter Web App
1
 Retweet",https://i.ytimg.com/vi/9aCp1kDFUTg/default.jpg,120,90,https://i.ytimg.com/vi/9aCp1kDFUTg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9aCp1kDFUTg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9aCp1kDFUTg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9aCp1kDFUTg/maxresdefault.jpg,1280.0,720.0,francis ford,22,none,youtube demonetized all amber heard hate videos but refuse to demonetize all brie larson hate videos,"MechaRandom42, Comedian, Smart-A$$,WomanBaby😉
@RandomMnky
Replying to 
@ZeldaGamer4Life
I wouldn't know, I don't make videos on her anymore. Not only does Youtube not monetize them, but my viewers don't like that I don't like Johnny Depp either lol
10:57 PM · Sep 12, 2021·Twitter Web App
1
 Retweet",PT59S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,10,2,0,0,,,,
youtube#video,ZsKMj2VL7hcrakImqr1vz81N8ng,altO596OcTU,2022-01-05T23:51:36Z,UC0JWH2Rau2U68EVihQUXDzw,Amberlynn Reid Is OVERLY DESPERATE For Attention!,"On this channel I will be reacting to anything and everything

CashApp: £MadzieMedia
Paypal: paypal.me/madzie or madziemedia@gmail.com

TO JOIN MOVING MAD! 😈 https://www.youtube.com/channel/UC0JWH2Rau2U68EVihQUXDzw/join

TO JOIN PATREON FOR GENERAL SUPPORT! 
https://www.patreon.com/madziemedia 

MERCH:
https://concerned-donuts.myteespring.co
https://shop.spreadshirt.co.uk/concerned-donuts/

Amazon Wishlist:
https://www.amazon.co.uk/hz/wishlist/ls/1KKR2CRVDFQ6Y?ref_=wl_share

INSTAGRAM: 
https://www.instagram.com/madziemedia/

TWITTER:
https://twitter.com/MadzieMedia

TikTok & SNAPCHAT: 
madziemedia

BUSINESS EMAIL: 
madziemedia@gmail.com

Inspire to be who you want to be with discipline

Subscribe!!
https://goo.gl/uXXcFC

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. ... Fair use is a use permitted by copyright statue that might otherwise be infringing.

Amberlynn Reid Is OVERLY DESPERATE For Attention!

#amberlynnreid 

amberlynn reid, amber reid, amberlynn compilation, amberlynn reid mukbang, alr, alr reaction, reacting to amberlynn reid, reacting to, reaction, amber reid reaction, amberlynn reid food",https://i.ytimg.com/vi/altO596OcTU/default.jpg,120,90,https://i.ytimg.com/vi/altO596OcTU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/altO596OcTU/hqdefault.jpg,480,360,,,,,,,MovingMAD!,22,none,Amberlynn Reid Is OVERLY DESPERATE For Attention!,"On this channel I will be reacting to anything and everything

CashApp: £MadzieMedia
Paypal: paypal.me/madzie or madziemedia@gmail.com

TO JOIN MOVING MAD! 😈 https://www.youtube.com/channel/UC0JWH2Rau2U68EVihQUXDzw/join

TO JOIN PATREON FOR GENERAL SUPPORT! 
https://www.patreon.com/madziemedia 

MERCH:
https://concerned-donuts.myteespring.co
https://shop.spreadshirt.co.uk/concerned-donuts/

Amazon Wishlist:
https://www.amazon.co.uk/hz/wishlist/ls/1KKR2CRVDFQ6Y?ref_=wl_share

INSTAGRAM: 
https://www.instagram.com/madziemedia/

TWITTER:
https://twitter.com/MadzieMedia

TikTok & SNAPCHAT: 
madziemedia

BUSINESS EMAIL: 
madziemedia@gmail.com

Inspire to be who you want to be with discipline

Subscribe!!
https://goo.gl/uXXcFC

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. ... Fair use is a use permitted by copyright statue that might otherwise be infringing.

Amberlynn Reid Is OVERLY DESPERATE For Attention!

#amberlynnreid 

amberlynn reid, amber reid, amberlynn compilation, amberlynn reid mukbang, alr, alr reaction, reacting to amberlynn reid, reacting to, reaction, amber reid reaction, amberlynn reid food",PT10M48S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2137,171,0,92,"['amberlynn reid', 'amber reid', 'amberlynn compilation', 'amberlynn reid mukbang', 'alr', 'alr reaction', 'reacting to amberlynn reid', 'reacting to', 'reaction', 'amber reid reaction', 'amberlynn reid food']",en,en,
youtube#video,TuDKmnq_HFp1VUSBuRfrL_x4HUU,c7MNyS7CdN0,2021-08-03T22:31:08Z,UCrNwU8tFJmidx07GOStsIXg,"The Amber Neal Show - Most Clever Psychology Facts & 8 Signs Your ""Friend"" Is Your Soulmate","The Amber Neal Show - Most Clever Psychology Facts & 8 Signs Your ""Friend"" Is Your Soulmate
#BOSSUP #BOSSUPHOUSTONNETWORK #HOUSTON
FACEBOOK:
https://www.facebook.com/bossuphoutx/​

YOUTUBE:
https://www.youtube.com/channel/UCrNw...​

INSTAGRAM:
https://www.instagram.com/bossuphouston/​

WEBSITE: 
https://www.bossuphoustonnetwork.com​

FOR INQUIRIES EMAIL: BOSSUPHOUSTON@GMAIL.COM#BOSSUP #BOSSUPHOUSTONNETWORK",https://i.ytimg.com/vi/c7MNyS7CdN0/default.jpg,120,90,https://i.ytimg.com/vi/c7MNyS7CdN0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c7MNyS7CdN0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/c7MNyS7CdN0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/c7MNyS7CdN0/maxresdefault.jpg,1280.0,720.0,Boss Up Houston Network,24,none,"The Amber Neal Show - Most Clever Psychology Facts & 8 Signs Your ""Friend"" Is Your Soulmate","The Amber Neal Show - Most Clever Psychology Facts & 8 Signs Your ""Friend"" Is Your Soulmate
#BOSSUP #BOSSUPHOUSTONNETWORK #HOUSTON
FACEBOOK:
https://www.facebook.com/bossuphoutx/​

YOUTUBE:
https://www.youtube.com/channel/UCrNw...​

INSTAGRAM:
https://www.instagram.com/bossuphouston/​

WEBSITE: 
https://www.bossuphoustonnetwork.com​

FOR INQUIRIES EMAIL: BOSSUPHOUSTON@GMAIL.COM#BOSSUP #BOSSUPHOUSTONNETWORK",PT54M46S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,13,0,0,0,,,,
youtube#video,kGeNLirduUf-17TD_leMx2W29tw,Ci5uqWPUJv4,2021-03-13T01:42:45Z,UCLw6wkB9hUunjyGEMdj2Vqw,Bowlchit is  not too smart!! (Amber Heard Playlist!!),,https://i.ytimg.com/vi/Ci5uqWPUJv4/default.jpg,120,90,https://i.ytimg.com/vi/Ci5uqWPUJv4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ci5uqWPUJv4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Ci5uqWPUJv4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/Ci5uqWPUJv4/maxresdefault.jpg,1280.0,720.0,Theresa L. Dowling,1,none,Bowlchit is  not too smart!! (Amber Heard Playlist!!),,PT9S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,27,2,0,10,,,,
youtube#video,JdaPI-pa0r5dvOZgQ4NBmqBv7ws,e5-EO9wz12g,2020-05-05T17:14:52Z,UC6qCzx1-tpHczGCOxm7wEIw,"Smart Sex, Smart Love – Amber Boone on Dating Rules for Realists, Not Romantics.","This week, Joe’s guest is host of the ‘Thirty, Flirty and Thriving’ Podcast, Amber Boone.

Last year, Amber, along with her business partner, hosted the first ever ‘9 to Thrive’ women’s empowerment conference in downtown Detroit. She is a frequent speaker at industry events and has a lot to say on the use of social media, especially dating apps and what real romance is like today. “Instead of looking to find the right partner, become the right partner yourself!” says Amber. “Your self-care comes first.”

Amber spills the beans about modern dating expectations and how to navigate them. Plus, we chat about the differences between dating in your 20s versus your 30s. Amber’s top dating tip? “Have a wise counsel around you – it really, really helps!”

For more information about Joe Kort, please visit http://joekort.com and follow him @drjoekort on Twitter & Instagram.

Find Amber at www.thebestamber.com & @theebestamber on Instagram.

Please don't forget to rate, review & subscribe!",https://i.ytimg.com/vi/e5-EO9wz12g/default.jpg,120,90,https://i.ytimg.com/vi/e5-EO9wz12g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/e5-EO9wz12g/hqdefault.jpg,480,360,,,,,,,Dr. Joe Kort,22,none,"Smart Sex, Smart Love – Amber Boone on Dating Rules for Realists, Not Romantics.","This week, Joe’s guest is host of the ‘Thirty, Flirty and Thriving’ Podcast, Amber Boone.

Last year, Amber, along with her business partner, hosted the first ever ‘9 to Thrive’ women’s empowerment conference in downtown Detroit. She is a frequent speaker at industry events and has a lot to say on the use of social media, especially dating apps and what real romance is like today. “Instead of looking to find the right partner, become the right partner yourself!” says Amber. “Your self-care comes first.”

Amber spills the beans about modern dating expectations and how to navigate them. Plus, we chat about the differences between dating in your 20s versus your 30s. Amber’s top dating tip? “Have a wise counsel around you – it really, really helps!”

For more information about Joe Kort, please visit http://joekort.com and follow him @drjoekort on Twitter & Instagram.

Find Amber at www.thebestamber.com & @theebestamber on Instagram.

Please don't forget to rate, review & subscribe!",PT27M6S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,99,1,0,0,"['Smart Sex Smart Love', 'Sex and Relationship Advice', 'LGBTQIA', 'same sex', 'dating', 'dating apps', 'love', 'dating advice', 'how to date']",,,
youtube#video,xf4Nm2P03IGN2WOWi7aFvEXuTJs,ekO3rRStY2c,2022-01-06T22:16:41Z,UCKLeZ_DXjg2nHwtEuu2fPqA,The Disappearance of Summer Wells,"#findsummer #summerwells #missing #Tennessee #donwells #candusbly #cdt #discussion #crime #justice

Amber's Channel: https://www.youtube.com/channel/UCaxlIu3JCqI2Rqy_sdtznaQ",https://i.ytimg.com/vi/ekO3rRStY2c/default.jpg,120,90,https://i.ytimg.com/vi/ekO3rRStY2c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ekO3rRStY2c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ekO3rRStY2c/sddefault.jpg,640.0,480.0,,,,C.D.T.,24,none,The Disappearance of Summer Wells,"#findsummer #summerwells #missing #Tennessee #donwells #candusbly #cdt #discussion #crime #justice

Amber's Channel: https://www.youtube.com/channel/UCaxlIu3JCqI2Rqy_sdtznaQ",PT1H49M53S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2147,150,0,23,"['Summer Wells', 'find summer', 'missing', 'Don Wells', 'Candus Bly', 'Tennessee', 'Rogersville', 'Lawson', 'TBI', 'CDT', 'crime', 'discussion', 'today', 'live', 'justice', 'Candus Wells', 'Hawkins County', 'news', 'stream', 'discuss', 'questions', 'youtube', 'streamyard']",,en,
youtube#video,Jj4tcSixpK8caTjZsfH8njeEJmg,ERhsphcMIcU,2022-01-06T18:19:18Z,UCFqSVRKphHwo3obZrQZnWOg,answering TMI GIRL TALK questions you're too scared to ask,"answering TMI GIRL TALK questions you're too scared to ask 





MY SOCIALS 🦋
ig:jadeamberrrr
tiktok: jade.amberrrrr
snap: jade_canfield

business inquiries only: therealjadeamber@gmail.com
 

MUSIC USED IN VIDEO

Music by- southstreet24-media 
https://youtu.be/pvUvFnQAEvA



MY P.O. BOX: p.o. box #2893 
matthews, nc 28106

discount codes:

Shop ZAFUL website: https://bit.ly/3ASvDRY
discount code: “jadeamber” for 18% off 

colored contacts:
https://ttdeye.com/?aff=30348
discount code: ""jadeamber"" for 10% off 

my necklace:
https://buyprelly.com/
discount code: ""JADE8"" for $8 off



Disclaimer: Some of the above links are affiliate, which means that I do receive a small commission when you use them. This helps me to continue making content for you guys, however it is completely your choice if you want to use them! thank you for all of your support.🤍",https://i.ytimg.com/vi/ERhsphcMIcU/default.jpg,120,90,https://i.ytimg.com/vi/ERhsphcMIcU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ERhsphcMIcU/hqdefault.jpg,480,360,,,,,,,jade amber,22,none,answering TMI GIRL TALK questions you're too scared to ask,"answering TMI GIRL TALK questions you're too scared to ask 





MY SOCIALS 🦋
ig:jadeamberrrr
tiktok: jade.amberrrrr
snap: jade_canfield

business inquiries only: therealjadeamber@gmail.com
 

MUSIC USED IN VIDEO

Music by- southstreet24-media 
https://youtu.be/pvUvFnQAEvA



MY P.O. BOX: p.o. box #2893 
matthews, nc 28106

discount codes:

Shop ZAFUL website: https://bit.ly/3ASvDRY
discount code: “jadeamber” for 18% off 

colored contacts:
https://ttdeye.com/?aff=30348
discount code: ""jadeamber"" for 10% off 

my necklace:
https://buyprelly.com/
discount code: ""JADE8"" for $8 off



Disclaimer: Some of the above links are affiliate, which means that I do receive a small commission when you use them. This helps me to continue making content for you guys, however it is completely your choice if you want to use them! thank you for all of your support.🤍",PT30M52S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,15107,978,0,97,"['girl talk', ""answering TMI GIRL TALK questions you're too scared to ask""]",,,
