kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultAudioLanguage,contentDetails.contentRating.ytRating,snippet.defaultLanguage
youtube#video,C9eaNpNKpStr53ca6b3sip3b4Bc,-UMf5q9qa7E,2016-08-24T06:07:27Z,UCCyphDlbgi1NLAYPtXws41Q,"GSMC Social Media News Podcast Episode 20: Jan Brady, Amber Heard, & Uber","GSMC Social Media News Podcast Episode 20: Jan Brady, Amber Heard, & Uber's Driverless Cars (8-22-16)

    In this episode Pauline and Mariano discuss former Brady Bunch star, Eve Plumb and the selling of her home she bought at 11 years old. The two continue on to talk about Amber Heard and what she has done with the money she received from her divorce with Johnny Depp. To wrap up the episode, Pauliano give their opinions on the pros and cons of the new driverless Uber cars debuting this fall.

    Follow the GSMC Social Media News Podcast at http://www.gsmcpodcast.com/social-media-podcast.html",https://i.ytimg.com/vi/-UMf5q9qa7E/default.jpg,120,90,https://i.ytimg.com/vi/-UMf5q9qa7E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-UMf5q9qa7E/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-UMf5q9qa7E/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-UMf5q9qa7E/maxresdefault.jpg,1280.0,720.0,GSMC Podcast Network,"['GSMC Podcast Network', 'GSMC Social Media News Podcast', 'Social Media News', 'Uber', 'Eve Plumb', 'Jan Brady', 'Johnny Depp', 'Amber Heard']",17,none,"GSMC Social Media News Podcast Episode 20: Jan Brady, Amber Heard, & Uber","GSMC Social Media News Podcast Episode 20: Jan Brady, Amber Heard, & Uber's Driverless Cars (8-22-16)

    In this episode Pauline and Mariano discuss former Brady Bunch star, Eve Plumb and the selling of her home she bought at 11 years old. The two continue on to talk about Amber Heard and what she has done with the money she received from her divorce with Johnny Depp. To wrap up the episode, Pauliano give their opinions on the pros and cons of the new driverless Uber cars debuting this fall.

    Follow the GSMC Social Media News Podcast at http://www.gsmcpodcast.com/social-media-podcast.html",PT33M53S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4,0,0,0,,,
youtube#video,5lJ2B4bpyNUwpnnKFVicValVMHA,2zkdnHERbBU,2021-06-17T23:25:04Z,UCrNwU8tFJmidx07GOStsIXg,The Amber Neal Show ‘Questions to ask yourself before getting into a relationship’ Bossup,"The Amber Neal Show ‘Questions to ask yourself before getting into a relationship’ Bossup
FACEBOOK:
https://www.facebook.com/bossuphoutx/

YOU TUBE:
https://www.youtube.com/channel/UCrNwU8tFJmidx07GOStsIXg

INSTAGRAM:
https://www.instagram.com/bossuphouston/

WEBSITE: 
https://www.bossuphoustonnetwork.com

FOR INQUIRIES EMAIL: BOSSUPHOUSTON@GMAIL.COM",https://i.ytimg.com/vi/2zkdnHERbBU/default.jpg,120,90,https://i.ytimg.com/vi/2zkdnHERbBU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2zkdnHERbBU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2zkdnHERbBU/sddefault.jpg,640.0,480.0,,,,Boss Up Houston Network,,24,none,The Amber Neal Show ‘Questions to ask yourself before getting into a relationship’ Bossup,"The Amber Neal Show ‘Questions to ask yourself before getting into a relationship’ Bossup
FACEBOOK:
https://www.facebook.com/bossuphoutx/

YOU TUBE:
https://www.youtube.com/channel/UCrNwU8tFJmidx07GOStsIXg

INSTAGRAM:
https://www.instagram.com/bossuphouston/

WEBSITE: 
https://www.bossuphoustonnetwork.com

FOR INQUIRIES EMAIL: BOSSUPHOUSTON@GMAIL.COM",PT50M13S,2d,hd,true,False,rectangular,processed,public,youtube,True,True,False,24,2,0,0,,,
youtube#video,Ycw5WUQ9smlMSRDPUdC21HaoFUs,3rzriPJXDKU,2020-02-12T18:24:27Z,UCjBZjUG7G7t1s8GsF1U59YQ,"Episode 73: Ariana Grande and her PDA, Dwyane Wade, Amber Rose's tattoo, Johnny Depp vs Amber Heard!","Buy Tefi merch! https://tefishow.com/merch

Watch Tefi live weekdays at 12:30pm ET.

Follow Tefi:
https://instagram.com/hellotefi
https://twitter.com/tefishow

Dreams is a live TV network for the internet.
https://dreams.tv

#Tefi",https://i.ytimg.com/vi/3rzriPJXDKU/default.jpg,120,90,https://i.ytimg.com/vi/3rzriPJXDKU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3rzriPJXDKU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3rzriPJXDKU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3rzriPJXDKU/maxresdefault.jpg,1280.0,720.0,Tefi,,24,none,"Episode 73: Ariana Grande and her PDA, Dwyane Wade, Amber Rose's tattoo, Johnny Depp vs Amber Heard!","Buy Tefi merch! https://tefishow.com/merch

Watch Tefi live weekdays at 12:30pm ET.

Follow Tefi:
https://instagram.com/hellotefi
https://twitter.com/tefishow

Dreams is a live TV network for the internet.
https://dreams.tv

#Tefi",PT29M57S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,19926,1158,0,111,,,
youtube#video,Q6MNJqQPOOk6RH9v3vu6I6V0Pws,7tUkh7P71SU,2020-01-02T14:07:46Z,UCmIIRHvlZV-PaJN6w6g97Hw,"Infortunio Amber Heard, l’attrice si mostra su Instagram con un tutore al piede sinistro","Infortunio Amber Heard, l’attrice si mostra su Instagram con un tutore al piede sinistro
Infortunio Amber Heard, l’attrice si mostra su Instagram con un tutore al piede sinistro Brutto inizio anno per l’attrice Amber Heard che su Instagram si è mostrata sorridente ma comunque con un infortunio al piede sinistro che ha fatto preoccupare i fan. Non parliamo di niente di grave, per fortuna, e a farlo notare è l’attrice stessa che sul noto social network di Mark Zuckerberg ha scritto un messaggio in cui si evince soltanto la volontà di iniziare il 2020 nel migliore dei modi. Non sappiamo ancora se da sola o in compagnia di qualche nuova fiamma, visto che i pettegolezzi sulla storia col modello Milos Dragos non sono mai stati confermati davvero. Amber Heard infortunio, la reazione dell’attrice L’attrice si è mostrata con un tutore al piede dopo questo brutto infortunio su cui non ha rivelato nulla. I dettagli sono quindi pochi, anche se in fin dei conti poco è anche l’interesse: l’importante è che Amber Heard stia bene e che sia carichissima per iniziare questo 2020 ricco di sfide. Non per niente proprio su Instagram si legge un messaggio ricco di entusiasmo: “Prendo a calci questo anno sentendomi se…y”, queste le sue parole subito seguite da una schiera infinita di commenti in cui i complimenti si sprecano e i messaggi di auguri anche. Inizio anno indimenticabile per Amber Heard, sensuale anche col tutore L’ex di Johnny Depp, che intanto sembra essere tornato single e quindi di nuovo su piazza, ci sembra in splendida forma: canotta bianca che evidenzia le forme prosperose che Madre Natura le ha donato, sorriso smagliante e sguardo seducente. Avrà pure questo tutore insomma ma la Heard rende sensuale anche quello, e tra l’altro è vero che non se ne fa un problema: nelle ultime storie Instagram ad esempio la si vede felicemente in vacanza con alcuni amici. Buon inizio anno allora!
***************************************************************************
••••INFORMATION
• Source: gossipetv
***************************************************************************

I video possono utilizzare una legge sui contenuti protetti da copyright che contiene un fair use ragionevole sull'utilizzo (https://www.youtube.com/yt/copyright/)
Molto felice di collaborare con altre pagine di giornali elettronici.
Per favore mandami una email
Grazie per la visione",https://i.ytimg.com/vi/7tUkh7P71SU/default.jpg,120,90,https://i.ytimg.com/vi/7tUkh7P71SU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7tUkh7P71SU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7tUkh7P71SU/sddefault.jpg,640.0,480.0,,,,ZV Notizie Celebrità,"['infortunio amber heard', 'l’attrice si mostra su', 'instagram', 'con un tutore', 'piede sinistro', 'Infortunio', 'Amber', 'Heard', 'l’attrice', 'si', 'mostra', 'su', 'Instagram', 'con', 'un', 'tutore', 'al', 'piede', 'sinistro', 'Infortunio Amber Heard', 'l’attrice si mostra su Instagram con un tutore al piede sinistro', 'Infortunio Amber Heard l’attrice si mostra su Instagram con un tutore al piede sinistro']",24,none,"Infortunio Amber Heard, l’attrice si mostra su Instagram con un tutore al piede sinistro","Infortunio Amber Heard, l’attrice si mostra su Instagram con un tutore al piede sinistro
Infortunio Amber Heard, l’attrice si mostra su Instagram con un tutore al piede sinistro Brutto inizio anno per l’attrice Amber Heard che su Instagram si è mostrata sorridente ma comunque con un infortunio al piede sinistro che ha fatto preoccupare i fan. Non parliamo di niente di grave, per fortuna, e a farlo notare è l’attrice stessa che sul noto social network di Mark Zuckerberg ha scritto un messaggio in cui si evince soltanto la volontà di iniziare il 2020 nel migliore dei modi. Non sappiamo ancora se da sola o in compagnia di qualche nuova fiamma, visto che i pettegolezzi sulla storia col modello Milos Dragos non sono mai stati confermati davvero. Amber Heard infortunio, la reazione dell’attrice L’attrice si è mostrata con un tutore al piede dopo questo brutto infortunio su cui non ha rivelato nulla. I dettagli sono quindi pochi, anche se in fin dei conti poco è anche l’interesse: l’importante è che Amber Heard stia bene e che sia carichissima per iniziare questo 2020 ricco di sfide. Non per niente proprio su Instagram si legge un messaggio ricco di entusiasmo: “Prendo a calci questo anno sentendomi se…y”, queste le sue parole subito seguite da una schiera infinita di commenti in cui i complimenti si sprecano e i messaggi di auguri anche. Inizio anno indimenticabile per Amber Heard, sensuale anche col tutore L’ex di Johnny Depp, che intanto sembra essere tornato single e quindi di nuovo su piazza, ci sembra in splendida forma: canotta bianca che evidenzia le forme prosperose che Madre Natura le ha donato, sorriso smagliante e sguardo seducente. Avrà pure questo tutore insomma ma la Heard rende sensuale anche quello, e tra l’altro è vero che non se ne fa un problema: nelle ultime storie Instagram ad esempio la si vede felicemente in vacanza con alcuni amici. Buon inizio anno allora!
***************************************************************************
••••INFORMATION
• Source: gossipetv
***************************************************************************

I video possono utilizzare una legge sui contenuti protetti da copyright che contiene un fair use ragionevole sull'utilizzo (https://www.youtube.com/yt/copyright/)
Molto felice di collaborare con altre pagine di giornali elettronici.
Per favore mandami una email
Grazie per la visione",PT4M46S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,34,0,0,0,,,
youtube#video,2swrBsCn_jdkWJfU993M_bcosto,8JY9bfQT5jc,2018-10-16T04:00:00Z,UCZHJM8iY_38C48fpide8rlA,Amber Heard’s Lawyers Are Going At Johnny Depp’s Throat For New GQ Interview,"Amber Heard is fighting back. Amber’s lawyer came to her defense after Johnny Depp spoke with reporters from GQ magazine and addressed the abuse allegations levied against him by his ex-wife, a marriage that lasted only one year.
The official YouTube channel for CELEBRITYINSIDER.ORG ! CELEBRITY INSIDER is an independent blog network that supports a community of users with access to insider celebrity reports, unbiased news and other information related to entertainment industry news",https://i.ytimg.com/vi/8JY9bfQT5jc/default.jpg,120,90,https://i.ytimg.com/vi/8JY9bfQT5jc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8JY9bfQT5jc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8JY9bfQT5jc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8JY9bfQT5jc/maxresdefault.jpg,1280.0,720.0,Celebrity Insider,"['celebrity insider', 'celebrity news', 'celebrity rumors', 'celebrityinsider', 'celebrity gossip', 'entertainment news', 'Celebrities', 'Latest Celebrity News', 'Celeb News', 'celeb gossip', 'celebrityinsider.org', 'Amber Heard']",24,none,Amber Heard’s Lawyers Are Going At Johnny Depp’s Throat For New GQ Interview,"Amber Heard is fighting back. Amber’s lawyer came to her defense after Johnny Depp spoke with reporters from GQ magazine and addressed the abuse allegations levied against him by his ex-wife, a marriage that lasted only one year.
The official YouTube channel for CELEBRITYINSIDER.ORG ! CELEBRITY INSIDER is an independent blog network that supports a community of users with access to insider celebrity reports, unbiased news and other information related to entertainment industry news",PT2M15S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,195,,0,0,en,,
youtube#video,IoSKuo8DlCPZuebA46MW3QCw0uw,byVlDqIzOPc,2018-11-13T10:31:23Z,UC0yp3rzQDuSuWEvUnt35vRA,"[한글자막] 엠버 허드, 가정폭력에 대해 말하다(Amber Heard Speaks Up)",출처: https://youtu.be/BwqAP9mICR0,https://i.ytimg.com/vi/byVlDqIzOPc/default.jpg,120,90,https://i.ytimg.com/vi/byVlDqIzOPc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/byVlDqIzOPc/hqdefault.jpg,480,360,,,,,,,J J,,22,none,"[한글자막] 엠버 허드, 가정폭력에 대해 말하다(Amber Heard Speaks Up)",출처: https://youtu.be/BwqAP9mICR0,PT2M10S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,12841,78,0,,,,
youtube#video,5AqvtbKuy-3XBUwtVfWrcm1JfoM,CLI8tuEjxzA,2020-03-17T00:48:40Z,UC8AGq7bm-x4teGcvQonvnPw,Vanessa Paradis Submits New Declaration in Defense Of Johnny Depp Against Amber Heard | Perfection!,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand

#JusticeForJohnnyDepp #AmberHeard",https://i.ytimg.com/vi/CLI8tuEjxzA/default.jpg,120,90,https://i.ytimg.com/vi/CLI8tuEjxzA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CLI8tuEjxzA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CLI8tuEjxzA/sddefault.jpg,640.0,480.0,,,,Nerdette's NewsStand,"['Aquaman 2', 'dceu', 'Amber heard', 'Johnny Depp', 'pirates of the Caribbean', 'fantastic beasts', 'Hollywood news', 'drama', 'controversy', 'entertainment', 'domestic abuse', 'Johnny Depp lawsuit', 'Johnny Depp sues Amber heard', 'Johnny Depp domestic abuse', '#justiceforjohnnydepp', 'Amber heard defamation', ""Johnny Depp's laywer"", 'Amber Heard instagram', 'the sun', 'Johnny Depp Defamation suit', 'Johnny Depp court papers', 'Penelope Cruz Johnny Depp', 'Edward scissorhands', 'Penelope Cruz', 'Vanessa paradis', 'Winona Ryder']",24,none,Vanessa Paradis Submits New Declaration in Defense Of Johnny Depp Against Amber Heard | Perfection!,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand

#JusticeForJohnnyDepp #AmberHeard",PT10M30S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,23102,936,0,293,en,,
youtube#video,7cFtJ0nQ9o0UZ_XQ1GQ_FnuzXn0,CXDD5epB7CE,2020-02-13T12:15:00Z,UChs7lcuw4qOCxl3SJRPuidQ,The final conversation of Johnny Depp and Amber Heard ended in tears when no agreement was reached,,https://i.ytimg.com/vi/CXDD5epB7CE/default.jpg,120,90,https://i.ytimg.com/vi/CXDD5epB7CE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CXDD5epB7CE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CXDD5epB7CE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/CXDD5epB7CE/maxresdefault.jpg,1280.0,720.0,DT Media,"['DT Media', 'news', 'final conversation', 'Johnny Depp and Amber Heard', 'ended', 'in tears', 'no agreement', 'reached']",24,none,The final conversation of Johnny Depp and Amber Heard ended in tears when no agreement was reached,,PT2M53S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,1438,8,0,3,,,
youtube#video,GiZL3ZRFmSv1iKl9PpIuhAfcYh4,dEibFTgLYQE,2020-10-16T03:40:02Z,UCuWeBHxVe6C69JTBpiY-Y8Q,CONFIRMADO: ¡Hay OVNIS en el PENTÁGONO y abogados de AMBER HEARD quieren mis datos personales!,"► Silvia Parada ➥ https://tus10seg.com/1002117

00:00 Decir ""eleccion"" esta mal
02:04 ¿Que paso con Biden y el New York Post?
08:02 Problemas en un avion
09:18 Control mental
10:56 El extraño mensaje de Britney Spears
11:41 ¿Que paso con Billie Eilish?
12:38 El Dipy vs Martin Cirio (La Faraona?
16:30 Amber Heard
18:26 Confirman que hay OVNIs en el Pentagono

► TUS 10 SEGUNDOS ➥ https://tus10segundos.com/products/delcarajotv
► SE PARTE DEL TEAM DELCARAJO:
➥ https://youtube.com/channel/UCuWeBHxVe6C69JTBpiY-Y8Q/join
► TIENDA DELCARAJO ➥ http://delcarajo.net

► Sigueme en:
Twitter ➥ http://twitter.com/juanitosay
Instagram ➥ http://instagram.com/juanitosayoficial

► Contacto: say@delcarajo.net


* Hey, Friki Delcarajo... ¿Que haces tan abajo? El boton de like esta mas arriba ( ͡° ͜ʖ ͡°)",https://i.ytimg.com/vi/dEibFTgLYQE/default.jpg,120,90,https://i.ytimg.com/vi/dEibFTgLYQE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dEibFTgLYQE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dEibFTgLYQE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/dEibFTgLYQE/maxresdefault.jpg,1280.0,720.0,DELCARAJO TV,"['juanito say', 'delcarajo', 'delcarajo teve', 'delcarajo tv', 'data suculenta', 'noticias', 'noticias de hoy', 'billie eilish', 'billie eilish foto', 'amber heard', 'amber heard johnny depp', 'ovni', 'ufo', 'extraterrestre', 'la verdad', 'billie eilish bad guy', 'billie eilish live', 'ufo sightings in argentina', 'ovni real', 'secretos', 'revelados', 'johnny depp', 'wefere', 'hunter biden', 'trump', 'viral', 'meme', 'gracioso', 'juanito say ellen', 'juanito say edad']",24,none,CONFIRMADO: ¡Hay OVNIS en el PENTÁGONO y abogados de AMBER HEARD quieren mis datos personales!,"► Silvia Parada ➥ https://tus10seg.com/1002117

00:00 Decir ""eleccion"" esta mal
02:04 ¿Que paso con Biden y el New York Post?
08:02 Problemas en un avion
09:18 Control mental
10:56 El extraño mensaje de Britney Spears
11:41 ¿Que paso con Billie Eilish?
12:38 El Dipy vs Martin Cirio (La Faraona?
16:30 Amber Heard
18:26 Confirman que hay OVNIs en el Pentagono

► TUS 10 SEGUNDOS ➥ https://tus10segundos.com/products/delcarajotv
► SE PARTE DEL TEAM DELCARAJO:
➥ https://youtube.com/channel/UCuWeBHxVe6C69JTBpiY-Y8Q/join
► TIENDA DELCARAJO ➥ http://delcarajo.net

► Sigueme en:
Twitter ➥ http://twitter.com/juanitosay
Instagram ➥ http://instagram.com/juanitosayoficial

► Contacto: say@delcarajo.net


* Hey, Friki Delcarajo... ¿Que haces tan abajo? El boton de like esta mas arriba ( ͡° ͜ʖ ͡°)",PT21M50S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,193945,13809,0,1422,zxx,,
youtube#video,MedAANuWLSyVbRzzIaYS7AYKClE,FEHSo4zGqE4,2020-12-06T11:14:51Z,UC1fND_N0qhY0RtFTeBA4iag,Amber Heard as young girl #animated #mgtow #cartoon #redpill,,https://i.ytimg.com/vi/FEHSo4zGqE4/default.jpg,120,90,https://i.ytimg.com/vi/FEHSo4zGqE4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FEHSo4zGqE4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/FEHSo4zGqE4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/FEHSo4zGqE4/maxresdefault.jpg,1280.0,720.0,f3mh8r cartoons,,1,none,Amber Heard as young girl #animated #mgtow #cartoon #redpill,,PT16S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,266,25,0,2,,,
