kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.contentRating.ytRating
youtube#video,vRIDUZcKMwp4ENR2H7Ex2ZcOh9o,-gmlgfST8rQ,2020-10-16T20:30:09Z,UClX8yG5ZR-uF1Py5cx7YOwQ,What do you know about Amber Heard ?!!,"What do you know about Amber Heard ?!!
.
If you like this video, join us to watch thousands of interesting videos.

If you like this post, we would be thankful if you share it with your friends.🙏🏼
.
.
#333english
#iran #Did_you_know #Do_you_know
#NIKI_MINAJ #selena_gomez #history 
#amber_heard #World #simple
 #johny_dep #kim_kardashian #justin_biber #the_rock 
 #youtubechannel #telegram
 #website #twitter #usa #google
#tags #youtube #professinal
#love #fashion #photooftheday #art #beautiful #photography #happy #cute #follow #nature #tbt #instagram #travel #style #repost #summer #instadaily #me #food #friends #girl #beauty #fun #instalike #smile #family #photo #life #likeforlike #music",https://i.ytimg.com/vi/-gmlgfST8rQ/default.jpg,120,90,https://i.ytimg.com/vi/-gmlgfST8rQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-gmlgfST8rQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-gmlgfST8rQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-gmlgfST8rQ/maxresdefault.jpg,1280.0,720.0,333.persia,"['iran', 'Did_you_know', 'Do_you_know', 'NIKI_MINAJ', 'selena_gomez', 'history', 'cristiano_ronaldo', 'World', 'simple#country', 'kim_kardashian', 'justin_biber', 'the_rock', 'youtubechannel', 'telegram', 'website', 'twitter', 'usa', 'google', 'tags', 'youtube', 'professinal', 'love', 'fashion', 'photooftheday', 'art', 'beautiful', 'photography', 'happy', 'cute', 'follow', 'nature', 'tbt', 'instagram', 'style', 'repost', 'summer', 'instadaily', 'me', 'food', 'friends', 'girl', 'beauty', 'instalike', 'smile', 'family', 'photo', 'amber_heard', 'johny_dep']",28,none,What do you know about Amber Heard ?!!,"What do you know about Amber Heard ?!!
.
If you like this video, join us to watch thousands of interesting videos.

If you like this post, we would be thankful if you share it with your friends.🙏🏼
.
.
#333english
#iran #Did_you_know #Do_you_know
#NIKI_MINAJ #selena_gomez #history 
#amber_heard #World #simple
 #johny_dep #kim_kardashian #justin_biber #the_rock 
 #youtubechannel #telegram
 #website #twitter #usa #google
#tags #youtube #professinal
#love #fashion #photooftheday #art #beautiful #photography #happy #cute #follow #nature #tbt #instagram #travel #style #repost #summer #instadaily #me #food #friends #girl #beauty #fun #instalike #smile #family #photo #life #likeforlike #music",PT6M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,47,1,0,3,,,
youtube#video,PLTEsMcXom0QVtMhuyWkNPKly9A,1NWA93-O5jE,2021-09-14T07:26:12Z,UCMY1pxm4wBlQPnkkF2aNtQg,How to Deal With  A Broken Foster Care System with Amber Jewell,"Amber Jewell is a licensed master social worker with over 15 years of experience working with youth and families in child protective services, education, and mental health services. As an educator and an advocate for promoting change for and value within people, Amber works to inspire and motivate others to grasp their own form of hope. She is also a motivational speaker and has experience in the foster system.

 Facebook

 LinkedIn

 Amber's Book

  FINDING HOPE  The 12 Keys to Healing  Hardship, Hurt & Sorrow

  

 Foster Care: An Unparalleled Journey Find All Our Links Here

   

 https://linktr.ee/fostercarenation

 Foster Care 101

  Free webinar with NO sales pitch!

   

 Support Our Mission

 https://www.buymeacoffee.com/fostercare

   

 https://patreon.com/fostercarenation

   

 Website

   

 https://fostercarenation.com

   

 Connect with us on our Facebook Page

   

 https://facebook.com/7timedad

   

 Connect on Instagram

   

 https://www.instagram.com/fostercarenation/",https://i.ytimg.com/vi/1NWA93-O5jE/default.jpg,120,90,https://i.ytimg.com/vi/1NWA93-O5jE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1NWA93-O5jE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1NWA93-O5jE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1NWA93-O5jE/maxresdefault.jpg,1280.0,720.0,Jason Palmer,"['Neglect', 'abuse', 'amber jewell', 'author', 'care', 'caseworker', 'caseworkers', 'ffy', 'former foster youth', 'foster', 'foster care', 'fostercarenation', 'story', 'storytelling', 'trauma']",22,none,How to Deal With  A Broken Foster Care System with Amber Jewell,"Amber Jewell is a licensed master social worker with over 15 years of experience working with youth and families in child protective services, education, and mental health services. As an educator and an advocate for promoting change for and value within people, Amber works to inspire and motivate others to grasp their own form of hope. She is also a motivational speaker and has experience in the foster system.

 Facebook

 LinkedIn

 Amber's Book

  FINDING HOPE  The 12 Keys to Healing  Hardship, Hurt & Sorrow

  

 Foster Care: An Unparalleled Journey Find All Our Links Here

   

 https://linktr.ee/fostercarenation

 Foster Care 101

  Free webinar with NO sales pitch!

   

 Support Our Mission

 https://www.buymeacoffee.com/fostercare

   

 https://patreon.com/fostercarenation

   

 Website

   

 https://fostercarenation.com

   

 Connect with us on our Facebook Page

   

 https://facebook.com/7timedad

   

 Connect on Instagram

   

 https://www.instagram.com/fostercarenation/",PT1H12M11S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2,1,0,0,,,
youtube#video,yHgTPOWKhbwimEivWprFuLrNWtc,4hOebs88N8A,2021-10-16T21:23:14Z,UCHOgwYRirWBMicWH7GgFvRA,AMBER HEARD | NEW WHATSAPP STATUS | BEST EDIT | AMBER HEARD STATUS | VAVA STATUS |,,https://i.ytimg.com/vi/4hOebs88N8A/default.jpg,120,90,https://i.ytimg.com/vi/4hOebs88N8A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4hOebs88N8A/hqdefault.jpg,480,360,,,,,,,vᴀvᴀ sтᴀтus]彡★,,10,none,AMBER HEARD | NEW WHATSAPP STATUS | BEST EDIT | AMBER HEARD STATUS | VAVA STATUS |,,PT22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,44,5,0,0,,,
youtube#video,0hRLRj1pGTEtEZYJz0fayqWPbTA,AKNhhQIA2TA,2020-10-25T11:01:15Z,UC-HoXGsf6nxtaZatTmh0XzQ,RANK 35 AMBER in SHOWDOWN (She is BROKEN),"Pushing Rank 35 Amber in Showdown
▶ Subscribe here: https://bit.ly/SubscribeTom
▶ Instagram - https://www.instagram.com/tom_brawlstars/

▶ Become a Channel Member: https://bit.ly/MemberJOIN

▶ Become a Twitch Sub Here - https://bit.ly/tomTTVsub
▶ 2nd Channel - https://bit.ly/ToxicTomYT
▶ Instagram - https://www.instagram.com/tom_brawlstars/
▶ Discord - https://Discord.gg/Tom
▶ TikTok - https://www.tiktok.com/@tombrawlstarsyt
▶ Twitter - https://twitter.com/TomBrawlStars
▶ Twitch - https://www.twitch.tv/tom_brawlstars
▶ Business - tom@tribegaming.gg


Join the Tribe:
▶ Twitter: https://twitter.com/tribegaming
▶ Instagram: https://instagram.com/tribegaming
▶ Discord: https://discord.gg/tribegaming
▶ Website: http://tribegaming.gg/

Partners:
▶ Get 10% off GFUEL by using code ""TOM"": https://gfuel.ly/3h0CK1n
▶ Enjoy 20% off from Incase by using code TRIBE20: https://trb.gg/incase
Incase designs an ecosystem of bags and accessories that provide the best possible mobility and experience to keep your ideas protected.

Music - https://www.youtube.com/user/NoCopyrightSounds

What Is Brawl Stars?
Brawl Stars is a freemium multiplayer mobile arena fighter/party brawler/shoot 'em up video game developed and published by Supercell. In Brawl Stars, players are ranked by their level and total trophies. Players collect brawlers and select one to use each game.

#BrawlStars #TomBrawlStars #Amber",https://i.ytimg.com/vi/AKNhhQIA2TA/default.jpg,120,90,https://i.ytimg.com/vi/AKNhhQIA2TA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AKNhhQIA2TA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AKNhhQIA2TA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/AKNhhQIA2TA/maxresdefault.jpg,1280.0,720.0,Tom - Brawl Stars,"['Brawlstars', 'Brawl', 'stars', 'Tom', 'Pro', 'Player', 'Tribe', 'Gaming', 'tom brawl stars', 'tribe | tom', 'tribe tom', 'tom_brawlstars', 'toxic tom', 'tom bs', 'tribe gaming tom', 'rank 35', 'rank 35 in showdown', 'amber rank 35', 'amber', 'brawl stars amber', 'brawl stars amber rank 35', 'pushing rank 35 in showdown', 'brawl stars rank 35 in showdown', 'rank 35 amber in showdown', 'rank 35 with no teammates', 'amber is broken', 'amber tips', 'amber pro tips', 'pro tips', 'brawl stars pro tips', 'best tips', 'tricks', 'amber tip tricks']",20,none,RANK 35 AMBER in SHOWDOWN (She is BROKEN),"Pushing Rank 35 Amber in Showdown
▶ Subscribe here: https://bit.ly/SubscribeTom
▶ Instagram - https://www.instagram.com/tom_brawlstars/

▶ Become a Channel Member: https://bit.ly/MemberJOIN

▶ Become a Twitch Sub Here - https://bit.ly/tomTTVsub
▶ 2nd Channel - https://bit.ly/ToxicTomYT
▶ Instagram - https://www.instagram.com/tom_brawlstars/
▶ Discord - https://Discord.gg/Tom
▶ TikTok - https://www.tiktok.com/@tombrawlstarsyt
▶ Twitter - https://twitter.com/TomBrawlStars
▶ Twitch - https://www.twitch.tv/tom_brawlstars
▶ Business - tom@tribegaming.gg


Join the Tribe:
▶ Twitter: https://twitter.com/tribegaming
▶ Instagram: https://instagram.com/tribegaming
▶ Discord: https://discord.gg/tribegaming
▶ Website: http://tribegaming.gg/

Partners:
▶ Get 10% off GFUEL by using code ""TOM"": https://gfuel.ly/3h0CK1n
▶ Enjoy 20% off from Incase by using code TRIBE20: https://trb.gg/incase
Incase designs an ecosystem of bags and accessories that provide the best possible mobility and experience to keep your ideas protected.

Music - https://www.youtube.com/user/NoCopyrightSounds

What Is Brawl Stars?
Brawl Stars is a freemium multiplayer mobile arena fighter/party brawler/shoot 'em up video game developed and published by Supercell. In Brawl Stars, players are ranked by their level and total trophies. Players collect brawlers and select one to use each game.

#BrawlStars #TomBrawlStars #Amber",PT11M56S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,67838,3668,0,215,en,,
youtube#video,WopryhaafMwUuILsXb6i30114iQ,dX66MdzWTBs,2020-10-27T06:16:20Z,UCbfwKVaFIfVDyVDndGrTKTg,amber from 700 to 1000 trophies while she is broken (part 2 of 2),pushing amber to 1000 trophies to rank 30! this is the second stream. she is broken AF so we must push before the nerf comes!,https://i.ytimg.com/vi/dX66MdzWTBs/default.jpg,120,90,https://i.ytimg.com/vi/dX66MdzWTBs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dX66MdzWTBs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dX66MdzWTBs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/dX66MdzWTBs/maxresdefault.jpg,1280.0,720.0,Orange Juice - Live,"['brawl stars', 'amber trophy pushing', 'amber trophies', 'amber rank 30', 'amber 1000 trophies', 'amber stream', 'brawl stars stream']",20,none,amber from 700 to 1000 trophies while she is broken (part 2 of 2),pushing amber to 1000 trophies to rank 30! this is the second stream. she is broken AF so we must push before the nerf comes!,PT5H12M14S,2d,hd,false,True,rectangular,processed,public,youtube,False,True,False,104748,4480,0,166,en,,
youtube#video,oLzGCBHFt0gGf7klzXiI9S70W8k,gDcBhQTPgdo,2017-05-14T02:14:41Z,UCHL6VDzGZXIMGN9_WyoDRDw,"8 BROKEN HEARTS movie - film clip ""Amber""","8 Broken Hearts (8brokenheartsmovie.com) captures the stories of eight courageous individuals who undergo a moving transformation by sharing their experiences and courageously baring their souls. Some share stories of an abusive brother, an alcoholic mother, or a father in jail, while others open up to us about the loss of their only parent, their best friend, or their hero. As the film reveals, pain is a feeling that sticks around, often with great detail, but it is something that everyone shares.",https://i.ytimg.com/vi/gDcBhQTPgdo/default.jpg,120,90,https://i.ytimg.com/vi/gDcBhQTPgdo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gDcBhQTPgdo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gDcBhQTPgdo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/gDcBhQTPgdo/maxresdefault.jpg,1280.0,720.0,dirtylittlefilms,"['8 broken hearts', 'sam Hurwitz', 'alcoholic mother', 'alcoholic father', 'broken heart', 'forgiveness', 'cancer', 'lymphoma', 'pain', 'loss', 'absentee parent', 'death of a parent', 'grief', 'loss of a pet', 'alcoholics anonymous', 'al-anon', 'abusive mother', 'abusive father', 'abusive parent', 'abusive brother', 'family dysfunction', 'lost childhood', 'end of innocence', 'Rose Cordova', 'Patrick Downey', 'John A. Nicholson', 'Tony Santiago', 'Erica Santifer', 'Rico Simonini', 'Suzanne Shea Reed', 'Amber Van Schwinn']",22,none,"8 BROKEN HEARTS movie - film clip ""Amber""","8 Broken Hearts (8brokenheartsmovie.com) captures the stories of eight courageous individuals who undergo a moving transformation by sharing their experiences and courageously baring their souls. Some share stories of an abusive brother, an alcoholic mother, or a father in jail, while others open up to us about the loss of their only parent, their best friend, or their hero. As the film reveals, pain is a feeling that sticks around, often with great detail, but it is something that everyone shares.",PT56S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,95,0,0,0,en,,
youtube#video,jTqHCP2jT6AggkTldRs1k7qIRIw,gnYYD7pK-TY,2018-03-16T18:30:36Z,UCyqFAkBRq82bvAe4o_6G6Zg,Amber Heard Wears Hospital Gown While Posing with New Crutches: It's 'MRI-Chic',Amber Heard Wears Hospital Gown While Posing with New Crutches: It's 'MRI-Chic',https://i.ytimg.com/vi/gnYYD7pK-TY/default.jpg,120,90,https://i.ytimg.com/vi/gnYYD7pK-TY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gnYYD7pK-TY/hqdefault.jpg,480,360,,,,,,,Black Rose,"['Amber Heard', 'Movie Celebrities', 'Movie News', 'News']",22,none,Amber Heard Wears Hospital Gown While Posing with New Crutches: It's 'MRI-Chic',Amber Heard Wears Hospital Gown While Posing with New Crutches: It's 'MRI-Chic',PT2M,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,55,0,0,0,,,
youtube#video,JY7wyee-B4a5o1g19sHHtsMqg4Q,isJLHl4F5Gw,2021-07-06T21:15:26Z,UCave741nrG8Z8zplLE3GDxQ,"THE AMBERLYNN REID AND BECKY BREAK UP, THEN AMBER TRIES MANIPULATE!","THE AMBERLYNN REID AND BECKY BREAK UP, THEN AMBER TRIES MANIPULATE!
#Amberlynn #Reid #BreakUp
https://streamlabs.com/sinatra_sayslivestreams
BTC: 32ePRUDTSVMPkUan7S8YWZykyiSNgZYL9b
https://shop.stonk.solutions/?ref=sinatra 
Twitch!: https://www.twitch.tv/sinatra_says
Store!: https://streamlabs.com/sinatra_sayslivestreams/merch
check out the fph: https://www.twitch.tv/gulfcity
Send me stuff to unbox:

Sinatra
p.o. box 60 
Elyria, OH
44036

FOR FED EX OR UPS:

345 E. Bridge Street
Apt 60
Elyria, Oh
44035

Other Channels: 
CreepyPasta: https://www.youtube.com/channel/UCP7Vt82amCBJSuGxZY5wPDw
Second channel: https://www.youtube.com/channel/UCave741nrG8Z8zplLE3GDxQ?view_as=subscriber
Aquarium channel: https://www.youtube.com/channel/UCAeHwv32g2EWaq54vKcaVsw

Social Media:

Twitter: https://twitter.com/Sinatra_Says
Minds: https://www.minds.com/Sinatra_Says
Gab.ai: https://gab.ai/Sinatra_Says

Support the channel:

PayPal: https://www.paypal.me/Sinatrasays
Patreon: https://www.patreon.com/sinatra_says
SubscribeStar: https://www.subscribestar.com/sinatra_says
One Time Donation: https://streamlabs.com/sinatra_sayslivestreams
Gulf Gear: https://gulf-gear.com/

Credits: 

Original video:

Artwork done by: @ANTNB4 @Elephant_ITR @manicidiot @StuBertFM @SemajZ

Background FX: 
https://www.youtube.com/channel/UCilPIl-SwFbtsoH8WLnvlfA?&ab_channel=AAVFX

https://www.youtube.com/channel/UC-kC2CW_Ipi8TvJhzT7Wc_Q?&ab_channel=MatthiasM.de

https://www.youtube.com/user/CGMeetUp/videos",https://i.ytimg.com/vi/isJLHl4F5Gw/default.jpg,120,90,https://i.ytimg.com/vi/isJLHl4F5Gw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/isJLHl4F5Gw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/isJLHl4F5Gw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/isJLHl4F5Gw/maxresdefault.jpg,1280.0,720.0,Sinatra_Says Second,"['#Amberlynn #Reid #BreakUp', 'THE AMBERLYNN REID AND BECKY BREAK UP', 'THEN AMBER TRIES MANIPULATE!', 'amberlynn reid', 'amberlynn videos', 'amberlynn lying', 'Amberlynn and becky', 'amberlynn eating', 'amberlynn reid eating', 'alr reaction', 'embarrassing amberlynn', 'amberlynn vlogmas', 'amberlynn commentary', 'orange queen', 'amberlynn new', 'amberlynn drama', 'alr scandal', 'orange queen amberlynn', 'amberlynn weight', 'alr mukbang', 'AMBERLYNNN BECKY BREAK UP', 'AMBERLYNN REID BREAK UP', 'BECKY BREAK UP']",22,none,"THE AMBERLYNN REID AND BECKY BREAK UP, THEN AMBER TRIES MANIPULATE!","THE AMBERLYNN REID AND BECKY BREAK UP, THEN AMBER TRIES MANIPULATE!
#Amberlynn #Reid #BreakUp
https://streamlabs.com/sinatra_sayslivestreams
BTC: 32ePRUDTSVMPkUan7S8YWZykyiSNgZYL9b
https://shop.stonk.solutions/?ref=sinatra 
Twitch!: https://www.twitch.tv/sinatra_says
Store!: https://streamlabs.com/sinatra_sayslivestreams/merch
check out the fph: https://www.twitch.tv/gulfcity
Send me stuff to unbox:

Sinatra
p.o. box 60 
Elyria, OH
44036

FOR FED EX OR UPS:

345 E. Bridge Street
Apt 60
Elyria, Oh
44035

Other Channels: 
CreepyPasta: https://www.youtube.com/channel/UCP7Vt82amCBJSuGxZY5wPDw
Second channel: https://www.youtube.com/channel/UCave741nrG8Z8zplLE3GDxQ?view_as=subscriber
Aquarium channel: https://www.youtube.com/channel/UCAeHwv32g2EWaq54vKcaVsw

Social Media:

Twitter: https://twitter.com/Sinatra_Says
Minds: https://www.minds.com/Sinatra_Says
Gab.ai: https://gab.ai/Sinatra_Says

Support the channel:

PayPal: https://www.paypal.me/Sinatrasays
Patreon: https://www.patreon.com/sinatra_says
SubscribeStar: https://www.subscribestar.com/sinatra_says
One Time Donation: https://streamlabs.com/sinatra_sayslivestreams
Gulf Gear: https://gulf-gear.com/

Credits: 

Original video:

Artwork done by: @ANTNB4 @Elephant_ITR @manicidiot @StuBertFM @SemajZ

Background FX: 
https://www.youtube.com/channel/UCilPIl-SwFbtsoH8WLnvlfA?&ab_channel=AAVFX

https://www.youtube.com/channel/UC-kC2CW_Ipi8TvJhzT7Wc_Q?&ab_channel=MatthiasM.de

https://www.youtube.com/user/CGMeetUp/videos",PT1H9M4S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,37956,1335,0,739,,,
youtube#video,saaFGIW3yF3kQUaDl_2OQw4uk7E,k7A78NwKk0M,2020-10-21T16:09:51Z,UCxNMYToYIBPYV829BJcmUQg,AMBER is 110% BROKEN....,"Amber is 110% Broken | Brawl Stars | Chief Pat
▶ Brawl Stars Creator Code PAT - click to use: http://bit.ly/codepat
▶ Subscribe: http://bit.ly/chiefpatsubscribe

Check me out:
▶ Twitter: http://www.twitter.com/chiefpat
▶ Instagram: http://www.instagram.com/chiefpat
▶ Discord: http://www.discord.gg/chiefpat
▶ TikTok: https://www.tiktok.com/@chiefpat
▶ Twitch: http://www.twitch.tv/chiefpat
▶ Chief Cat: https://www.instagram.com/thechiefcat
▶ Business Inquiries: pat@tribegaming.gg

Support my partners!
▶ OnePlus - Never Settle: http://oneplus.ws/TribeGamingxOnePlus
▶ GFUEL | code ‘PAT’ for 10% off: https://gfuel.ly/2NKoKvm
▶ Enjoy 20% off from Incase by using code TRIBE20: https://trb.gg/incase
Incase designs an ecosystem of bags and accessories that provide the best possible mobility and experience to keep your ideas protected.

Follow Tribe Gaming:
▶ Twitter: https://twitter.com/tribegaming
▶ YouTube: https://youtube.com/tribegaming
▶ Discord: https://discord.gg/tribegaming
▶ Instagram: https://instagram.com/tribegaming

#BrawlStars #ChiefPat",https://i.ytimg.com/vi/k7A78NwKk0M/default.jpg,120,90,https://i.ytimg.com/vi/k7A78NwKk0M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/k7A78NwKk0M/hqdefault.jpg,480,360,https://i.ytimg.com/vi/k7A78NwKk0M/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/k7A78NwKk0M/maxresdefault.jpg,1280.0,720.0,Chief Pat,"['Brawl Stars', 'Chief Pat', 'Brawl', 'Stars', 'Gameplay', 'Funny', 'Moments']",20,none,AMBER is 110% BROKEN....,"Amber is 110% Broken | Brawl Stars | Chief Pat
▶ Brawl Stars Creator Code PAT - click to use: http://bit.ly/codepat
▶ Subscribe: http://bit.ly/chiefpatsubscribe

Check me out:
▶ Twitter: http://www.twitter.com/chiefpat
▶ Instagram: http://www.instagram.com/chiefpat
▶ Discord: http://www.discord.gg/chiefpat
▶ TikTok: https://www.tiktok.com/@chiefpat
▶ Twitch: http://www.twitch.tv/chiefpat
▶ Chief Cat: https://www.instagram.com/thechiefcat
▶ Business Inquiries: pat@tribegaming.gg

Support my partners!
▶ OnePlus - Never Settle: http://oneplus.ws/TribeGamingxOnePlus
▶ GFUEL | code ‘PAT’ for 10% off: https://gfuel.ly/2NKoKvm
▶ Enjoy 20% off from Incase by using code TRIBE20: https://trb.gg/incase
Incase designs an ecosystem of bags and accessories that provide the best possible mobility and experience to keep your ideas protected.

Follow Tribe Gaming:
▶ Twitter: https://twitter.com/tribegaming
▶ YouTube: https://youtube.com/tribegaming
▶ Discord: https://discord.gg/tribegaming
▶ Instagram: https://instagram.com/tribegaming

#BrawlStars #ChiefPat",PT10M35S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,196434,8557,0,892,en,en,
youtube#video,tUqWqSKh7Fr6z3AOBz__R7ih_k4,lsHsMjDO_FY,2021-01-13T15:33:04Z,UCy3DD4r5uQNzM2mNk6aNxZA,Ganyu vs Amber Damage Comparison Test! CocoGOATED | Genshin Impact,"Yeaaaa... Ganyu is in a league of her own lol...
Timeline:
0:00 Intro  
0:14 Video Overview
0:52 Amber Stats
1:05 Ganyu Stats
2:09 What's Being Tested
2:38 Ganyu Test
3:53 Amber Test
4:27 Number Comparison/Breakdown",https://i.ytimg.com/vi/lsHsMjDO_FY/default.jpg,120,90,https://i.ytimg.com/vi/lsHsMjDO_FY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/lsHsMjDO_FY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/lsHsMjDO_FY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/lsHsMjDO_FY/maxresdefault.jpg,1280.0,720.0,KingQavi,"['Ganyu', 'Amber', 'Genshin Impact', 'Vs', 'Guide', 'Test']",20,none,Ganyu vs Amber Damage Comparison Test! CocoGOATED | Genshin Impact,"Yeaaaa... Ganyu is in a league of her own lol...
Timeline:
0:00 Intro  
0:14 Video Overview
0:52 Amber Stats
1:05 Ganyu Stats
2:09 What's Being Tested
2:38 Ganyu Test
3:53 Amber Test
4:27 Number Comparison/Breakdown",PT9M35S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,12760,248,0,128,,,
