kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,statistics.commentCount,snippet.tags,contentDetails.regionRestriction.blocked
youtube#video,EmJnWtxMltTdE5eKqNE3l_NsOhk,27oGT3Cs_Q0,2021-07-28T17:55:48Z,UCaFhPje-_jfvLywSdL1MOCg,The Reason You Believe In Johnny (Amber Heard Playlist!!),,https://i.ytimg.com/vi/27oGT3Cs_Q0/default.jpg,120,90,https://i.ytimg.com/vi/27oGT3Cs_Q0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/27oGT3Cs_Q0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/27oGT3Cs_Q0/sddefault.jpg,640.0,480.0,#JOHNNYDEPPBEATSWOMEN Johnny Depp es racista,22,none,en-US,The Reason You Believe In Johnny (Amber Heard Playlist!!),,en-US,PT1M42S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,9,1,0,,,,,,
youtube#video,uPG99b4LRlxm8CCa9agr1oXBAtI,3dehBlknpFg,2020-02-29T01:55:52Z,UCISnWK4GeNr34SXR1qrdgbg,I believe in wrestling. chasyn rance vs amber nova,Team Vision dojo,https://i.ytimg.com/vi/3dehBlknpFg/default.jpg,120,90,https://i.ytimg.com/vi/3dehBlknpFg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3dehBlknpFg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3dehBlknpFg/sddefault.jpg,640.0,480.0,CARLOS INDY,1,none,,I believe in wrestling. chasyn rance vs amber nova,Team Vision dojo,,PT33M59S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1155541,4573,0,https://i.ytimg.com/vi/3dehBlknpFg/maxresdefault.jpg,1280.0,720.0,191,,
youtube#video,0ZQ4DHTIK00r77TPjxYkBfYJgQ8,4JuWIHY5igI,2016-08-20T10:51:47Z,UCkUXFt8MhaoQe6SToOOSL1w,Amber Heard did what abuse victims are “supposed” to do. People still didn’t believe her.,"Amber Heard did what abuse victims are “supposed” to do. People still didn’t believe her.
The divorce of Amber Heard and Johnny Depp is now final, and one thing’s for sure: Heard didn’t get any money out of it.",https://i.ytimg.com/vi/4JuWIHY5igI/default.jpg,120,90,https://i.ytimg.com/vi/4JuWIHY5igI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4JuWIHY5igI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4JuWIHY5igI/sddefault.jpg,640.0,480.0,HOT NEW,22,none,,Amber Heard did what abuse victims are “supposed” to do. People still didn’t believe her.,"Amber Heard did what abuse victims are “supposed” to do. People still didn’t believe her.
The divorce of Amber Heard and Johnny Depp is now final, and one thing’s for sure: Heard didn’t get any money out of it.",en-US,PT1M21S,2d,hd,true,False,rectangular,processed,public,youtube,True,True,False,9,1,0,https://i.ytimg.com/vi/4JuWIHY5igI/maxresdefault.jpg,1280.0,720.0,0,"['amber heard', 'amber heard net worth', 'amber heard imdb', 'amber heard movies', 'amber heard age', 'amber heard johnny depp wedding', 'amber heard instagram', 'amber heard justice league', 'amber heard interview', 'amber heard twitter', 'amber heard tumblr', 'amber heard 1968 ford mustang', 'amber heard 16', 'amber heard 1440x900', 'amber heard 100x100 icons', 'amber heard 17', 'amber heard 2016', 'amber heard 2015', 'amber heard 2008']",
youtube#video,g_YGmChwtMNpVkcIJNi-sVSGjRk,gv6SnzFFO0c,2021-09-18T00:00:07Z,UCC4RIwjtWgIIJzXJRxHwuUQ,THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe,"THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe
THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe
THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe


We tell you interesting things about the Hollywood celebrities that you may have never heard before.

Please subscribe to our channel to stay up to date with interesting facts about Hollywood Celebs.

Cheers!",https://i.ytimg.com/vi/gv6SnzFFO0c/default.jpg,120,90,https://i.ytimg.com/vi/gv6SnzFFO0c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gv6SnzFFO0c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gv6SnzFFO0c/sddefault.jpg,640.0,480.0,The HollyVibe,24,none,en-US,THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe,"THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe
THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe
THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe


We tell you interesting things about the Hollywood celebrities that you may have never heard before.

Please subscribe to our channel to stay up to date with interesting facts about Hollywood Celebs.

Cheers!",en-US,PT8M5S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,18,3,0,https://i.ytimg.com/vi/gv6SnzFFO0c/maxresdefault.jpg,1280.0,720.0,0,"['THIS IS HOW Amber Heard Made Her Fans Believe Her Lies | The HollyVibe', 'amber heard', 'johnny depp amber heard', 'amber heard johnny depp', 'johnny depp', 'johnny depp and amber heard']",
youtube#video,reMnibvcW3Z4AtAozS3XztUHPJg,hhjrBEllN2U,2021-07-01T13:01:40Z,UCAierRKRN6w-fzyuoIJH3iQ,Hollywood beauty🧜‍♀️👩‍🦰💫 Amber Heard 💘🥰🔥Aquaman movie scenes,"Amber Heard 💘🥰🔥Aquaman movie scenes 
Previous video Elizabeth Olsen 
#AmberHeard
#aquaman",https://i.ytimg.com/vi/hhjrBEllN2U/default.jpg,120,90,https://i.ytimg.com/vi/hhjrBEllN2U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/hhjrBEllN2U/hqdefault.jpg,480,360,https://i.ytimg.com/vi/hhjrBEllN2U/sddefault.jpg,640.0,480.0,Tech Ram,22,none,,Hollywood beauty🧜‍♀️👩‍🦰💫 Amber Heard 💘🥰🔥Aquaman movie scenes,"Amber Heard 💘🥰🔥Aquaman movie scenes 
Previous video Elizabeth Olsen 
#AmberHeard
#aquaman",,PT29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,33,8,0,,,,3,,
youtube#video,m2im0SWjjiLFvR95bAy-R-iBIoE,KOzgLIU85Mk,2019-06-08T12:25:14Z,UCkZcqolV-VK14tHoxetIiow,"Lexi Gomez, Sofia Castillo, Amber Nova, Gia Roman at I Believe in Wrestling June 2019","An eight women tag match with Amber Nova, Lexi Gomez, Gia Roman and Sofia Castillo against Kaci Lennox, Layne Rosario, Dank The Clown and Marina Tucker during the Florida J Cup of the I Believe in Wrestling show at the Team Vision Dojo on Friday, June 7, 2019 in Orlando.",https://i.ytimg.com/vi/KOzgLIU85Mk/default.jpg,120,90,https://i.ytimg.com/vi/KOzgLIU85Mk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KOzgLIU85Mk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/KOzgLIU85Mk/sddefault.jpg,640.0,480.0,jim varsallone (jimmyv3 channel),17,none,,"Lexi Gomez, Sofia Castillo, Amber Nova, Gia Roman at I Believe in Wrestling June 2019","An eight women tag match with Amber Nova, Lexi Gomez, Gia Roman and Sofia Castillo against Kaci Lennox, Layne Rosario, Dank The Clown and Marina Tucker during the Florida J Cup of the I Believe in Wrestling show at the Team Vision Dojo on Friday, June 7, 2019 in Orlando.",,PT42S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,372,2,0,,,,0,"['lexi gomez', 'sofia castillo', 'amber nova', 'gia roman', 'kaci lennox', 'layne rosario', 'dank the clown', 'marina tucker', 'i believe in wrestling', 'team vision dojo', ""women's wrestling"", 'orlando']",
youtube#video,v4NNKnfZLM_OXqtOEsSP4Z0RmiY,ljQf9Jj_92M,2021-02-12T09:30:57Z,UCLw6wkB9hUunjyGEMdj2Vqw,Why You Should Believe Women!! (Amber Heard Playlist!!),,https://i.ytimg.com/vi/ljQf9Jj_92M/default.jpg,120,90,https://i.ytimg.com/vi/ljQf9Jj_92M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ljQf9Jj_92M/hqdefault.jpg,480,360,,,,Theresa L. Dowling,1,none,,Why You Should Believe Women!! (Amber Heard Playlist!!),,,PT3M58S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,66,1,0,,,,0,,
youtube#video,k8F4YfE_9Ako_IaWkmjlyaojiWc,OI3iXUVpEaA,2018-11-25T21:36:41Z,UC0KiGuCTrehqzSQ7ikjxSQw,$65 THRIFTING AT GOODWILL! CAN'T BELIEVE WHAT I GOT? WITH AMBER SCHOLL,"Hey you beauties! I recently went to LA and met up with the lovely Amber to go on the ultimate Goodwill shopping experience! I have to say I was pleasantly surprised! Do you guys enjoy thrifting? Let me know xx Also be sure to check out Amber Scholl on Youtube and IG, Links below! xx

Ambers YT Channel: https://www.youtube.com/channel/UCrlcqlqYJV28LvH1iYgw4DA
Ambers Insta: https://www.instagram.com/amberscholl/?hl=en

 Shop my hair extensions: https://yhaircompany.com/

Follow me on instagram - https://www.instagram.com/thepatriciabright/
Twitter: https://twitter.com/PattyOLovesU

See what I use to make my videos: 
Visit my amazon store: https://www.amazon.com/shop/patriciabright
Most expensive Filming Camera (Body only): https://www.amazon.com/dp/B01KURGS9E/?ref=exp_inf_pl_patriciabright
Ceaper Filming camera (Still very good and cheaper then main camera): https://www.amazon.com/dp/B01BUYK04A/?ref=exp_inf_pl_patriciabright
Cheap but effective umbrella lights: https://www.amazon.com/dp/B005FHZ2SI/?ref=exp_inf_pl_patriciabright
Vlogging camera: https://www.amazon.com/dp/B01BV14OXA/?ref=exp_inf_pl_patriciabright
Mic: https://www.amazon.com/dp/B00UWCFIKS/?ref=exp_inf_pl_patriciabright



For business and sponsorship opportunities please contact patstrueworld@gmail.com

* Some links are affiliate, meaning that if you care to purchase any of the products with the link in the description box, I make a small commission, it does not change the price in any way, however it enables me making more content without having to do as many sponsored videos. I am not paid or asked  to use these links.",https://i.ytimg.com/vi/OI3iXUVpEaA/default.jpg,120,90,https://i.ytimg.com/vi/OI3iXUVpEaA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OI3iXUVpEaA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/OI3iXUVpEaA/sddefault.jpg,640.0,480.0,Patricia Bright,26,none,,$65 THRIFTING AT GOODWILL! CAN'T BELIEVE WHAT I GOT? WITH AMBER SCHOLL,"Hey you beauties! I recently went to LA and met up with the lovely Amber to go on the ultimate Goodwill shopping experience! I have to say I was pleasantly surprised! Do you guys enjoy thrifting? Let me know xx Also be sure to check out Amber Scholl on Youtube and IG, Links below! xx

Ambers YT Channel: https://www.youtube.com/channel/UCrlcqlqYJV28LvH1iYgw4DA
Ambers Insta: https://www.instagram.com/amberscholl/?hl=en

 Shop my hair extensions: https://yhaircompany.com/

Follow me on instagram - https://www.instagram.com/thepatriciabright/
Twitter: https://twitter.com/PattyOLovesU

See what I use to make my videos: 
Visit my amazon store: https://www.amazon.com/shop/patriciabright
Most expensive Filming Camera (Body only): https://www.amazon.com/dp/B01KURGS9E/?ref=exp_inf_pl_patriciabright
Ceaper Filming camera (Still very good and cheaper then main camera): https://www.amazon.com/dp/B01BUYK04A/?ref=exp_inf_pl_patriciabright
Cheap but effective umbrella lights: https://www.amazon.com/dp/B005FHZ2SI/?ref=exp_inf_pl_patriciabright
Vlogging camera: https://www.amazon.com/dp/B01BV14OXA/?ref=exp_inf_pl_patriciabright
Mic: https://www.amazon.com/dp/B00UWCFIKS/?ref=exp_inf_pl_patriciabright



For business and sponsorship opportunities please contact patstrueworld@gmail.com

* Some links are affiliate, meaning that if you care to purchase any of the products with the link in the description box, I make a small commission, it does not change the price in any way, however it enables me making more content without having to do as many sponsored videos. I am not paid or asked  to use these links.",,PT19M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,608023,26447,0,https://i.ytimg.com/vi/OI3iXUVpEaA/maxresdefault.jpg,1280.0,720.0,2408,"['good will', 'thrifting', 'Amber Scholl']",
youtube#video,Uq8rH3J36h0o5yNWuTUu1Td0IAY,PvsYOQRD9Lw,2020-06-22T23:20:31Z,UCOYvKExtd9jGI1fJvHa32tg,Why would You Believe Amber Heard??,,https://i.ytimg.com/vi/PvsYOQRD9Lw/default.jpg,120,90,https://i.ytimg.com/vi/PvsYOQRD9Lw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PvsYOQRD9Lw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PvsYOQRD9Lw/sddefault.jpg,640.0,480.0,#JohnnyDeppIsARapist!! #JohnnyDeppesracista,23,none,,Why would You Believe Amber Heard??,,,PT6M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,33,0,0,https://i.ytimg.com/vi/PvsYOQRD9Lw/maxresdefault.jpg,1280.0,720.0,,,
youtube#video,YGeEj2p7ItazlUxCHXpOIjqbIvU,tWOPO-ixBBo,2011-12-06T09:19:13Z,UCO5vtkTKXRT3F5VpSDGHc4A,"Hayden Panettiere - I Still Believe (Landon + Alexz , Colin + Lucy, Jensen + Amber)","Landon Liboiron + Alexz Johnson, Colin Morgan + Lucy Hale, Jensen Ackles + Amber Heard",https://i.ytimg.com/vi/tWOPO-ixBBo/default.jpg,120,90,https://i.ytimg.com/vi/tWOPO-ixBBo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tWOPO-ixBBo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/tWOPO-ixBBo/sddefault.jpg,640.0,480.0,AriaApril,24,none,,"Hayden Panettiere - I Still Believe (Landon + Alexz , Colin + Lucy, Jensen + Amber)","Landon Liboiron + Alexz Johnson, Colin Morgan + Lucy Hale, Jensen Ackles + Amber Heard",,PT3M27S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,929,3,0,,,,0,"['Colin Morgan + Lucy Hale', 'Jensen Ackles + Amber Heard']",
