kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,snippet.defaultAudioLanguage,statistics.commentCount,snippet.defaultLanguage
youtube#video,rxVMfypBLTMvXZvBQAhowI9W04M,0H9u-dWGHcU,2016-04-21T14:10:26Z,UC9zTsWjLhWTWlfVvt6dx8vw,Johnny Depp Apology,Johnny Depp and Amber Heard Apology,https://i.ytimg.com/vi/0H9u-dWGHcU/default.jpg,120,90,https://i.ytimg.com/vi/0H9u-dWGHcU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0H9u-dWGHcU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0H9u-dWGHcU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0H9u-dWGHcU/maxresdefault.jpg,1280.0,720.0,Andrew Fyfe,"['Johnny Depp and Amber Heard Apology', 'Johnny Depp Apology', 'Amber Heard Apology', 'Andrew Fyfe', 'Australian Animation', 'animation', 'The Afl foooty Show cartoon', 'The Footy Show Stakes', 'Johnny Depp Cartoon', 'Topical animation', 'celebrity animation']",23,none,Johnny Depp Apology,Johnny Depp and Amber Heard Apology,PT13S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,743,6,0,,,
youtube#video,DvzAvi728_Ei2FVpZ9vJcoRFVpw,3OJ-dT1B97o,2021-03-22T19:45:00Z,UCZgcz-HR4SyLxE9NIu3DV3g,Amber Heard FULL Apology Video – “This has gone too far”…!?,"One thing I can say for sure is that the most UGLY and NASTY divorce to ever happen has to be between the Pirates of the Caribbean star Johnny Depp and Amber Heard who are in the midst of a bitter court battle that has turned into something NASTY and TOTALLY OUT OF CONTROL!

@Yes Scoop!",https://i.ytimg.com/vi/3OJ-dT1B97o/default.jpg,120,90,https://i.ytimg.com/vi/3OJ-dT1B97o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3OJ-dT1B97o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3OJ-dT1B97o/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3OJ-dT1B97o/maxresdefault.jpg,1280.0,720.0,Yes Scoop!,"['Amber Heard FULL Apology Video – “This has gone too far”…!?', 'Amber Heard FULL Apology', 'the Pirates of the Caribbean', 'Johnny Depp', 'Amber Heard', 'divorce', ""Zack Snyder's"", 'Justice League', ""Zack Snyder's Justice League"", 'Aquaman', 'Wonder Woman', '2021', '2020', 'news', 'rumour', 'Paul Bettany', 'Doug Stanhope', 'Lily Rose Depp', 'Celebrities', 'Back Johnny Depp', 'Amber filed claims', 'johnny depp amber heard audio', 'johnny depp interview', 'Johnny Depp strikes back', 'hollywood', 'Johnny Depp Amber Heard', 'Entertainment']",1,none,Amber Heard FULL Apology Video – “This has gone too far”…!?,"One thing I can say for sure is that the most UGLY and NASTY divorce to ever happen has to be between the Pirates of the Caribbean star Johnny Depp and Amber Heard who are in the midst of a bitter court battle that has turned into something NASTY and TOTALLY OUT OF CONTROL!

@Yes Scoop!",PT6M49S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,78,1,0,en-US,0,
youtube#video,xHCMz1MOP4gDgKNRoQVInIvOGI0,8TPxJx5jpHs,2016-04-22T14:14:42Z,UC-mtqrfI9j1Kr1w188dHOMA,Two children apologise with Johnny Depp and Amber Heard parody,"Two children apologise with Johnny Depp and Amber Heard parody
https://youtu.be/8TPxJx5jpHs
Two children apologise for drawing on the wall with Johnny Depp and Amber Heard parody style video

Two children apologise with Johnny Depp and Amber Heard parody
Follow Us on Google+        https://goo.gl/Eu4bbg
Follow Us on Facebook:   https://goo.gl/v6fDSo
Follow Us on Twitter:         https://goo.gl/xCu8aW
Subscribe for News Updates of Celebrities, Fun, Showbiz, Sports, Politics etc...                         https://goo.gl/r1PvsQ",https://i.ytimg.com/vi/8TPxJx5jpHs/default.jpg,120,90,https://i.ytimg.com/vi/8TPxJx5jpHs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8TPxJx5jpHs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8TPxJx5jpHs/sddefault.jpg,640.0,480.0,,,,Breaking NewsExpress,"['Two children apologise with Johnny Depp and Amber Heard parody', 'Two', 'children', 'apologise', 'Johnny', 'Depp', 'Amber', 'Heard', 'parody', 'Two children', 'Two children apologise', 'children apologise', 'Johnny Depp', 'Amber Heard parody', 'Amber Heard', 'Amber Heard parody style video', 'theliptv', 'therichest', 'mostamazingtop10', 'bbc news', 'indy mogul', 'sky news', 'nbc news', 'abc news', 'zee news', 'al jazeera', 'odn', 'dailymail', 'fox news', 'wun news', 'breaking newsexpress']",25,none,Two children apologise with Johnny Depp and Amber Heard parody,"Two children apologise with Johnny Depp and Amber Heard parody
https://youtu.be/8TPxJx5jpHs
Two children apologise for drawing on the wall with Johnny Depp and Amber Heard parody style video

Two children apologise with Johnny Depp and Amber Heard parody
Follow Us on Google+        https://goo.gl/Eu4bbg
Follow Us on Facebook:   https://goo.gl/v6fDSo
Follow Us on Twitter:         https://goo.gl/xCu8aW
Subscribe for News Updates of Celebrities, Fun, Showbiz, Sports, Politics etc...                         https://goo.gl/r1PvsQ",PT1M6S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,163,1,0,,,
youtube#video,8ms4fq1DIJWZmuZTlhAQT1lbT-A,9by_aibSG9w,2016-07-08T15:05:36Z,UCrygFy9ZCNFrR3vtElhXaJg,Entertainment City: Coachella recap and Johnny Depp and Amber Heard release awkward apology video,"Rihanna, Leonardo DiCaprio and Taylor Swift heat up Coachella, and Johnny Depp and Amber Heard release apology video after Heard pleads guilty to sneaking her dogs into Australia in today’s Entertainment City.",https://i.ytimg.com/vi/9by_aibSG9w/default.jpg,120,90,https://i.ytimg.com/vi/9by_aibSG9w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9by_aibSG9w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9by_aibSG9w/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9by_aibSG9w/maxresdefault.jpg,1280.0,720.0,Breakfast Television,"['4850326767001', 'show=entertainmentcity', 'type=video', 'airdate=20160418', 'creator=entertainmentcity', 'show=btcalgary', 'show=btvancouver', 'show=BTMontreal', 'youtube', 'show=dtedmonton', 'show=bttoronto', 'src=citytv', 'btyoutube']",22,none,Entertainment City: Coachella recap and Johnny Depp and Amber Heard release awkward apology video,"Rihanna, Leonardo DiCaprio and Taylor Swift heat up Coachella, and Johnny Depp and Amber Heard release apology video after Heard pleads guilty to sneaking her dogs into Australia in today’s Entertainment City.",PT5M58S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,86,0,0,,0,
youtube#video,uE4HrhTbokigYqo_jcEEZdWhszo,Aty1f0_3wcA,2021-03-13T00:21:51Z,UC3m81wJFzYsEAKU6c417btg,‘Aquaman 2’ Eyes June 2021 Filming Start In UK And Yes Looks Like Amber Heard Isn't Going Anywhere,"#aquaman
#aquaman2
#dceu",https://i.ytimg.com/vi/Aty1f0_3wcA/default.jpg,120,90,https://i.ytimg.com/vi/Aty1f0_3wcA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Aty1f0_3wcA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Aty1f0_3wcA/sddefault.jpg,640.0,480.0,,,,OhMyDiaz 23,"['‘Aquaman 2’ Eyes June 2021 Filming Start In UK', 'aquaman mary lou', 'aquaman 2 filming june', 'amber heard aquman 2', 'amber heard fired from aquman 2', 'amber heard recast aquaman', 'amber heard mera', 'recast mera aquaman 2', 'johnny depp amber heard', 'amber heard', 'aquaman 2 filming in june', 'aquaman amber heard fired', 'dc', 'snyderverse', ""zacksnyder's justice league"", 'shazam 2', 'black adam', 'the batman', 'the suicide squad', 'the flash movie', 'aquaman 2', 'amber heard johnny depp', 'amber heard aquaman 2']",24,none,‘Aquaman 2’ Eyes June 2021 Filming Start In UK And Yes Looks Like Amber Heard Isn't Going Anywhere,"#aquaman
#aquaman2
#dceu",PT2M49S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,169,3,0,,5,
youtube#video,fF8m-nyudOwFZ5eDY3LQLpb9pts,Bf26dwrlmII,2016-04-23T10:58:46Z,UCLia2JFPkFHf4PsqYIe-Bvw,Sam and Annie : An Apology | Johnny Depp and Amber Heard Parody |,"Adelaide School Children's Sam and Annie's adorable parody of Johnny Depp and Amber Heard.
Here is the link to their facebook page- https://www.facebook.com/sashaphoto",https://i.ytimg.com/vi/Bf26dwrlmII/default.jpg,120,90,https://i.ytimg.com/vi/Bf26dwrlmII/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Bf26dwrlmII/hqdefault.jpg,480,360,,,,,,,foolishpost,"['Adelaide', 'schoolkids', 'Sam', '11', 'Annie', 're-enacted', 'Sam and Annie', 'An Apology', 'Sam and Annie apology', 'Johnny Depp', 'Amber Heard', 'Sasha', 'Johnny Depp and Amber Heard parody', ""I reckon they're more convincing than Johnny Depp and Amber Heard"", 'Sam and Annie an apology', 'australia', 'Sasha PNik', 'facebook', 'Adelaide kids Sam and Annie']",22,none,Sam and Annie : An Apology | Johnny Depp and Amber Heard Parody |,"Adelaide School Children's Sam and Annie's adorable parody of Johnny Depp and Amber Heard.
Here is the link to their facebook page- https://www.facebook.com/sashaphoto",PT1M6S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,True,803,4,0,,,
youtube#video,rW3VZByo26DH33htw9Jr11lxLwc,CqvPD6qEouc,2020-02-06T10:15:00Z,UChs7lcuw4qOCxl3SJRPuidQ,Amber Heard couldn't help but apologize to Johnny Depp when receiving fierce criticism from fans,,https://i.ytimg.com/vi/CqvPD6qEouc/default.jpg,120,90,https://i.ytimg.com/vi/CqvPD6qEouc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CqvPD6qEouc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CqvPD6qEouc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/CqvPD6qEouc/maxresdefault.jpg,1280.0,720.0,DT Media,"['DT Media', 'news', 'Amber Heard', 'apologize', 'Johnny Depp', 'receiving', 'fierce', 'criticism', 'fans']",24,none,Amber Heard couldn't help but apologize to Johnny Depp when receiving fierce criticism from fans,,PT3M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,3731,31,0,,7,
youtube#video,hCm7EWOUSN_E9_IzQn-IeBarlbg,ddeeil6ic7A,2021-06-01T17:00:11Z,UCSI_UiPJ9ARVr4_bktwbBIA,"Amber Heard FULL Apology Video - ""This Has Gone Too Far""...!?","Amber Heard FULL Apology Video - ""This Has Gone Too Far""...!?


In this video we will go over Amber Heard FULL Apology Video - ""This Has Gone Too Far""...!?


Disclaimer: All footage in this video is made in a constructive, creative, transformative, use. Under the United States law (Section 107 of the Copyright Act) this video falls under Fair Use.

Thank you for watching and if you enjoyed our content please don’t forget to leave a like, comment, and subscribe to our channel.",https://i.ytimg.com/vi/ddeeil6ic7A/default.jpg,120,90,https://i.ytimg.com/vi/ddeeil6ic7A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ddeeil6ic7A/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ddeeil6ic7A/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/ddeeil6ic7A/maxresdefault.jpg,1280.0,720.0,Celeb Max,"['amber heard', 'johnny depp', 'amber heard aquaman 2', 'johnny depp amber heard', 'amber heard johnny depp', 'johnny depp amber heard audio', 'johnny depp and amber heard', 'amber heard aquaman', 'amber heard and johnny depp', 'amber heard apology', 'amber heard fired', 'johnny depp amber heard court', 'depp', 'johnny depp loses case', 'depp heard', 'amber heard fired from aquaman 2', 'amber heard facing 10 years', 'Celeb Max']",22,none,"Amber Heard FULL Apology Video - ""This Has Gone Too Far""...!?","Amber Heard FULL Apology Video - ""This Has Gone Too Far""...!?


In this video we will go over Amber Heard FULL Apology Video - ""This Has Gone Too Far""...!?


Disclaimer: All footage in this video is made in a constructive, creative, transformative, use. Under the United States law (Section 107 of the Copyright Act) this video falls under Fair Use.

Thank you for watching and if you enjoyed our content please don’t forget to leave a like, comment, and subscribe to our channel.",PT4M38S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,21,1,0,,0,
youtube#video,Oms9CqiyTYU0hRuGbDLh2f2ZXCo,h3SkeLFo5Uk,2022-01-02T17:00:31Z,UCnXaUDNbi09nPFnr1WQx2OA,MY IVF PROTOCOL | Amber Izzo,"FYI Edit: Progynova is Oestrogen and not Progesterone!

INSTAGRAM:
www.instagram.com/amber.izzo

PODCAST:
Am I Ovary Acting?
Spotify: https://open.spotify.com/show/6vtkdjEsKgftnBEreSvhkF?si=CNg-I4R6RyCcLVpeoFtnAQ
Apple: https://podcasts.apple.com/gb/podcast/am-i-ovary-acting/id1591005058

BLOG:
www.amberizzo.com

TIKTOK:
@amber.izzo

CONTACT:
hello@amberizzo.com

--------------------------------------------------------------------------------

Happy New Year, my loves! Here's to hoping 2022 will be our year. X",https://i.ytimg.com/vi/h3SkeLFo5Uk/default.jpg,120,90,https://i.ytimg.com/vi/h3SkeLFo5Uk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/h3SkeLFo5Uk/hqdefault.jpg,480,360,,,,,,,Amber Izzo,,22,none,MY IVF PROTOCOL | Amber Izzo,"FYI Edit: Progynova is Oestrogen and not Progesterone!

INSTAGRAM:
www.instagram.com/amber.izzo

PODCAST:
Am I Ovary Acting?
Spotify: https://open.spotify.com/show/6vtkdjEsKgftnBEreSvhkF?si=CNg-I4R6RyCcLVpeoFtnAQ
Apple: https://podcasts.apple.com/gb/podcast/am-i-ovary-acting/id1591005058

BLOG:
www.amberizzo.com

TIKTOK:
@amber.izzo

CONTACT:
hello@amberizzo.com

--------------------------------------------------------------------------------

Happy New Year, my loves! Here's to hoping 2022 will be our year. X",PT15M12S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1005,23,0,en-GB,14,
youtube#video,bynCGBMCaQ6BTD5MLfkqUEn2ma0,ije9m0FMafk,2019-11-18T06:26:12Z,UCqwoOE0o6k7ILu8_AaHGV6g,Is Amber Liu cancelled?,"The full video of the man and the cop: https://twitter.com/keilobenjamin/status/1193163017069838337?s=21

This is an important issue to talk about, I’m sorry if u guys were expecting a koreaboo video but I enjoy reporting on Kpop news, if u guys want me to do more videos where I gather up info and show peoples opinions let me know, I think making videos like this are so interesting! I hope that doesn’t come off weird lol

Keep in touch with me here

Insta @jessica_viba",https://i.ytimg.com/vi/ije9m0FMafk/default.jpg,120,90,https://i.ytimg.com/vi/ije9m0FMafk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ije9m0FMafk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ije9m0FMafk/sddefault.jpg,640.0,480.0,,,,Jessica viba,"['amber liu', 'black lives matter', 'kpop', 'fx', 'bts', 'kpop mv', 'kpop news', 'exo', 'twice', 'blackpink', 'kpop scandal', 'amber fx']",24,none,Is Amber Liu cancelled?,"The full video of the man and the cop: https://twitter.com/keilobenjamin/status/1193163017069838337?s=21

This is an important issue to talk about, I’m sorry if u guys were expecting a koreaboo video but I enjoy reporting on Kpop news, if u guys want me to do more videos where I gather up info and show peoples opinions let me know, I think making videos like this are so interesting! I hope that doesn’t come off weird lol

Keep in touch with me here

Insta @jessica_viba",PT8M4S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,111814,2570,0,,1619,
