kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.favoriteCount,statistics.commentCount,statistics.likeCount,contentDetails.regionRestriction.allowed
youtube#video,h4CUK6LRqtOvtXzaWMrCCsyfd3I,6THPWdYVkhY,2020-05-12T00:00:11Z,UCkH0Xx1aspX3DXf1gR3PxJQ,SHE IS GORGEOUS!! || OUTRE DAVITA IN DRFF GOLDEN AMBER,"#davitawig #outredavita #davita
This wig hands down is the shorter version of Freetress Equal's Valentino. You better cop her soon or she is gonna be G-O-N-E!!

//WIG DEETS:
Direct link to wig: Available at most online retailers
Wig Color: DRFF GOLDEN AMBER
Manufacturer: OUTRE
Cost: About  $30 (plus shipping) 

Lashes: SoSoChanel - https://iamsososhanel.com/

//HAIR PRODUCTS:
- Bed Head Hard Head Hair Spray
- Ion Volumizing Shaping Mist Hair Spray
- Bobos Remi Wig & Weave Detangle Spray
- Luster's Renutrients Slick Stick

DISCLAIMER: This review is my opinion and results may vary. Watch other reviews and, if possible, try before you buy.

//WIG SALE EVERYDAY:
Want to buy the wigs I  wear in my reviews?  See my 'after-review' wigs on eBay under Stilllookingood

//FOLLOW ME ON SOCIAL MEDIA:
Instagram @Stilllookingood58 - https://www.instagram.com/stilllookingood58/
Facebook: stilllookingood58 - https://www.facebook.com/stilllookingood58/

//MORE VIDEOS

REAL HD LACE ON A SYNTHETIC WIG - https://www.youtube.com/watch?v=eh63AJ_bc10
HOW TO MAKE A WIG - https://www.youtube.com/watch?v=c4IDtagcT4A&t=101s
HOW TO DOUBLE WEFTS - https://www.youtube.com/watch?v=aQjWcdvwO64&t=219s
HOW TO CHOOSE A WIG - https://www.youtube.com/watch?v=VafbyzO0PXU&t=4s
WHAT LACE? ON LIGHT SKIN - https://www.youtube.com/watch?v=gn2s7KcIQR4&t=35s

//WORK WITH ME
Business inquiries / Product Reviews: 
Email me at stilllookingood58@gmail.com 
OR 
visit my biz site at:
http://socialbluebook.com/#/public/profile/Stilllookingood58

Note: DO NOT ask me to buy your product in advance to get a refund in exchange for a review.. If you want me to review the product, send it.

//LIGHTS, CAMERA, ACTION:
- Camera: Canon T7i: https://tinyurl.com/rzxsezl
- Boom mic - TAKSTAR SGC-598: https://tinyurl.com/umnlwxu
- Lighting: two soft boxes : https://tinyurl.com/rqs6le4
 - Ring light: https://tinyurl.com/vno4lqt
- Editing software: Wondershare Filmora

CREDIT: Subscribe Button by MrNumber112 https://youtu.be/Fps5vWgKdl0

FTC Disclosure: Video is NOT sponsored; opinions are my own.",https://i.ytimg.com/vi/6THPWdYVkhY/default.jpg,120,90,https://i.ytimg.com/vi/6THPWdYVkhY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6THPWdYVkhY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6THPWdYVkhY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6THPWdYVkhY/maxresdefault.jpg,1280.0,720.0,Stilllookingood58,"['#wigs', '#wigreviews', '#wigreview', '#bobbiboss', '#janetcollection', '#sensationnel', '#itsawig', '#syntheticwigs', '#stilllookingood58', '#beautyvloggers', '#wigreviewers', '#blackvloggers', '#blackwigreviews', '#dashly', '#lyna', '#valentino', '#thewig', '#humanhairiwigs', '#how to buy a wig', '#how to wear a wig', '#best new wigs', '#best lace wigs', '#best synthetic wigs', '#wigs for mature women', '#wigs for older women', '#straight wigs', '#long wigs', '#short wigs', '#easy care wigs', '#outre', '#shoulder length wigs', 'Davita', 'davitawig']",26,none,en,SHE IS GORGEOUS!! || OUTRE DAVITA IN DRFF GOLDEN AMBER,"#davitawig #outredavita #davita
This wig hands down is the shorter version of Freetress Equal's Valentino. You better cop her soon or she is gonna be G-O-N-E!!

//WIG DEETS:
Direct link to wig: Available at most online retailers
Wig Color: DRFF GOLDEN AMBER
Manufacturer: OUTRE
Cost: About  $30 (plus shipping) 

Lashes: SoSoChanel - https://iamsososhanel.com/

//HAIR PRODUCTS:
- Bed Head Hard Head Hair Spray
- Ion Volumizing Shaping Mist Hair Spray
- Bobos Remi Wig & Weave Detangle Spray
- Luster's Renutrients Slick Stick

DISCLAIMER: This review is my opinion and results may vary. Watch other reviews and, if possible, try before you buy.

//WIG SALE EVERYDAY:
Want to buy the wigs I  wear in my reviews?  See my 'after-review' wigs on eBay under Stilllookingood

//FOLLOW ME ON SOCIAL MEDIA:
Instagram @Stilllookingood58 - https://www.instagram.com/stilllookingood58/
Facebook: stilllookingood58 - https://www.facebook.com/stilllookingood58/

//MORE VIDEOS

REAL HD LACE ON A SYNTHETIC WIG - https://www.youtube.com/watch?v=eh63AJ_bc10
HOW TO MAKE A WIG - https://www.youtube.com/watch?v=c4IDtagcT4A&t=101s
HOW TO DOUBLE WEFTS - https://www.youtube.com/watch?v=aQjWcdvwO64&t=219s
HOW TO CHOOSE A WIG - https://www.youtube.com/watch?v=VafbyzO0PXU&t=4s
WHAT LACE? ON LIGHT SKIN - https://www.youtube.com/watch?v=gn2s7KcIQR4&t=35s

//WORK WITH ME
Business inquiries / Product Reviews: 
Email me at stilllookingood58@gmail.com 
OR 
visit my biz site at:
http://socialbluebook.com/#/public/profile/Stilllookingood58

Note: DO NOT ask me to buy your product in advance to get a refund in exchange for a review.. If you want me to review the product, send it.

//LIGHTS, CAMERA, ACTION:
- Camera: Canon T7i: https://tinyurl.com/rzxsezl
- Boom mic - TAKSTAR SGC-598: https://tinyurl.com/umnlwxu
- Lighting: two soft boxes : https://tinyurl.com/rqs6le4
 - Ring light: https://tinyurl.com/vno4lqt
- Editing software: Wondershare Filmora

CREDIT: Subscribe Button by MrNumber112 https://youtu.be/Fps5vWgKdl0

FTC Disclosure: Video is NOT sponsored; opinions are my own.",en,PT16M52S,2d,hd,false,True,rectangular,processed,public,youtube,False,False,False,5083,0,117,,
youtube#video,6ClcGBlgJ9VYPoFcj-qKujGE-QY,7G72Xhtprn0,2021-07-28T10:17:28Z,UCeB0cO_eNSeVPVoAAwGpReQ,amber heard whatsapp status full screen ll amber heard beautiful whatsapp status ll,,https://i.ytimg.com/vi/7G72Xhtprn0/default.jpg,120,90,https://i.ytimg.com/vi/7G72Xhtprn0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7G72Xhtprn0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7G72Xhtprn0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/7G72Xhtprn0/maxresdefault.jpg,1280.0,720.0,devraj status boy,,22,none,,amber heard whatsapp status full screen ll amber heard beautiful whatsapp status ll,,,PT30S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,18,0,0,1,
youtube#video,ZGcs_3KLJsZkYJS-dn58ZJe5xZs,8gp3kMz7wMM,2021-10-09T15:34:08Z,UChjDtGelMNkllI5S22oO_aA,New Mom Amber Heard Brags About 'Best Six Months' of Her Life,"New Mom Amber Heard Brags About 'Best Six Months' of Her Life..
https://www.youtube.com/channel/UChjDtGelMNkllI5S22oO_aA?sub_confirmation=1

New Mom Amber Heard Brags About Best Six Months, Her Life",https://i.ytimg.com/vi/8gp3kMz7wMM/default.jpg,120,90,https://i.ytimg.com/vi/8gp3kMz7wMM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8gp3kMz7wMM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8gp3kMz7wMM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8gp3kMz7wMM/maxresdefault.jpg,1280.0,720.0,Myra Lamb,"['Amber Heard', 'Brag', 'Best Six Months', 'Mother', 'Instagram Post']",22,none,,New Mom Amber Heard Brags About 'Best Six Months' of Her Life,"New Mom Amber Heard Brags About 'Best Six Months' of Her Life..
https://www.youtube.com/channel/UChjDtGelMNkllI5S22oO_aA?sub_confirmation=1

New Mom Amber Heard Brags About Best Six Months, Her Life",,PT3M16S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,9,0,0,,
youtube#video,9GLKBctKr0Tcwpq13XtuM2eCIX4,aOknfxh4HOU,2021-04-19T09:01:30Z,UCpDfRp8QWGSk3Oxwttf-lUA,Gorgeous 💚 Amber Heard,,https://i.ytimg.com/vi/aOknfxh4HOU/default.jpg,120,90,https://i.ytimg.com/vi/aOknfxh4HOU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aOknfxh4HOU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/aOknfxh4HOU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aOknfxh4HOU/maxresdefault.jpg,1280.0,720.0,Stylorsey Megh,,22,none,,Gorgeous 💚 Amber Heard,,,PT15S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,8,0,0,1,
youtube#video,IdKU1GdFtHI_jP-gx6Qjbn4FEsA,bei1PdlrGvI,2022-01-08T00:47:28Z,UCp8a8kaY_Di3Thgy9LmFrRQ,(Day 20) VLOGMAS ~A Wifey Christmas~ :  An Orange Chicken Extravaganza,"For full videos @Amberlynn Reid 

#AnOffDay #NewFriends #GoodAndPositiveFuture #ShadowInMakeupVideo #WifeysShadow #MakeupWithAmberlynn #JustAFriend #WorkDistractions #NewCharactersEventually #AVlogMoment #CholulaHotSauce #TrustMe #PamCookingSpray #BoraBora #NotDrinking #SettingBoundariesWithViewers #WeightLossProgress #Journaling2021 #RelationshipsWithWeight #PublishingPoetry #BurnAfterReading #StrongFeelings #ParantsAndFriends #ParentingViews #WantsToBeAWife #BeckysNoodles #BedroomMoment #ForcedIntoCollege #MovingInTogetherFast #ACheesecakeFactoryMoment #BeckyInFutureLiveStreams #NewYork #HomeAloneInAStorm #SecretHalloweenCostume #APeanutButterMoment #A1SteakSauce 

Help in Sharing the Positivity! :D Like, Comment, Share, Subscribe!",https://i.ytimg.com/vi/bei1PdlrGvI/default.jpg,120,90,https://i.ytimg.com/vi/bei1PdlrGvI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bei1PdlrGvI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bei1PdlrGvI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/bei1PdlrGvI/maxresdefault.jpg,1280.0,720.0,Positive PR,"['Amberlynn reid food', 'amber', 'amberlynn', 'vlog', 'vlogs', 'amberlynn reid', 'amber reid', 'alr', 'amberlynn reid destiny', 'angel', 'bells', 'bow', 'candy cane', 'card', 'Christmas', 'Christmas Eve', 'decorations', 'elf', 'festive', 'gift', 'holiday', 'joy', 'lights', 'list', 'love', 'Merry Christmas', 'mistletoe', 'mittens', 'Noel', 'presents', 'Santa Claus', 'scarf', 'unwrap', 'vacation', 'visit', 'Xmas', 'yuletide', 'amberlynn reid wifey', 'amberlynn wifey', 'amberlynn reid breakup with becky']",22,none,,(Day 20) VLOGMAS ~A Wifey Christmas~ :  An Orange Chicken Extravaganza,"For full videos @Amberlynn Reid 

#AnOffDay #NewFriends #GoodAndPositiveFuture #ShadowInMakeupVideo #WifeysShadow #MakeupWithAmberlynn #JustAFriend #WorkDistractions #NewCharactersEventually #AVlogMoment #CholulaHotSauce #TrustMe #PamCookingSpray #BoraBora #NotDrinking #SettingBoundariesWithViewers #WeightLossProgress #Journaling2021 #RelationshipsWithWeight #PublishingPoetry #BurnAfterReading #StrongFeelings #ParantsAndFriends #ParentingViews #WantsToBeAWife #BeckysNoodles #BedroomMoment #ForcedIntoCollege #MovingInTogetherFast #ACheesecakeFactoryMoment #BeckyInFutureLiveStreams #NewYork #HomeAloneInAStorm #SecretHalloweenCostume #APeanutButterMoment #A1SteakSauce 

Help in Sharing the Positivity! :D Like, Comment, Share, Subscribe!",en-US,PT1H16M1S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1533,0,11,37,
youtube#video,Zn2UXfibk_jNadvC3bGpl2yqc0k,bn6f3lADvJ8,2022-01-06T19:39:24Z,UCSeHprDEz_3in9j7loXQJdg,"Amber is delusional, making the same New Year's Resolution for the past 5 years.","Intro song CUSTOM by @damnvega on instagram 
check out the artist channel: https://www.youtube.com/c/DelphineVega

JOIN THE MEMBERSHIP FOR PERKS
https://www.youtube.com/channel/UCSeHprDEz_3in9j7loXQJdg/join

WAYS TO SUPPORT THE CHANNEL:
SUBSCRIBE
LIKE
COMMENT
MERCH HERE: https://young-dumb-honey-bun.teemill.com/ 
PATREON: https://www.patreon.com/youngdumbhoneybun
Amazon Wishlist: https://www.amazon.co.uk/hz/wishlist/ls/1W7XOKFU216E1?ref_=wl_share
Paypal: paypal.me/sara1698

NAILS:
Makartt 15% off code: X.SARA.L  
Mermaid Couture Poly Gel Kit: https://eu.makartt.com/products/mermaid-couture-nail-extension-gel-and-glitter-starter-kit?ref=x.sara.l 


Makartt EU: https://eu.makartt.com?ref=x.sara.l 
Makartt US: https://makartt.com?ref=x.sara.l 
Makartt CA: https://ca.makartt.com?ref=x.sara.l


Jewelry:
Bracelet I wear: https://bit.ly/39PxSLL
Bracelets Collection: https://bit.ly/2JBNkQN
Yafeini Jewerly Website: https://bit.ly/2LdsSGx
20% off coupon code when order $20+: inf20
Buy one get 2nd 20% off coupon code: BG50
Name Necklace: https://bit.ly/331N0k8 
Classic Name necklace collection: https://bit.ly/35iBPGx",https://i.ytimg.com/vi/bn6f3lADvJ8/default.jpg,120,90,https://i.ytimg.com/vi/bn6f3lADvJ8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bn6f3lADvJ8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bn6f3lADvJ8/sddefault.jpg,640.0,480.0,,,,Young Dumb Honey Bun,,23,none,,"Amber is delusional, making the same New Year's Resolution for the past 5 years.","Intro song CUSTOM by @damnvega on instagram 
check out the artist channel: https://www.youtube.com/c/DelphineVega

JOIN THE MEMBERSHIP FOR PERKS
https://www.youtube.com/channel/UCSeHprDEz_3in9j7loXQJdg/join

WAYS TO SUPPORT THE CHANNEL:
SUBSCRIBE
LIKE
COMMENT
MERCH HERE: https://young-dumb-honey-bun.teemill.com/ 
PATREON: https://www.patreon.com/youngdumbhoneybun
Amazon Wishlist: https://www.amazon.co.uk/hz/wishlist/ls/1W7XOKFU216E1?ref_=wl_share
Paypal: paypal.me/sara1698

NAILS:
Makartt 15% off code: X.SARA.L  
Mermaid Couture Poly Gel Kit: https://eu.makartt.com/products/mermaid-couture-nail-extension-gel-and-glitter-starter-kit?ref=x.sara.l 


Makartt EU: https://eu.makartt.com?ref=x.sara.l 
Makartt US: https://makartt.com?ref=x.sara.l 
Makartt CA: https://ca.makartt.com?ref=x.sara.l


Jewelry:
Bracelet I wear: https://bit.ly/39PxSLL
Bracelets Collection: https://bit.ly/2JBNkQN
Yafeini Jewerly Website: https://bit.ly/2LdsSGx
20% off coupon code when order $20+: inf20
Buy one get 2nd 20% off coupon code: BG50
Name Necklace: https://bit.ly/331N0k8 
Classic Name necklace collection: https://bit.ly/35iBPGx",en-GB,PT34M47S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,41804,0,394,2059,
youtube#video,pKLCXYtlVZXnIV-36c5JZekwA_I,c477hhjtkJA,2020-09-17T12:48:13Z,UCZSo3vG7A6QKfOZIR6ETZ1A,Top 10 Most Beautiful Women in the World According to Science Top ten beautiful girl  top ten,"Use
1.Bella Hadid – 94.35 per cent

2.Beyoncé – 92.44 per cent

3.Amber Heard – 91.85 per cent

4.Ariana Grande – 91.81 per cent

5.Taylor Swift – 91.64 per cent

6.Kate Moss – 91.05 per cent

7.Scarlett Johansson – 90.91 per cent

8.Natalie Portman – 90.51 per cent

9.Katy Perry – 90.08 per cent

10.Cara Delevingne – 89.99 per cent",https://i.ytimg.com/vi/c477hhjtkJA/default.jpg,120,90,https://i.ytimg.com/vi/c477hhjtkJA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c477hhjtkJA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/c477hhjtkJA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/c477hhjtkJA/maxresdefault.jpg,1280.0,720.0,Momin Rana,,27,none,,Top 10 Most Beautiful Women in the World According to Science Top ten beautiful girl  top ten,"Use
1.Bella Hadid – 94.35 per cent

2.Beyoncé – 92.44 per cent

3.Amber Heard – 91.85 per cent

4.Ariana Grande – 91.81 per cent

5.Taylor Swift – 91.64 per cent

6.Kate Moss – 91.05 per cent

7.Scarlett Johansson – 90.91 per cent

8.Natalie Portman – 90.51 per cent

9.Katy Perry – 90.08 per cent

10.Cara Delevingne – 89.99 per cent",,PT3M16S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,49,0,1,,
youtube#video,cXQbxrsnVD1WlNc6JBDxtNYYD7Q,EzIA0zlK0ik,2020-08-18T00:08:54Z,UChjDtGelMNkllI5S22oO_aA,Amber Heard Hits Back Following Backlash Over 'Disrespectful' Mosque Outfit,"The 'Aquaman' actress fires back at the internet critics finding fault with the outfit she donned during a recent visit to the Muslim religious place in Istanbul.   Aug 18, 2020   AceShowbiz - Amber Heard fired back at social media critics who took aim at the star over an outfit she wore during a mosque visit.    The 34-year-old ""Aquaman"" star is currently in Istanbul, following her appearance in court in London earlier this month (Aug20) amid ex-husband Johnny Depp's libel trial against The Sun newspaper.         During the trip, the actress took to Twitter on Saturday (16Aug20) to share a photo of what she wore while visiting the religious venue, alongside the caption, ""Spent the day wandering around the magic of Istanbul's mosques and couldn't be more in love with this gorgeous city…""    In her photo, Amber is wearing a white blouse with an open button-down shirt on top while also wearing a pink headscarf. However, shortly after sharing the post, fans took to Twitter to slam Amber  ...",https://i.ytimg.com/vi/EzIA0zlK0ik/default.jpg,120,90,https://i.ytimg.com/vi/EzIA0zlK0ik/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EzIA0zlK0ik/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EzIA0zlK0ik/sddefault.jpg,640.0,480.0,,,,Myra Lamb,"['Amber Heard', 'Backlash', 'Mosque Outfit', 'Response']",22,none,,Amber Heard Hits Back Following Backlash Over 'Disrespectful' Mosque Outfit,"The 'Aquaman' actress fires back at the internet critics finding fault with the outfit she donned during a recent visit to the Muslim religious place in Istanbul.   Aug 18, 2020   AceShowbiz - Amber Heard fired back at social media critics who took aim at the star over an outfit she wore during a mosque visit.    The 34-year-old ""Aquaman"" star is currently in Istanbul, following her appearance in court in London earlier this month (Aug20) amid ex-husband Johnny Depp's libel trial against The Sun newspaper.         During the trip, the actress took to Twitter on Saturday (16Aug20) to share a photo of what she wore while visiting the religious venue, alongside the caption, ""Spent the day wandering around the magic of Istanbul's mosques and couldn't be more in love with this gorgeous city…""    In her photo, Amber is wearing a white blouse with an open button-down shirt on top while also wearing a pink headscarf. However, shortly after sharing the post, fans took to Twitter to slam Amber  ...",,PT4M6S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,73,0,0,,
youtube#video,LoOiLMGVCHk3t0MPFprv59UEXJ0,gI6MzkU_JkI,2019-05-22T10:29:45Z,UCRYuNcBYk_qRG13f25-QDTg,"Johnny Depp claims ex-wife Amber Heard defecated on his bed, says that’s when he resolved to divo...","Johnny Depp claims ex-wife Amber Heard defecated on his bed, says that’s when he resolved to divorce her 
 
 Actor Johnny Depp in newly submitted court documents has described a ‘sick’ prank, in which he alleges that ex-wife Amber Heard defecated on his bed and said that was the final straw in their volatile relationship. After it, he says, ‘I resolved to divorce Ms Heard’.Depp and Heard have been involved... 
 
#Johnny #Depp #claims #exwife #Amber #Heard #defecated #on #his #bed #says #thats #when #he #resolved #to #divorce #her",https://i.ytimg.com/vi/gI6MzkU_JkI/default.jpg,120,90,https://i.ytimg.com/vi/gI6MzkU_JkI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gI6MzkU_JkI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gI6MzkU_JkI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/gI6MzkU_JkI/maxresdefault.jpg,1280.0,720.0,Thunder News Entertainment गड़गड़ाहटसमाचार,"['news', 'thunder', 'समाचार', 'गड़गड़ाहट', 'entetaiment', 'मनोरंजन', 'hot', 'Johnny', 'Depp', 'claims', 'exwife', 'Amber', 'Heard', 'defecated', 'on', 'his', 'bed', 'says', 'thats', 'when']",24,none,,"Johnny Depp claims ex-wife Amber Heard defecated on his bed, says that’s when he resolved to divo...","Johnny Depp claims ex-wife Amber Heard defecated on his bed, says that’s when he resolved to divorce her 
 
 Actor Johnny Depp in newly submitted court documents has described a ‘sick’ prank, in which he alleges that ex-wife Amber Heard defecated on his bed and said that was the final straw in their volatile relationship. After it, he says, ‘I resolved to divorce Ms Heard’.Depp and Heard have been involved... 
 
#Johnny #Depp #claims #exwife #Amber #Heard #defecated #on #his #bed #says #thats #when #he #resolved #to #divorce #her",,PT2M31S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,67,0,0,1,
youtube#video,7R7xKE3i7-Ez899elpqmO-SC8Ng,HiuXtQeS7vA,2020-01-17T21:10:36Z,UCUHEPZ62qD_9rk57RqGqoLg,Amber Heard Biography and Pics/Pictures | Casting & Biography,,https://i.ytimg.com/vi/HiuXtQeS7vA/default.jpg,120,90,https://i.ytimg.com/vi/HiuXtQeS7vA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HiuXtQeS7vA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/HiuXtQeS7vA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/HiuXtQeS7vA/maxresdefault.jpg,1280.0,720.0,Casting and Biography,,22,none,,Amber Heard Biography and Pics/Pictures | Casting & Biography,,en-GB,PT3M22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,88,0,0,1,
