kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.regionRestriction.blocked,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.defaultLanguage,snippet.defaultAudioLanguage,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,contentDetails.contentRating.ytRating
youtube#video,mBY4WhNAY4_17xzVDiIURBNSc6k,-1tZm19p_cc,2010-11-02T01:43:53Z,UCZ_24VX2Rnr_no_RaDDq_Xg,Amber Heard in 'The Informers' (2008) Part 8/8: Beached,,https://i.ytimg.com/vi/-1tZm19p_cc/default.jpg,120,90,https://i.ytimg.com/vi/-1tZm19p_cc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-1tZm19p_cc/hqdefault.jpg,480,360,IglooDweller,"['amber heard', 'christie', 'the informers', 'jon foster', 'graham', 'movie', 'beach', 'hiv', 'aids', 'sun', 'end']",24,none,Amber Heard in 'The Informers' (2008) Part 8/8: Beached,,PT2M9S,2d,sd,false,False,"['AT', 'DE']",rectangular,processed,public,youtube,True,True,False,821936,403,0,34,,,,,,,,,
youtube#video,uvOpjQs-XgzXWQKKS7dZc2Rr1vM,-Q9PKoSzYS8,2021-12-24T03:39:25Z,UCHkk12k08lJzn9Q1pCRH5Nw,Lina Sardar Khil AMBER ALERT San Antonio UPDATE What We Know.,"Search is on for missing 3-year-old girl in Texas who may be in 'grave, immediate danger'
Lina Sadar Khil was last seen at a playground near her apartment complex on Monday evening. SAN ANTONIO -- The San Antonio Police Department is asking for the public's help in finding 3-year-old Lina Sadar Khil who authorities say may be in ""grave, immediate danger.""

Lina was last seen on Monday between 4 p.m. and 5 p.m. at a playground in San Antonio, according to police. She was with her mother who left her alone for an unknown amount of time, police said. When Lina's mother returned, the young girl was gone, according to police.A department spokesperson told ABC News there is no indication that Lina is with a family member.

Lina is white, about 4 feet tall and weighs 55 pounds. She has straight, shoulder-length brown hair and brown eyes.

Police said she was last seen wearing a black jacket, red dress and black shoes.

This case is still active and being investigated, according to police.

Authorities are asking anyone who has information on the case to call SAPD Missing Person's Unit at 210-207-7660.

https://abc13.com/amber-alert-for-missing-girl-3-year-old-lina-sardar-khil/11366954/

 Muslim Children Education and Civic Center (MCECC)  https://www.sacrd.org/directory/organization/1644

 Lina Sardar Khil UPDATE: K9s picked up scent but lost it. FBI involved. Search still in San Antonio.https://www.youtube.com/watch?v=fXgjr8vwxMg",https://i.ytimg.com/vi/-Q9PKoSzYS8/default.jpg,120,90,https://i.ytimg.com/vi/-Q9PKoSzYS8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-Q9PKoSzYS8/hqdefault.jpg,480,360,A B,"['amber alert', 'san antonio']",22,none,Lina Sardar Khil AMBER ALERT San Antonio UPDATE What We Know.,"Search is on for missing 3-year-old girl in Texas who may be in 'grave, immediate danger'
Lina Sadar Khil was last seen at a playground near her apartment complex on Monday evening. SAN ANTONIO -- The San Antonio Police Department is asking for the public's help in finding 3-year-old Lina Sadar Khil who authorities say may be in ""grave, immediate danger.""

Lina was last seen on Monday between 4 p.m. and 5 p.m. at a playground in San Antonio, according to police. She was with her mother who left her alone for an unknown amount of time, police said. When Lina's mother returned, the young girl was gone, according to police.A department spokesperson told ABC News there is no indication that Lina is with a family member.

Lina is white, about 4 feet tall and weighs 55 pounds. She has straight, shoulder-length brown hair and brown eyes.

Police said she was last seen wearing a black jacket, red dress and black shoes.

This case is still active and being investigated, according to police.

Authorities are asking anyone who has information on the case to call SAPD Missing Person's Unit at 210-207-7660.

https://abc13.com/amber-alert-for-missing-girl-3-year-old-lina-sardar-khil/11366954/

 Muslim Children Education and Civic Center (MCECC)  https://www.sacrd.org/directory/organization/1644

 Lina Sardar Khil UPDATE: K9s picked up scent but lost it. FBI involved. Search still in San Antonio.https://www.youtube.com/watch?v=fXgjr8vwxMg",PT3H28M40S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,3997,338,0,44,https://i.ytimg.com/vi/-Q9PKoSzYS8/sddefault.jpg,640.0,480.0,en,en,,,,
youtube#video,-WqWpUnWWUk3O3jexWSpbAe7dGg,-t1aBONTmBs,2021-07-15T22:51:13Z,UC8AGq7bm-x4teGcvQonvnPw,BIGGEST WIN For Johnny Depp Yet! | AMBER Heard is DONE!,"Massive news from Amber Heard and Johnny Depp!


A HUGE Thank You To All My 
Patreon, Members, & Subscribe Stars! I Love You All!

Simon Barnett
Raymond Candela
GPSpector
David L
Daniel Guitron
TKnotatpost
John Le
Authenticity Seeker
Brian K
MAY BE ME
DocHolliday
Frank the Red
satchell78
RC Scott
The duke
Marcos R.
Razor-sharp Though...
Alexander Leonard
Welcome To The SH!T Show
Jason Johnson
Jobustify
MAGAir
Mike Porter
Jeffery Carnes
Robert Willing
Caligula Bear
P Money
Kenny G
Swany Rivers
Lisa Donahue
MuddledMess
Jas
Valin Rook
Alazmat Films
Alexander Trapp 
Waelse1
Raymond Candela
The Killing Joke
Beau Scott
Brian K
Biggles 
Macy R
Rob Lynch
Mathew Drew
John Le
Brandon Allen
Alyssa Annette Ybarra 
Brian Hawkins
Chris 
David Raiford 
B L
Ryan Deckert
Mizen Barbarossa 
Jerm Debo 
Ruakar
-McTwizz-
Jade Wheatley 
Zach Richmond 
JDthecomicotaku
Mighty Paws
Kato Rone 
Steve Glaskar 
Dav Roz
Timothy French 
Mike Buckner 
Brucey
Jeffrey Alan Carnes 
Anne Holyday
Nitrosgal 2
Sylvia La Chiva
JD2981 
GPSpector
J Threefingers
Björn Persson
Simon Barnett 
Lil Poetboy

Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

☆Other Platforms☆


•Live Channel:
https://www.youtube.com/c/nerdettesnewsstand2

PODCAST!:
https://redcircle.com/shows/nerdettetiquette

☆Support The Channel☆

•Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

•If you want to support my Channel, please check out my patreon And subscribe star below:

•Patreon:
https://www.patreon.com/user?u=21542407

#JusticeForJohnnyDepp #AmberHeard #JohnnyDepp #TheSun",https://i.ytimg.com/vi/-t1aBONTmBs/default.jpg,120,90,https://i.ytimg.com/vi/-t1aBONTmBs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-t1aBONTmBs/hqdefault.jpg,480,360,Nerdette's NewsStand,"['Johnny depp aclu', 'amber heard aclu', 'amber heard elon musk', 'Johnny depp Supreme Court', 'amber heard lapd', 'amber heard perjury', 'amber heard', 'Johnny depp', 'amber heard body cam', 'Johnny depp body cam', 'amber heard Lies', 'amber heard Johnny depp', 'Johnny depp vs amber heard', 'Johnny depp lawsuit', 'amber heard lawsuit', 'Johnny depp abuse', 'amber heard abuse', 'Johnny depp libel', 'Johnny depp fairfax', 'Johnny depp court results', 'amber heard court results', 'Johnny depp amber heard']",24,none,BIGGEST WIN For Johnny Depp Yet! | AMBER Heard is DONE!,"Massive news from Amber Heard and Johnny Depp!


A HUGE Thank You To All My 
Patreon, Members, & Subscribe Stars! I Love You All!

Simon Barnett
Raymond Candela
GPSpector
David L
Daniel Guitron
TKnotatpost
John Le
Authenticity Seeker
Brian K
MAY BE ME
DocHolliday
Frank the Red
satchell78
RC Scott
The duke
Marcos R.
Razor-sharp Though...
Alexander Leonard
Welcome To The SH!T Show
Jason Johnson
Jobustify
MAGAir
Mike Porter
Jeffery Carnes
Robert Willing
Caligula Bear
P Money
Kenny G
Swany Rivers
Lisa Donahue
MuddledMess
Jas
Valin Rook
Alazmat Films
Alexander Trapp 
Waelse1
Raymond Candela
The Killing Joke
Beau Scott
Brian K
Biggles 
Macy R
Rob Lynch
Mathew Drew
John Le
Brandon Allen
Alyssa Annette Ybarra 
Brian Hawkins
Chris 
David Raiford 
B L
Ryan Deckert
Mizen Barbarossa 
Jerm Debo 
Ruakar
-McTwizz-
Jade Wheatley 
Zach Richmond 
JDthecomicotaku
Mighty Paws
Kato Rone 
Steve Glaskar 
Dav Roz
Timothy French 
Mike Buckner 
Brucey
Jeffrey Alan Carnes 
Anne Holyday
Nitrosgal 2
Sylvia La Chiva
JD2981 
GPSpector
J Threefingers
Björn Persson
Simon Barnett 
Lil Poetboy

Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

☆Other Platforms☆


•Live Channel:
https://www.youtube.com/c/nerdettesnewsstand2

PODCAST!:
https://redcircle.com/shows/nerdettetiquette

☆Support The Channel☆

•Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

•If you want to support my Channel, please check out my patreon And subscribe star below:

•Patreon:
https://www.patreon.com/user?u=21542407

#JusticeForJohnnyDepp #AmberHeard #JohnnyDepp #TheSun",PT9M18S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,9101,743,0,231,,,,,en,,,,
youtube#video,31Csylh_vmzg77bMtD8xaMB2pOs,0rO8vilxX5Y,2018-10-02T00:03:37Z,UCxTfIK8V1H-qBZ_hnlggiLA,Jill talks Amber Heard and Johnny Depp on Reelz Season Premiere of Irreconcilable Differences,"FACEBOOK 
https://www.facebook.com/proofwithjillstanley/

Proof with Jill Stanley
28925 Pacific Coast Highway
Suite 200-B
Malibu, CA 90265

info@proofwithjillstanley.com",https://i.ytimg.com/vi/0rO8vilxX5Y/default.jpg,120,90,https://i.ytimg.com/vi/0rO8vilxX5Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0rO8vilxX5Y/hqdefault.jpg,480,360,Jill Stanley,"['Jill Stanley', 'Proof', 'california', 'malibu', 'hollywood', 'proof with jill stanley', 'celebrity news', 'legal advice']",22,none,Jill talks Amber Heard and Johnny Depp on Reelz Season Premiere of Irreconcilable Differences,"FACEBOOK 
https://www.facebook.com/proofwithjillstanley/

Proof with Jill Stanley
28925 Pacific Coast Highway
Suite 200-B
Malibu, CA 90265

info@proofwithjillstanley.com",PT17S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,410,1,0,1,https://i.ytimg.com/vi/0rO8vilxX5Y/sddefault.jpg,640.0,480.0,,,https://i.ytimg.com/vi/0rO8vilxX5Y/maxresdefault.jpg,1280.0,720.0,
youtube#video,CxNXTfAcMqzh6FtL88Q9WMMYnro,12TzjaZkDsQ,2014-01-22T18:58:48Z,UCkR0GY0ue02aMyM-oxwgg9g,"3 Days to Kill Behind The Scenes (2014) - Kevin Costner, Amber Heard Thriller HD","Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://goo.gl/dHs73
Follow us on TWITTER: http://bit.ly/1ghOWmt
3 Days to Kill Behind The Scenes (2014) - Kevin Costner, Amber Heard Thriller HD


A dying Secret Service Agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.",https://i.ytimg.com/vi/12TzjaZkDsQ/default.jpg,120,90,https://i.ytimg.com/vi/12TzjaZkDsQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/12TzjaZkDsQ/hqdefault.jpg,480,360,Movieclips Coming Soon,"['movieclips', 'movie clips', 'movieclipstrailers', 'new trailers', 'trailers HD', 'hd', 'trailers', 'trailer', '2014', 'official', 'HD', '3 days to kill', '3 days to kill trailer', 'CIA', 'agent', 'government', 'agency', 'kevin costner', 'amber heard', 'hailee steinfeld', 'McG', 'luc besson', 'connie nielsen', 'richard sammel', 'tomas lemarquis', 'thriller', 'action', 'killer', 'secret agent', 'daughter', 'father', 'drama', 'bts', 'behind the scenes']",1,none,"3 Days to Kill Behind The Scenes (2014) - Kevin Costner, Amber Heard Thriller HD","Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://goo.gl/dHs73
Follow us on TWITTER: http://bit.ly/1ghOWmt
3 Days to Kill Behind The Scenes (2014) - Kevin Costner, Amber Heard Thriller HD


A dying Secret Service Agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.",PT2M2S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,7305,32,0,1,https://i.ytimg.com/vi/12TzjaZkDsQ/sddefault.jpg,640.0,480.0,,en,https://i.ytimg.com/vi/12TzjaZkDsQ/maxresdefault.jpg,1280.0,720.0,
youtube#video,aW6MamvcuQQTfkGiuaCfReM2fJw,1Lp95IDxkNs,2020-06-18T01:17:44Z,UCqCx2fEkIMO3V-gOmX6Pzhw,Amber Heard / Эмбер Херд,Лондонские поля/London Fields x 3 days to Kill/3 дня на убийство,https://i.ytimg.com/vi/1Lp95IDxkNs/default.jpg,120,90,https://i.ytimg.com/vi/1Lp95IDxkNs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1Lp95IDxkNs/hqdefault.jpg,480,360,Анна Гаваль,,22,none,Amber Heard / Эмбер Херд,Лондонские поля/London Fields x 3 days to Kill/3 дня на убийство,PT1M3S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,464,10,0,0,https://i.ytimg.com/vi/1Lp95IDxkNs/sddefault.jpg,640.0,480.0,,,https://i.ytimg.com/vi/1Lp95IDxkNs/maxresdefault.jpg,1280.0,720.0,
youtube#video,APr1OC7TeAAKJkwYcqYLjctCnnQ,1sbCzTRMCjk,2021-12-16T22:21:14Z,UCh_Hzb1Nu2TtdQSEKzOmJaw,【Aquaman】Amber Heard　アンバーハートさん描きました【3 Days to Kill】【Justice League】,アクアマンの人描きました,https://i.ytimg.com/vi/1sbCzTRMCjk/default.jpg,120,90,https://i.ytimg.com/vi/1sbCzTRMCjk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1sbCzTRMCjk/hqdefault.jpg,480,360,べルソンエアブラシ,"['エアブラシ', 'アート', 'art', 'Air Brush Paint Bell Son', 'air brush', 'bell son', 'color', 'ハンドピース', '似顔絵', '鉛筆画', '水彩画']",26,none,【Aquaman】Amber Heard　アンバーハートさん描きました【3 Days to Kill】【Justice League】,アクアマンの人描きました,PT3M48S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,7,,0,2,https://i.ytimg.com/vi/1sbCzTRMCjk/sddefault.jpg,640.0,480.0,ja,ja,https://i.ytimg.com/vi/1sbCzTRMCjk/maxresdefault.jpg,1280.0,720.0,
youtube#video,VhahQMwTO3EvjEvd9iBnwtViUrI,2nqmJECpRbQ,2020-03-09T20:12:04Z,UCBTIp2pvN1OtfT5iKwuwGIw,Amber Heard: The Girl Who Cried Wolf,"Recent news about the girl who tried to destroy Johnny Depp, and failed",https://i.ytimg.com/vi/2nqmJECpRbQ/default.jpg,120,90,https://i.ytimg.com/vi/2nqmJECpRbQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2nqmJECpRbQ/hqdefault.jpg,480,360,Human Warnings,"['amber heard', 'johnny depp', 'abuse', 'rape', 'pirates', 'mera', 'aquaman', 'weinstein', 'metoo', 'culture', 'sjw', 'woke']",24,none,Amber Heard: The Girl Who Cried Wolf,"Recent news about the girl who tried to destroy Johnny Depp, and failed",PT16M20S,2d,sd,false,False,,rectangular,processed,public,youtube,True,False,False,3629,132,0,39,https://i.ytimg.com/vi/2nqmJECpRbQ/sddefault.jpg,640.0,480.0,,en-US,,,,
youtube#video,-2LqyBlj7Q_IPUWwNtfKXeVCmFM,2OlEqpgMa4Q,2013-09-17T11:30:03Z,UCfudf_H_pf530lPNzo3OTCA,"Machete Kills Movie Clip - Wall of Weapons HD (2013) - Danny Trejo, Amber Heard","Subscribe: http://goo.gl/OnRGfl
Follow us on Twitter:http://goo.gl/IRtyvp
Like us on Facebook: http://goo.gl/GCjrdW

Machete Kills Movie Clip - Wall of Weapons 2013 HD

Release Date: September 26, 2013 
Genre: Action, Crime, Thriller 
Directed by: Robert Rodriguez
Screenplay by: Kyle Ward
Story by: Robert Rodriguez, Marcel Rodriguez 
Starring: Danny Trejo, Michelle Rodriguez, Amber Heard, Mel Gibson, Jessica Alba, Charlie Sheen, Antonio Banderas, Lady Gaga, Alexa Vega
Distributed by: Open Road Films, Lionsgate UK
Official Site: https://www.facebook.com/MacheteKills

Synopsis:
In Machete Kills, Danny Trejo returns as ex-Federale agent Machete, who is recruited by the President of the United States for a mission which would be impossible for any mortal man - he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.

Dont forget to comment what you think about Machete Kills clip and if you enjoyed it like and share.

Check for another great movie trailer or clip on our Movieed channel.

The Movieed channel is your ultimate source for new movies. High-quality movie trailers and teasers, clips, featurettes and interviews are posted daily.",https://i.ytimg.com/vi/2OlEqpgMa4Q/default.jpg,120,90,https://i.ytimg.com/vi/2OlEqpgMa4Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2OlEqpgMa4Q/hqdefault.jpg,480,360,Movieed,"['machete kills', 'machete kills trailer', 'trailer', 'movie', 'movie trailer', '2013', 'Danny Trejo', 'Michelle Rodriguez', 'Amber Heard', 'Mel Gibson', 'Jessica Alba', 'Charlie Sheen', 'Lady Gaga', 'hd', 'official trailer 2013', 'official trailer', 'trailers', 'movie trailers', 'movie trailers 2013', '2013 movie trailers', 'new movies', 'movies', 'action', 'crime', 'thriller', 'machete kills clip', 'clip', 'Wall of Weapons', 'movieed']",1,none,"Machete Kills Movie Clip - Wall of Weapons HD (2013) - Danny Trejo, Amber Heard","Subscribe: http://goo.gl/OnRGfl
Follow us on Twitter:http://goo.gl/IRtyvp
Like us on Facebook: http://goo.gl/GCjrdW

Machete Kills Movie Clip - Wall of Weapons 2013 HD

Release Date: September 26, 2013 
Genre: Action, Crime, Thriller 
Directed by: Robert Rodriguez
Screenplay by: Kyle Ward
Story by: Robert Rodriguez, Marcel Rodriguez 
Starring: Danny Trejo, Michelle Rodriguez, Amber Heard, Mel Gibson, Jessica Alba, Charlie Sheen, Antonio Banderas, Lady Gaga, Alexa Vega
Distributed by: Open Road Films, Lionsgate UK
Official Site: https://www.facebook.com/MacheteKills

Synopsis:
In Machete Kills, Danny Trejo returns as ex-Federale agent Machete, who is recruited by the President of the United States for a mission which would be impossible for any mortal man - he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.

Dont forget to comment what you think about Machete Kills clip and if you enjoyed it like and share.

Check for another great movie trailer or clip on our Movieed channel.

The Movieed channel is your ultimate source for new movies. High-quality movie trailers and teasers, clips, featurettes and interviews are posted daily.",PT50S,2d,hd,false,False,,rectangular,processed,public,youtube,True,True,False,907,5,0,1,https://i.ytimg.com/vi/2OlEqpgMa4Q/sddefault.jpg,640.0,480.0,,,https://i.ytimg.com/vi/2OlEqpgMa4Q/maxresdefault.jpg,1280.0,720.0,
youtube#video,WWjbGwNEMOgSDWPUL4rZJHKNkBg,2Z1tPVdeM7Q,2021-12-20T01:14:31Z,UCvCWaUDuh9wzE0XqvbrYFSw,Amberlynn Reid drama compilation 2021,"Here's what went on in the amberverse this year!
Thank you for watching!

0:00 Intro
1:26 Engagement
2:20 24 Books
2:46 Concealer Knuckles
3:31 Personal Questions
3:46 Sailing earrings on depop
7:16 Breakup
8:05 Apology video
9:40 Wifey era begins
9:56 Wifey Joins chat
10:10 Wipeygate
10:38 Wifey visits
11:15 Wifey name reveal
11:45 Twinkies leash
12:13 New bae
12:44 Channel strike
14:38 Trollyn

#amberlynnreid
#amberreid
#amberlynnreidfood",https://i.ytimg.com/vi/2Z1tPVdeM7Q/default.jpg,120,90,https://i.ytimg.com/vi/2Z1tPVdeM7Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2Z1tPVdeM7Q/hqdefault.jpg,480,360,CriscoBabe,"['amberlynn reid 2021 recap', 'amberlynn reid 2021 moments', 'amberlynn reid 2021', 'amberlynn 2021 recap', 'amber reid 2021 recap', 'amberlynnreid 2021 recap', 'amberlynn reid moments', 'amberlynn reid iconic moments', 'amberlynn reid drama', 'amberlynn reid', 'amber reid', 'Amberlynn', 'Amberlynnreidfood', 'Amberlynn and Becky', 'Amberlynn Reid reaction', 'amberlynn reid compilation', 'amberlynn reid livestream', 'amberlynn reid reaction', 'amberlynn reid weightloss', 'amberverse', 'wipeygate', 'amberlyn reid lying']",22,none,Amberlynn Reid drama compilation 2021,"Here's what went on in the amberverse this year!
Thank you for watching!

0:00 Intro
1:26 Engagement
2:20 24 Books
2:46 Concealer Knuckles
3:31 Personal Questions
3:46 Sailing earrings on depop
7:16 Breakup
8:05 Apology video
9:40 Wifey era begins
9:56 Wifey Joins chat
10:10 Wipeygate
10:38 Wifey visits
11:15 Wifey name reveal
11:45 Twinkies leash
12:13 New bae
12:44 Channel strike
14:38 Trollyn

#amberlynnreid
#amberreid
#amberlynnreidfood",PT15M27S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,14270,588,0,147,https://i.ytimg.com/vi/2Z1tPVdeM7Q/sddefault.jpg,640.0,480.0,,,https://i.ytimg.com/vi/2Z1tPVdeM7Q/maxresdefault.jpg,1280.0,720.0,
