kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.tags
youtube#video,tnk5bYsQRI0zbWT4-2pYjjRzKno,0-HSUtlZ06c,2018-08-10T23:25:58Z,UCol-3X0b20SA2XdeF7nA6JA,Aquaman Movie Photo: Mera & Arthur Search For Clues,"Jason Momoas Arthur and Amber Heards Mera search for clues in Atlantis in a new image from James Wans upcomingDC movie Aquaman . Fans recently got their first real look at the highly anticipated  Aquaman  movie when the first trailer  (finally) saw the light of day at last months San Diego Comic-Con. Among the other importanttidbits released about the movie from SDCC was Momoas revelation that Arthur Curry  wears denim pants in the poster , not leather as was originally thought. The trailer itself was of course filled with revelations of its own, includinga first look at the movies sprawling version of Atlantis, as well as hints about the  origins of Black Mantis . One other recent reveal from  Aquaman  director James Wan , that there will be no  Justice League  team  cameos in the movie, may come as something of a disappointment to some fans. Clearly, many DC fans are very excited about the movie as evidenced by all the  tweets about  Aquaman  during Comic-Con , not to mention  the cleverfan trailers  that have come out since the real trailer first dropped. Related: Aquaman Trailer Breakdown: 25 Secrets You Missed For Aquaman fans who just cant get enough glimpses of what the movie has in store,  EW  has exclusively released a new photo from the film that helps build the intrigue. In the image, Amber Heards Mera and Jason Momoas casually dressed Arthur Curry are seen in a chamber apparently inside a ruin within one of the Seven Kingdoms of Atlantis having a look at a very mysterious piece of technology. By the looks on their faces, theyre very happy to have stumbled across this particular object. See the photo below: Theres a definite Indiana Jones - specifically  Indiana Jones and the Kingdom of the Crystal Skull  - feel to the scene, with its stone walls, ancient-looking sculptures and the piece of technology itself, which Wan has revealed is actually a device used to play back an ancient recording. Mera and Arthur are here seeking clues as part of their quest to find the Trident of Neptune so they can use it in their battle against Aquamans half-brother King Orm (Patrick Wilson). It should be no surprise that theres a distinct Indiana Jones vibeto not only the plot but the above still, as Wan has revealed the Indiana Jones movies helped inspire his take on Aquaman. As the particular setting featured above is in fact located in Africa, the scene shown likely happens not long after the famous moment from the  Aquaman  trailer where Mera and Arthur both leap from a plane into the desert without parachutes (theyre also wearing the same costumes as in that scene from the trailer). Among the many mysteries the movie will have to clear up is how they both manage to survive their plane leap, sincetheres nothing but sand dunes underneath them. Source:  EW Tags: aquaman Looking for an  AD FREE EXPERIENCE  on ScreenRant?",https://i.ytimg.com/vi/0-HSUtlZ06c/default.jpg,120,90,https://i.ytimg.com/vi/0-HSUtlZ06c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0-HSUtlZ06c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0-HSUtlZ06c/sddefault.jpg,640.0,480.0,movie news,22,none,en-US,Aquaman Movie Photo: Mera & Arthur Search For Clues,"Jason Momoas Arthur and Amber Heards Mera search for clues in Atlantis in a new image from James Wans upcomingDC movie Aquaman . Fans recently got their first real look at the highly anticipated  Aquaman  movie when the first trailer  (finally) saw the light of day at last months San Diego Comic-Con. Among the other importanttidbits released about the movie from SDCC was Momoas revelation that Arthur Curry  wears denim pants in the poster , not leather as was originally thought. The trailer itself was of course filled with revelations of its own, includinga first look at the movies sprawling version of Atlantis, as well as hints about the  origins of Black Mantis . One other recent reveal from  Aquaman  director James Wan , that there will be no  Justice League  team  cameos in the movie, may come as something of a disappointment to some fans. Clearly, many DC fans are very excited about the movie as evidenced by all the  tweets about  Aquaman  during Comic-Con , not to mention  the cleverfan trailers  that have come out since the real trailer first dropped. Related: Aquaman Trailer Breakdown: 25 Secrets You Missed For Aquaman fans who just cant get enough glimpses of what the movie has in store,  EW  has exclusively released a new photo from the film that helps build the intrigue. In the image, Amber Heards Mera and Jason Momoas casually dressed Arthur Curry are seen in a chamber apparently inside a ruin within one of the Seven Kingdoms of Atlantis having a look at a very mysterious piece of technology. By the looks on their faces, theyre very happy to have stumbled across this particular object. See the photo below: Theres a definite Indiana Jones - specifically  Indiana Jones and the Kingdom of the Crystal Skull  - feel to the scene, with its stone walls, ancient-looking sculptures and the piece of technology itself, which Wan has revealed is actually a device used to play back an ancient recording. Mera and Arthur are here seeking clues as part of their quest to find the Trident of Neptune so they can use it in their battle against Aquamans half-brother King Orm (Patrick Wilson). It should be no surprise that theres a distinct Indiana Jones vibeto not only the plot but the above still, as Wan has revealed the Indiana Jones movies helped inspire his take on Aquaman. As the particular setting featured above is in fact located in Africa, the scene shown likely happens not long after the famous moment from the  Aquaman  trailer where Mera and Arthur both leap from a plane into the desert without parachutes (theyre also wearing the same costumes as in that scene from the trailer). Among the many mysteries the movie will have to clear up is how they both manage to survive their plane leap, sincetheres nothing but sand dunes underneath them. Source:  EW Tags: aquaman Looking for an  AD FREE EXPERIENCE  on ScreenRant?",en-US,PT3M24S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,82,0,0,0,,,,
youtube#video,Bl4QBbBF2hFBH0ei-6dhzjsvY3g,3d4xsZ5_vIc,2021-03-28T13:04:41Z,UCBByrQuleqFUXj3z98nB_8w,Johnny Depp and Amber Heard | Fullscreen status | #johnchristopherdepp  #Amberheard,,https://i.ytimg.com/vi/3d4xsZ5_vIc/default.jpg,120,90,https://i.ytimg.com/vi/3d4xsZ5_vIc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3d4xsZ5_vIc/hqdefault.jpg,480,360,,,,PRADEEP05,20,none,,Johnny Depp and Amber Heard | Fullscreen status | #johnchristopherdepp  #Amberheard,,,PT14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,6178,605,0,29,,,,
youtube#video,e5PPK5laO3zQLrtFCIwpTUIj6nM,6WNBwYARJsw,2018-11-23T11:36:42Z,UCtC2bHTYF05ELxhwDiGJh-A,AMBER LULU Afunguka Kutamani Mtoto! Akiri GIGY MONEY Kum-Inspire,AMBER LULU Afunguka Kutamani Mtoto! Akiri GIGY MONEY Kum-Inspire,https://i.ytimg.com/vi/6WNBwYARJsw/default.jpg,120,90,https://i.ytimg.com/vi/6WNBwYARJsw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6WNBwYARJsw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6WNBwYARJsw/sddefault.jpg,640.0,480.0,SamMisago,24,none,,AMBER LULU Afunguka Kutamani Mtoto! Akiri GIGY MONEY Kum-Inspire,AMBER LULU Afunguka Kutamani Mtoto! Akiri GIGY MONEY Kum-Inspire,,PT1M25S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2944,52,0,12,https://i.ytimg.com/vi/6WNBwYARJsw/maxresdefault.jpg,1280.0,720.0,"['Burudani', 'Amber lulu', 'Gigy Money', 'Mtoto', 'Mayra', 'Mo J', 'Prezzoo']"
youtube#video,z3A9CDiIttuKotQhotzPQTXsclU,7aW_KCDOwIw,2019-10-19T17:23:03Z,UCufeFQj948q5md3E5kS-l8w,"Happy Little Trees 002: Encouragement and Inspiration with guest, artist Amber Kenney","This week we have Adam's wife, Amber Kenney, an artist who finds inspiration everywhere. They talk about what it's like to encourage others in their artwork, whether it's better to wait for inspiration or seek it out, what kind of basic information is helpful for better brushwork, and where Amber's love for art has led her. 
Podcast audio also available everywhere - (Spotify, iTunes, etc)
Website: https://www.adamkenneyart.com
Patreon: https://www.patreon.com/happylittletrees
Instagram: @adamkenneyart
Contact: adamkenneyart@gmail.com",https://i.ytimg.com/vi/7aW_KCDOwIw/default.jpg,120,90,https://i.ytimg.com/vi/7aW_KCDOwIw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7aW_KCDOwIw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7aW_KCDOwIw/sddefault.jpg,640.0,480.0,Happy Little Trees,26,none,,"Happy Little Trees 002: Encouragement and Inspiration with guest, artist Amber Kenney","This week we have Adam's wife, Amber Kenney, an artist who finds inspiration everywhere. They talk about what it's like to encourage others in their artwork, whether it's better to wait for inspiration or seek it out, what kind of basic information is helpful for better brushwork, and where Amber's love for art has led her. 
Podcast audio also available everywhere - (Spotify, iTunes, etc)
Website: https://www.adamkenneyart.com
Patreon: https://www.patreon.com/happylittletrees
Instagram: @adamkenneyart
Contact: adamkenneyart@gmail.com",,PT44M52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,14,1,0,0,https://i.ytimg.com/vi/7aW_KCDOwIw/maxresdefault.jpg,1280.0,720.0,"['art', 'podcast', 'how to', 'inspiration', 'creativity', 'painting', 'watercolor', 'encouragement', 'Happy Little Trees', 'acrylic', 'paint', 'acrilic', 'oil', 'artist']"
youtube#video,5KCD9ivLPEKz835_RlhfDmFA5ZA,7SXGlFZvzkQ,2021-09-22T01:01:12Z,UCKAFWnqc8JFvcLKulFGuYmw,How to Craft Speeches by DTM Amber Wong,"Having trouble to craft your speeches? Want to connect with your audience faster and deeper? Watch this video!

DTM Amber Wong  shared her knowledge and experience on how to craft great speeches, the do's and don'ts, and what evaluator is looking in a speech.

Seeking to improve your public speaking skills? 
Join us at JB CITY TOASTMASTERS CLUB meeting to find out more!

Facebook: https://www.facebook.com/jbcitytoastmasters/
Instagram: https://www.instagram.com/jbcitytoastmasters/",https://i.ytimg.com/vi/7SXGlFZvzkQ/default.jpg,120,90,https://i.ytimg.com/vi/7SXGlFZvzkQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7SXGlFZvzkQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7SXGlFZvzkQ/sddefault.jpg,640.0,480.0,JB City Toastmasters,22,none,,How to Craft Speeches by DTM Amber Wong,"Having trouble to craft your speeches? Want to connect with your audience faster and deeper? Watch this video!

DTM Amber Wong  shared her knowledge and experience on how to craft great speeches, the do's and don'ts, and what evaluator is looking in a speech.

Seeking to improve your public speaking skills? 
Join us at JB CITY TOASTMASTERS CLUB meeting to find out more!

Facebook: https://www.facebook.com/jbcitytoastmasters/
Instagram: https://www.instagram.com/jbcitytoastmasters/",en,PT56M23S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,38,1,0,0,https://i.ytimg.com/vi/7SXGlFZvzkQ/maxresdefault.jpg,1280.0,720.0,
youtube#video,E8zQcvAZrh4F2dPOD2iD8Yrox4c,8y435JBWQzA,2021-03-19T21:10:08Z,UCxcRZdeIMmXiXJc-zVnjvXg,Inspiring Stories of Transformation 03.17.2021,"Join Amber & Jared Smithson as they explore the full offering of OPTAVIA, featuring Inspiring Stories of Transformation from Matthew & Jennifer Oxford.",https://i.ytimg.com/vi/8y435JBWQzA/default.jpg,120,90,https://i.ytimg.com/vi/8y435JBWQzA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8y435JBWQzA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8y435JBWQzA/sddefault.jpg,640.0,480.0,OPTAVIA,27,none,en,Inspiring Stories of Transformation 03.17.2021,"Join Amber & Jared Smithson as they explore the full offering of OPTAVIA, featuring Inspiring Stories of Transformation from Matthew & Jennifer Oxford.",en,PT31M54S,2d,hd,true,False,rectangular,processed,public,youtube,False,True,False,1305,16,0,0,,,,
youtube#video,UNwIGIXVkXBY7Fb5eoi8tt8p1Y8,a4BBW6CNsW0,2021-06-09T07:31:48Z,UCaM8-PqOQhNoIoIJ7mCx2kg,Johnny depp whatsapp status full screen 😍| Johnny depp and amber heard status | Bgm status 2021,"#new_johnny_depp_status
#happy_birthday_johnny_depp
#birthday_status",https://i.ytimg.com/vi/a4BBW6CNsW0/default.jpg,120,90,https://i.ytimg.com/vi/a4BBW6CNsW0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a4BBW6CNsW0/hqdefault.jpg,480,360,,,,Ramola Creation,10,none,,Johnny depp whatsapp status full screen 😍| Johnny depp and amber heard status | Bgm status 2021,"#new_johnny_depp_status
#happy_birthday_johnny_depp
#birthday_status",hi,PT35S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,6260,397,0,9,,,,
youtube#video,uMwC6y02vGebmeJOI7So9iEM1gA,Bllxjm5fZ-0,2021-09-17T15:30:03Z,UCjW_svE8l_8_qTwwN3BMoBg,Amber Heard Whatsapp Status Aquaman,"DISCLAIMER:

This is an educational and motivational video meant only for inspiring the viewers. Viewers discretion is advised. Video clips used are for illustrative purpose only to make the point in the audio. All copyrights are acknowledged to their rightful owners. This Channel does not claim to own any copyrights. The sole purpose of this video is to inspire, empower and educate the viewers.


_



Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use""


___

IMPORTANT NOTICE: These All Things Are

Copyrighted. We Just Edited And Published To Audience For Entertainment Purpose Only.

All Right to above Music Label & No Copyrights Infringement intended.

All rights reserved to the respective owners.


__

Subscribe My Channel guys and help me to reach youtube milestone.j

Keep Loving And Keep Supporting.

Thank You.🥰🥰🥰🥰🥰



youtube shorts, use youtube shorts, youtube shorts beta, youtube shorts video, youtube shorts update, what is youtube shorts, youtube shorts tutorial, youtube shorts how to use, how to get youtube shorts, youtube creators, how to use youtube shorts, how to make youtube shorts, youtube shorts monetization, youtube news, youtube tips, youtube best practices,how to get youtube shorts feature,youtube updates,how to make youtube shorts on iphone,status,status video,status song,status new,status sad,status love,status whatsapp,status punjabi,status for whatsapp,status video song,cool status,X,cool status for whatsapp,cool status song,cool status video,cool status for boys,cool status for girls,cool status full screen,cool status creation,cool status love,cool status tamil,ⁿ status,whatsapp status video,Q,whatsapp status tamil,whatsapp status telugu,whatsapp status song,whatsapp status video tamil,whatsapp status full screen,whatsapp status new,whatsapp status new song,whatsapp status love



#youtuber#youtubers#youtubechannel#youtubevideos#youtubevideo#youtubegaming#youtubemusic#youtuberindonesia#youtubekids#youtubeindia#youtubeitalia#youtubeuse#youtubelife#youtubersbrasil#youtubebrasil#youtubegamer#youtubecommunity#youtubeblogger#youtubecreator#youtuberp#video#youtubechannel#explorepage#memes#gaming#instagood#twitch#subscribe#facebook#hiphop#gamer#viral#art#rap#explore#likeforlikes#followforfollowback#artist#youtube #youtuber #instagram #music #love #follow #like #tiktok #spotify #youtubers #video #youtubechannel #explorepage #memes #gaming #instagood #twitch #subscribe #facebook #hiphop #gamer #viral #art #rap #explore #k #ps #likeforlikes #followforfollowback #bhfy

Motivational video

Motivational speech

Motivational whatsapp status English motivational

whatsapp status English motivational status

Powerful motivational video whatsapp status

Powerful motivational speech whatsapp status

Mood off whatsapp status

Money important whatsapp status Motivational video for students
Powerful motivational video whatsapp status

Life motivational video whatsapp status

Never give up motivational video whatsapp status I can do it motivational video whatsapp status Best motivational video

Best motivational speech
Description

Best motivational video whatsapp status Best

motivational speech whatsapp status #motivation #whatsapp #status #sadstatus #shorts

inspirational status for whatsapp in english,

inspirational status for whatsapp tamil, inspirational status in tamil,

inspirational status in english,

motivational status english,

motivational status video, motivational status for students, motivational status about life, motivational status about life, motivational status about love, motivational status about life in english, motivational whatsapp status about life, motivational status after breakup, motivational whatsapp status after breakup, motivational status against love. sad but motivational status,

motivational status in hindi,

motivational status whatsapp.
motivational status for students,

motivational status for girls,

motivational status for study.

motivational status for whatsapp song.

motivational status for whatsapp english,

Most famous quotes

Reality of life

Reality of life quotes

Reality of life WhatsApp status Deep love status in English

Best life quotes in English for WhatsApp Best life status

Heart melting life status

Reality of life quotes

Reality of life status

True love quotes

True love status

True Relationship status

Success mantra status

Self confidence status Best of life quotes

Best of 2010 statue

for WhatsApp
Motivational status for youngsters

How to get success in life

How to get success faster

Life after failure

Ways to get success

Sayings of famous people

How to win

Success status

Success quotes for WhatsApp

Real love

Real love status",https://i.ytimg.com/vi/Bllxjm5fZ-0/default.jpg,120,90,https://i.ytimg.com/vi/Bllxjm5fZ-0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Bllxjm5fZ-0/hqdefault.jpg,480,360,,,,Famous Quotes With Deep Lines 🖤🥀,24,none,,Amber Heard Whatsapp Status Aquaman,"DISCLAIMER:

This is an educational and motivational video meant only for inspiring the viewers. Viewers discretion is advised. Video clips used are for illustrative purpose only to make the point in the audio. All copyrights are acknowledged to their rightful owners. This Channel does not claim to own any copyrights. The sole purpose of this video is to inspire, empower and educate the viewers.


_



Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use""


___

IMPORTANT NOTICE: These All Things Are

Copyrighted. We Just Edited And Published To Audience For Entertainment Purpose Only.

All Right to above Music Label & No Copyrights Infringement intended.

All rights reserved to the respective owners.


__

Subscribe My Channel guys and help me to reach youtube milestone.j

Keep Loving And Keep Supporting.

Thank You.🥰🥰🥰🥰🥰



youtube shorts, use youtube shorts, youtube shorts beta, youtube shorts video, youtube shorts update, what is youtube shorts, youtube shorts tutorial, youtube shorts how to use, how to get youtube shorts, youtube creators, how to use youtube shorts, how to make youtube shorts, youtube shorts monetization, youtube news, youtube tips, youtube best practices,how to get youtube shorts feature,youtube updates,how to make youtube shorts on iphone,status,status video,status song,status new,status sad,status love,status whatsapp,status punjabi,status for whatsapp,status video song,cool status,X,cool status for whatsapp,cool status song,cool status video,cool status for boys,cool status for girls,cool status full screen,cool status creation,cool status love,cool status tamil,ⁿ status,whatsapp status video,Q,whatsapp status tamil,whatsapp status telugu,whatsapp status song,whatsapp status video tamil,whatsapp status full screen,whatsapp status new,whatsapp status new song,whatsapp status love



#youtuber#youtubers#youtubechannel#youtubevideos#youtubevideo#youtubegaming#youtubemusic#youtuberindonesia#youtubekids#youtubeindia#youtubeitalia#youtubeuse#youtubelife#youtubersbrasil#youtubebrasil#youtubegamer#youtubecommunity#youtubeblogger#youtubecreator#youtuberp#video#youtubechannel#explorepage#memes#gaming#instagood#twitch#subscribe#facebook#hiphop#gamer#viral#art#rap#explore#likeforlikes#followforfollowback#artist#youtube #youtuber #instagram #music #love #follow #like #tiktok #spotify #youtubers #video #youtubechannel #explorepage #memes #gaming #instagood #twitch #subscribe #facebook #hiphop #gamer #viral #art #rap #explore #k #ps #likeforlikes #followforfollowback #bhfy

Motivational video

Motivational speech

Motivational whatsapp status English motivational

whatsapp status English motivational status

Powerful motivational video whatsapp status

Powerful motivational speech whatsapp status

Mood off whatsapp status

Money important whatsapp status Motivational video for students
Powerful motivational video whatsapp status

Life motivational video whatsapp status

Never give up motivational video whatsapp status I can do it motivational video whatsapp status Best motivational video

Best motivational speech
Description

Best motivational video whatsapp status Best

motivational speech whatsapp status #motivation #whatsapp #status #sadstatus #shorts

inspirational status for whatsapp in english,

inspirational status for whatsapp tamil, inspirational status in tamil,

inspirational status in english,

motivational status english,

motivational status video, motivational status for students, motivational status about life, motivational status about life, motivational status about love, motivational status about life in english, motivational whatsapp status about life, motivational status after breakup, motivational whatsapp status after breakup, motivational status against love. sad but motivational status,

motivational status in hindi,

motivational status whatsapp.
motivational status for students,

motivational status for girls,

motivational status for study.

motivational status for whatsapp song.

motivational status for whatsapp english,

Most famous quotes

Reality of life

Reality of life quotes

Reality of life WhatsApp status Deep love status in English

Best life quotes in English for WhatsApp Best life status

Heart melting life status

Reality of life quotes

Reality of life status

True love quotes

True love status

True Relationship status

Success mantra status

Self confidence status Best of life quotes

Best of 2010 statue

for WhatsApp
Motivational status for youngsters

How to get success in life

How to get success faster

Life after failure

Ways to get success

Sayings of famous people

How to win

Success status

Success quotes for WhatsApp

Real love

Real love status",,PT26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,,0,0,,,,
youtube#video,7DJat2g7h34vgCqZKW7eScSSO-8,c4-HA-60xrk,2009-07-14T18:58:48Z,UCDQZH7E-tJ_zSSwlEApsl5A,Girls Can't WHAT? Interview on WCIA Morning Show with Amber Jenne - Part 2,Amber Jenne interviews GirlsCantWhat.com creator Gretchen Cawthon on what inspired her to design the characters and build the site.,https://i.ytimg.com/vi/c4-HA-60xrk/default.jpg,120,90,https://i.ytimg.com/vi/c4-HA-60xrk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c4-HA-60xrk/hqdefault.jpg,480,360,,,,Gretchen Cawthon,22,none,,Girls Can't WHAT? Interview on WCIA Morning Show with Amber Jenne - Part 2,Amber Jenne interviews GirlsCantWhat.com creator Gretchen Cawthon on what inspired her to design the characters and build the site.,,PT5M10S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,792,3,0,0,,,,"[""Girls Can't WHAT?"", 'feminism', 'feminist', 'sexism', 'women', 'girls', 'female']"
youtube#video,4MHm9pFSWNiBoy3bTlPIcAx1DWs,cZbm7G8WGrA,2018-08-14T23:24:54Z,UC0DUu6kGkz8kTA3153RGJhg,Our Time Has Come - Amber Lily WILD,"Family,
It is my joy to share this with you.
Please share this video & pre-Order WILD now!
www.amberlilymusic.com

OUR TIME HAS COME.
To be bright and bold,
Creative and courageous.
To be voices of Love & Justice,
To stand up for Life.

It is time to remember the beauty of our planet.
It is time to reclaim our place as artists, lovers, and family members.
While storms rage, and the future of our place on Earth is unclear,
Give us songs to sing together.
Give us art so we may gracefully navigate the chaos.
Give us family so we may know the strength of solidarity.

It is time to inspire all the voices of Love in this world!
I share music to bring HOPE & INSPIRATION.

My full length album WILD is available Aug 31,
with 10 songs to inspire the hearts of many.
Pre-order now & I will send you this full length song.

Thank you to @Kauai Visual Arts @Adam Harris & @Tubby Love for creating this video with me! Everything we do is a team effort.
I am SO excited to be releasing this record with @Come To Life!

Love,
Amber Lily",https://i.ytimg.com/vi/cZbm7G8WGrA/default.jpg,120,90,https://i.ytimg.com/vi/cZbm7G8WGrA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/cZbm7G8WGrA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/cZbm7G8WGrA/sddefault.jpg,640.0,480.0,Amber Lily,22,none,,Our Time Has Come - Amber Lily WILD,"Family,
It is my joy to share this with you.
Please share this video & pre-Order WILD now!
www.amberlilymusic.com

OUR TIME HAS COME.
To be bright and bold,
Creative and courageous.
To be voices of Love & Justice,
To stand up for Life.

It is time to remember the beauty of our planet.
It is time to reclaim our place as artists, lovers, and family members.
While storms rage, and the future of our place on Earth is unclear,
Give us songs to sing together.
Give us art so we may gracefully navigate the chaos.
Give us family so we may know the strength of solidarity.

It is time to inspire all the voices of Love in this world!
I share music to bring HOPE & INSPIRATION.

My full length album WILD is available Aug 31,
with 10 songs to inspire the hearts of many.
Pre-order now & I will send you this full length song.

Thank you to @Kauai Visual Arts @Adam Harris & @Tubby Love for creating this video with me! Everything we do is a team effort.
I am SO excited to be releasing this record with @Come To Life!

Love,
Amber Lily",,PT1M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3130,86,0,9,https://i.ytimg.com/vi/cZbm7G8WGrA/maxresdefault.jpg,1280.0,720.0,"['Amber lily wild', 'our time has come', 'come to life', 'pre-order annoucement']"
