kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,contentDetails.regionRestriction.blocked,snippet.defaultLanguage
youtube#video,WxMiru-y6YHKaA-m7gMtiP1qcqs,349-hl8zIpc,2016-04-11T19:51:57Z,UCc93OQQz7Qmc6k9MlbPABVQ,Style Showdown Saoirse Ronan and Amber Heard Turn Up the Sparkle in Temperley London,"Style Showdown Saoirse Ronan and Amber Heard Turn Up the Sparkle in Temperley London and More Matching Celebs.
The temps may have dropped, but the showdowns are still heating up. With the fall/winter season, we expect to see stars outfitted in looks more in tune with colder weather, so get ready for a lot of layers, crisp jackets and statement boots. While we’re sure they’ll be a few rule breakers in the mix, we’re excited to see which items are so nice, celebs had to wear them twice.


Alicia Keys, Beth Behrs and Kerry Washington in Alice + Olivia
Amal Clooney and Naomi Campbell in Burberry Prorsum
Ashley Benson and Karolina Kurkova in Haney
Camilla Luddington and Nicole Richie in A.L.C.
Chanel Iman and Bella Thorne in Balmain
Chiara Ferragni, Kris Jenner and Gigi Hadid in Balmain
Claire Danes and Victoria Beckham in Victoria Beckham
Corinne Bailey Rae and Léa Seydoux in Miu Miu
Demi Lovato and Joan Smalls in House of CB
Diane Kruger and Emily Ratajkowski in Cushnie et Ochs
Gemma Chan and Brit Marling in Louis Vuitton
Harley Viera-Newton and Rihanna in Adam Selman
Iman and Lady Gaga in Brandon Maxwell
Jennifer Lopez and Gigi Hadid in Michael Kors
Jessica Simpson and Gisele Bündchen in Monique Lhuillier
Kimberly Perry and Rita Ora in Cushnie et Ochs
La La Anthony and Charlize Theron in Tom Ford
Laura Carmichael and Rowan Blanchard in Christopher Kane
Laura Dern and Greta Gerwig in Oscar de la Renta
Louise Roe and Misty Copeland in Zimmermann
Marion Cotillard and Jennifer Lawrence in Christian Dior
Mia Moretti and Kate Hudson in Valentino
Miranda Kerr, Bella Thorne and Maisie Williams in Self-Portrait
Mélanie Laurent and Jennifer Lopez in Blumarine
Nicki Minaj and Jada Pinkett Smith in Balmain
Nicola Peltz and Rihanna in Tom Ford
Olivia Palermo and Gigi Hadid in Self-Portrait
Pixie Lott and Alessandra Ambrosio in Versus Versace
Rachel Platten and Laverne Cox in Alice + Olivia
Rachel Roy and Zendaya Coleman in Tamara Mellon",https://i.ytimg.com/vi/349-hl8zIpc/default.jpg,120,90,https://i.ytimg.com/vi/349-hl8zIpc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/349-hl8zIpc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/349-hl8zIpc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/349-hl8zIpc/maxresdefault.jpg,1280.0,720.0,Bright Fashion,"['Red Carpet', 'ファッション ショー', 'olivia palermo', 'Kristen Stewart', 'Emilia Clarke', 'channel', 'photography', 'Summer', 'female', 'Designer', 'women', 'ランウェイ', 'house', 'beauty', 'miley cyrus', 'mode', 'moda', 'runway', 'シャネル', 'Celebrities', 'show', 'Hair', 'Jennifer Lawrence', 'collection', 'top', 'Naked', 'パリ', 'actor', 'bikini', 'ファッション', 'Week', 'make-up', 'Rihanna', 'spring', 'Style', 'kim kardashian', 'hollywood', 'lingerie', 'Best', 'swimsuit', 'glamour', 'Jessica Alba', 'sexy', 'supermodel', 'スタイル', 'Showdown', 'model', 'Fashion']",26,none,Style Showdown Saoirse Ronan and Amber Heard Turn Up the Sparkle in Temperley London,"Style Showdown Saoirse Ronan and Amber Heard Turn Up the Sparkle in Temperley London and More Matching Celebs.
The temps may have dropped, but the showdowns are still heating up. With the fall/winter season, we expect to see stars outfitted in looks more in tune with colder weather, so get ready for a lot of layers, crisp jackets and statement boots. While we’re sure they’ll be a few rule breakers in the mix, we’re excited to see which items are so nice, celebs had to wear them twice.


Alicia Keys, Beth Behrs and Kerry Washington in Alice + Olivia
Amal Clooney and Naomi Campbell in Burberry Prorsum
Ashley Benson and Karolina Kurkova in Haney
Camilla Luddington and Nicole Richie in A.L.C.
Chanel Iman and Bella Thorne in Balmain
Chiara Ferragni, Kris Jenner and Gigi Hadid in Balmain
Claire Danes and Victoria Beckham in Victoria Beckham
Corinne Bailey Rae and Léa Seydoux in Miu Miu
Demi Lovato and Joan Smalls in House of CB
Diane Kruger and Emily Ratajkowski in Cushnie et Ochs
Gemma Chan and Brit Marling in Louis Vuitton
Harley Viera-Newton and Rihanna in Adam Selman
Iman and Lady Gaga in Brandon Maxwell
Jennifer Lopez and Gigi Hadid in Michael Kors
Jessica Simpson and Gisele Bündchen in Monique Lhuillier
Kimberly Perry and Rita Ora in Cushnie et Ochs
La La Anthony and Charlize Theron in Tom Ford
Laura Carmichael and Rowan Blanchard in Christopher Kane
Laura Dern and Greta Gerwig in Oscar de la Renta
Louise Roe and Misty Copeland in Zimmermann
Marion Cotillard and Jennifer Lawrence in Christian Dior
Mia Moretti and Kate Hudson in Valentino
Miranda Kerr, Bella Thorne and Maisie Williams in Self-Portrait
Mélanie Laurent and Jennifer Lopez in Blumarine
Nicki Minaj and Jada Pinkett Smith in Balmain
Nicola Peltz and Rihanna in Tom Ford
Olivia Palermo and Gigi Hadid in Self-Portrait
Pixie Lott and Alessandra Ambrosio in Versus Versace
Rachel Platten and Laverne Cox in Alice + Olivia
Rachel Roy and Zendaya Coleman in Tamara Mellon",en-US,PT2M29S,2d,hd,false,False,rectangular,processed,public,youtube,False,True,False,138,0,0,0,,
youtube#video,NXQ7nd0-so1Jy8atpXhq4wAmLMo,3kicGxC1rpE,2013-06-01T17:12:00Z,UCkuJrG5lTrl8tqfbJRUBONQ,Brandon Thron's Giveforward.com video interview for the Amber and Jade Plus Fundraiser.,"My name is Brandon Thron. As you may know, I am the father of two
beautiful twin daughters, Amber and Jade. Unfortunately, my little
girls were born both with a very rare defect called Goldenhar
Syndrome. This condition causes numerous birth defects including
incomplete development of the ear and unfortunate cranial and facial
defects.

Throughout their young lives they've had to undergo through an
abundance of surgeries to help with these defects. However, they are
both missing one ear on opposite sides of their faces. Several years
ago, on Oprah and the Discovery Channel, I saw a man named Robert R.
Barron, a former Senior CIA Disguise Specialist, committed to
restoring identities through prosthetic devices. I searched for his
email, sent him my daughter's story, and within 2 hours he called me.
We had an enlightening conversation, that gave their mother and I
hope. Together, we decided that instead of our daughters going through
numerous failed surgeries, trying to reconstruct and ear, that Dr.
Barron's prosthetic ears would be the best for them.

Unfortunately insurance doesn't cover this, and each ear is over
$5,000. I'm sure you understand, we've had many medical expenses and
an additional $10,000 is hard to save. My daughters have reached the
ideal age for Dr. Barron's surgery, so I decided to start a fundraiser
to possibly raise the funds needed to help my daughters get ears so
they can walk around with 2 ears just like all the other little girls.

Amber and Jade are two of the happiest little girls you'll see, but as
they get older, and start to be more aware of their condition, they
will come across many hurtful comments and questions about their
condition and defects. We just want our daughters to live as
normal as a life as possible with the least amount of hurt feelings,
pain, and worry. 

Thank you all for your time and support. WE DID IT!
Brandon Thron AKA Sugarfoot, Amber Leigh Thron, and Jade Lynn Thron",https://i.ytimg.com/vi/3kicGxC1rpE/default.jpg,120,90,https://i.ytimg.com/vi/3kicGxC1rpE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3kicGxC1rpE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3kicGxC1rpE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3kicGxC1rpE/maxresdefault.jpg,1280.0,720.0,Brandon Thron,"['GiveForward.com', 'Interview', 'Interviews', 'Footage', 'Interview Part', 'Exclusive', 'Documentary', 'Rare', 'Video Clip (Website Category)', 'Talks', 'Post']",10,none,Brandon Thron's Giveforward.com video interview for the Amber and Jade Plus Fundraiser.,"My name is Brandon Thron. As you may know, I am the father of two
beautiful twin daughters, Amber and Jade. Unfortunately, my little
girls were born both with a very rare defect called Goldenhar
Syndrome. This condition causes numerous birth defects including
incomplete development of the ear and unfortunate cranial and facial
defects.

Throughout their young lives they've had to undergo through an
abundance of surgeries to help with these defects. However, they are
both missing one ear on opposite sides of their faces. Several years
ago, on Oprah and the Discovery Channel, I saw a man named Robert R.
Barron, a former Senior CIA Disguise Specialist, committed to
restoring identities through prosthetic devices. I searched for his
email, sent him my daughter's story, and within 2 hours he called me.
We had an enlightening conversation, that gave their mother and I
hope. Together, we decided that instead of our daughters going through
numerous failed surgeries, trying to reconstruct and ear, that Dr.
Barron's prosthetic ears would be the best for them.

Unfortunately insurance doesn't cover this, and each ear is over
$5,000. I'm sure you understand, we've had many medical expenses and
an additional $10,000 is hard to save. My daughters have reached the
ideal age for Dr. Barron's surgery, so I decided to start a fundraiser
to possibly raise the funds needed to help my daughters get ears so
they can walk around with 2 ears just like all the other little girls.

Amber and Jade are two of the happiest little girls you'll see, but as
they get older, and start to be more aware of their condition, they
will come across many hurtful comments and questions about their
condition and defects. We just want our daughters to live as
normal as a life as possible with the least amount of hurt feelings,
pain, and worry. 

Thank you all for your time and support. WE DID IT!
Brandon Thron AKA Sugarfoot, Amber Leigh Thron, and Jade Lynn Thron",,PT2M22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,314,0,0,0,,
youtube#video,qEMnz50G-VhVm5Vmhe16VOSk-XQ,6ApTyaLC9OE,2013-09-26T15:46:22Z,UCYyyvqxS9jV6TebIK-g1nwQ,"Some Girls | Series 1 | ""I like sweet popcorn, you like salt""","In this clip Amber tries but fails to dump Brandon after succumbing to the classic sad eyes technique.
Subscribe for more: http://bit.ly/hattricksub

Comedy about the lives and loves of a group of quirky 16 year old girls who play on the same school football team and live on the same inner city estate. We join them on their bumpy journey through adolescence taking in boys, sex, cliques, teachers, heartbreak, fun and even some football along the way. 

Talent: Adelayo Adedayo, Mandeep Dhillon, Alice Felgate, Natasha Jonas, Dolly Wells, Colin Salmon, Jassa Ahluwalia and Franz Drameh

For more information: 
http://www.bbc.co.uk/programmes/p00y78kd   http://www.bbc.co.uk/iplayer/episode/p01gkkbb/Some_Girls_Series_2_Episode_1/

Welcome to the brand new home of Hat Trick Productions. Here you'll find all your favourite Hat Trick productions from Have I Got News For You to Father Ted, Outnumbered to Fonejacker plus our brand new original YouTube comedy channel Bad Teeth and everything in between. 
If you like what you see then hit subscribe and we will keep you well stocked: Subscribe for more: http://bit.ly/hattricksub

Bad Teeth: http://www.youtube.com/user/badteeth
Google+: https://plus.google.com/u/0/104916974489383980664",https://i.ytimg.com/vi/6ApTyaLC9OE/default.jpg,120,90,https://i.ytimg.com/vi/6ApTyaLC9OE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6ApTyaLC9OE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6ApTyaLC9OE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6ApTyaLC9OE/maxresdefault.jpg,1280.0,720.0,Hat Trick,"['comedy', 'comedy channel', 'comedy videos', 'prank', 'amazing videos', 'humour', 'funny pranks', 'funny jokes', 'funny songs', 'very funny', 'really funny', 'funniest', 'hat-trick', 'Hat Trick', 'some girls', 'viva', 'holli', 'Amber', 'BBC Three', 'New Series', 'Comedy', 'Teenage Girls', 'British Comedy', 'school comedy']",23,none,"Some Girls | Series 1 | ""I like sweet popcorn, you like salt""","In this clip Amber tries but fails to dump Brandon after succumbing to the classic sad eyes technique.
Subscribe for more: http://bit.ly/hattricksub

Comedy about the lives and loves of a group of quirky 16 year old girls who play on the same school football team and live on the same inner city estate. We join them on their bumpy journey through adolescence taking in boys, sex, cliques, teachers, heartbreak, fun and even some football along the way. 

Talent: Adelayo Adedayo, Mandeep Dhillon, Alice Felgate, Natasha Jonas, Dolly Wells, Colin Salmon, Jassa Ahluwalia and Franz Drameh

For more information: 
http://www.bbc.co.uk/programmes/p00y78kd   http://www.bbc.co.uk/iplayer/episode/p01gkkbb/Some_Girls_Series_2_Episode_1/

Welcome to the brand new home of Hat Trick Productions. Here you'll find all your favourite Hat Trick productions from Have I Got News For You to Father Ted, Outnumbered to Fonejacker plus our brand new original YouTube comedy channel Bad Teeth and everything in between. 
If you like what you see then hit subscribe and we will keep you well stocked: Subscribe for more: http://bit.ly/hattricksub

Bad Teeth: http://www.youtube.com/user/badteeth
Google+: https://plus.google.com/u/0/104916974489383980664",,PT1M28S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,134734,698,0,30,,
youtube#video,C4RsnvRM3J32yhMQXPs_fbWE5l8,8Ql2LzOABKY,2018-03-07T21:19:15Z,UCuVicm98AvjAnvFHMOVbnKw,Hold On - Barry Allen & Amber Heard || What’s a soulmate?,"Enjoy! 
My crackship ♥️
Thanks for watching",https://i.ytimg.com/vi/8Ql2LzOABKY/default.jpg,120,90,https://i.ytimg.com/vi/8Ql2LzOABKY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8Ql2LzOABKY/hqdefault.jpg,480,360,,,,,,,XQueenLeX x,"['BarryAllen', 'Barry Allen Hold On', 'Hold On', 'Amber Heard', 'AmberHeard', 'Barry x Amber', 'Grant Gustin and Amber Heard', 'Barry Allen', 'Barry Allen Hold on', 'crackship', 'Fandom']",23,none,Hold On - Barry Allen & Amber Heard || What’s a soulmate?,"Enjoy! 
My crackship ♥️
Thanks for watching",en,PT1M57S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,188,6,0,0,,
youtube#video,5E1QVjmNl6CpjFjQjxpR4BEEjsc,978qcMyjeyc,2018-02-04T15:29:28Z,UCkPlpSk1l9Ya-_1aBirgq5w,"Aquaman Movie 2018 Official Trailer  Jason Momoa, Amber Heard,  Fan Made","If you like content, subscribe to our channel: https://www.youtube.com/channel/UCkPlpSk1l9Ya-_1aBirgq5w",https://i.ytimg.com/vi/978qcMyjeyc/default.jpg,120,90,https://i.ytimg.com/vi/978qcMyjeyc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/978qcMyjeyc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/978qcMyjeyc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/978qcMyjeyc/maxresdefault.jpg,1280.0,720.0,The life is nice,"['aquaman', 'marvel', 'batman', 'superman']",1,none,"Aquaman Movie 2018 Official Trailer  Jason Momoa, Amber Heard,  Fan Made","If you like content, subscribe to our channel: https://www.youtube.com/channel/UCkPlpSk1l9Ya-_1aBirgq5w",,PT1M58S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,84,0,0,0,,
youtube#video,jq0nUHBXi-qAH_F68xUs3k0vNeQ,ceCXoGWyC6I,2017-09-14T03:18:33Z,UCSe8h3wpGVNl4VPHAJrIM5Q,Amber Heard at the Art of Elysium presents Stevie Wonder's HEAVEN   Celebrating the 10th Anniversary,"ACTORS & MUSICIANS.  Do you want more exposure.  Check out services at http://www.HollywoodToYou.com

PLEASE FOLLOW US ON TWITTER @Hollywood2YouTV & SUBSCRIBE TO OUR YOUTUBE CHANNEL

You may link this video to your social media account(s) or website but this video is copy-written and can not be copied and re-uploaded.",https://i.ytimg.com/vi/ceCXoGWyC6I/default.jpg,120,90,https://i.ytimg.com/vi/ceCXoGWyC6I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ceCXoGWyC6I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ceCXoGWyC6I/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/ceCXoGWyC6I/maxresdefault.jpg,1280.0,720.0,The Paparazzi Gamer [TPG],"['Celebrity', 'Entertainment', 'Hollywood To You', 'Gossip', 'Reality TV', 'Paparazzi', 'TMZ', 'X17', 'Daily Mail', 'Radar Online', 'Perez Hilton', 'Just Jared', 'Entertainment News', 'Fame', 'Famous', 'Hollywood', 'News', 'TWN PR', 'PDA Publicity']",24,none,Amber Heard at the Art of Elysium presents Stevie Wonder's HEAVEN   Celebrating the 10th Anniversary,"ACTORS & MUSICIANS.  Do you want more exposure.  Check out services at http://www.HollywoodToYou.com

PLEASE FOLLOW US ON TWITTER @Hollywood2YouTV & SUBSCRIBE TO OUR YOUTUBE CHANNEL

You may link this video to your social media account(s) or website but this video is copy-written and can not be copied and re-uploaded.",en,PT2M14S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,214,,0,0,,
youtube#video,lq_boRpesPBme9ZW1DrXqzkn43o,EYpdidUGQNo,2013-10-02T01:16:18Z,UC_razLamEDrgyjPcbOyAxwQ,Amber Heard |Speed Art #2|,"FB- https://www.facebook.com/SimplyDiamondsGraphics
Deviantart- http://simplydiamonds.deviantart.com/",https://i.ytimg.com/vi/EYpdidUGQNo/default.jpg,120,90,https://i.ytimg.com/vi/EYpdidUGQNo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EYpdidUGQNo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EYpdidUGQNo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/EYpdidUGQNo/maxresdefault.jpg,1280.0,720.0,SDGraphics,"['Amber Heard (TV Actor)', 'photoshop', 'adobe', 'Speed art', 'Adobe Photoshop (Software)']",22,none,Amber Heard |Speed Art #2|,"FB- https://www.facebook.com/SimplyDiamondsGraphics
Deviantart- http://simplydiamonds.deviantart.com/",,PT2M43S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,240,2,0,0,,
youtube#video,s_Fi3KgelDJUbH-DnqRzgbC1lWQ,FaGZYa_Cykk,2013-09-05T00:53:34Z,UCJlLrVxonpLIdyhUQq6sMpw,Morrissey The bed took fire(at amber) guitar cover by brandon larratt(by ear),"I love this jam :) one of my favorite Morrissey jams,and I got it down by ear and added my own feel to it so check it out ppl,somewhat of a rare cover to do.",https://i.ytimg.com/vi/FaGZYa_Cykk/default.jpg,120,90,https://i.ytimg.com/vi/FaGZYa_Cykk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FaGZYa_Cykk/hqdefault.jpg,480,360,,,,,,,GEORGE LARRATT,"['Morrissey (Musical Artist)', 'morrissey at amber', 'morrissey bed took fire', 'Cover', 'Guitar', 'The Bed Took Fire']",10,none,Morrissey The bed took fire(at amber) guitar cover by brandon larratt(by ear),"I love this jam :) one of my favorite Morrissey jams,and I got it down by ear and added my own feel to it so check it out ppl,somewhat of a rare cover to do.",,PT2M44S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,165,7,0,1,,
youtube#video,9y3xdqIq14FlFgSnPTtB3Sm7u6g,fV4xytlTGts,2011-02-01T05:08:02Z,UCY39s2w_AHPA6O92QwPFIxA,PISTOL - Amber Heard DJ Party,"In celebration of Amber's new film Drive Angry in 3D, Marathon Live threw a party at 3 CLUBS.  Amber and Brandon DJ'd and the people, well... they danced.",https://i.ytimg.com/vi/fV4xytlTGts/default.jpg,120,90,https://i.ytimg.com/vi/fV4xytlTGts/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fV4xytlTGts/hqdefault.jpg,480,360,,,,,,,MarathonTV,"['Drive Angry in 3D', 'Amber Heard', '3 Clubs', 'Marathon Live', 'Brandon McCulloch', 'Tasya Van Ree', 'Denver Dalley', 'Conquistador']",24,none,PISTOL - Amber Heard DJ Party,"In celebration of Amber's new film Drive Angry in 3D, Marathon Live threw a party at 3 CLUBS.  Amber and Brandon DJ'd and the people, well... they danced.",,PT1M23S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,32881,150,0,11,,
youtube#video,unjMX1rbhNsgoPtIIYzcyuWlDHA,h9hHipibr4w,2012-11-07T09:22:13Z,UCO5vtkTKXRT3F5VpSDGHc4A,Randy Wayne and Amber Heard - Safe And Sound, ,https://i.ytimg.com/vi/h9hHipibr4w/default.jpg,120,90,https://i.ytimg.com/vi/h9hHipibr4w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/h9hHipibr4w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/h9hHipibr4w/sddefault.jpg,640.0,480.0,,,,AriaApril,"['Randy', 'Wayne', 'and', 'Amber', 'Heard', 'Safe', 'And', 'Sound']",24,none,Randy Wayne and Amber Heard - Safe And Sound, ,,PT3M58S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,705,6,0,0,,
