kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultLanguage
youtube#video,rKHDgVeZq5OX2quix42wWTTyhDc,-FUj55Joi4U,2021-08-14T16:00:01Z,UCDljCmBv7Y7Sm37cNce-pxQ,"Emma's Campervan Build: Ep. 4 - Electrics, Diesel Heater & Ceiling","The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/projectamber06211

This time we tackle the van's ceiling, using tongue and groove slats, fitting lights, wiring and skylight finishings as we go.
I make a start on the base electrical system so that Emma has lights and power in the van.
We also get the diesel heater in and make some tweaks here there and everywhere.

Subscribe to keep up with Project.Amber:
https://www.youtube.com/c/projectamber

You can also follow on:
 
Instagram: @project.amber 
http://www.instagram.com/project.amber/

Facebook: 
https://www.facebook.com/ProjectAmber25.Vanlife/

Want to help support the channel?:

Patreon: Project.Amber
https://www.patreon.com/Projectamber

Amazon Store:
https://www.amazon.co.uk/shop/projectamber

#deiselheater #vanproject #Skillshare",https://i.ytimg.com/vi/-FUj55Joi4U/default.jpg,120,90,https://i.ytimg.com/vi/-FUj55Joi4U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-FUj55Joi4U/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-FUj55Joi4U/sddefault.jpg,640.0,480.0,Project Amber,"['vanlife', 'mercedes', 'sprinter', 'dodge', 'van', 'mobile', 'home', 'rv', 'campervan', 'offgrid', 'homestead', 'retreat', 'offroad', 'overlander', 'rvlife', 'alternate', 'living', 'out of the system', 'camperlife', 'vlog', 'homeonwheels', 'adventure', 'lifeontheedge', 'live different', 'motorhome', 'solar', 'project', 'amber', 'episode', 'woods', 'forest', 'inspiring', 'feel good', 'relax', 'escapism', 'mans best friend', 'man and his dog', 'lance', 'cj', 'deisel', 'heater', 'ceiling', '12v', 'electrics', 'system', 'roof', 'camper', 'build', 'van girl', 'girl power', 'solo female']",2,none,"Emma's Campervan Build: Ep. 4 - Electrics, Diesel Heater & Ceiling","The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/projectamber06211

This time we tackle the van's ceiling, using tongue and groove slats, fitting lights, wiring and skylight finishings as we go.
I make a start on the base electrical system so that Emma has lights and power in the van.
We also get the diesel heater in and make some tweaks here there and everywhere.

Subscribe to keep up with Project.Amber:
https://www.youtube.com/c/projectamber

You can also follow on:
 
Instagram: @project.amber 
http://www.instagram.com/project.amber/

Facebook: 
https://www.facebook.com/ProjectAmber25.Vanlife/

Want to help support the channel?:

Patreon: Project.Amber
https://www.patreon.com/Projectamber

Amazon Store:
https://www.amazon.co.uk/shop/projectamber

#deiselheater #vanproject #Skillshare",en-GB,PT18M38S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,27574,2118,0,88,,,,
youtube#video,3wH45SJmN2H9noIZiGHYxbkuUGM,-oWrdqC8iHU,2022-01-03T13:57:09Z,UC81MmJ8BgFasHteOAIexcQg,"ForeverLux Fragrance Review - Eternity by Calvin Klein for men (Lincoln Road in Miami Beach, FL)","While Amber is away on her project, blogger and influencer “D” takes over the ForeverLux Fragrance Review series! She starts with the extremely popular scent, Eternity for men. It sure brought out some characters on Lincoln Road.

Want to smell amazing or send a gift? 
https://www.foreverlux.com
21% off code that applies sitewide plus free shipping!
D8759
(Code expires in 24 hours)

Fragrance that was reviewed in this video:
https://www.foreverlux.com/eternity-34-men/

Follow on Instagram: https://www.instagram.com/foreverlux__/
Follow on Facebook: https://www.facebook.com/iamForeverLux/
Email: socialmedia@foreverlux.com",https://i.ytimg.com/vi/-oWrdqC8iHU/default.jpg,120,90,https://i.ytimg.com/vi/-oWrdqC8iHU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-oWrdqC8iHU/hqdefault.jpg,480,360,,,,ForeverLux,,22,none,"ForeverLux Fragrance Review - Eternity by Calvin Klein for men (Lincoln Road in Miami Beach, FL)","While Amber is away on her project, blogger and influencer “D” takes over the ForeverLux Fragrance Review series! She starts with the extremely popular scent, Eternity for men. It sure brought out some characters on Lincoln Road.

Want to smell amazing or send a gift? 
https://www.foreverlux.com
21% off code that applies sitewide plus free shipping!
D8759
(Code expires in 24 hours)

Fragrance that was reviewed in this video:
https://www.foreverlux.com/eternity-34-men/

Follow on Instagram: https://www.instagram.com/foreverlux__/
Follow on Facebook: https://www.facebook.com/iamForeverLux/
Email: socialmedia@foreverlux.com",,PT3M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,8327,9,0,5,,,,
youtube#video,OW7G5HNob2cAjRO01uzMu36F2YY,-SolhikEKT4,2017-02-07T23:46:22Z,UCYCd_18Tuo87fdboJWu1cxQ,Διαζύγιο βόμβα! Johny Depp - Amber Heard στα δικαστήρια!,,https://i.ytimg.com/vi/-SolhikEKT4/default.jpg,120,90,https://i.ytimg.com/vi/-SolhikEKT4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-SolhikEKT4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-SolhikEKT4/sddefault.jpg,640.0,480.0,Μαριλένα Αθανασίου,,22,none,Διαζύγιο βόμβα! Johny Depp - Amber Heard στα δικαστήρια!,,,PT2M5S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,37,0,0,0,,,,
youtube#video,SSBrpV1FXHJKl5yRlYhwfQ3dMO8,-VnfwhIFtIQ,2018-05-12T03:13:34Z,UCw8qguc9mbzm34Qh4c7Rg1g,Elon Musk a dat-o uitării pe Amber Heard. Iată cât de fericit este alături de noua lui iubită!,"Elon Musk a dat-o uitării pe Amber Heard. Iată cât de fericit este alături de noua lui iubită!
 După ce a trecut printr-o serie de împăcări și despărțiri cu Amber Heard și chiar a declarat că este depresiv, se pare că fondatorul Tesla a dat-o uitării pe actriță. Luni seara, la Met Gala, a fost m...",https://i.ytimg.com/vi/-VnfwhIFtIQ/default.jpg,120,90,https://i.ytimg.com/vi/-VnfwhIFtIQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-VnfwhIFtIQ/hqdefault.jpg,480,360,,,,VDT,"['Elon Musk a', 'Musk a dato', 'a dato uitării', 'dato uitării pe', 'uitării pe Amber', 'pe Amber Heard', 'Amber Heard Iată', 'Heard Iată cât', 'Iată cât de', 'cât de fericit', 'de fericit este', 'fericit este alături', 'este alături de', 'alături de noua', 'de noua lui']",25,none,Elon Musk a dat-o uitării pe Amber Heard. Iată cât de fericit este alături de noua lui iubită!,"Elon Musk a dat-o uitării pe Amber Heard. Iată cât de fericit este alături de noua lui iubită!
 După ce a trecut printr-o serie de împăcări și despărțiri cu Amber Heard și chiar a declarat că este depresiv, se pare că fondatorul Tesla a dat-o uitării pe actriță. Luni seara, la Met Gala, a fost m...",,PT1M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,24,0,0,0,,,,
youtube#video,tCxFRjY86yw6AhoIBxIzvCBdFH4,2CmkVfQx8Mg,2021-07-01T12:28:06Z,UCCA-NuiaSjV_faab-yfxbDg,"AQUAMAN 2 (2022) Teaser Trailer - Jason Momoa, Amber Heard (Fan Made)","Aquaman has been blinded in a mysterious event. Years have passed and soon he regains his sight. However, damage to his land has been done. Its up to him and Mera to find out what happened. 

Hey guys I would like to make it clear that this trailer is fan made. That means it contains clips from other movies, put together with special effects using Wondershare Filmora video editor and Photopea (Photopea.com) photo editor.

►What is fan made movie trailer?

In a nutshell fan made trailers are created for extreme movie fans. That's why its not for everybody because just like Pro-Wrestling, some hate it some love it. If you are into fan made trailers which means you appreciate bringing new ideas to your favorite movies. But my trailers, are not like any other, one word to describe it, REALISTIC.

►MacamTV's Purpose

If you are new here my name is Jr Macam, I'm the man behind your realistic dream trailers. The purpose of the channel is simple (not to trick people haha) , to create a community that is passionate to bring dream movies to life. If that sounds like you want to become a part of, SUBSCRIBE!!!!

►Support MacamTV

Creating this video take days to produce and publish. I do lots of research and takes a lot of time. Help MacamTV make more dream trailers by supporting in Patreon.
Link here: https://www.patreon.com/macamtv

►Thanks to my Patrons!
Danielle Moore
Nazzaria Grendanin
Jazmyn
Lynn Queen
James Johnson

#RESTORESNYDERVERSE 
----------------------------------
Editing Details:

Creating Aquaman 2 was challenging because I was not into this franchsie. But my DC lover side made me appreciate this film more. I watched this film once and I thought it was decent. The fresh clips are not too hard to find since there are plenty of cosplay to chose from. To avoid making this dream trailer feel low budget I chose clips from the Aquaman movie it self. Such as the Atlantic City.

The music was great, despite the lack of humor the soundtrack by THE EQUALIZER 2 trailer #2 was great because it had lots of trailer fling to it. The main actor himself had lots of movies to chose from since this is the first time I made a project about him. Not the first Aquaman project though, I did one back in 2020 for one of the trailer style of the infinity saga.

The line ""is only a myth"" is great connection to how Aquaman is a mystical character. The film SEE had great lines talking about ""gods"" that perfectly fits this dream trailer. Speaking of perfectly fits, the clip with Aquaman attacks the bad guy we get a transition to a guy getting attacked in the water.

VIDEO CREDITS | AQUAMAN | SEE (2019) | 3 DAYS TO KILL | THE HOLLOW | THE UNDOING | TOGO (2019) | CANDYMAN (2020) | CREATING AQUAMAN'S SUIT | IKON COLLECTIBLES 1:1 BY COSPLAY CHRIS | AQUAMAN COSPLAY BY MIKE KIRTS | AQUAMAN'S MERA COSTUME | DIY AQUAMAN COSPLAY TATTOOS BY THE WOODLAND ELF | MULHER MARAVHILHA VS AQUAMAN BY FRANKLIN FERNANDES
MUSIC CREDITS | THE EQUALIZER 2 TRAILER #2 SOUNDTRACK
---------------------------------------
►Music Credit: YouTube Audio Library and thanks to Feature Presentation YouTube Channel for providing the trailer soundtracks.",https://i.ytimg.com/vi/2CmkVfQx8Mg/default.jpg,120,90,https://i.ytimg.com/vi/2CmkVfQx8Mg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2CmkVfQx8Mg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2CmkVfQx8Mg/sddefault.jpg,640.0,480.0,chhery pro gamer,"['New sad Love story', 'Love story', 'love songs videos in telugu']",1,none,"AQUAMAN 2 (2022) Teaser Trailer - Jason Momoa, Amber Heard (Fan Made)","Aquaman has been blinded in a mysterious event. Years have passed and soon he regains his sight. However, damage to his land has been done. Its up to him and Mera to find out what happened. 

Hey guys I would like to make it clear that this trailer is fan made. That means it contains clips from other movies, put together with special effects using Wondershare Filmora video editor and Photopea (Photopea.com) photo editor.

►What is fan made movie trailer?

In a nutshell fan made trailers are created for extreme movie fans. That's why its not for everybody because just like Pro-Wrestling, some hate it some love it. If you are into fan made trailers which means you appreciate bringing new ideas to your favorite movies. But my trailers, are not like any other, one word to describe it, REALISTIC.

►MacamTV's Purpose

If you are new here my name is Jr Macam, I'm the man behind your realistic dream trailers. The purpose of the channel is simple (not to trick people haha) , to create a community that is passionate to bring dream movies to life. If that sounds like you want to become a part of, SUBSCRIBE!!!!

►Support MacamTV

Creating this video take days to produce and publish. I do lots of research and takes a lot of time. Help MacamTV make more dream trailers by supporting in Patreon.
Link here: https://www.patreon.com/macamtv

►Thanks to my Patrons!
Danielle Moore
Nazzaria Grendanin
Jazmyn
Lynn Queen
James Johnson

#RESTORESNYDERVERSE 
----------------------------------
Editing Details:

Creating Aquaman 2 was challenging because I was not into this franchsie. But my DC lover side made me appreciate this film more. I watched this film once and I thought it was decent. The fresh clips are not too hard to find since there are plenty of cosplay to chose from. To avoid making this dream trailer feel low budget I chose clips from the Aquaman movie it self. Such as the Atlantic City.

The music was great, despite the lack of humor the soundtrack by THE EQUALIZER 2 trailer #2 was great because it had lots of trailer fling to it. The main actor himself had lots of movies to chose from since this is the first time I made a project about him. Not the first Aquaman project though, I did one back in 2020 for one of the trailer style of the infinity saga.

The line ""is only a myth"" is great connection to how Aquaman is a mystical character. The film SEE had great lines talking about ""gods"" that perfectly fits this dream trailer. Speaking of perfectly fits, the clip with Aquaman attacks the bad guy we get a transition to a guy getting attacked in the water.

VIDEO CREDITS | AQUAMAN | SEE (2019) | 3 DAYS TO KILL | THE HOLLOW | THE UNDOING | TOGO (2019) | CANDYMAN (2020) | CREATING AQUAMAN'S SUIT | IKON COLLECTIBLES 1:1 BY COSPLAY CHRIS | AQUAMAN COSPLAY BY MIKE KIRTS | AQUAMAN'S MERA COSTUME | DIY AQUAMAN COSPLAY TATTOOS BY THE WOODLAND ELF | MULHER MARAVHILHA VS AQUAMAN BY FRANKLIN FERNANDES
MUSIC CREDITS | THE EQUALIZER 2 TRAILER #2 SOUNDTRACK
---------------------------------------
►Music Credit: YouTube Audio Library and thanks to Feature Presentation YouTube Channel for providing the trailer soundtracks.",,PT2M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,13,1,0,0,https://i.ytimg.com/vi/2CmkVfQx8Mg/maxresdefault.jpg,1280.0,720.0,
youtube#video,bUhBoSdOErxjXqJ7f5PmcDHVL5o,3z0amNEHkUE,2016-09-27T15:08:38Z,UC4B0rMa68o1WiXP58ATi3xA,Living Waters For The World Project   Lady Dee And Amber Kaye   Kentucky Vocal Union,"ITSMONTEZDOTCOM
https://www.youtube.com/channel/UC4B0rMa68o1WiXP58ATi3xA

So in this film Lady Dee and Amber Kay Talk about Time and Money and which is a great factor in their life's. Using the time that one has effectively can be quite hard to do if one dose not know what they quite want in life as you will here in this film By Lady Dee and Amber Kaye In this film you will view the Living Waters Guatemala Project Event  During the film Taste of Guatemala You will find out What it is and why it has been founded and what it is that the foundation dose 

Support the Living Waters Guatemala Project- helping to provide clean sustainable water to communities in Guatemala who have no clean drinking water- by attending ""A Taste of Guatemala

https://www.facebook.com/LivingWatersGuatemalaProject/?fref=ts
Click this link to like the facebook page and support the cause! 

Elizabethtown Rotary and  First Presbyterian Church providing clean water in Guatemala.
http://www.etownpres.org/living-waters.html

https://hardinlocal.com/a-taste-of-guatemala/
https://hardinchamber.com/living-waters-guatemala-project/

https://hardinchamber.com/benefit-auction-to-benefit-living-waters-guatemala-project/

http://historicstatetheater.org/Calendar.asp


Picture
The Living Waters Guatemala Team has recently visited some 17 new communities in the western highlands of Guatemala.  Many had heard about the water systems we were installing from others who were already enjoying clean water.  They heard about the difference that clean water was making in the health of families receiving it.  They heard that the water was affordable and even free if you couldn’t pay.

http://www.livingwatersfortheworld.org/

if you  would like to support this channel you may do so but subscribing to this channel ! 
https://www.youtube.com/channel/UC4B0rMa68o1WiXP58ATi3xA",https://i.ytimg.com/vi/3z0amNEHkUE/default.jpg,120,90,https://i.ytimg.com/vi/3z0amNEHkUE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3z0amNEHkUE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3z0amNEHkUE/sddefault.jpg,640.0,480.0,itsmontez.com,"['http://www.livingwatersfortheworld.org/', 'support', 'affordable', 'Non Profit', 'The Living Waters Guatemala', 'historicstatetheater.org', 'Elizabethtown Rotary', 'First Presbyterian Church', 'etownpres.org', 'living-waters-guatemala-projec', 'benefit-auction', 'Living Waters Guatemala', 'Bob Swope', ""world's water crisis"", 'non-profit organization', 'Jesus Christ', 'Sustainable clean water']",29,none,Living Waters For The World Project   Lady Dee And Amber Kaye   Kentucky Vocal Union,"ITSMONTEZDOTCOM
https://www.youtube.com/channel/UC4B0rMa68o1WiXP58ATi3xA

So in this film Lady Dee and Amber Kay Talk about Time and Money and which is a great factor in their life's. Using the time that one has effectively can be quite hard to do if one dose not know what they quite want in life as you will here in this film By Lady Dee and Amber Kaye In this film you will view the Living Waters Guatemala Project Event  During the film Taste of Guatemala You will find out What it is and why it has been founded and what it is that the foundation dose 

Support the Living Waters Guatemala Project- helping to provide clean sustainable water to communities in Guatemala who have no clean drinking water- by attending ""A Taste of Guatemala

https://www.facebook.com/LivingWatersGuatemalaProject/?fref=ts
Click this link to like the facebook page and support the cause! 

Elizabethtown Rotary and  First Presbyterian Church providing clean water in Guatemala.
http://www.etownpres.org/living-waters.html

https://hardinlocal.com/a-taste-of-guatemala/
https://hardinchamber.com/living-waters-guatemala-project/

https://hardinchamber.com/benefit-auction-to-benefit-living-waters-guatemala-project/

http://historicstatetheater.org/Calendar.asp


Picture
The Living Waters Guatemala Team has recently visited some 17 new communities in the western highlands of Guatemala.  Many had heard about the water systems we were installing from others who were already enjoying clean water.  They heard about the difference that clean water was making in the health of families receiving it.  They heard that the water was affordable and even free if you couldn’t pay.

http://www.livingwatersfortheworld.org/

if you  would like to support this channel you may do so but subscribing to this channel ! 
https://www.youtube.com/channel/UC4B0rMa68o1WiXP58ATi3xA",,PT12M21S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,89,24,0,30,https://i.ytimg.com/vi/3z0amNEHkUE/maxresdefault.jpg,1280.0,720.0,
youtube#video,Y3tE9f5MxUK4spYuEzvqI0oA8HM,5HVFs_l03eY,2021-10-26T18:42:15Z,UCBdbN_egHa8UCc6cxIQ7q0A,Pompa Ciepła z Klimatyzatora Gree Amber Prestige 7kw. PROJEKT AMBER 🙂,"Przyszedł czas podejść poważnie do tematu ogrzewania domu pompą ciepła z klimatyzatora i dokonałem zakupu chyba najmocniejszej jednostki na rynku. Gree Amber Prestige, także szykuje się nowy PROJEKT AMBER 

Przem Cyr 
https://www.facebook.com/PHUInterkom/

Wymienniki płytowe polutowanie i gotowe do montażu 

https://www.facebook.com/witold.wierzbicki

Telefon :510 286 011",https://i.ytimg.com/vi/5HVFs_l03eY/default.jpg,120,90,https://i.ytimg.com/vi/5HVFs_l03eY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5HVFs_l03eY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5HVFs_l03eY/sddefault.jpg,640.0,480.0,Tomasz Żyłka PV,"['Gree Amber Prestige', 'Pompa ciepła', 'Pompa ciepła z klimatyzatora', 'PROJEKT AMBER', 'DIY', 'Zrób to sam', 'Jak przerobić klimatyzatora na pompę ciepła']",28,none,Pompa Ciepła z Klimatyzatora Gree Amber Prestige 7kw. PROJEKT AMBER 🙂,"Przyszedł czas podejść poważnie do tematu ogrzewania domu pompą ciepła z klimatyzatora i dokonałem zakupu chyba najmocniejszej jednostki na rynku. Gree Amber Prestige, także szykuje się nowy PROJEKT AMBER 

Przem Cyr 
https://www.facebook.com/PHUInterkom/

Wymienniki płytowe polutowanie i gotowe do montażu 

https://www.facebook.com/witold.wierzbicki

Telefon :510 286 011",pl,PT10M27S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,7248,136,0,134,https://i.ytimg.com/vi/5HVFs_l03eY/maxresdefault.jpg,1280.0,720.0,
youtube#video,Xy0lG73yuymfiLDRmIrPEUgZOco,6pOTU19bo9o,2021-03-25T19:29:54Z,UCOYvKExtd9jGI1fJvHa32tg,Johnny Depp's Stupid Appeal Denied (Amber Heard Playlist!!),Johnny Depp's appeal was a waste of time and he knew it!!  Anywhere in America it would be denied and UK (English) law is the primary basis of law in America,https://i.ytimg.com/vi/6pOTU19bo9o/default.jpg,120,90,https://i.ytimg.com/vi/6pOTU19bo9o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6pOTU19bo9o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6pOTU19bo9o/sddefault.jpg,640.0,480.0,#JohnnyDeppIsARapist!! #JohnnyDeppesracista,,23,none,Johnny Depp's Stupid Appeal Denied (Amber Heard Playlist!!),Johnny Depp's appeal was a waste of time and he knew it!!  Anywhere in America it would be denied and UK (English) law is the primary basis of law in America,,PT2M39S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,34,1,0,,,,,
youtube#video,HXg_DSmpnD8G7e1P3bPJKmUjSM4,AKNdCKu1cuM,2020-12-04T23:15:09Z,UCG2QYlhnYYxksvv6ve11ijw,🔴 LIVESTREAM Johnny Depp vs Amber Heard. Your thoughts,Hope to see you there as we discuss your thoughts on the Johnny Depp vs Amber Heard Case,https://i.ytimg.com/vi/AKNdCKu1cuM/default.jpg,120,90,https://i.ytimg.com/vi/AKNdCKu1cuM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AKNdCKu1cuM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AKNdCKu1cuM/sddefault.jpg,640.0,480.0,Rob's Rules,,24,none,🔴 LIVESTREAM Johnny Depp vs Amber Heard. Your thoughts,Hope to see you there as we discuss your thoughts on the Johnny Depp vs Amber Heard Case,en,PT2H17M55S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1014,115,0,48,https://i.ytimg.com/vi/AKNdCKu1cuM/maxresdefault.jpg,1280.0,720.0,
youtube#video,FbQb0OVkDxGJpgrQJ1pdwO7iq-A,axrgug3RfFQ,2016-12-27T00:22:50Z,UCz3TQTisSg1MsJ5CEFCQf-g,Amber the Shade-Mistakes(formerly the aries for libra project),"Matt Abbott on guitar,Rob Negron on vocals and recorded by Vigo Cabrerra. This demo is the first of a bunch of songs Matt had stored in the depths of his writing vault, Rob heard them and began putting vocal melodies and lyrics to them. Matt Abbott is a gifted writer and his songs bring out the emotions that Rob unleashes in his singing. There will be a lot more coming, please enjoy,tell your friends and subscribe to Vigo Cabrerra  on youtube",https://i.ytimg.com/vi/axrgug3RfFQ/default.jpg,120,90,https://i.ytimg.com/vi/axrgug3RfFQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/axrgug3RfFQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/axrgug3RfFQ/sddefault.jpg,640.0,480.0,vigo cabrerra,,10,none,Amber the Shade-Mistakes(formerly the aries for libra project),"Matt Abbott on guitar,Rob Negron on vocals and recorded by Vigo Cabrerra. This demo is the first of a bunch of songs Matt had stored in the depths of his writing vault, Rob heard them and began putting vocal melodies and lyrics to them. Matt Abbott is a gifted writer and his songs bring out the emotions that Rob unleashes in his singing. There will be a lot more coming, please enjoy,tell your friends and subscribe to Vigo Cabrerra  on youtube",,PT2M56S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,263,23,0,4,https://i.ytimg.com/vi/axrgug3RfFQ/maxresdefault.jpg,1280.0,720.0,
