kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.regionRestriction.blocked
youtube#video,UrNbtUM5z2-jRx1fy6mkVfe9CFM,-_CYAFg7fdU,2011-01-26T11:34:51Z,UC1ru3b019rb7WBj7lTMpVSQ,Amber & The Dude - Legend @ La Bellevilloise,"Paris, 21/01/2011 - http://www.its-my-live.com",https://i.ytimg.com/vi/-_CYAFg7fdU/default.jpg,120,90,https://i.ytimg.com/vi/-_CYAFg7fdU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-_CYAFg7fdU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-_CYAFg7fdU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-_CYAFg7fdU/maxresdefault.jpg,1280.0,720.0,Mégane Helders,"['amber and the dude', 'legend', 'bellevilloise', 'paris live show']",10,none,Amber & The Dude - Legend @ La Bellevilloise,"Paris, 21/01/2011 - http://www.its-my-live.com",PT2M55S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,483,0,0,0,,,
youtube#video,jImjI3j7NSSqaf-YWKOl7G_lfYA,1riXbwkftrA,2016-12-02T18:50:46Z,UC3Qb-1LdnkVULPDUByNwowQ,"Zulia Jekundu S1 Ep 102: John Legend, Kanye West, Kim Kardashian, Brad Pitt na Amber Heard",Originally published at - http://www.voaswahili.com/a/zulia-jekundu-s1-ep-102/3620714.html,https://i.ytimg.com/vi/1riXbwkftrA/default.jpg,120,90,https://i.ytimg.com/vi/1riXbwkftrA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1riXbwkftrA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1riXbwkftrA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1riXbwkftrA/maxresdefault.jpg,1280.0,720.0,VOA Swahili,"['kanye west', 'Kim Kardashian', 'Brad Pitt', 'John Legend', 'Kate Hudson', 'Amber Heard']",25,none,"Zulia Jekundu S1 Ep 102: John Legend, Kanye West, Kim Kardashian, Brad Pitt na Amber Heard",Originally published at - http://www.voaswahili.com/a/zulia-jekundu-s1-ep-102/3620714.html,PT15M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,177,0,0,0,,,
youtube#video,J567EsuVOQ_tDT0e4iahuTVInQM,2xJZhhxzQN8,2014-12-18T18:41:22Z,UClWR4dpS_POIoPyPZxWwJuw,03 The Legend of the Amber Room Michael Geisler Frysk Jeugd Fanfare Orkest,,https://i.ytimg.com/vi/2xJZhhxzQN8/default.jpg,120,90,https://i.ytimg.com/vi/2xJZhhxzQN8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2xJZhhxzQN8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2xJZhhxzQN8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2xJZhhxzQN8/maxresdefault.jpg,1280.0,720.0,Hafabra foto's,['Hafabra'],10,none,03 The Legend of the Amber Room Michael Geisler Frysk Jeugd Fanfare Orkest,,PT7M24S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4374,20,0,1,,,
youtube#video,AdTq5jreAZLYvZGRxD0TM0GW2h0,8NUpDTYnb1I,2020-11-14T10:39:25Z,UCukxwZFXPCIU-MgTDDtTRJg,Amber heard vs rashid😎,Please like and subscribe to my Chanel 😊,https://i.ytimg.com/vi/8NUpDTYnb1I/default.jpg,120,90,https://i.ytimg.com/vi/8NUpDTYnb1I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8NUpDTYnb1I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8NUpDTYnb1I/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8NUpDTYnb1I/maxresdefault.jpg,1280.0,720.0,Rashid legend,,10,none,Amber heard vs rashid😎,Please like and subscribe to my Chanel 😊,PT14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,411,257,0,3,,,
youtube#video,93qPZL3CpMkEdPxsOgdk45B2bMM,a07v7ShfPJY,2020-02-03T06:48:49Z,UC2l-wiNlyB2hyGzNqMx4Cog,✅  Johnny Depp picchiato dalla ex Amber Heard: l'audio della confessione,"💖 Please Subscribe: https://www.youtube.com/channel/UC2l-wiNlyB2hyGzNqMx4Cog?sub_confirmation=1
✍  Nelle registrazioni riportate dal Mail, Amber Hear racconterebbe esplicitamente di aver ripetutamente colpito Johnny Depp nel corso di un litigio recente. “Mi dispiace di non averti dato un vero schiaffo“, le sue parole, “ma non ti ho dato un pugno. Non so che movimento ho fatto, ma non volevo darti un pugno. Ti stavo solo colpendo“. Il riferimento era evidentemente ad un precedente litigio; nella registrazione audio, sarebbe inoltre possibil ascoltare Depp dire di “non riuscire più a sopportare tutti questi abusi fisici“, la che la compagna avrebbe risposto di “non poter promettere di non essere più violenta“. Una testimonianza chiave, capace di dare una svolta decisiva al divorzio più seguito di questi anni.   LEGGI ANCHE Amber Herd stratosferica senza reggiseno, la ex di Johnny Depp è da censura    ...
💖",https://i.ytimg.com/vi/a07v7ShfPJY/default.jpg,120,90,https://i.ytimg.com/vi/a07v7ShfPJY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a07v7ShfPJY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/a07v7ShfPJY/sddefault.jpg,640.0,480.0,,,,Nguyen Duc Tung,,22,none,✅  Johnny Depp picchiato dalla ex Amber Heard: l'audio della confessione,"💖 Please Subscribe: https://www.youtube.com/channel/UC2l-wiNlyB2hyGzNqMx4Cog?sub_confirmation=1
✍  Nelle registrazioni riportate dal Mail, Amber Hear racconterebbe esplicitamente di aver ripetutamente colpito Johnny Depp nel corso di un litigio recente. “Mi dispiace di non averti dato un vero schiaffo“, le sue parole, “ma non ti ho dato un pugno. Non so che movimento ho fatto, ma non volevo darti un pugno. Ti stavo solo colpendo“. Il riferimento era evidentemente ad un precedente litigio; nella registrazione audio, sarebbe inoltre possibil ascoltare Depp dire di “non riuscire più a sopportare tutti questi abusi fisici“, la che la compagna avrebbe risposto di “non poter promettere di non essere più violenta“. Una testimonianza chiave, capace di dare una svolta decisiva al divorzio più seguito di questi anni.   LEGGI ANCHE Amber Herd stratosferica senza reggiseno, la ex di Johnny Depp è da censura    ...
💖",PT2M52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,64,1,0,0,,,
youtube#video,_l5-ZNBek1_tBXTXGCgysuRZ0gI,A82P-p3OVKE,2012-11-18T20:01:32Z,UCX9nlyDUgAvyArvufpXxNrw,Webkinz Short Story-Legend of the Amber Wolf,"Hey guys! Welcome to my first Short Story: Legend of the Amber wolf! I've worked on this for a while and I hope you guys enjoy it! Hope you like Grousey in it!! More details with him, and all. I made this at Esther's house, remember her in ""Webkinz Birthday Party"" When she was Violet?
So the story line is...
Sophie meets Stripy and Calie in the woods. They were talking about the rumor they heard from a bird: A legendary evil wolf was on the loose in THEIR woods!
I put a lot of hidden things in the video so watch it over and over to try to find its secrets, and then if you have a YouTube account, comment below so I can see how clever you guys are!
What do YOU think the moral of the story is??
Thanks for watching!
Comment like, and SUBSCRIBE!!",https://i.ytimg.com/vi/A82P-p3OVKE/default.jpg,120,90,https://i.ytimg.com/vi/A82P-p3OVKE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/A82P-p3OVKE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/A82P-p3OVKE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/A82P-p3OVKE/maxresdefault.jpg,1280.0,720.0,DiverseKitty,"['webkinz', 'short', 'story', 'legend', 'of', 'the', 'amber', 'wolf', 'legend of the amber wolf', 'calie', 'stripy', 'sofie', 'adventure', 'diversekitty', 'Short Film (TV Genre)', 'show', 'tombstone', 'grave', 'grousey', 'grouse', 'smashing', 'ruffled grouse', 'mohawk', 'hunting', 'funeral', 'evil', 'circus', 'fly', 'buzzing', 'in one ear', 'and', 'out the other', 'hairball', 'furball']",24,none,Webkinz Short Story-Legend of the Amber Wolf,"Hey guys! Welcome to my first Short Story: Legend of the Amber wolf! I've worked on this for a while and I hope you guys enjoy it! Hope you like Grousey in it!! More details with him, and all. I made this at Esther's house, remember her in ""Webkinz Birthday Party"" When she was Violet?
So the story line is...
Sophie meets Stripy and Calie in the woods. They were talking about the rumor they heard from a bird: A legendary evil wolf was on the loose in THEIR woods!
I put a lot of hidden things in the video so watch it over and over to try to find its secrets, and then if you have a YouTube account, comment below so I can see how clever you guys are!
What do YOU think the moral of the story is??
Thanks for watching!
Comment like, and SUBSCRIBE!!",PT7M24S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,414,6,0,5,,,
youtube#video,MjHC9Wp8fEfpxHrym9HKvkiwULk,BX64-wvIQCE,2020-06-24T07:06:45Z,UCmP__zONdDiuL3NSpKAHPeg,Màu hổ phách của Amber Heard x L'Oréal Paris Superior,"#thethaoelip #elipsport #sanphamelip





-------------------------------------------------------------------------
✥ Showroom gần nhất: https://elipsport.vn/pages/lien-he
📱 Tổng đài tư vấn miễn phí: 1800 6854
✥ Fanpage: https://www.facebook.com/elipsport.vn/
🌏 Website: https://elipsport.vn
🚚 Giao hàng + lắp ráp miễn phí toàn quốc

❤ Đăng ký theo dõi kênh để xem nhiều video hơn: 
👉 http://bit.ly/2XFEBhX",https://i.ytimg.com/vi/BX64-wvIQCE/default.jpg,120,90,https://i.ytimg.com/vi/BX64-wvIQCE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BX64-wvIQCE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BX64-wvIQCE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/BX64-wvIQCE/maxresdefault.jpg,1280.0,720.0,Legend Group,"['elipsport', 'may lam kem', 'may lam da', 'ghe massage', 'may chay bo dien', 'thiet bi gym', 'may hut chan khong']",17,none,Màu hổ phách của Amber Heard x L'Oréal Paris Superior,"#thethaoelip #elipsport #sanphamelip





-------------------------------------------------------------------------
✥ Showroom gần nhất: https://elipsport.vn/pages/lien-he
📱 Tổng đài tư vấn miễn phí: 1800 6854
✥ Fanpage: https://www.facebook.com/elipsport.vn/
🌏 Website: https://elipsport.vn
🚚 Giao hàng + lắp ráp miễn phí toàn quốc

❤ Đăng ký theo dõi kênh để xem nhiều video hơn: 
👉 http://bit.ly/2XFEBhX",PT28S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,37,0,0,0,vi,,
youtube#video,kY9htCdyN3mCEey0o6dUtH2rm0w,DP3g6AEL5QY,2020-08-29T12:24:46Z,UCNecjJT4hSFJFix304n7WEA,"August Purchases/ Perfume Haul 💕 Olympea Legend, Black Amber, Tesori, etc","New perfume additions  to my collection and they are so worth the buy. Check them out in the video and be sure to comment your thoughts, experiences and recommendations 

Perfumes mentioned 

1. Olympea Legend

2. Zara Black Amber 

3. Petite Robe Noire by Guerlain 

4. Tesori D’Oriente - 
Royal Oud 
Byzantium - Black Rose and Labdanum



Links to videos mentioned 

https://youtu.be/i3ht60eaKRg


https://youtu.be/T4SW6pv1SAY


#perfume#fragrance#perfumesale#buyfragrance#cologne#perfumelover#sale#discount#shop#purchase#buyperfume

I live in Accra- Ghana🇬🇭 in West Africa. I love perfumes and all things that smell good. I review both male  and female fragrances as well as unisex. Perfume to me is more than just some nice scented liquid you pour on to feel good. Perfume communicates,
It soothes, it heals, it affects moods, it even affects your reputation, image and people’s relationships with you. Relax while I go through this Perfume journey with you. We will talk about the good, the bad, the ugly and the prettiest (handsomest). Please comment your thoughts, like, share and subscribe 💕

Instagram - @mzz_gg_
                      @qualityfragrancegh
                       @Lgs_pieces

Facebook- Georgette Nyarko 
                     Qualityfragrancegh 

Perfume#perfumesale#buyfragrance#cologne#perfumelover#sale#discount#shop#purchase#buyperfume#perfumehaul#fragrance #fragrancelover#fraghead 

Ellie Saab Girl of Now 
Scandal by Jean Paul Guiltier 
Versace Crystal Noir
Sofia by Sofia 
Twilly d’Hermes
Tresor Midnight
Olympea Legend 
Olympea Intense 
Light Blue intense 
Moschino I love love - Cheap and Chic 
Angel eau Sucree 
Angel EDP by Mugler 
Aura by Mugler 
Marc Jacobs Decadence 
Marc Jacobs Daisy
Carolina Herrera Good Girl 
Gucci Rush
Brit Spears Intimate Fantasy 
Ariana Grande Cloud 
D&G L’imperatrice 
Narciso by Narciso Rodriguez 
Lattafa Perfumes 
Club de Nuit Woman 
Swiss Arabian Perfumes 
Club de Nuit Intense Man",https://i.ytimg.com/vi/DP3g6AEL5QY/default.jpg,120,90,https://i.ytimg.com/vi/DP3g6AEL5QY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DP3g6AEL5QY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/DP3g6AEL5QY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/DP3g6AEL5QY/maxresdefault.jpg,1280.0,720.0,Georgette’s Fragrance World,,22,none,"August Purchases/ Perfume Haul 💕 Olympea Legend, Black Amber, Tesori, etc","New perfume additions  to my collection and they are so worth the buy. Check them out in the video and be sure to comment your thoughts, experiences and recommendations 

Perfumes mentioned 

1. Olympea Legend

2. Zara Black Amber 

3. Petite Robe Noire by Guerlain 

4. Tesori D’Oriente - 
Royal Oud 
Byzantium - Black Rose and Labdanum



Links to videos mentioned 

https://youtu.be/i3ht60eaKRg


https://youtu.be/T4SW6pv1SAY


#perfume#fragrance#perfumesale#buyfragrance#cologne#perfumelover#sale#discount#shop#purchase#buyperfume

I live in Accra- Ghana🇬🇭 in West Africa. I love perfumes and all things that smell good. I review both male  and female fragrances as well as unisex. Perfume to me is more than just some nice scented liquid you pour on to feel good. Perfume communicates,
It soothes, it heals, it affects moods, it even affects your reputation, image and people’s relationships with you. Relax while I go through this Perfume journey with you. We will talk about the good, the bad, the ugly and the prettiest (handsomest). Please comment your thoughts, like, share and subscribe 💕

Instagram - @mzz_gg_
                      @qualityfragrancegh
                       @Lgs_pieces

Facebook- Georgette Nyarko 
                     Qualityfragrancegh 

Perfume#perfumesale#buyfragrance#cologne#perfumelover#sale#discount#shop#purchase#buyperfume#perfumehaul#fragrance #fragrancelover#fraghead 

Ellie Saab Girl of Now 
Scandal by Jean Paul Guiltier 
Versace Crystal Noir
Sofia by Sofia 
Twilly d’Hermes
Tresor Midnight
Olympea Legend 
Olympea Intense 
Light Blue intense 
Moschino I love love - Cheap and Chic 
Angel eau Sucree 
Angel EDP by Mugler 
Aura by Mugler 
Marc Jacobs Decadence 
Marc Jacobs Daisy
Carolina Herrera Good Girl 
Gucci Rush
Brit Spears Intimate Fantasy 
Ariana Grande Cloud 
D&G L’imperatrice 
Narciso by Narciso Rodriguez 
Lattafa Perfumes 
Club de Nuit Woman 
Swiss Arabian Perfumes 
Club de Nuit Intense Man",PT8M14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2397,57,0,22,,,
youtube#video,PeZJKwkr652U3K1gaU4-Fe9_DkI,dR0KpO5OFys,2021-10-04T06:43:11Z,UCq1S_N6xQy5kuysYFhqqmdw,Amber Heard 💓 || Whatsapp Status Video || XYZ select,,https://i.ytimg.com/vi/dR0KpO5OFys/default.jpg,120,90,https://i.ytimg.com/vi/dR0KpO5OFys/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dR0KpO5OFys/hqdefault.jpg,480,360,,,,,,,XYZ select,,10,none,Amber Heard 💓 || Whatsapp Status Video || XYZ select,,PT22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,100,10,0,1,en-GB,,
youtube#video,KlTrNauCKmk9wmFNc2ymxRZmiHI,DrzB0-1kHjg,2021-08-03T20:44:21Z,UC4odtlM-bXJJzptWqZE9kTw,GOLD LABELS! CLEARANCE DC MULTIVERSE & MCFARLANE TOYS HAUL! AMBER COLLECTION DR. HAMMOND! & SPAWN!,"In this video Elite Legend shows off a Jurassic Haul!
#dcmultiverse #mcfarlanetoys #dccomics #mattel #toys #actionfigures #spawn #jurassicpark #ambercollection #toystagram #toys4life #toycollection #toycollector #unboxing #batman #marvelcomics #walmart #target #sdcc #superman #justiceleague #joker #marvellegends #gijoe #gijoeclassified #marvellegendscommunity #dcmultiversecommunity #dcuniverse #marveluniverse #gijoecommunity #johnhammond #batmanfuturesend #toynews #toycommunity #actionfigurecommunity #toyhunter #toyhauler #customactionfigure #toyphotography #actionfigurephotography #disneyplus #disney #loki #blackwidow #snakeeyes #mcfarlanegoldlabelcollection #preorder #avengers #hulk #ironman #spiderman #haslabgalactus #thor #theeternals #shangchiandthelegendofthetenrings #clearance #thrifting #reseller #amazon #dcuc #gotham #shriek #collecttobuild #baf #buildafigure #toddmcfarlane #azreal #darknightsmetal #darknightsheavymetal #jurassicworld #netflix #moturevelation #hasbro #hasbropulse #funkopop #starwars #starwarsblackseries #transformers #mezcojoker #mezco #neca #mightymorphinpowerrangers #tmnt #justiceleague #zacksnydercut #hbomax #imagecomics #darkhorsecomics #idwpublishing #venom #carnage #mcu #acba #teentitans #superfriends #wonderwoman #theflash #gorillagrodd #injustice2 #mortalkombat11 #goldlabelspawn #wwe #wweelitesquad #wweuniverse #dustyhodes #aew",https://i.ytimg.com/vi/DrzB0-1kHjg/default.jpg,120,90,https://i.ytimg.com/vi/DrzB0-1kHjg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DrzB0-1kHjg/hqdefault.jpg,480,360,,,,,,,Elite Legend Toys and Collectibles,"['DC Multiverse', 'McFarlane Toys', 'Toys', 'Action Figures', 'Mattel', 'DC Comics', 'Spawn', 'Jurassic Park', 'Amber Collection', 'Unboxing', 'Preorder', 'Toystagram', 'Toy Community', 'DC Multiverse Community', 'Mcfarlane Toys Community', 'Marvel Legends', 'G.I. Joe Classified', 'Toy Collector', 'Toy Collection', 'DC Universe', 'Image Comics', 'MCU', 'Disney Plus', 'ACBA', 'Batman', 'McFarlane Toys Gold Label', 'Target', 'Toy News', 'Dark Nights Metal', 'Dark Nights Death Metal', 'Dark Nights Heavy Metal', 'WWE', 'Batman Futures End', 'Joker', 'Hasbro']",24,none,GOLD LABELS! CLEARANCE DC MULTIVERSE & MCFARLANE TOYS HAUL! AMBER COLLECTION DR. HAMMOND! & SPAWN!,"In this video Elite Legend shows off a Jurassic Haul!
#dcmultiverse #mcfarlanetoys #dccomics #mattel #toys #actionfigures #spawn #jurassicpark #ambercollection #toystagram #toys4life #toycollection #toycollector #unboxing #batman #marvelcomics #walmart #target #sdcc #superman #justiceleague #joker #marvellegends #gijoe #gijoeclassified #marvellegendscommunity #dcmultiversecommunity #dcuniverse #marveluniverse #gijoecommunity #johnhammond #batmanfuturesend #toynews #toycommunity #actionfigurecommunity #toyhunter #toyhauler #customactionfigure #toyphotography #actionfigurephotography #disneyplus #disney #loki #blackwidow #snakeeyes #mcfarlanegoldlabelcollection #preorder #avengers #hulk #ironman #spiderman #haslabgalactus #thor #theeternals #shangchiandthelegendofthetenrings #clearance #thrifting #reseller #amazon #dcuc #gotham #shriek #collecttobuild #baf #buildafigure #toddmcfarlane #azreal #darknightsmetal #darknightsheavymetal #jurassicworld #netflix #moturevelation #hasbro #hasbropulse #funkopop #starwars #starwarsblackseries #transformers #mezcojoker #mezco #neca #mightymorphinpowerrangers #tmnt #justiceleague #zacksnydercut #hbomax #imagecomics #darkhorsecomics #idwpublishing #venom #carnage #mcu #acba #teentitans #superfriends #wonderwoman #theflash #gorillagrodd #injustice2 #mortalkombat11 #goldlabelspawn #wwe #wweelitesquad #wweuniverse #dustyhodes #aew",PT17M58S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1142,112,0,66,en,,
