kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultLanguage,snippet.defaultAudioLanguage,contentDetails.regionRestriction.blocked
youtube#video,x1CtFKgvk6kGFmcvLbx2m5pYplA,3XhCzLdcz1U,2021-05-26T06:10:59Z,UC4EAVecBiHSfbQFEu6GNSXQ,Amber heard Whatsapp status,#Amberheared #Mera #Beauty #Fan #Amberheardfan #Edit #Whatsappstatus #Faded #Onmyway #Alanwalker #Best #Songs #Mrbeast #Hot #Batman #Superman #Ironman #Avengers #EDM #HDknight #Hulk #DCEU #MCU  #Subscribe #youtube  #Aquaman2withamberheard #Aquaman2  #Captainjacksparrow,https://i.ytimg.com/vi/3XhCzLdcz1U/default.jpg,120,90,https://i.ytimg.com/vi/3XhCzLdcz1U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3XhCzLdcz1U/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3XhCzLdcz1U/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3XhCzLdcz1U/maxresdefault.jpg,1280.0,720.0,Vengeance walker,1,none,Amber heard Whatsapp status,#Amberheared #Mera #Beauty #Fan #Amberheardfan #Edit #Whatsappstatus #Faded #Onmyway #Alanwalker #Best #Songs #Mrbeast #Hot #Batman #Superman #Ironman #Avengers #EDM #HDknight #Hulk #DCEU #MCU  #Subscribe #youtube  #Aquaman2withamberheard #Aquaman2  #Captainjacksparrow,PT25S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1304,45,0,3,,,,
youtube#video,srYJla7Vye9RNN4Ha_XIdjQmYTc,bqvBU0nsgAY,2021-12-07T18:26:05Z,UCdpvZMyLqRJS62xBMVZfZJA,amber Heard whatsapp status best ever,,https://i.ytimg.com/vi/bqvBU0nsgAY/default.jpg,120,90,https://i.ytimg.com/vi/bqvBU0nsgAY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bqvBU0nsgAY/hqdefault.jpg,480,360,,,,,,,CELEBRITIES HERE,22,none,amber Heard whatsapp status best ever,,PT30S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,1,0,0,0,,,,
youtube#video,qyfyxV8F3iyeA_QMpbOn0PbaZjg,C5UoPyktTEk,2021-07-11T12:45:02Z,UCAmaiEYnoTgj-dmjp8DpepQ,"""SHE'S DONE"" Judge IS DONE With Amber Heard. Good News For Johnny Depp | The Gossipy","""SHE'S DONE"" Judge IS DONE With Amber Heard. Good News For Johnny Depp | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

Now it turns out that Amber Heard may have not written the statement or OP ED in accusations against Johnny Depp. This could another case of defamation or fraud. Let's break it down in today's video.

#AmberHeard #JohnnyDepp #JusticeForJohnnyDepp #AmberHeardJail​ #AmberHeardCourt​ #JusticeForJohnny 
------------------------------------------------------------------------------------------------------------------------------
Welcome toThe Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",https://i.ytimg.com/vi/C5UoPyktTEk/default.jpg,120,90,https://i.ytimg.com/vi/C5UoPyktTEk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/C5UoPyktTEk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/C5UoPyktTEk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/C5UoPyktTEk/maxresdefault.jpg,1280.0,720.0,The Gossipy,24,none,"""SHE'S DONE"" Judge IS DONE With Amber Heard. Good News For Johnny Depp | The Gossipy","""SHE'S DONE"" Judge IS DONE With Amber Heard. Good News For Johnny Depp | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

Now it turns out that Amber Heard may have not written the statement or OP ED in accusations against Johnny Depp. This could another case of defamation or fraud. Let's break it down in today's video.

#AmberHeard #JohnnyDepp #JusticeForJohnnyDepp #AmberHeardJail​ #AmberHeardCourt​ #JusticeForJohnny 
------------------------------------------------------------------------------------------------------------------------------
Welcome toThe Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",PT8M7S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,459,9,0,1,"['The Gossipy', ""SHE'S DONE Judge IS DONE With Amber Heard. Good News For Johnny Depp"", 'celebrity craze', 'celebrity', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', 'justice for johnny depp', 'celeb news']",en-US,en-US,
youtube#video,EMWkXAVCS1-2zJDISxjYfNmq_aM,FetibjXc19o,2021-09-17T18:11:10Z,UCB2nAFgsGTvRnbssdRzo-IQ,Amber Heard whatsapp status best ever,https://youtu.be/MTaSKYtzoAg,https://i.ytimg.com/vi/FetibjXc19o/default.jpg,120,90,https://i.ytimg.com/vi/FetibjXc19o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FetibjXc19o/hqdefault.jpg,480,360,,,,,,,iamnitinnk,1,none,Amber Heard whatsapp status best ever,https://youtu.be/MTaSKYtzoAg,PT15S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,41478,2440,0,38,,,en-GB,
youtube#video,42RfoS44Yv8F-8BXfuYZXlyuWXg,gURbU3fd3KQ,2021-04-30T15:46:41Z,UCB2nAFgsGTvRnbssdRzo-IQ,amber Heard whatsapp status best ever,https://youtu.be/MTaSKYtzoAg,https://i.ytimg.com/vi/gURbU3fd3KQ/default.jpg,120,90,https://i.ytimg.com/vi/gURbU3fd3KQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gURbU3fd3KQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gURbU3fd3KQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/gURbU3fd3KQ/maxresdefault.jpg,1280.0,720.0,iamnitinnk,1,none,amber Heard whatsapp status best ever,https://youtu.be/MTaSKYtzoAg,PT26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,76046,4145,0,47,,,en-GB,
youtube#video,jFyFwsmsksGuR8zJLFqUE8A7AhM,kujUSjz_QRo,2019-12-28T22:00:09Z,UCr-rCvgg21KqfrnGopaQeGw,⭐Best episodes │🚒Daily life Safety with AMBER│Special Mix│Robocar POLI TV,"Super transforming Robocar rescue team is here to save our neighbors and friends from dangers.
There are always accidents and troubles in Broom’s town. 
But, in the every moment of crisis, there is our super Robocar rescue team to save the cars and people from the dangerous situation.
They are Super police car POLI and his team-mate, fire-truck ROY, ambulance AMBER, Helicopter HELLY and operator girl JIN.
Through the rescue process of each episode, children get to know the daily safe tips, and the happiness and preciousness when they help others by POLI and his friends of Broom’s town.

Connect with Robocar POLI:

Visit the Robocar POLI WEBSITE:
http://www.robocarpoli.com

Like Robocar POLI on FACEBOOK:
https://www.facebook.com/robocarpoli.kor

Follow Robocar POLI on INSTAGRAM:
http://instagram.com/robocarpoli.official

Here we go rescue of you!

https://www.youtube.com/robocarpoli

COPYRIGHT ⓒ ROI VISUAL / EBS",https://i.ytimg.com/vi/kujUSjz_QRo/default.jpg,120,90,https://i.ytimg.com/vi/kujUSjz_QRo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kujUSjz_QRo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/kujUSjz_QRo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/kujUSjz_QRo/maxresdefault.jpg,1280.0,720.0,Robocar POLI TV,1,none,⭐Best episodes │🚒Daily life Safety with AMBER│Special Mix│Robocar POLI TV,"Super transforming Robocar rescue team is here to save our neighbors and friends from dangers.
There are always accidents and troubles in Broom’s town. 
But, in the every moment of crisis, there is our super Robocar rescue team to save the cars and people from the dangerous situation.
They are Super police car POLI and his team-mate, fire-truck ROY, ambulance AMBER, Helicopter HELLY and operator girl JIN.
Through the rescue process of each episode, children get to know the daily safe tips, and the happiness and preciousness when they help others by POLI and his friends of Broom’s town.

Connect with Robocar POLI:

Visit the Robocar POLI WEBSITE:
http://www.robocarpoli.com

Like Robocar POLI on FACEBOOK:
https://www.facebook.com/robocarpoli.kor

Follow Robocar POLI on INSTAGRAM:
http://instagram.com/robocarpoli.official

Here we go rescue of you!

https://www.youtube.com/robocarpoli

COPYRIGHT ⓒ ROI VISUAL / EBS",PT25M27S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,True,3660296,10023,0,0,"['robocarpoli', 'POLI', 'Amber', 'Roy', 'helly', 'Broomstown', '로보카폴리', 'RoiVIsual', '로이비쥬얼', 'police', 'car', 'ambulance', 'fireengine', 'Helicopter', 'car animation', 'policecar', 'rescue team', 'jin']",en,en,
youtube#video,j0xqsPK816Pl68fdbq5hrudcAxc,L5BCXRpRx-A,2021-05-26T04:19:06Z,UCHcvMOedqoEIgjObGzGURiA,Best of Amber- Winners at War,Thanks for checking out this video. Give us your feedback in the comment section and Subscribe to join the fam. If have any personal questions email us at maddenmobileringers@gmail.com.,https://i.ytimg.com/vi/L5BCXRpRx-A/default.jpg,120,90,https://i.ytimg.com/vi/L5BCXRpRx-A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/L5BCXRpRx-A/hqdefault.jpg,480,360,https://i.ytimg.com/vi/L5BCXRpRx-A/sddefault.jpg,640.0,480.0,,,,Survivor Legend 68,24,none,Best of Amber- Winners at War,Thanks for checking out this video. Give us your feedback in the comment section and Subscribe to join the fam. If have any personal questions email us at maddenmobileringers@gmail.com.,PT9M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,6817,106,0,37,"['Survivor', 'Jeff Probst', 'Tribal Council', 'hot survivors', 'david vs. goliath', 'survivor compilations', 'edge of extinction', 'survivor legend 68', 'bob menery', 'SBTF', 'Shitbag titty fucker', 'Kent Murphy', 'Coach Kent', 'Boner toss', 'season 40', 'Eager turtle', 'Winners at war', 'Best of', 'Highlights', 'CBS', 'amber', 'winners at war', 'amber mariano']",,en,
youtube#video,oh1FKMDXWdXJpSueunPJDbWezkY,MCGCSuBJywI,2017-10-04T06:00:00Z,UCr-rCvgg21KqfrnGopaQeGw,Amber's Best rescue tool | Robocar POLI Special clips,"▼▼▼▼▼▼ Please click on the READ MORE  ▼▼▼▼▼▼

Super transforming Robocar rescue team is here to save our neighbors and friends from dangers.
There are always accidents and troubles in Broom’s town. 
But, in the every moment of crisis, there is our super Robocar rescue team to save the cars and people from the dangerous situation.
They are Super police car POLI and his team-mate, fire-truck ROY, ambulance AMBER, Helicopter HELLY and operator girl JIN.
Through the rescue process of each episode, children get to know the daily safe tips, and the happiness and preciousness when they help others by POLI and his friends of Broom’s town.

Connect with Robocar POLI:

Visit the Robocar POLI WEBSITE:
http://www.robocarpoli.com/

Like Robocar POLI on FACEBOOK:
https://www.facebook.com/robocarpoli.kor

Follow Robocar POLI on INSTAGRAM:
http://instagram.com/robocarpoli.official/

Here we go rescue of you!

https://www.youtube.com/robocarpoli

COPYRIGHT ⓒ ROI VISUAL / EBS",https://i.ytimg.com/vi/MCGCSuBJywI/default.jpg,120,90,https://i.ytimg.com/vi/MCGCSuBJywI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MCGCSuBJywI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/MCGCSuBJywI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/MCGCSuBJywI/maxresdefault.jpg,1280.0,720.0,Robocar POLI TV,1,none,Amber's Best rescue tool | Robocar POLI Special clips,"▼▼▼▼▼▼ Please click on the READ MORE  ▼▼▼▼▼▼

Super transforming Robocar rescue team is here to save our neighbors and friends from dangers.
There are always accidents and troubles in Broom’s town. 
But, in the every moment of crisis, there is our super Robocar rescue team to save the cars and people from the dangerous situation.
They are Super police car POLI and his team-mate, fire-truck ROY, ambulance AMBER, Helicopter HELLY and operator girl JIN.
Through the rescue process of each episode, children get to know the daily safe tips, and the happiness and preciousness when they help others by POLI and his friends of Broom’s town.

Connect with Robocar POLI:

Visit the Robocar POLI WEBSITE:
http://www.robocarpoli.com/

Like Robocar POLI on FACEBOOK:
https://www.facebook.com/robocarpoli.kor

Follow Robocar POLI on INSTAGRAM:
http://instagram.com/robocarpoli.official/

Here we go rescue of you!

https://www.youtube.com/robocarpoli

COPYRIGHT ⓒ ROI VISUAL / EBS",PT4M24S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,True,15406217,38467,0,0,"['robocarpoli', 'carro', 'coche', 'for kids', 'kids', 'kid', 'kidult', 'ebs', 'animation', 'korea', 'robot', 'thecar', 'police', 'fireman', 'amber', 'roy', 'helly', 'pinkpong', 'pororo', 'surpriseegg', 'car', 'cocomong', 'tayo', 'disney', 'kongsuni', 'tobot', '“paper', 'poli”', 'stopmotion', 'JOUJUYOUNGTOYS', 'niños', 'crianças', 'ロボカーポリー', 'робокарполи', 'ポリー', '로보카폴리', '로보카', '폴리', '애니메이션', '언박싱', '무료애니', '핑크퐁', '뽀로로', '타요', '우비소년', '앰버', '엠버', '로이', '헬리', '종이종이폴리', '코코몽', '영실업', '콩순이', '또봇', '디즈니', '유아', '키즈', '어린이', 'โพลี่', 'พากย์ไทย', 'โพลี', 'โรโบคาร์', '波力', 'robocar', '波利การ์ตูนโพลี', '救援小英雄', '中文', '變形警車', '슈퍼윙스', 'superwings']",en,,"['GB', 'IE', 'IM', 'VG']"
youtube#video,SPuuQe8Z5uTikTBGGHHB97V8D-E,MrRnU6qYFus,2019-01-20T21:46:42Z,UCd7OAY06IuwYsUoWsn3gbuQ,Top 10 Best Amber Fragrances | Ambers For Everyone,"Hello my beautiful scented people!

Today I'll name my top 10 best amber fragrances, with a special honorable mention, from my collection. 

Hope you enjoy!


Like, Share, Comment and Subscribe: 
https://www.youtube.com/channel/UCd7OAY06IuwYsUoWsn3gbuQ?sub_confirmation=1

Follow me on Instagram:
https://www.instagram.com/_scentedmoments_/

Join the Facebook Group Per Fumum Portucale https://www.facebook.com/groups/138951203442401/",https://i.ytimg.com/vi/MrRnU6qYFus/default.jpg,120,90,https://i.ytimg.com/vi/MrRnU6qYFus/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MrRnU6qYFus/hqdefault.jpg,480,360,https://i.ytimg.com/vi/MrRnU6qYFus/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/MrRnU6qYFus/maxresdefault.jpg,1280.0,720.0,Scented Moments,1,none,Top 10 Best Amber Fragrances | Ambers For Everyone,"Hello my beautiful scented people!

Today I'll name my top 10 best amber fragrances, with a special honorable mention, from my collection. 

Hope you enjoy!


Like, Share, Comment and Subscribe: 
https://www.youtube.com/channel/UCd7OAY06IuwYsUoWsn3gbuQ?sub_confirmation=1

Follow me on Instagram:
https://www.instagram.com/_scentedmoments_/

Join the Facebook Group Per Fumum Portucale https://www.facebook.com/groups/138951203442401/",PT13M49S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,18257,591,0,99,"['Wondershare Filmora', 'top 10 best amber fragrances | ambers for everyone', 'best amber fragrances', 'amber fragrances', 'top 10', 'amber perfumes', 'amber in perfumes', 'top 5', 'fragrance review', 'scented moments']",,,
youtube#video,325q31FukONuaL7jLc2zSwU3Nng,NE4HDvcmerg,2021-05-02T14:17:51Z,UCFFow-rjp_TrhqfKCISaQcw,🤩 Amber Heard || Play Date || HD Watsapp Status || #shorts,"🤩 Amber Heard || Play Date || HD Watsapp Status || #shorts






All The Footages Used in this video are owned by their Respective Owners

This Channel doesn't own any of the Footages ! 
It is being created for entertainment purpose only.


Instagram.  https://www.instagram.com/ig_indiffrent/


**FAIR USE**

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research.",https://i.ytimg.com/vi/NE4HDvcmerg/default.jpg,120,90,https://i.ytimg.com/vi/NE4HDvcmerg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/NE4HDvcmerg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/NE4HDvcmerg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/NE4HDvcmerg/maxresdefault.jpg,1280.0,720.0,INDIFFERENT,1,none,🤩 Amber Heard || Play Date || HD Watsapp Status || #shorts,"🤩 Amber Heard || Play Date || HD Watsapp Status || #shorts






All The Footages Used in this video are owned by their Respective Owners

This Channel doesn't own any of the Footages ! 
It is being created for entertainment purpose only.


Instagram.  https://www.instagram.com/ig_indiffrent/


**FAIR USE**

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research.",PT29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,10278,749,0,4,"['Amber Heard WhatsApp status', 'Amber Heard best WhatsApp status', 'HD WhatsApp status of Amber Heard', 'play date feat Amber Heard', 'play date edit of Amber Heard', 'Amber Heard new movie', 'Amber Heard vs Johnny depp', 'Amber Heard versus Johnny depp fight', 'Johnny depp reaction on Amber Heard']",,,
