kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultLanguage,contentDetails.regionRestriction.blocked
youtube#video,TFIL4TdsGuXLhqTNo1rMH8893LI,04rUWT49drc,2021-08-29T10:54:44Z,UC5jO80JvDcPAPaSnTUW-X_Q,Johnny Depp met paparazzi at a film festival,"#JohnnyDepp #Hollywood #AmberHeard
Johnny Depp met paparazzi at a film festival, as well as fans who support him in the situation with his ex-wife Amber Heard, who is trying to sue Johnny Depp for $ 50 million",https://i.ytimg.com/vi/04rUWT49drc/default.jpg,120,90,https://i.ytimg.com/vi/04rUWT49drc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/04rUWT49drc/hqdefault.jpg,480,360,Celebrity Gossip,"['Amber Heard news today', 'Amber Heard news', 'Amber Heard today', 'Amber Heard hollywood', 'Johnny Depp paparazzi', 'johnny depp film festival 2021', 'Johnny Depp hollywood', 'Johnny Depp news today', 'Johnny Depp news', 'Johnny Depp and amber heard', 'hollywood', 'celebrity', 'paparazzi', 'Johnny Depp waves to adoring fans', 'Johnny Depp met paparazzi at a film festival']",22,none,Johnny Depp met paparazzi at a film festival,"#JohnnyDepp #Hollywood #AmberHeard
Johnny Depp met paparazzi at a film festival, as well as fans who support him in the situation with his ex-wife Amber Heard, who is trying to sue Johnny Depp for $ 50 million",en-US,PT1M45S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,66,1,0,0,,,,,,,,
youtube#video,J9bxpyXXtJ3eqyrBgPyfk4-RxHE,0x2vssg0bzg,2019-06-10T19:43:33Z,UCAVgFwnRKj2Ny8M2emfYm9w,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/0x2vssg0bzg/default.jpg,120,90,https://i.ytimg.com/vi/0x2vssg0bzg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0x2vssg0bzg/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT6S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,30,,0,0,https://i.ytimg.com/vi/0x2vssg0bzg/sddefault.jpg,640.0,480.0,,,,,
youtube#video,YA7Gbn0KCZVpDlLGyQmUD_qLVrA,2q-pAOlQLxM,2019-07-30T23:32:00Z,UCAVgFwnRKj2Ny8M2emfYm9w,Amber Heard at the 48th Giffoni Film Festival,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/2q-pAOlQLxM/default.jpg,120,90,https://i.ytimg.com/vi/2q-pAOlQLxM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2q-pAOlQLxM/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,Amber Heard at the 48th Giffoni Film Festival,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT2M47S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,102,,0,0,https://i.ytimg.com/vi/2q-pAOlQLxM/sddefault.jpg,640.0,480.0,,,,,
youtube#video,wnhQWom86hioucNtsTZ6c9cQ0_0,3jZvemwfC0I,2019-05-18T14:26:03Z,UC48CqsQVp-G-V3dFQ6LJ0LA,Amber Heard – Chopard Party at the 72nd Cannes Film Festival,,https://i.ytimg.com/vi/3jZvemwfC0I/default.jpg,120,90,https://i.ytimg.com/vi/3jZvemwfC0I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3jZvemwfC0I/hqdefault.jpg,480,360,celebrities,,1,none,Amber Heard – Chopard Party at the 72nd Cannes Film Festival,,zh-HK,PT1M6S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,47,1,0,0,https://i.ytimg.com/vi/3jZvemwfC0I/sddefault.jpg,640.0,480.0,,,,,
youtube#video,yiXS0f8PlX1KYlrl5Y19VyR8bAI,6-fV7M4HWG0,2020-02-02T17:12:27Z,UCX0ptwLhPXlaX-svxxN_04A,Johnny Depp e Amber Heard áudios legendados/traduzidos - PARTE 2,"This video belongs to the channel ''INCREDIBLY AVERAGE"", I just did a translation in Portuguese for thoses who don't understand English.",https://i.ytimg.com/vi/6-fV7M4HWG0/default.jpg,120,90,https://i.ytimg.com/vi/6-fV7M4HWG0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6-fV7M4HWG0/hqdefault.jpg,480,360,Alicia Scamander,,22,none,Johnny Depp e Amber Heard áudios legendados/traduzidos - PARTE 2,"This video belongs to the channel ''INCREDIBLY AVERAGE"", I just did a translation in Portuguese for thoses who don't understand English.",,PT2M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,13795,344,0,21,https://i.ytimg.com/vi/6-fV7M4HWG0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6-fV7M4HWG0/maxresdefault.jpg,1280.0,720.0,,
youtube#video,4oxHuhsBHLllAfMoLBcQJCedYYk,77Ti9qhUf5Y,2019-01-11T20:23:30Z,UCAVgFwnRKj2Ny8M2emfYm9w,#Repost @amberheard with @get repost   ・・・   Tonight at the Cannes Film Festival I was proud to stan,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/77Ti9qhUf5Y/default.jpg,120,90,https://i.ytimg.com/vi/77Ti9qhUf5Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/77Ti9qhUf5Y/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,#Repost @amberheard with @get repost   ・・・   Tonight at the Cannes Film Festival I was proud to stan,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT27S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,42,,0,0,https://i.ytimg.com/vi/77Ti9qhUf5Y/sddefault.jpg,640.0,480.0,,,,,
youtube#video,_i8a2QmNycUTeE13wVmfrbHQIHk,8VC79j1a1Rg,2019-06-10T20:10:45Z,UCAVgFwnRKj2Ny8M2emfYm9w,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/8VC79j1a1Rg/default.jpg,120,90,https://i.ytimg.com/vi/8VC79j1a1Rg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8VC79j1a1Rg/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT12S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,21,,0,0,https://i.ytimg.com/vi/8VC79j1a1Rg/sddefault.jpg,640.0,480.0,,,,,
youtube#video,nAOiN4-ruO1MNTvfX2er3mY7PIg,9gYZqGSphLo,2018-05-29T22:56:04Z,UCqlixRJs2CwjLGph-a8gQYw,Amber Heard wears knitted vest at Cannes Film Festival  | ABS US  DAILY NEWS,"★More ABS NEWS - Entertainment Video►► https://www.youtube.com/channel/UCqlixRJs2CwjLGph-a8gQYw?sub_confirmation=1

 She was pictured keeping a low profile in a car with Heidi Klum's ex-boyfriend, art dealer, Vito Schnabel, on Tuesday. And Amber Heard, 32, appeared in high spirits as she headed onto a boat in Cannes at the 71st annual Film Festival on Thursday.She wore a knitted white vest top which was low-cut in design as she made her way down the promenade in 22 degree heat. The number was tucked into a pair of high-waisted baggy trousers as she walked along with her hands tucked into her pockets.    Share this article   Share  Her blonde locks were styled into loose curls as she battled a little wind as she neared the water. And she kindly posed for snaps with fans as she made the most of her day in the sunshine.   The night before, Amber wore a sensational gold knitted dress as she headed out in France, less than a day after being seen out with Vito, 31. The Rum Diaries actress, who last dated entrepreneur Elon Musk and was married to Johnny Depp before that was seen in a car with Vito in New York on Tuesday.The duo appeared deep in conversation while traveling somewhere in an SUV and ducked down out of sight after spotting onlookers.   Schnabel dated America's Got Talent star Klum, 44, off and on from 2014 until 2017. Meanwhile, Amber's ex Elon Musk has a new lady in his life.The Tesla founder made things official with musician Grimes as they graced Monday night's Met Gala in NYC.",https://i.ytimg.com/vi/9gYZqGSphLo/default.jpg,120,90,https://i.ytimg.com/vi/9gYZqGSphLo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9gYZqGSphLo/hqdefault.jpg,480,360,"TIN AN CO., LTD","['abs', 'news', 'US', 'showbiz', 'usa showbiz', 'showbiz news', 'abs showbiz', 'us news', 'usa news', 'abs us', 'abs news', 'abs us news', 'abs us showbiz', 'youtube', 'Amber', 'Heard', 'wears', 'vest', 'high', 'waisted', 'trousers', 'Cannes', 'Film', 'Festival']",22,none,Amber Heard wears knitted vest at Cannes Film Festival  | ABS US  DAILY NEWS,"★More ABS NEWS - Entertainment Video►► https://www.youtube.com/channel/UCqlixRJs2CwjLGph-a8gQYw?sub_confirmation=1

 She was pictured keeping a low profile in a car with Heidi Klum's ex-boyfriend, art dealer, Vito Schnabel, on Tuesday. And Amber Heard, 32, appeared in high spirits as she headed onto a boat in Cannes at the 71st annual Film Festival on Thursday.She wore a knitted white vest top which was low-cut in design as she made her way down the promenade in 22 degree heat. The number was tucked into a pair of high-waisted baggy trousers as she walked along with her hands tucked into her pockets.    Share this article   Share  Her blonde locks were styled into loose curls as she battled a little wind as she neared the water. And she kindly posed for snaps with fans as she made the most of her day in the sunshine.   The night before, Amber wore a sensational gold knitted dress as she headed out in France, less than a day after being seen out with Vito, 31. The Rum Diaries actress, who last dated entrepreneur Elon Musk and was married to Johnny Depp before that was seen in a car with Vito in New York on Tuesday.The duo appeared deep in conversation while traveling somewhere in an SUV and ducked down out of sight after spotting onlookers.   Schnabel dated America's Got Talent star Klum, 44, off and on from 2014 until 2017. Meanwhile, Amber's ex Elon Musk has a new lady in his life.The Tesla founder made things official with musician Grimes as they graced Monday night's Met Gala in NYC.",en,PT2M39S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,35,0,0,1,https://i.ytimg.com/vi/9gYZqGSphLo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9gYZqGSphLo/maxresdefault.jpg,1280.0,720.0,en,
youtube#video,2psHbJoozQL7ihXm65TZrjV5RVM,9y4FXJmZ_6g,2019-06-10T19:45:00Z,UCAVgFwnRKj2Ny8M2emfYm9w,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/9y4FXJmZ_6g/default.jpg,120,90,https://i.ytimg.com/vi/9y4FXJmZ_6g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9y4FXJmZ_6g/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT16S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,7,,0,0,https://i.ytimg.com/vi/9y4FXJmZ_6g/sddefault.jpg,640.0,480.0,,,,,
youtube#video,9MTIBWm1mZVpa-iZVb57Z9Ub5zo,9yNnKE_VyqA,2019-06-10T19:46:20Z,UCAVgFwnRKj2Ny8M2emfYm9w,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/9yNnKE_VyqA/default.jpg,120,90,https://i.ytimg.com/vi/9yNnKE_VyqA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9yNnKE_VyqA/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,Amber Heard from Cannes Film Festival 2019,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT10S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,43,,0,0,https://i.ytimg.com/vi/9yNnKE_VyqA/sddefault.jpg,640.0,480.0,,,,,
