kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage
youtube#video,gaAIH9RCQRs38EUtAolsutHYK18,-1eTnmk9K40,2019-06-15T18:05:50Z,UC5IwEOTTOEWiDycvUgs_WuQ,"Aquaman (2018) ""Fun on Set with Jason Momoa and Amber Heard"" Featurette [Digital Blu Ray DVD]","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.

Director: James Wan
Writers: David Leslie Johnson-McGoldrick (screenplay by), Will Beall (screenplay by) 
Stars: Jason Momoa, Amber Heard, Willem Dafoe

#Aquaman #DC

Watch More:

► Trailer: https://bit.ly/2YKi5VJ
► Extras: https://bit.ly/2YDUW7d
► VFX Breakdown: https://bit.ly/2X3AufP
► Fan Events: https://bit.ly/2HI9KuN
► TV Access: https://bit.ly/2HuPFZW


Connect with FilmCon Online:

» Subscribe To FilmCon: https://bit.ly/2JyI9zw
» Like on Facebook: https://www.facebook.com/FilmC0n/
» Follow on Instagram: https://www.instagram.com/filmc0n/
» Follow on Twitter: https://twitter.com/con_film",https://i.ytimg.com/vi/-1eTnmk9K40/default.jpg,120,90,https://i.ytimg.com/vi/-1eTnmk9K40/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-1eTnmk9K40/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-1eTnmk9K40/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-1eTnmk9K40/maxresdefault.jpg,1280.0,720.0,FilmCon,"['Aquaman', '(2018)', 'Fun on Set with Jason Momoa and Amber Heard', 'Featurette', '[Digital', 'Blu', 'Ray', 'DVD]', 'aquaman', 'a match made in atlantis', 'featurette', 'aquaman fun on set', 'movie extra', 'making of featurette', 'movie featurette', '2019 home video', 'dc movie', 'james wan', 'jason momoa', 'amber heard', 'patrick wilson', 'nicole kidman', 'willem dafoe', 'dolph lundgren', 'justice league', 'aquaman dc movie', 'atlantis', 'dc extended universe', 'dc cinematic universe', 'based on comic', 'superhero', 'FilmCOn']",1,none,"Aquaman (2018) ""Fun on Set with Jason Momoa and Amber Heard"" Featurette [Digital Blu Ray DVD]","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.

Director: James Wan
Writers: David Leslie Johnson-McGoldrick (screenplay by), Will Beall (screenplay by) 
Stars: Jason Momoa, Amber Heard, Willem Dafoe

#Aquaman #DC

Watch More:

► Trailer: https://bit.ly/2YKi5VJ
► Extras: https://bit.ly/2YDUW7d
► VFX Breakdown: https://bit.ly/2X3AufP
► Fan Events: https://bit.ly/2HI9KuN
► TV Access: https://bit.ly/2HuPFZW


Connect with FilmCon Online:

» Subscribe To FilmCon: https://bit.ly/2JyI9zw
» Like on Facebook: https://www.facebook.com/FilmC0n/
» Follow on Instagram: https://www.instagram.com/filmc0n/
» Follow on Twitter: https://twitter.com/con_film",en,PT3M13S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,27,0,0,0,
youtube#video,hbRSm6-VtFyuJGNJUbnDodg0uLc,-t_r0Oyti1I,2022-01-04T05:17:53Z,UC-SY2UDSOmvdmjtA-i8oJdg,"Jewelry auction: A Variety of Styles & Years: Vintage, Sterling, Stone","Jewelry auction Monday, 1/3/22 @ 8PM ET

I sold Turquoise, sterling, amber, stone jewelry, vintage costume jewelry

If you see an item you like that did not sell, please email me.

Vintagejewelrygalore@yahoo.com is my email. 

Address for Friend Mail or Business Correspondence: 
Anna Grippo
Vintage Jewelry Galore
350 Towne Square Way, 97737
Pittsburgh, PA 15227

#jewelryauctions #vintagejewelry #Sterlingjewelry",https://i.ytimg.com/vi/-t_r0Oyti1I/default.jpg,120,90,https://i.ytimg.com/vi/-t_r0Oyti1I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-t_r0Oyti1I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-t_r0Oyti1I/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-t_r0Oyti1I/maxresdefault.jpg,1280.0,720.0,Vintage Jewelry Galore,"['vintage jewelry galore', 'vintage costume jewelry', 'costume jewelry', 'Rose Quartz jewelry', 'Sterling silver jewelry', 'amber jewelry', 'turquoise jewelry', 'mop jewelry', 'Sterling rings', 'Sterling necklaces', 'figural jewelry', 'carnelian jewelry', 'Pearls', 'fetish necklace', 'copper jewelry', 'crown trifari', 'vintage monet', 'whiting & davis cuff bracelet', 'rhinestone jewelry', 'amethyst jewelry', 'glass jewelry']",24,none,"Jewelry auction: A Variety of Styles & Years: Vintage, Sterling, Stone","Jewelry auction Monday, 1/3/22 @ 8PM ET

I sold Turquoise, sterling, amber, stone jewelry, vintage costume jewelry

If you see an item you like that did not sell, please email me.

Vintagejewelrygalore@yahoo.com is my email. 

Address for Friend Mail or Business Correspondence: 
Anna Grippo
Vintage Jewelry Galore
350 Towne Square Way, 97737
Pittsburgh, PA 15227

#jewelryauctions #vintagejewelry #Sterlingjewelry",en,PT3H50M5S,2d,hd,false,False,rectangular,processed,public,youtube,False,True,False,963,73,0,5,
youtube#video,jcsFvVKP6zM5Eodtax_zFuj7faA,1wnIv2EAons,2019-03-16T14:21:15Z,UCuWjQdcxYBCsZz8gbyzJTJA,"Vanessa Paradis manipulatrice, sa guerre sournoise contre Amber Heard","Soutien dans l’ombre, Vanessa Paradis suit de très près les ennuis actuels de son ex Johnny Depp, qui livre une guerre sans merci à Amber Heard. 


Merci beaucoup d'avoir regardé! 
Si vous aimez les vidéos, accédez-y et partagez-les avec vos amis. 
Si vous souhaitez plus de nouvelles, abonnez-vous à la chaîne! 

==================================================",https://i.ytimg.com/vi/1wnIv2EAons/default.jpg,120,90,https://i.ytimg.com/vi/1wnIv2EAons/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1wnIv2EAons/hqdefault.jpg,480,360,,,,,,,Actualités 24h,"['Johnny Depp', 'Vanessa Paradis.']",25,none,"Vanessa Paradis manipulatrice, sa guerre sournoise contre Amber Heard","Soutien dans l’ombre, Vanessa Paradis suit de très près les ennuis actuels de son ex Johnny Depp, qui livre une guerre sans merci à Amber Heard. 


Merci beaucoup d'avoir regardé! 
Si vous aimez les vidéos, accédez-y et partagez-les avec vos amis. 
Si vous souhaitez plus de nouvelles, abonnez-vous à la chaîne! 

==================================================",fr,PT1M23S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,166,0,0,0,
youtube#video,kr1t_rUhmvEnaT97bckTo2ekGjY,2D_IoE69plo,2019-07-14T02:16:00Z,UCAVgFwnRKj2Ny8M2emfYm9w,Amber Heard #EvaLongoria and #AjaKing 😍❤️ via @evalongoria,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/2D_IoE69plo/default.jpg,120,90,https://i.ytimg.com/vi/2D_IoE69plo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2D_IoE69plo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2D_IoE69plo/sddefault.jpg,640.0,480.0,,,,Celebrity Scoop,,24,none,Amber Heard #EvaLongoria and #AjaKing 😍❤️ via @evalongoria,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT11S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,7,,0,0,
youtube#video,YZVkQf62T4OayH_OBCVw6dn0VqI,8AFK3kXlKzs,2020-06-22T23:24:12Z,UCtD-2nsKZg6jyUviLNfGnAg,Why Should You Believe Amber Heard? (Amber Heard Playlist!!),,https://i.ytimg.com/vi/8AFK3kXlKzs/default.jpg,120,90,https://i.ytimg.com/vi/8AFK3kXlKzs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8AFK3kXlKzs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8AFK3kXlKzs/sddefault.jpg,640.0,480.0,,,,#JohnnyDeppIsRacist,,24,none,Why Should You Believe Amber Heard? (Amber Heard Playlist!!),,,PT6M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,91,2,0,,
youtube#video,FEsCdfKn4PG_ZbNur8k4KHv85vg,8qVHIY11-LY,2021-07-22T07:49:27Z,UCF9IkKy44xNNgiy4Wq_8xXg,😍 Tom Holland And Zendaya Forever 😍 Tomdaya Is Official 🤩🥰,"Please watch: ""Why Do People Hate Amber Heard? | Terrible Moments Of Amber Heard"" 
https://www.youtube.com/watch?v=YDWjdT0wKY4 --~--
tom holland,zendaya and tom holland,tom holland and zendaya,tom holland interview,zendaya,tom holland zendaya,tom holland dancing,zendaya tom holland,tom holland spiderman,zendaya tom holland dating,tom holland and zendaya interview,zendaya tom holland kiss,tom holland lip sync battle,tom holland spiderman far from home,zendaya interview,tom holland zendaya kiss,tom holland and zendaya kiss,tom holland zendaya and jacob,zendaya and tom holland kiss",https://i.ytimg.com/vi/8qVHIY11-LY/default.jpg,120,90,https://i.ytimg.com/vi/8qVHIY11-LY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8qVHIY11-LY/hqdefault.jpg,480,360,,,,,,,Im Filmy Buff,"['tom holland', 'zendaya and tom holland', 'tom holland and zendaya', 'tom holland interview', 'zendaya', 'tom holland zendaya', 'tom holland dancing', 'zendaya tom holland', 'tom holland spiderman', 'zendaya tom holland dating', 'tom holland and zendaya interview', 'zendaya tom holland kiss', 'tom holland lip sync battle', 'tom holland spiderman far from home', 'zendaya interview', 'tom holland zendaya kiss', 'tom holland and zendaya kiss', 'tom holland zendaya and jacob', 'zendaya and tom holland kiss']",22,none,😍 Tom Holland And Zendaya Forever 😍 Tomdaya Is Official 🤩🥰,"Please watch: ""Why Do People Hate Amber Heard? | Terrible Moments Of Amber Heard"" 
https://www.youtube.com/watch?v=YDWjdT0wKY4 --~--
tom holland,zendaya and tom holland,tom holland and zendaya,tom holland interview,zendaya,tom holland zendaya,tom holland dancing,zendaya tom holland,tom holland spiderman,zendaya tom holland dating,tom holland and zendaya interview,zendaya tom holland kiss,tom holland lip sync battle,tom holland spiderman far from home,zendaya interview,tom holland zendaya kiss,tom holland and zendaya kiss,tom holland zendaya and jacob,zendaya and tom holland kiss",en-US,PT20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,131865,9751,0,34,
youtube#video,j1NzQd0_kdCAgzhr-Ui9B8BbcHw,961HBaksHUc,2020-09-25T20:45:10Z,UCXrhM5_Z11LvlvICp7T7_Dw,Amber Heard Collections Part #2 (2020) |Hollywood Monsters|HM,"#HollywoodMonstersAmberHeard #AmberHeard  #Collections



Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)









































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",https://i.ytimg.com/vi/961HBaksHUc/default.jpg,120,90,https://i.ytimg.com/vi/961HBaksHUc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/961HBaksHUc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/961HBaksHUc/sddefault.jpg,640.0,480.0,,,,Hollywood Monsters,"['amber heard johnny depp fight video', 'amber heard johnny depp', 'amber heard audio', 'johnny depp amber heard audio', 'johnny depp', 'amber heard', 'johnny', 'depp', 'amber', 'heard']",22,none,Amber Heard Collections Part #2 (2020) |Hollywood Monsters|HM,"#HollywoodMonstersAmberHeard #AmberHeard  #Collections



Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)
Amber Heard Collections Part #2 (2020)









































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",en,PT9M48S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,140,5,0,2,
youtube#video,C95e5U0Fxji9ZGYxhzK7a1Awdj0,AzspZbYlcP0,2018-08-01T13:59:19Z,UCuWjQdcxYBCsZz8gbyzJTJA,Johnny Depp battu par Amber Heard ? L’acteur fait de nouvelles révélations,"Nouveau rebondissement dans la lutte qui oppose Amber Heard à Johnny Depp. Alors que la jeune femme accusait son ex-compagnon de violences conjugales, aujourd'hui, c'est lui qui affirme qu'elle faisait preuve de violence dans leur relation. 


Merci beaucoup d'avoir regardé! 
Si vous aimez les vidéos, accédez-y et partagez-les avec vos amis. 
Si vous souhaitez plus de nouvelles, abonnez-vous à la chaîne! 

==================================================",https://i.ytimg.com/vi/AzspZbYlcP0/default.jpg,120,90,https://i.ytimg.com/vi/AzspZbYlcP0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AzspZbYlcP0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AzspZbYlcP0/sddefault.jpg,640.0,480.0,,,,Actualités 24h,['Johnny Depp.'],25,none,Johnny Depp battu par Amber Heard ? L’acteur fait de nouvelles révélations,"Nouveau rebondissement dans la lutte qui oppose Amber Heard à Johnny Depp. Alors que la jeune femme accusait son ex-compagnon de violences conjugales, aujourd'hui, c'est lui qui affirme qu'elle faisait preuve de violence dans leur relation. 


Merci beaucoup d'avoir regardé! 
Si vous aimez les vidéos, accédez-y et partagez-les avec vos amis. 
Si vous souhaitez plus de nouvelles, abonnez-vous à la chaîne! 

==================================================",fr,PT1M47S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,510,4,0,0,
youtube#video,BujqVqM1YOjfcbBvKy2-yaMhyPM,B8QYO_N-Ffc,2019-01-11T20:24:17Z,UCAVgFwnRKj2Ny8M2emfYm9w,#Repost @jonchapmanhair with @get repost   ・・・   @amberheard greets and meets adorable Chinese fans,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/B8QYO_N-Ffc/default.jpg,120,90,https://i.ytimg.com/vi/B8QYO_N-Ffc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/B8QYO_N-Ffc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/B8QYO_N-Ffc/sddefault.jpg,640.0,480.0,,,,Celebrity Scoop,,24,none,#Repost @jonchapmanhair with @get repost   ・・・   @amberheard greets and meets adorable Chinese fans,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",,PT26S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,2,,0,0,
youtube#video,jQhQ4ZdBr5_bBXvVn1FYPxrbrck,bdZGoktaCdM,2020-02-09T00:11:00Z,UCVRwc-XGOvid9gPAbYXI4FA,AMBER HEARD MINTIO sobre JOHNNY DEPP y a Hollywood le da totalmente igual...,"AMBER HEARD MINTIO sobre JOHNNY DEPP y a Hollywood le da totalmente igual...

#JohnnyDepp #AmberHeard",https://i.ytimg.com/vi/bdZGoktaCdM/default.jpg,120,90,https://i.ytimg.com/vi/bdZGoktaCdM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bdZGoktaCdM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bdZGoktaCdM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/bdZGoktaCdM/maxresdefault.jpg,1280.0,720.0,El Anime te anima 2,"['AMBER HEARD MINTIO sobre JOHNNY DEPP y a Hollywood le da totalmente igual...', 'AMBER HEARD', 'JOHNNY DEPP']",24,none,AMBER HEARD MINTIO sobre JOHNNY DEPP y a Hollywood le da totalmente igual...,"AMBER HEARD MINTIO sobre JOHNNY DEPP y a Hollywood le da totalmente igual...

#JohnnyDepp #AmberHeard",,PT3M33S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,66,3,0,0,
