kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.tags,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.regionRestriction.blocked
youtube#video,2y0E2Rv4TCbo5MBeGSlRR7QdsCs,0NdVRaTFqvA,2020-04-23T12:30:56Z,UC76Ox8Kmn2RGXdm8A1EJoPQ,Current Events,Warner Brothers ignores the Amber Heard proof of abuse and wishes her happy birthday. And Tessa Thompson proves she has no idea what inclusivity means.,https://i.ytimg.com/vi/0NdVRaTFqvA/default.jpg,120,90,https://i.ytimg.com/vi/0NdVRaTFqvA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0NdVRaTFqvA/hqdefault.jpg,480,360,Orange Hat Reviews,24,none,Current Events,Warner Brothers ignores the Amber Heard proof of abuse and wishes her happy birthday. And Tessa Thompson proves she has no idea what inclusivity means.,PT31M39S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,33,9,0,0,,,,,,,,,,
youtube#video,N-OFtwqAmNJ98xeHubcGI1ypbLQ,2cBjikl4CJg,2019-11-07T21:40:05Z,UCMSEHE8dTE7RtiXMEqr9UcQ,Amber Heard & Nico Tortorella Get Honored At 2019 Emery Awards,Amber Heard & Nico Tortorella Get Honored At 2019 Emery Awards.  The 33-year-old Aquaman star and the 31-year-old Younger star were both honored at the event alongside DC Comics.,https://i.ytimg.com/vi/2cBjikl4CJg/default.jpg,120,90,https://i.ytimg.com/vi/2cBjikl4CJg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2cBjikl4CJg/hqdefault.jpg,480,360,R STUDIO,25,none,Amber Heard & Nico Tortorella Get Honored At 2019 Emery Awards,Amber Heard & Nico Tortorella Get Honored At 2019 Emery Awards.  The 33-year-old Aquaman star and the 31-year-old Younger star were both honored at the event alongside DC Comics.,PT1M21S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,83,0,0,0,https://i.ytimg.com/vi/2cBjikl4CJg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2cBjikl4CJg/maxresdefault.jpg,1280.0,720.0,"['amber heard', 'nico tortorella', 'r studio', 'entertainment news', 'celebrity news', 'latest news', 'amber heard and nico tortorella', 'emery awards 2019', '2019 emery awards', 'emery awards', 'awards', 'events', 'nico tortorella and amber heard', 'red carpet', 'hollywood news']",,,
youtube#video,eiOBiKDCjcmbSgJS_ZktUDgWHrY,3ta3tGjRzUk,2021-01-23T18:35:53Z,UClEQXLhTjlHIWkQNx_hj7Cg,GHOST RECON BREAKPOINT FR - AMBER SKY  EVENEMENT,"GHOST RECON BREAKPOINT FR - AMBER SKY  EVENEMENT
Découverte de Raid / L'île Golhem
Alerte Toxique
Essai(s) humain(s)
Briser le cycle
Un monstre en sommeil
Le feu par le feu
L’origine de tout mal
 Marchand de mort
Chasse à l’apocalypse
Grands remèdes
Remède radical",https://i.ytimg.com/vi/3ta3tGjRzUk/default.jpg,120,90,https://i.ytimg.com/vi/3ta3tGjRzUk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3ta3tGjRzUk/hqdefault.jpg,480,360,Fredericma45,20,none,GHOST RECON BREAKPOINT FR - AMBER SKY  EVENEMENT,"GHOST RECON BREAKPOINT FR - AMBER SKY  EVENEMENT
Découverte de Raid / L'île Golhem
Alerte Toxique
Essai(s) humain(s)
Briser le cycle
Un monstre en sommeil
Le feu par le feu
L’origine de tout mal
 Marchand de mort
Chasse à l’apocalypse
Grands remèdes
Remède radical",PT4H44M34S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3549,60,0,8,https://i.ytimg.com/vi/3ta3tGjRzUk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3ta3tGjRzUk/maxresdefault.jpg,1280.0,720.0,"['THE DIVISION 2', 'TRAQUE DE VIPER', 'saison 4', 'TU 12', 'title Update']",fr,,
youtube#video,ppAuF6j3EWcSXz3FPABe0UZZCfE,5CJamvRtkYo,2012-03-05T20:43:17Z,UCP1hdrxYHdebGqbQawOMRpQ,Stars Dazzle at Premieres and Gala Events Too - Splash News | Splash News TV | Splash News TV,"Amber Heard and Jessica Chastain brought fashion to the forefront of red carpet events outside of awards shows in a week of high-class style.

Splash is the leading independent entertainment news and picture agency in America. Splash brings the hottest, most up-to-date Hollywood stories and photos to millions of people around the world through their favourite newspapers, magazines and TV station. We don't deal in gossip. We deal in fact. We have been credited with announcing some of the most memorable and controversial show biz stories to come out of Los Angeles in recent years. We cover the good, the bad and the very ugly.

Find out more @:
http://www.splashnews.com/

Follow us @:
https://twitter.com/splashnews
http://www.facebook.com/pages/Splash-News/64983634297",https://i.ytimg.com/vi/5CJamvRtkYo/default.jpg,120,90,https://i.ytimg.com/vi/5CJamvRtkYo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5CJamvRtkYo/hqdefault.jpg,480,360,Splash News,24,none,Stars Dazzle at Premieres and Gala Events Too - Splash News | Splash News TV | Splash News TV,"Amber Heard and Jessica Chastain brought fashion to the forefront of red carpet events outside of awards shows in a week of high-class style.

Splash is the leading independent entertainment news and picture agency in America. Splash brings the hottest, most up-to-date Hollywood stories and photos to millions of people around the world through their favourite newspapers, magazines and TV station. We don't deal in gossip. We deal in fact. We have been credited with announcing some of the most memorable and controversial show biz stories to come out of Los Angeles in recent years. We cover the good, the bad and the very ugly.

Find out more @:
http://www.splashnews.com/

Follow us @:
https://twitter.com/splashnews
http://www.facebook.com/pages/Splash-News/64983634297",PT1M10S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,91,0,0,0,https://i.ytimg.com/vi/5CJamvRtkYo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/5CJamvRtkYo/maxresdefault.jpg,1280.0,720.0,"['Celebrity', 'News', 'bangs', 'Valentino', 'Rumors', 'waves', 'elegant', 'Kirsten Dunst', 'January Jones', 'Jessica Chastain', 'red', 'Art of Elsyium', 'Latest', 'black', 'red carpet', 'Amber Heard', 'bowtie', 'Gossip', 'blonde', 'Monique Lhuillier', 'TMZ', 'Entertainment', 'lace', 'Hollywood', 'gold', 'Donna Karan', 'fashion', 'Corialinus', 'Chanel', 'redhead', 'gala', 'Heaven', 'Lady', 'sexy', 'Matthew Morrison', 'premiere', 'tux', 'Gaga', 'Justin', 'Bieber']",en,,
youtube#video,TuNgKSfUq2g58z07LMJp6Fd-Tbo,5wPdUKY6BII,2020-12-13T09:24:53Z,UCG2QYlhnYYxksvv6ve11ijw,@@@ Spiderman Part 9 - The Finale Doc Oc vs Spiderman Livestream,"I will give you the latest news on Entertainment and Star Wars as it pertains to the movies, The Johnny Depp vs Amber Heard Case, TV, Streaming Service, rumors, speculation, Star Wars battlefront 2 Livestreams, Livestream chats with you, Galaxy’s Edge and Disney Amusement Parks - Disneyland and Disney World.

Videos: Monday-Friday 

Livestreams depend on when other channels are available and 
depends on Life events of course.

Email Me at :

esw1977@yahoo.com

Follow me on Twitter :

EverythingStarWars@wars_everything

If you would like to donate to the channel to help me improve it by superchats or watching ads. These help any channel and it is greatly appreciated. 

PS4 : Resw1977",https://i.ytimg.com/vi/5wPdUKY6BII/default.jpg,120,90,https://i.ytimg.com/vi/5wPdUKY6BII/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5wPdUKY6BII/hqdefault.jpg,480,360,Rob's Rules,20,none,@@@ Spiderman Part 9 - The Finale Doc Oc vs Spiderman Livestream,"I will give you the latest news on Entertainment and Star Wars as it pertains to the movies, The Johnny Depp vs Amber Heard Case, TV, Streaming Service, rumors, speculation, Star Wars battlefront 2 Livestreams, Livestream chats with you, Galaxy’s Edge and Disney Amusement Parks - Disneyland and Disney World.

Videos: Monday-Friday 

Livestreams depend on when other channels are available and 
depends on Life events of course.

Email Me at :

esw1977@yahoo.com

Follow me on Twitter :

EverythingStarWars@wars_everything

If you would like to donate to the channel to help me improve it by superchats or watching ads. These help any channel and it is greatly appreciated. 

PS4 : Resw1977",PT3H9M54S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,95,20,0,1,https://i.ytimg.com/vi/5wPdUKY6BII/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/5wPdUKY6BII/maxresdefault.jpg,1280.0,720.0,"['#PS4Live', 'PlayStation 4', 'Sony Interactive Entertainment', ""Marvel's Spider-Man"", 'RESW1977', 'Spiderman Livestream']",en,en,
youtube#video,1XOEzOqE98c03BPcgACPlQrzhY8,6_Acu023mxw,2021-01-08T01:45:05Z,UCOYvKExtd9jGI1fJvHa32tg,Why Did Winona Ryder Testify For Johnny Depp? (Amber Heard Playlist),,https://i.ytimg.com/vi/6_Acu023mxw/default.jpg,120,90,https://i.ytimg.com/vi/6_Acu023mxw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6_Acu023mxw/hqdefault.jpg,480,360,#JohnnyDeppIsARapist!! #JohnnyDeppesracista,23,none,Why Did Winona Ryder Testify For Johnny Depp? (Amber Heard Playlist),,PT6M52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,28,1,0,,https://i.ytimg.com/vi/6_Acu023mxw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6_Acu023mxw/maxresdefault.jpg,1280.0,720.0,,,,
youtube#video,Z63Xkwf_zZN8huTCZlS51E5j3YA,9A92KfkmV54,2019-10-22T06:30:46Z,UCFxVnygVrGKdlLuHP1Wrnjw,Latest Technology News - WSJ publisher agrees to supply headlines for Facebook news tab,"--- Amber criticises Instagram policy on female nipples with Momoa's edited pic --- 
  Actress Amber Heard on Sunday criticised Instagram's guidelines, that restrict showing female nipples, by posting an edited picture of actor Jason Momoa in which his chest was visible. ""This picture meets Instagram's nudity guidelines & careful gender policies,"" she captioned Momoa's picture. Amber's post comes a month after Instagram censored the original picture in which her nipple was visible.
 --- WSJ publisher agrees to supply headlines for Facebook news tab --- 
  Facebook has reached a deal with News Corp to feature headlines from the Wall Street Journal, other Dow Jones media properties and the New York Post in its upcoming dedicated news tab. Other publications like Buzzfeed News and Washington Post have also reached similar deals, the WSJ reported. Under the agreement, the publications will reportedly be paid a licensing fee.
 --- Neat idea but won't happen: JPMorgan CEO on Facebook's Libra --- 
  Speaking about Facebook's proposed cryptocurrency 'Libra', Jamie Dimon, the CEO of American financial services firm JPMorgan Chase, said that it was ""a neat idea that will never happen."" Referring to his own firm's stablecoin JPM Coin, Dimon added Facebook wasn't ""the first"" in coming up with the idea. Recently, several companies including Visa and Mastercard dropped their backing for Libra.",https://i.ytimg.com/vi/9A92KfkmV54/default.jpg,120,90,https://i.ytimg.com/vi/9A92KfkmV54/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9A92KfkmV54/hqdefault.jpg,480,360,Latest News,28,none,Latest Technology News - WSJ publisher agrees to supply headlines for Facebook news tab,"--- Amber criticises Instagram policy on female nipples with Momoa's edited pic --- 
  Actress Amber Heard on Sunday criticised Instagram's guidelines, that restrict showing female nipples, by posting an edited picture of actor Jason Momoa in which his chest was visible. ""This picture meets Instagram's nudity guidelines & careful gender policies,"" she captioned Momoa's picture. Amber's post comes a month after Instagram censored the original picture in which her nipple was visible.
 --- WSJ publisher agrees to supply headlines for Facebook news tab --- 
  Facebook has reached a deal with News Corp to feature headlines from the Wall Street Journal, other Dow Jones media properties and the New York Post in its upcoming dedicated news tab. Other publications like Buzzfeed News and Washington Post have also reached similar deals, the WSJ reported. Under the agreement, the publications will reportedly be paid a licensing fee.
 --- Neat idea but won't happen: JPMorgan CEO on Facebook's Libra --- 
  Speaking about Facebook's proposed cryptocurrency 'Libra', Jamie Dimon, the CEO of American financial services firm JPMorgan Chase, said that it was ""a neat idea that will never happen."" Referring to his own firm's stablecoin JPM Coin, Dimon added Facebook wasn't ""the first"" in coming up with the idea. Recently, several companies including Visa and Mastercard dropped their backing for Libra.",PT1M58S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2,0,0,0,https://i.ytimg.com/vi/9A92KfkmV54/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9A92KfkmV54/maxresdefault.jpg,1280.0,720.0,"['companies', 'products', 'events', 'reviews', 'analysis']",,,
youtube#video,5u7iXFqWD7rS4Jlao7y5ntr7xHw,9asPtgPBXbk,2020-09-26T15:36:24Z,UCyHEX14LMBedWjn_kxsp6rw,Is Johnny Depp As Bad As They Make Him Out To Be?,"Hollywood  actor Johnny Depp is in a lot of controversy due to his divorce with American actress and model Amber Heard.






Johnny Depp  is a famous movie star of films such as ""Edward Scissorhands"", ""Sweeney Todd: The Demon Barber of Fleet Street"", ""Pirates of the Caribbean: The Curse of the Black Pearl"" and ""Sleepy Hollow"". This video is a speculation on the recent events between Amber Heard and Johnny Depp's divorce. Holly Willoughby and Phillip Schofield discuss in This Morning, whether Johnny Depp is the bad one out of this situation or if Amber Heard is the real perpetrator of the domestic problems these two have faced. We also have the opinion of an ex Sun journalist and his reaction. Is Johnny Depp Hollywood actor the bad one in all this? Come and watch this interview for more!",https://i.ytimg.com/vi/9asPtgPBXbk/default.jpg,120,90,https://i.ytimg.com/vi/9asPtgPBXbk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9asPtgPBXbk/hqdefault.jpg,480,360,Holly Moly,22,none,Is Johnny Depp As Bad As They Make Him Out To Be?,"Hollywood  actor Johnny Depp is in a lot of controversy due to his divorce with American actress and model Amber Heard.






Johnny Depp  is a famous movie star of films such as ""Edward Scissorhands"", ""Sweeney Todd: The Demon Barber of Fleet Street"", ""Pirates of the Caribbean: The Curse of the Black Pearl"" and ""Sleepy Hollow"". This video is a speculation on the recent events between Amber Heard and Johnny Depp's divorce. Holly Willoughby and Phillip Schofield discuss in This Morning, whether Johnny Depp is the bad one out of this situation or if Amber Heard is the real perpetrator of the domestic problems these two have faced. We also have the opinion of an ex Sun journalist and his reaction. Is Johnny Depp Hollywood actor the bad one in all this? Come and watch this interview for more!",PT11M10S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,550,25,0,10,https://i.ytimg.com/vi/9asPtgPBXbk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9asPtgPBXbk/maxresdefault.jpg,1280.0,720.0,"['Johnny Depp', 'Amber Heard', 'Johnny Depp and Amber Heard Divorce', 'Johnny Depp Divorce', 'Amber Heard Divorce', 'Johnny Depp Abused', 'Johnny Depp Abuser', 'Amber Heard Abused', 'Amber Heard Abuser', 'Domestic Violence', 'Johnny Depp Is A Victim', 'Amber Head Is A Victim', 'Former Sun Journalist', 'Alex McCready', 'Johnny Depp Controversy', 'Amber Heard Controversy', 'Hollywood Divorce', 'Hollywood Controversy', 'This Morning ITV', 'This Morning on Johnny Depp', 'Phillip Schofield', 'Holly Willoughby', 'ITV Show']",,,
youtube#video,dx2KONNBxJOG4yOEXixZ9B7LE-Y,d92NcwlebGc,2017-08-10T15:48:20Z,UC52X5wxOL_s5yw0dQk7NtgA,"ShowBiz Minute: Swift, Martin, Heard","Taylor Swift's mother gives evidence in court; Ricky Martin reassures Gianni Versace's partner; Amber Heard announces split from Elon Musk. (August 10)

Subscribe for more Arts and Entertainment News: http://smarturl.it/AssociatedPress

Get fast, accurate coverage of every arts and entertainment story making headlines worldwide, from festivals and premieres to births, deaths, scandals and arrests, plus celebrity reactions to news events.

The Associated Press is the essential global news network, delivering fast, unbiased news from every corner of the world to all media platforms and formats.
AP’s commitment to independent, comprehensive journalism has deep roots. Founded in 1846, AP has covered all the major news events of the past 165 years, providing high-quality, informed reporting of everything from wars and elections to championship games and royal weddings. AP is the largest and most trusted source of independent news and information.
Today, AP employs the latest technology to collect and distribute content - we have daily uploads covering the latest and breaking news in the world of politics, sport and entertainment. Join us in a conversation about world events, the newsgathering process or whatever aspect of the news universe you find interesting or important. Subscribe: http://smarturl.it/AssociatedPress

http://www.ap.org/
https://plus.google.com/+AP/
https://www.facebook.com/APNews
https://twitter.com/AP",https://i.ytimg.com/vi/d92NcwlebGc/default.jpg,120,90,https://i.ytimg.com/vi/d92NcwlebGc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/d92NcwlebGc/hqdefault.jpg,480,360,Associated Press,24,none,"ShowBiz Minute: Swift, Martin, Heard","Taylor Swift's mother gives evidence in court; Ricky Martin reassures Gianni Versace's partner; Amber Heard announces split from Elon Musk. (August 10)

Subscribe for more Arts and Entertainment News: http://smarturl.it/AssociatedPress

Get fast, accurate coverage of every arts and entertainment story making headlines worldwide, from festivals and premieres to births, deaths, scandals and arrests, plus celebrity reactions to news events.

The Associated Press is the essential global news network, delivering fast, unbiased news from every corner of the world to all media platforms and formats.
AP’s commitment to independent, comprehensive journalism has deep roots. Founded in 1846, AP has covered all the major news events of the past 165 years, providing high-quality, informed reporting of everything from wars and elections to championship games and royal weddings. AP is the largest and most trusted source of independent news and information.
Today, AP employs the latest technology to collect and distribute content - we have daily uploads covering the latest and breaking news in the world of politics, sport and entertainment. Join us in a conversation about world events, the newsgathering process or whatever aspect of the news universe you find interesting or important. Subscribe: http://smarturl.it/AssociatedPress

http://www.ap.org/
https://plus.google.com/+AP/
https://www.facebook.com/APNews
https://twitter.com/AP",PT1M10S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,138,0,0,,https://i.ytimg.com/vi/d92NcwlebGc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/d92NcwlebGc/maxresdefault.jpg,1280.0,720.0,"['affairs', 'amber', 'arts', 'celebrity', 'country', 'david', 'design', 'elon', 'entertainment', 'fashion', 'festival', 'festivals', 'film', 'furnish', 'gianni', 'heard', 'legal', 'martin', 'minute', 'movie', 'movies', 'music', 'musk', 'pop', 'premieres', 'ricky', 'showbiz', 'swift', 'taylor', 'tribeca', 'versace']",en-US,,
youtube#video,KQIoDD1FnRhVtvI5hbEK48qonmg,DhitaTUDThY,2011-05-05T05:09:42Z,UCHan5AEbGFHfxTdeJlmyTgA,Amber Heard ● I Gotta Question For You.,,https://i.ytimg.com/vi/DhitaTUDThY/default.jpg,120,90,https://i.ytimg.com/vi/DhitaTUDThY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DhitaTUDThY/hqdefault.jpg,480,360,JustGottaBeHyper,24,none,Amber Heard ● I Gotta Question For You.,,PT26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,127,0,0,0,https://i.ytimg.com/vi/DhitaTUDThY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/DhitaTUDThY/maxresdefault.jpg,1280.0,720.0,"['teaser', 'New MTV show', 'sneak peek', 'VSU', 'Amber Heard', 'model']",,,
