kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,statistics.commentCount,snippet.tags
youtube#video,YHQPMtyRn08bjW7W9hc2Oqp18cs,3TT0kGkb_aQ,2021-05-05T23:13:01Z,UCaFhPje-_jfvLywSdL1MOCg,"The Daily Mail Is Fake, And Advises Gay Gene Abortions!! (Amber Heard Playlist!!)",https://en.wikipedia.org/wiki/Daily_Mail,https://i.ytimg.com/vi/3TT0kGkb_aQ/default.jpg,120,90,https://i.ytimg.com/vi/3TT0kGkb_aQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3TT0kGkb_aQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3TT0kGkb_aQ/sddefault.jpg,640.0,480.0,#JOHNNYDEPPBEATSWOMEN Johnny Depp es racista,22,none,en-US,"The Daily Mail Is Fake, And Advises Gay Gene Abortions!! (Amber Heard Playlist!!)",https://en.wikipedia.org/wiki/Daily_Mail,en-US,PT10M8S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,12,0,0,,,,,
youtube#video,t_YeqzS7s6QbFasA6Rf6Lz3s10Y,5nwNJexlRfU,2019-04-18T08:44:35Z,UCmz5OJtgli-1XfSpeVINqXg,Amber Heard Details Alleged Abuse by Monster Johnny Depp as He Calls Her Claims a Hoax,,https://i.ytimg.com/vi/5nwNJexlRfU/default.jpg,120,90,https://i.ytimg.com/vi/5nwNJexlRfU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5nwNJexlRfU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5nwNJexlRfU/sddefault.jpg,640.0,480.0,Primo Italia,22,none,,Amber Heard Details Alleged Abuse by Monster Johnny Depp as He Calls Her Claims a Hoax,,es,PT2M4S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,16,1,0,https://i.ytimg.com/vi/5nwNJexlRfU/maxresdefault.jpg,1280.0,720.0,0,
youtube#video,KK5lW2vaKXrX7nb1A10NFZ_eWGw,aewxldWFsDo,2020-06-07T20:13:02Z,UCeooMl4PFAM9kLPHvavt2KQ,Amber Heard Gives Black Community FAKE Support!?,"Amber Heard Gave the Black Community FAKE Support!?

My Patreon! Starting at $1.00! https://www.patreon.com/user?u=11797644
MY TWITTER: @EnterHacker
MAIL ME: campsmithmedia@gmail.com

https://christhead.bandcamp.com/releases Chirst Head Album Here!

Patreon Channels! CHECK THEM OUT!

the Stove Top Ninja: https://www.youtube.com/watch?v=LGLjyJmYCe0

Adega's Book: https://www.amazon.com/Evolution-Adega/dp/1645305953/ref=sr_1_1?crid=3GE2MYD9LNPMO&keywords=evolution+by+adega&qid=1584844229&sprefix=Evolution+by+%2Caps%2C247&sr=8-1

TitozWorld Channel : https://www.youtube.com/watch?v=2WALmC4JcoA

Teresa Martin : https://www.youtube.com/channel/UCOtslVrAWs_pdhaqqkJ1iyw

TEE SPRING! I have merch. Prices are standard TeeSpring for now.

https://teespring.com/stores/hacker-goods",https://i.ytimg.com/vi/aewxldWFsDo/default.jpg,120,90,https://i.ytimg.com/vi/aewxldWFsDo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aewxldWFsDo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/aewxldWFsDo/sddefault.jpg,640.0,480.0,eHacker,24,none,,Amber Heard Gives Black Community FAKE Support!?,"Amber Heard Gave the Black Community FAKE Support!?

My Patreon! Starting at $1.00! https://www.patreon.com/user?u=11797644
MY TWITTER: @EnterHacker
MAIL ME: campsmithmedia@gmail.com

https://christhead.bandcamp.com/releases Chirst Head Album Here!

Patreon Channels! CHECK THEM OUT!

the Stove Top Ninja: https://www.youtube.com/watch?v=LGLjyJmYCe0

Adega's Book: https://www.amazon.com/Evolution-Adega/dp/1645305953/ref=sr_1_1?crid=3GE2MYD9LNPMO&keywords=evolution+by+adega&qid=1584844229&sprefix=Evolution+by+%2Caps%2C247&sr=8-1

TitozWorld Channel : https://www.youtube.com/watch?v=2WALmC4JcoA

Teresa Martin : https://www.youtube.com/channel/UCOtslVrAWs_pdhaqqkJ1iyw

TEE SPRING! I have merch. Prices are standard TeeSpring for now.

https://teespring.com/stores/hacker-goods",,PT4M55S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,2148,172,0,,,,142,"['amber heard', 'amber heard vs johnny depp', 'amber heard fired', 'amber heard aquaman 2', 'amber heard aquaman', 'amber heard vs megan fox', 'amber heard instagram', 'amber heard ICE tweet', 'amber heard abuses johnny depp', '#justiceforjohnny depp', 'justice for johnny depp', '#justiceforjohnnydepp news']"
youtube#video,4qdbjyvnlNphsnb1Chp2ATbe2E8,czYYL_6PVVc,2020-02-26T19:45:01Z,UCsEaTDlh3kfgl17DnaRFW2g,AMBER HEARDS ATTENTION SEEKING HOAX,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCsEaTDlh3kfgl17DnaRFW2g/join

TIP JAR ~ Tips and donations are not expected but greatly appreciated. 
https://paypal.me/lesleepowers


Can I follow you on Twitter?https://twitter.com/spirituallyemp1

➤FOR ONE ON ONE COACHING WITH ME   https://bookwithspirituallyempoweredcoaching.as.me/ 

➤Email me support@empowerandthrive.ca

#justiceforjohnnydepp",https://i.ytimg.com/vi/czYYL_6PVVc/default.jpg,120,90,https://i.ytimg.com/vi/czYYL_6PVVc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/czYYL_6PVVc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/czYYL_6PVVc/sddefault.jpg,640.0,480.0,SEC,22,none,en-GB,AMBER HEARDS ATTENTION SEEKING HOAX,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCsEaTDlh3kfgl17DnaRFW2g/join

TIP JAR ~ Tips and donations are not expected but greatly appreciated. 
https://paypal.me/lesleepowers


Can I follow you on Twitter?https://twitter.com/spirituallyemp1

➤FOR ONE ON ONE COACHING WITH ME   https://bookwithspirituallyempoweredcoaching.as.me/ 

➤Email me support@empowerandthrive.ca

#justiceforjohnnydepp",en-GB,PT18M16S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,6658,295,0,https://i.ytimg.com/vi/czYYL_6PVVc/maxresdefault.jpg,1280.0,720.0,71,"['Narcissist', 'certified Life Coach', 'abuse', 'mindset', 'AMBER HEARDS ATTENTION SEEKING HOAX', 'johnny depp', 'amber heard', 'news', 'divorce', 'entertainment', 'lawsuit', 'evidence', 'pirates of the caribbean', 'drama', 'johnny depp lawsuit', 'celebrity', 'elon musk', 'defamation', 'hoax', 'domestic abuse', 'johnny depp sues amber heard', 'depp', 'court', 'aquaman', 'hollywood news', 'controversy', 'amber heard abusive to johnny depp', 'amber heard johnny depp fight video']"
youtube#video,1SJ_7g72H9NS7tRLLoqZa7Oc8uI,D0L8l6lW97c,2021-02-16T09:10:48Z,UCy8YFzbkvYTQOQxjgE3UTBQ,"'Stacey Vitale, The. Tapes Are. Fake'. (Amber Heard Playlist!!)",https://www.hollywoodreporter.com/features/hes-radioactive-inside-johnny-depps-self-made-implosion,https://i.ytimg.com/vi/D0L8l6lW97c/default.jpg,120,90,https://i.ytimg.com/vi/D0L8l6lW97c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/D0L8l6lW97c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/D0L8l6lW97c/sddefault.jpg,640.0,480.0,The Amber Heard Playlist!!,22,none,,"'Stacey Vitale, The. Tapes Are. Fake'. (Amber Heard Playlist!!)",https://www.hollywoodreporter.com/features/hes-radioactive-inside-johnny-depps-self-made-implosion,,PT21M57S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,222,,0,,,,,['Johnny Depp Amber Heard']
youtube#video,SiDvgorsk9-EAvEx0HJUVrVmjs4,HIGuByFmXUk,2021-02-16T12:17:43Z,UCHEG6fQZtKBf-pzCuzG01Hg,The Fake Audio Tapes!!! (The Amber Heard Playlist!!),https://www.hollywoodreporter.com/features/hes-radioactive-inside-johnny-depps-self-made-implosion,https://i.ytimg.com/vi/HIGuByFmXUk/default.jpg,120,90,https://i.ytimg.com/vi/HIGuByFmXUk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HIGuByFmXUk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/HIGuByFmXUk/sddefault.jpg,640.0,480.0,Asshats Love Johnny Depp!! Johnny Depp Es Racista!!,1,none,,The Fake Audio Tapes!!! (The Amber Heard Playlist!!),https://www.hollywoodreporter.com/features/hes-radioactive-inside-johnny-depps-self-made-implosion,,PT21M57S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,36,2,0,,,,,
youtube#video,qM0CgwuLmuN6ZcdOza8ZCIaw6ic,IbtWn36n2tk,2021-05-05T23:42:40Z,UCHEG6fQZtKBf-pzCuzG01Hg,"The Daily Mail Is Fake, And Advises Gay Gene Abortions!! (Amber Heard Playlist!!)",https://en.wikipedia.org/wiki/Daily_Mail,https://i.ytimg.com/vi/IbtWn36n2tk/default.jpg,120,90,https://i.ytimg.com/vi/IbtWn36n2tk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/IbtWn36n2tk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/IbtWn36n2tk/sddefault.jpg,640.0,480.0,Asshats Love Johnny Depp!! Johnny Depp Es Racista!!,1,none,,"The Daily Mail Is Fake, And Advises Gay Gene Abortions!! (Amber Heard Playlist!!)",https://en.wikipedia.org/wiki/Daily_Mail,,PT10M8S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,8,0,0,,,,,
youtube#video,-CyzRrKBtI3I4NXs9qYSxXkZlUQ,KCyiOcKLhEc,2021-07-03T03:33:57Z,UCuWeBHxVe6C69JTBpiY-Y8Q,WOW: ¡Tom Holland y Zendaya son PAREJA! Amber Heard tuvo una HIJA y Britney Spears de mal en peor,"► B.Carli ➥ https://tus10seg.com/1091128

00:00 Cumpleaños de Margot Robbie
00:56 El Pelotubbie del día
01:11 La censura cósmica
02:09 La chica de Jefferino...
03:02 Liberaron a Bill Cosby por un tecnicismo
04:27 Allison Mack encerrada por 3 años
05:11 Britney Spears, Jamie Lynn, la conservaduría y mas
09:02 Kristie Alley y un tweet perturbador
09:57 Indiefoxx pierde el partner en Twitch
10:37 Tus 10
11:23 Amber Heard tuvo una hija con ¿Elon Musk?
13:16 Tom Holland y Zendaya están juntos, son pareja

#TomHolland #Zendaya #BritneySpears

► TUS 10 SEGUNDOS ➥ https://tus10segundos.com/products/delcarajotv
► SE PARTE DEL TEAM DELCARAJO:
➥ https://youtube.com/channel/UCuWeBHxVe6C69JTBpiY-Y8Q/join
► TIENDA DELCARAJO ➥ http://delcarajo.net

► Sigueme en:
Twitter ➥ http://twitter.com/juanitosay
Instagram ➥ http://instagram.com/juanitosayoficial
Twitch ➥ http://twitch.tv/juanitosay

► Contacto: say@delcarajo.net


* Hey, Friki Delcarajo... ¿Que haces tan abajo? El boton de like esta mas arriba ( ͡° ͜ʖ ͡°)",https://i.ytimg.com/vi/KCyiOcKLhEc/default.jpg,120,90,https://i.ytimg.com/vi/KCyiOcKLhEc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KCyiOcKLhEc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/KCyiOcKLhEc/sddefault.jpg,640.0,480.0,DELCARAJO TV,24,none,,WOW: ¡Tom Holland y Zendaya son PAREJA! Amber Heard tuvo una HIJA y Britney Spears de mal en peor,"► B.Carli ➥ https://tus10seg.com/1091128

00:00 Cumpleaños de Margot Robbie
00:56 El Pelotubbie del día
01:11 La censura cósmica
02:09 La chica de Jefferino...
03:02 Liberaron a Bill Cosby por un tecnicismo
04:27 Allison Mack encerrada por 3 años
05:11 Britney Spears, Jamie Lynn, la conservaduría y mas
09:02 Kristie Alley y un tweet perturbador
09:57 Indiefoxx pierde el partner en Twitch
10:37 Tus 10
11:23 Amber Heard tuvo una hija con ¿Elon Musk?
13:16 Tom Holland y Zendaya están juntos, son pareja

#TomHolland #Zendaya #BritneySpears

► TUS 10 SEGUNDOS ➥ https://tus10segundos.com/products/delcarajotv
► SE PARTE DEL TEAM DELCARAJO:
➥ https://youtube.com/channel/UCuWeBHxVe6C69JTBpiY-Y8Q/join
► TIENDA DELCARAJO ➥ http://delcarajo.net

► Sigueme en:
Twitter ➥ http://twitter.com/juanitosay
Instagram ➥ http://instagram.com/juanitosayoficial
Twitch ➥ http://twitch.tv/juanitosay

► Contacto: say@delcarajo.net


* Hey, Friki Delcarajo... ¿Que haces tan abajo? El boton de like esta mas arriba ( ͡° ͜ʖ ͡°)",es,PT14M54S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,100320,7932,0,https://i.ytimg.com/vi/KCyiOcKLhEc/maxresdefault.jpg,1280.0,720.0,700,"['juanito say', 'delcarajo', 'delcarajo tv', 'noticias', 'data suculenta', 'tom holland', 'zendaya spiderman', 'zendaya novio', 'spider man', 'tom holland and zendaya', 'amber heard', 'amber heard johnny depp', 'amber heard hija', 'amber heard baby', 'amber heard elon musk', 'amber heard aquaman', 'amber heard audio', 'britney spears toxic', 'britney spears conservaduria', 'jamie lynn', 'spider man no way home']"
youtube#video,Ezd5jK2ujDPrOErnr6M8wLrAn-c,LaGuwgaeG9k,2020-05-01T20:43:03Z,UClx_IR8_yVIKdFVUTdmaZTw,"Amber Heard ""allegedly"" appeared at the Monnaie de Paris Cosmetics Show for Loreal. Is it Fake news?","article beings @ 03:55


#AmberHeard #LorealParis #Fakenews?


I'm currently digging deeper into this story. If I find it's fake news I will make an apology video 😳🥺

some British dude took the mic from me and read the article... 🤷‍♂️",https://i.ytimg.com/vi/LaGuwgaeG9k/default.jpg,120,90,https://i.ytimg.com/vi/LaGuwgaeG9k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/LaGuwgaeG9k/hqdefault.jpg,480,360,https://i.ytimg.com/vi/LaGuwgaeG9k/sddefault.jpg,640.0,480.0,DarthN3ws,24,none,,"Amber Heard ""allegedly"" appeared at the Monnaie de Paris Cosmetics Show for Loreal. Is it Fake news?","article beings @ 03:55


#AmberHeard #LorealParis #Fakenews?


I'm currently digging deeper into this story. If I find it's fake news I will make an apology video 😳🥺

some British dude took the mic from me and read the article... 🤷‍♂️",,PT13M38S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4023,316,0,https://i.ytimg.com/vi/LaGuwgaeG9k/maxresdefault.jpg,1280.0,720.0,173,"['Johnny Depp', 'amber heard', 'movies', 'domestic violence', ""l'oreal"", ""l'oreal paris"", 'cosmetics', 'aquaman', 'aquaman 2', 'dceu', 'comedian', 'Satire', 'Hollywood', 'jack Sparrow', 'deadpool', 'marvel', 'Disney', 'dank memes', 'pewdiepie', 'iDubbbzTV', 'offensive', 'jokes', 'snl', 'actors', 'celebrity news', 'tmz', 'Paris', 'darth news', 'fake news', 'tim pool', 'joe rogan', 'triggered', 'maga', 'Trump', 'fox news', 'cnn', 'conservative', 'justice for Johnny']"
youtube#video,bzz3sZW9U5aheUq-IglF5jzfioc,mKUEy4gMlxk,2021-05-06T17:31:59Z,UCOYvKExtd9jGI1fJvHa32tg,The Fake News Daily Mail Advises Gay Abortion (Amber Heard Playlist!!),"From The Wikipedia Article ""The Daily Mail""",https://i.ytimg.com/vi/mKUEy4gMlxk/default.jpg,120,90,https://i.ytimg.com/vi/mKUEy4gMlxk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mKUEy4gMlxk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/mKUEy4gMlxk/sddefault.jpg,640.0,480.0,#JohnnyDeppIsARapist!! #JohnnyDeppesracista,23,none,,The Fake News Daily Mail Advises Gay Abortion (Amber Heard Playlist!!),"From The Wikipedia Article ""The Daily Mail""",,PT10M8S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,13,1,0,https://i.ytimg.com/vi/mKUEy4gMlxk/maxresdefault.jpg,1280.0,720.0,,
