kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage,contentDetails.regionRestriction.blocked
youtube#video,XSJOJNYtYM559pfyoUTw2rx1a2A,2_Zj3bPlQV8,2022-01-05T10:50:02Z,UCY09PRy2DoDKRULV508u8eA,Found awesome Halysites chain coral fossil and tried to prep it with acid,"#fossilhunting #thefinders #paleontology
Another trip to the baltic sea in search for amber, but all i found was fossilised corals, in which one was halysites! It was big and awesome, but unfortunatly it didnt prep that well.

Fallow me on social media for extra fossil related content:
https://www.instagram.com/amberscapeofficial/
https://www.facebook.com/amberscapeOfficial",https://i.ytimg.com/vi/2_Zj3bPlQV8/default.jpg,120,90,https://i.ytimg.com/vi/2_Zj3bPlQV8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2_Zj3bPlQV8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2_Zj3bPlQV8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2_Zj3bPlQV8/maxresdefault.jpg,1280.0,720.0,Amberscape,"['fossil', 'fossils', 'coral', 'fosislised coral', 'halysites', 'chain coral', 'paleontology', 'fossil hunting', 'beachcombing', 'thefinders', 'amberscape', 'mudlarking', 'fossil prep', 'acid prep', 'corals preparation', 'fossil preparation', 'skamieliny', 'fosilija', 'skamienialosci', 'geology', 'rocks', 'minerals', 'rockhound', 'rockhounding', 'finding treasures', 'treasure hunting', 'hunting', 'crystal collecting', 'fossil searching', 'searching for fossils']",26,none,Found awesome Halysites chain coral fossil and tried to prep it with acid,"#fossilhunting #thefinders #paleontology
Another trip to the baltic sea in search for amber, but all i found was fossilised corals, in which one was halysites! It was big and awesome, but unfortunatly it didnt prep that well.

Fallow me on social media for extra fossil related content:
https://www.instagram.com/amberscapeofficial/
https://www.facebook.com/amberscapeOfficial",en,PT8M9S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,268,63,0,59,,
youtube#video,OEtHP6GL0U4nyDpcBbcWx3j0X6w,4Egys-AxKfM,2021-11-16T03:45:31Z,UC9HXf9KP7oizWWZYqT0y0DA,Amber Heard whatsapp status best ever,,https://i.ytimg.com/vi/4Egys-AxKfM/default.jpg,120,90,https://i.ytimg.com/vi/4Egys-AxKfM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4Egys-AxKfM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4Egys-AxKfM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/4Egys-AxKfM/maxresdefault.jpg,1280.0,720.0,Lunatic Vicky,,22,none,Amber Heard whatsapp status best ever,,,PT15S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,31,3,0,1,,
youtube#video,uW_TX3myaIZiSFs9UMl_Pgd52w4,7F6DwFNtjhM,2021-11-22T06:03:30Z,UCJfLpKCXCMzOehJkwZ0s1pQ,Amber Heard Mera awesome WhatsApp status best ever,,https://i.ytimg.com/vi/7F6DwFNtjhM/default.jpg,120,90,https://i.ytimg.com/vi/7F6DwFNtjhM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7F6DwFNtjhM/hqdefault.jpg,480,360,,,,,,,Furious Editz,,24,none,Amber Heard Mera awesome WhatsApp status best ever,,az,PT25S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,0,0,0,,
youtube#video,8_623FFkAJkbJ7rmzS9TajcHQu0,8GYD_uPwu3w,2021-07-02T01:56:59Z,UCWpATpJJcMG8z-WWstnjqWw,"Amber Heard, Queen of yog Atlantis!","Like and Subscribe for more awesome content. #onlycelebs

💰 Best Deals For You 💰


➡️ Okinawa Flat Belly Tonic: https://bit.ly/3zFNWKc
Awesome New Tonic Supplement For Weight Loss.
 
➡️ STUFF YOUR FACE and LOSE WEIGHT: https://bit.ly/3gMoWIG

➡️ Type 2 Diabetes: https://bit.ly/2UkhrkL

➡️ Turn On"" Your Metabolism In 3-Seconds: https://bit.ly/3zELKCH

➡️ Naturally improve deep sleep and reverse metabolic slowdown and premature aging in both women and men: https://bit.ly/2Ujc715

➡️ Lean Belly 3x: https://bit.ly/2SOqU3f

➡️ Enhance the health of Nails and Hair: https://bit.ly/3xwxESb

➡️ GET YOUR CUSTOM KETO DIET PLAN: https://bit.ly/3vIRCHY",https://i.ytimg.com/vi/8GYD_uPwu3w/default.jpg,120,90,https://i.ytimg.com/vi/8GYD_uPwu3w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8GYD_uPwu3w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8GYD_uPwu3w/sddefault.jpg,640.0,480.0,,,,Only Celebs,['only celebs'],24,none,"Amber Heard, Queen of yog Atlantis!","Like and Subscribe for more awesome content. #onlycelebs

💰 Best Deals For You 💰


➡️ Okinawa Flat Belly Tonic: https://bit.ly/3zFNWKc
Awesome New Tonic Supplement For Weight Loss.
 
➡️ STUFF YOUR FACE and LOSE WEIGHT: https://bit.ly/3gMoWIG

➡️ Type 2 Diabetes: https://bit.ly/2UkhrkL

➡️ Turn On"" Your Metabolism In 3-Seconds: https://bit.ly/3zELKCH

➡️ Naturally improve deep sleep and reverse metabolic slowdown and premature aging in both women and men: https://bit.ly/2Ujc715

➡️ Lean Belly 3x: https://bit.ly/2SOqU3f

➡️ Enhance the health of Nails and Hair: https://bit.ly/3xwxESb

➡️ GET YOUR CUSTOM KETO DIET PLAN: https://bit.ly/3vIRCHY",en-US,PT1M1S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,6,1,0,0,en-US,
youtube#video,laRL90zQw7oHGge2eyX7zabijPo,9xdupJTC3M0,2020-01-20T21:41:57Z,UCoSMaFer6eAic2IZ_HOslzQ,201. Great double heelpopping!!!,This is the American actress Amber Heard in some great double heelpopping!,https://i.ytimg.com/vi/9xdupJTC3M0/default.jpg,120,90,https://i.ytimg.com/vi/9xdupJTC3M0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9xdupJTC3M0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9xdupJTC3M0/sddefault.jpg,640.0,480.0,,,,Dangling Fan,"['heelpopping', 'shoeplay', 'pumps']",24,none,201. Great double heelpopping!!!,This is the American actress Amber Heard in some great double heelpopping!,,PT52S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,35752,368,0,4,,
youtube#video,eJsBXJD1K4nm0igu31Ntewst2QI,AGswVxyiUKU,2021-08-07T18:30:15Z,UCBJcYAJF80czlvRSPsMaPxw,Amber heard😍 awesome❤ shorts for reels and status #Shorts,,https://i.ytimg.com/vi/AGswVxyiUKU/default.jpg,120,90,https://i.ytimg.com/vi/AGswVxyiUKU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AGswVxyiUKU/hqdefault.jpg,480,360,,,,,,,Ｎｏｚｍｏｎｅ ｅｄｉｔ,,24,none,Amber heard😍 awesome❤ shorts for reels and status #Shorts,,en-IN,PT27S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,41,6,0,0,en,
youtube#video,uCRKJ6bI4eik10p-8_RDTMujJGc,aKIkTWXky18,2021-05-05T13:43:22Z,UCYhlVb43D7q06mICNWLGfTQ,AMBER HEARD WHATSAPP STATUS | AQUAMAN | AFTERHOURS | JB EDITZ ERA,"Don't Forget to Subscribe Our Channel 

JB EDITZ ERA 
https://www.youtube.com/channel/UCYhlVb43D7q06mICNWLGfTQ


Like👉 Comment💬 Share⬆️


This is Edited for Entertainment Purpose
Only and if you Like it and Wanna More 
Videos , Then make Sure to Subscribe to
Our Channel 
🚩Jb Editz ERA ♠️
https://www.youtube.com/channel/UCYhlVb43D7q06mICNWLGfTQ

Also Follow Us on Instagram:-
Jb Editz Official :-
https://www.instagram.com/jb_editz_official_/










#AmberHeard
#Aquaman#jbeditzera 
#jbshorts #HollywoodCrush
#tags​ #killerattitidestatus​
#killerdailougestatus​
#killerattitidestatus​​
#killerdailougestatus​​
#vilenstatus​​
#dangarousstatus​​
#boysattitudestatus​​
#attitudestatusvideo​​
#massstatus​​
#boysentrystatus​​
#hollywoodwhatsappstatus​​
#hollywoodstatus​​
#hollywoodactionstatus​​
#newhollywoodstatus​​
#besthollywoodstatus​​
#englishwhatsappstatus​​
#hindihotstatus​​
#desihotstatus​​
#whatsappstatusvideo​​",https://i.ytimg.com/vi/aKIkTWXky18/default.jpg,120,90,https://i.ytimg.com/vi/aKIkTWXky18/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aKIkTWXky18/hqdefault.jpg,480,360,https://i.ytimg.com/vi/aKIkTWXky18/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aKIkTWXky18/maxresdefault.jpg,1280.0,720.0,JB EDITZ ERA,"['#Super Zoom', '#Marvel', '#dc', '#bollywood', '#best status', '#webseries', '#best WhatsApp status', '#Hollywood', 'Amber Heard Fullscreen WhatsApp Status', '#aquaman', '#amber heard', ""#zack snyder's justice league"", '#best shorts', '#YouTube shorts', '#batman', '#superman', '#Fullscreen Status']",24,none,AMBER HEARD WHATSAPP STATUS | AQUAMAN | AFTERHOURS | JB EDITZ ERA,"Don't Forget to Subscribe Our Channel 

JB EDITZ ERA 
https://www.youtube.com/channel/UCYhlVb43D7q06mICNWLGfTQ


Like👉 Comment💬 Share⬆️


This is Edited for Entertainment Purpose
Only and if you Like it and Wanna More 
Videos , Then make Sure to Subscribe to
Our Channel 
🚩Jb Editz ERA ♠️
https://www.youtube.com/channel/UCYhlVb43D7q06mICNWLGfTQ

Also Follow Us on Instagram:-
Jb Editz Official :-
https://www.instagram.com/jb_editz_official_/










#AmberHeard
#Aquaman#jbeditzera 
#jbshorts #HollywoodCrush
#tags​ #killerattitidestatus​
#killerdailougestatus​
#killerattitidestatus​​
#killerdailougestatus​​
#vilenstatus​​
#dangarousstatus​​
#boysattitudestatus​​
#attitudestatusvideo​​
#massstatus​​
#boysentrystatus​​
#hollywoodwhatsappstatus​​
#hollywoodstatus​​
#hollywoodactionstatus​​
#newhollywoodstatus​​
#besthollywoodstatus​​
#englishwhatsappstatus​​
#hindihotstatus​​
#desihotstatus​​
#whatsappstatusvideo​​",,PT28S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,250,13,0,0,,
youtube#video,eELW1yMvV6bjmxk6tdbbWmZtpBw,aShtULSgc14,2021-05-19T17:52:50Z,UCr54rV_wD9sGuKaZG34YLAA,amber Heard whatsapp status best ever,"IMPORTANT NOTICE - These all things are copyrighted We
just doing for promotional We just edited and published to
audience for entertainment purpose only 👁️AlI Rights To
Above Music Label Co.& No Copyright Infringement Intended
👁️ Copyright Disclaimer:- Under Section 107 of the Copyright
1976, Allowanc is Made for "" fair use"" for Purpose s Such as
Criticism, Comment, News Reporting, Teaching, Scholarship,
And Research. Fair Use as a Use Permitted by Copyright
Statute That Might otherwise be Infringing. Non-Profit
Educational or Personal use Tips the Balance in favour of Fair
Use Status",https://i.ytimg.com/vi/aShtULSgc14/default.jpg,120,90,https://i.ytimg.com/vi/aShtULSgc14/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aShtULSgc14/hqdefault.jpg,480,360,https://i.ytimg.com/vi/aShtULSgc14/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aShtULSgc14/maxresdefault.jpg,1280.0,720.0,iamnitinnk,,22,none,amber Heard whatsapp status best ever,"IMPORTANT NOTICE - These all things are copyrighted We
just doing for promotional We just edited and published to
audience for entertainment purpose only 👁️AlI Rights To
Above Music Label Co.& No Copyright Infringement Intended
👁️ Copyright Disclaimer:- Under Section 107 of the Copyright
1976, Allowanc is Made for "" fair use"" for Purpose s Such as
Criticism, Comment, News Reporting, Teaching, Scholarship,
And Research. Fair Use as a Use Permitted by Copyright
Statute That Might otherwise be Infringing. Non-Profit
Educational or Personal use Tips the Balance in favour of Fair
Use Status",,PT17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,39,2,0,0,,
youtube#video,LF4vjcki6pqoNn0sGgl2Y9RehsY,b2L7e-yUNxs,2021-10-21T08:11:35Z,UCaMXqRAMDO-ro3iCCVt4yWg,Aquaman -amber heard,"amber heard
#fight
#reels
#shorts

Music in this video
Song
Best Friend (feat. Doja Cat)
Artist
Saweetie
Album
Best Friend (feat. Doja Cat)",https://i.ytimg.com/vi/b2L7e-yUNxs/default.jpg,120,90,https://i.ytimg.com/vi/b2L7e-yUNxs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/b2L7e-yUNxs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/b2L7e-yUNxs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/b2L7e-yUNxs/maxresdefault.jpg,1280.0,720.0,Just #Shorts,,22,none,Aquaman -amber heard,"amber heard
#fight
#reels
#shorts

Music in this video
Song
Best Friend (feat. Doja Cat)
Artist
Saweetie
Album
Best Friend (feat. Doja Cat)",,PT20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,154,6,0,0,,
youtube#video,lmAgrjyDY2NuXh0mh_G6552COGE,bi7oaggyQHY,2018-12-26T13:25:49Z,UCNHap4klAxlvNHcFutF7Iug,BIOGRAPHY OF AMBER HEARD,"Thanks For Watching 

Subscribe to become a part of #TeamNewsapta
SUBSCRIBE for awesome videos every day!: 


Rate, Comment, Share... Thanx and Enjoy the videos.",https://i.ytimg.com/vi/bi7oaggyQHY/default.jpg,120,90,https://i.ytimg.com/vi/bi7oaggyQHY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bi7oaggyQHY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bi7oaggyQHY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/bi7oaggyQHY/maxresdefault.jpg,1280.0,720.0,News Apta,"['BIOGRAPHY', 'autobiography', 'Profile', 'Life', 'Life Story', 'Biog', 'Story', 'Memoir', 'Artist', 'Creator', 'Inventor', 'Star', 'Celebrity', 'News', 'Hero', 'Suprestar', 'VIP', 'Worthy', 'Celeb', 'Famous Person', 'Big Shot', 'Notable', 'Name', 'Ace', 'Luminary', 'Personality', 'Personage', 'Figure', 'Lion', 'Big Deal', 'Big Name', 'Major Leaguer', 'persons life', 'Emotions', 'Selfdom', 'Selfhood', 'Charm', 'Makeup', 'Nature']",27,none,BIOGRAPHY OF AMBER HEARD,"Thanks For Watching 

Subscribe to become a part of #TeamNewsapta
SUBSCRIBE for awesome videos every day!: 


Rate, Comment, Share... Thanx and Enjoy the videos.",en,PT2M43S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,6,0,0,0,,
