kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,contentDetails.contentRating.ytRating,snippet.defaultLanguage
youtube#video,JG9JCrSLbpMC-lGOqOKwMbGQ0i0,-yFwaAUEhzk,2018-07-02T00:13:25Z,UCFtt3fhMMCBKGRMGyN2D2GQ,Challenges with narcissism & same sex couples - Amber Ault,"My expert today Amber Ault is going to share with us the challenges of same sex couples and a narcissist. The unique pains they must hurdle and navigate. Amber Ault - visit her website and learn how to get a copy of her books in July. 

Hi! My Name is Tracy A. Malone, founder of Narcissist Abuse Support and I'm here to help! :)

WEBSITE - resources for victims - http://narcissistabusesupport.com
 
RESOURCES - by state - search Free help & Meetups - https://narcissistabusesupport.com/sign-access-resources/
 
EMAIL ME - tracy@narcissistabusesupport.com

-------------------------------------------------------------------------------------------------------------
Are you looking for someone to talk to about the narcissist abuse you have endured?
https://narcissistabusesupport.com/product-category/coaching/

Are you wondering if you have PTSD? Have you experienced a traumatic event?
https://narcissistabusesupport.com/symptoms-of-ptsd/
-------------------------------------------------------------------------------------------------------------

FACEBOOK – https://goo.gl/JoXOkD - closed group - this is a closed group and we must protect our members so if your profile has no connections and has only been set up for a week we will not be able to take the risk.

PINTEREST - Visit my Cool Narcissist Pins - https://www.pinterest.com/tracyamalone/
 
TWITTER - Tweet with me - https://twitter.com/TracyAMalone
 
LEGAL SHIT BELOW - TO PROTECT ME FROM NARCISSISTS
All statements made in this video are expressions of the opinion of the speaker, and should be regarded as such.  The video is made to serve a therapeutic purpose for the speaker or speakers and to assist others in recognizing and dealing with matters in their own lives which they believe may be similar.
 
I’m a survivor of Narcissistic abuse and my goal with this channel is to educate other “victims” as they transition to becoming a “survivor”. I believe that education is our best way to heal, and the best way to not become a victim or supply to another narcissist.
 
Please note: I am not a therapist, psychologist, psychiatrist or coach so use this information as my own personal journey of healing and the information that has been shared with me by friends, other YouTubers, groups and community. This video is not intended to treat or diagnose any condition, if you believe you or a loved one is suffering from narcissistic abuse please use seek any help from your community.

Want to see more?

Narcissists Cheat - Look for these signs & protect yourself - https://goo.gl/9CBrHd

Protect Yourself Against the Revenge of a Narcissist | Protect -
https://goo.gl/Tzxt6b

Dear Next Supply of my Narcissist - https://goo.gl/an9Fmy

Narcissists Gift Giving | Red Flag - https://goo.gl/XseVHw

FaceBombing - How a Narcissist Uses Facebook | Red Flag - https://goo.gl/c73GRS

Narcissist Discard Phase | Revenge or peace - https://goo.gl/nsrwy4

Narcissist Lies - Liar - https://goo.gl/uxT6B9

Were you FINANCIALLY ABUSED by a narcissist? - https://goo.gl/8LKkQk

How to Get Revenge on a Narcissist - https://goo.gl/V5Quy7

Narcissism Social Media - https://goo.gl/VsCmp8",https://i.ytimg.com/vi/-yFwaAUEhzk/default.jpg,120,90,https://i.ytimg.com/vi/-yFwaAUEhzk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-yFwaAUEhzk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-yFwaAUEhzk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-yFwaAUEhzk/maxresdefault.jpg,1280.0,720.0,Tracy Malone,"['Narcissist Abuse Recovery', 'Narcissist Abuse Support', 'narcissist', 'narcissism', 'narcissistic abuse', 'narcissism expert', 'narcissistic personality disorder', 'ptsd', 'emotional abuse', 'mental abuse', 'tracyamalone', 'tracy malone', 'Amber ault', 'narcissists in relationships', 'toxic relationships', 'mental abuse story', 'narcissism survivor', 'narcissism in relationships', 'narcissistic abuse syndrome', 'narcissistic abuse parents', 'narcissistic abuse cycle', 'emotional abuse from parents', 'family problems']",27,none,Challenges with narcissism & same sex couples - Amber Ault,"My expert today Amber Ault is going to share with us the challenges of same sex couples and a narcissist. The unique pains they must hurdle and navigate. Amber Ault - visit her website and learn how to get a copy of her books in July. 

Hi! My Name is Tracy A. Malone, founder of Narcissist Abuse Support and I'm here to help! :)

WEBSITE - resources for victims - http://narcissistabusesupport.com
 
RESOURCES - by state - search Free help & Meetups - https://narcissistabusesupport.com/sign-access-resources/
 
EMAIL ME - tracy@narcissistabusesupport.com

-------------------------------------------------------------------------------------------------------------
Are you looking for someone to talk to about the narcissist abuse you have endured?
https://narcissistabusesupport.com/product-category/coaching/

Are you wondering if you have PTSD? Have you experienced a traumatic event?
https://narcissistabusesupport.com/symptoms-of-ptsd/
-------------------------------------------------------------------------------------------------------------

FACEBOOK – https://goo.gl/JoXOkD - closed group - this is a closed group and we must protect our members so if your profile has no connections and has only been set up for a week we will not be able to take the risk.

PINTEREST - Visit my Cool Narcissist Pins - https://www.pinterest.com/tracyamalone/
 
TWITTER - Tweet with me - https://twitter.com/TracyAMalone
 
LEGAL SHIT BELOW - TO PROTECT ME FROM NARCISSISTS
All statements made in this video are expressions of the opinion of the speaker, and should be regarded as such.  The video is made to serve a therapeutic purpose for the speaker or speakers and to assist others in recognizing and dealing with matters in their own lives which they believe may be similar.
 
I’m a survivor of Narcissistic abuse and my goal with this channel is to educate other “victims” as they transition to becoming a “survivor”. I believe that education is our best way to heal, and the best way to not become a victim or supply to another narcissist.
 
Please note: I am not a therapist, psychologist, psychiatrist or coach so use this information as my own personal journey of healing and the information that has been shared with me by friends, other YouTubers, groups and community. This video is not intended to treat or diagnose any condition, if you believe you or a loved one is suffering from narcissistic abuse please use seek any help from your community.

Want to see more?

Narcissists Cheat - Look for these signs & protect yourself - https://goo.gl/9CBrHd

Protect Yourself Against the Revenge of a Narcissist | Protect -
https://goo.gl/Tzxt6b

Dear Next Supply of my Narcissist - https://goo.gl/an9Fmy

Narcissists Gift Giving | Red Flag - https://goo.gl/XseVHw

FaceBombing - How a Narcissist Uses Facebook | Red Flag - https://goo.gl/c73GRS

Narcissist Discard Phase | Revenge or peace - https://goo.gl/nsrwy4

Narcissist Lies - Liar - https://goo.gl/uxT6B9

Were you FINANCIALLY ABUSED by a narcissist? - https://goo.gl/8LKkQk

How to Get Revenge on a Narcissist - https://goo.gl/V5Quy7

Narcissism Social Media - https://goo.gl/VsCmp8",en,PT46M59S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,3089,97,0,18,,
youtube#video,w51AD2CoZPbW3BDRGLw5n_WErEM,1ddF5G-s7jA,2010-06-30T17:43:02Z,UCURPV6NjLkxleKqzGdCaCjg,buegay - 2010 IGLTA Global Annual Convention Amberes Belgica - Ambassador of the Year.mpg,"The International Gay and Lesbian Travel Association has awarded Alfredo Ferreyra as their Ambassador of the Year during the 2010 Annual Global Convention in Answerp, Belgium",https://i.ytimg.com/vi/1ddF5G-s7jA/default.jpg,120,90,https://i.ytimg.com/vi/1ddF5G-s7jA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1ddF5G-s7jA/hqdefault.jpg,480,360,,,,,,,Alfredo Ferreyra,"['www.buegay.com.ar', 'gay tourism', 'gay travel', 'buegay argentina', 'alfredo ferreyra']",19,none,buegay - 2010 IGLTA Global Annual Convention Amberes Belgica - Ambassador of the Year.mpg,"The International Gay and Lesbian Travel Association has awarded Alfredo Ferreyra as their Ambassador of the Year during the 2010 Annual Global Convention in Answerp, Belgium",,PT33S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,34,0,0,0,,
youtube#video,gbptvziD6BRoJ-N1V1IBk2yvXXU,58-Miolems8,2021-12-09T02:10:43Z,UCfBSS1z3EsmpnhbbP-BBoYw,[Reupload] Rogue After Dark #93 | Reading into Amberlynn Reid,"Complete reupload of the Rogue After Dark #93 stream that got taken down because someone probably didn't like being called a fat ree ree.

-== Original Description ==-
Not archived !

-== Links ==-
Rogue, Internet Man: https://www.youtube.com/c/RogueInternetMan/
propainkey: https://www.youtube.com/c/propainkey/

-== Disclaimer ==-
I do not own or condone the content of this video, I'm just archiving it for other people's viewing pleasure.
If the video needs to be pulled is the original came back or for other reason, just post a comment, I read them regularly.",https://i.ytimg.com/vi/58-Miolems8/default.jpg,120,90,https://i.ytimg.com/vi/58-Miolems8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/58-Miolems8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/58-Miolems8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/58-Miolems8/maxresdefault.jpg,1280.0,720.0,Herwin,,20,none,[Reupload] Rogue After Dark #93 | Reading into Amberlynn Reid,"Complete reupload of the Rogue After Dark #93 stream that got taken down because someone probably didn't like being called a fat ree ree.

-== Original Description ==-
Not archived !

-== Links ==-
Rogue, Internet Man: https://www.youtube.com/c/RogueInternetMan/
propainkey: https://www.youtube.com/c/propainkey/

-== Disclaimer ==-
I do not own or condone the content of this video, I'm just archiving it for other people's viewing pleasure.
If the video needs to be pulled is the original came back or for other reason, just post a comment, I read them regularly.",,PT2H7M24S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1449,45,0,16,,
youtube#video,HxGPpht2PrdDev68jKEjv-rJbgU,7lYvvYmIKPk,2020-02-11T19:00:01Z,UCPRUgAl_MV9PajsrG_BmT9w,30 Questions In 3 Minutes With Amber Liu,"We gave Amber Liu 3 minutes to answer 30 questions and she told us her perfect boba order, but also... that she'd scream if she woke up in Eric Nam's body.

Get all the K-Pop news delivered directly to your inbox, subscribe to our K-Pop Newsletter: https://bzfd.it/2xx1nk5


Credits: https://www.buzzfeed.com/bfmp/videos/100235

GET MORE BUZZFEED:
https://www.buzzfeed.com
https://www.buzzfeed.com/videos
https://www.youtube.com/buzzfeedvideo
https://www.youtube.com/asis
https://www.youtube.com/buzzfeedmultiplayer
https://www.youtube.com/buzzfeedviolet
https://www.youtube.com/perolike
https://www.youtube.com/ladylike

SUBSCRIBE TO BUZZFEED NEWSLETTERS:
https://www.buzzfeed.com/newsletters

BuzzFeed Celeb
Celebs + puppies, kittens, thirst tweets, and more = so much yes.
MUSIC

Licensed via Audio Network
SFX Provided By AudioBlocks
(https://www.audioblocks.com)

STILLS
Collage contemporary floral seamless pattern. Modern exotic jungle fruits and plants illustration in vector.
All Royalty-Free licenses include global use rights./Getty Images

VIDEO
Background with flying formulas and equations on green screen
Дмитрий Ларичев/Getty Images

EXTERNAL CREDITS
Amber Liu
https://www.instagram.com/ajol_llama/",https://i.ytimg.com/vi/7lYvvYmIKPk/default.jpg,120,90,https://i.ytimg.com/vi/7lYvvYmIKPk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7lYvvYmIKPk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7lYvvYmIKPk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/7lYvvYmIKPk/maxresdefault.jpg,1280.0,720.0,BuzzFeed Celeb,"['amber liu answers questions', 'buzzfeedceleb', 'korean', 'PL-Questions', 'celebrity interview', '30 questions in 3 minutes', 'buzzfeed celeb', 'kpop', 'amber fx', 'k-pop', 'amber funny interview', '30 questions amber', 'amber kpop', 'celebrities', '30 questions amber liu', 'buzzfeed', 'buzzfeed kpop', '30 questions buzzfeed celeb', 'amber liu rapid fire questions', 'amber liu', 'fx amber liu', 'amber', 'PLlyKGB2y5v3YwsXjGK-EYz5Km21tBQ44L', 'korean pop', 'PL-Kpop', 'amber liu interview']",24,none,30 Questions In 3 Minutes With Amber Liu,"We gave Amber Liu 3 minutes to answer 30 questions and she told us her perfect boba order, but also... that she'd scream if she woke up in Eric Nam's body.

Get all the K-Pop news delivered directly to your inbox, subscribe to our K-Pop Newsletter: https://bzfd.it/2xx1nk5


Credits: https://www.buzzfeed.com/bfmp/videos/100235

GET MORE BUZZFEED:
https://www.buzzfeed.com
https://www.buzzfeed.com/videos
https://www.youtube.com/buzzfeedvideo
https://www.youtube.com/asis
https://www.youtube.com/buzzfeedmultiplayer
https://www.youtube.com/buzzfeedviolet
https://www.youtube.com/perolike
https://www.youtube.com/ladylike

SUBSCRIBE TO BUZZFEED NEWSLETTERS:
https://www.buzzfeed.com/newsletters

BuzzFeed Celeb
Celebs + puppies, kittens, thirst tweets, and more = so much yes.
MUSIC

Licensed via Audio Network
SFX Provided By AudioBlocks
(https://www.audioblocks.com)

STILLS
Collage contemporary floral seamless pattern. Modern exotic jungle fruits and plants illustration in vector.
All Royalty-Free licenses include global use rights./Getty Images

VIDEO
Background with flying formulas and equations on green screen
Дмитрий Ларичев/Getty Images

EXTERNAL CREDITS
Amber Liu
https://www.instagram.com/ajol_llama/",en,PT4M6S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,503084,37971,0,844,,
youtube#video,0ipQavZwk3oQAgw6vzvXLkiXlPA,8zWqwZFa4y8,2012-09-07T17:36:49Z,UCa77jE-rbYvhoa6LN-DJDHA,Johnny Depp & Amber Heard,Here is a video of Johnny Depp & Amber Heard. Enjoy!xx,https://i.ytimg.com/vi/8zWqwZFa4y8/default.jpg,120,90,https://i.ytimg.com/vi/8zWqwZFa4y8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8zWqwZFa4y8/hqdefault.jpg,480,360,,,,,,,abi19902010,"['Johnny', 'Depp', 'Johnny Depp (Actor)', 'Amber', 'Heard']",24,none,Johnny Depp & Amber Heard,Here is a video of Johnny Depp & Amber Heard. Enjoy!xx,,PT3M13S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,5407,16,0,2,,
youtube#video,_Fpn8__GLfeJaq8rWAVVtGnlNmM,A-fn_9svkFs,2021-03-10T18:05:04Z,UClhYIBYFJZpdth_C8hOoy5Q,Think Like a Lesbian Ft Amber's Closet,"Today we bring on a very special person! AMBER she is a close friend of Jared and Shan and we adore her here at the podcast! Today we talk about how to love a women. Breaking that down into how to attract a women, how to keep a women, how to apologize and how to make her orgasm. LETS TALK ABOUT IT!

00:01:46:28 - Intro
00:08:11:16 - Do men try and make moves on you?
00:10:42:00 - How do you attract women?
00:27:39:15 - How do you apologize to a woman? 
00:41:40:05 - How do you make a woman climax?
01:10:47:07 - I messed up
____________________________________________________________________________

Subscribe! and rate us on apple music! We would appreciate it 

Apple: https://podcasts.apple.com/us/podcast/enjoy-the-podcast/id1526698004

Spotify: https://open.spotify.com/show/0sEtUmO7HT8mCnCbRws3lE?si=8LtK9efIT7eD0fiIat5NOg
____________________________________________________________________________


Jared: https://www.instagram.com/enjoyjaredbrady/
Los: https://www.instagram.com/blamelos/
JD: https://www.instagram.com/mrjustdavis/
Amber: https://www.instagram.com/amberscloset/",https://i.ytimg.com/vi/A-fn_9svkFs/default.jpg,120,90,https://i.ytimg.com/vi/A-fn_9svkFs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/A-fn_9svkFs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/A-fn_9svkFs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/A-fn_9svkFs/maxresdefault.jpg,1280.0,720.0,Enjoy,"['lesbian', 'love', 'relationship']",22,none,Think Like a Lesbian Ft Amber's Closet,"Today we bring on a very special person! AMBER she is a close friend of Jared and Shan and we adore her here at the podcast! Today we talk about how to love a women. Breaking that down into how to attract a women, how to keep a women, how to apologize and how to make her orgasm. LETS TALK ABOUT IT!

00:01:46:28 - Intro
00:08:11:16 - Do men try and make moves on you?
00:10:42:00 - How do you attract women?
00:27:39:15 - How do you apologize to a woman? 
00:41:40:05 - How do you make a woman climax?
01:10:47:07 - I messed up
____________________________________________________________________________

Subscribe! and rate us on apple music! We would appreciate it 

Apple: https://podcasts.apple.com/us/podcast/enjoy-the-podcast/id1526698004

Spotify: https://open.spotify.com/show/0sEtUmO7HT8mCnCbRws3lE?si=8LtK9efIT7eD0fiIat5NOg
____________________________________________________________________________


Jared: https://www.instagram.com/enjoyjaredbrady/
Los: https://www.instagram.com/blamelos/
JD: https://www.instagram.com/mrjustdavis/
Amber: https://www.instagram.com/amberscloset/",,PT1H13M2S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,68142,2842,0,377,,
youtube#video,ucnHS-kM-FT88tT0a7JgFmTvIhE,A9CkrZ4brmg,2017-08-14T09:51:25Z,UCKu_xP5ZbFbj69sxgZoMx_g,"Barnaby Joyce: Internet calls for Johnny Depp, Amber Heard reaction as Deputy","Barnaby Joyce: Internet calls for Johnny Depp, Amber Heard reaction as Deputy 

Support America News 365 Channel with the links below!
Source Photo and Content:
Learn more about news on Youtube: http://bit.ly/americanews365
======================================
Thank you so much. Wish you with good things,
Videos can use content-based copyright law contains reasonable use Fair Use (https://www.youtube.com/yt/copyright/)
Very excited to partner with other electronic newspaper pages.
Please send me an email,
Thanks you for watching.",https://i.ytimg.com/vi/A9CkrZ4brmg/default.jpg,120,90,https://i.ytimg.com/vi/A9CkrZ4brmg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/A9CkrZ4brmg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/A9CkrZ4brmg/sddefault.jpg,640.0,480.0,,,,Trực Tiếp Sao,"['america news 365', 'america news', 'news 365', 'news', 'america', '365', 'Barnaby Joyce Internet calls for Johnny Depp Amber Heard reaction as Deputy PM declared NZ citizen', 'Barnaby Joyce Internet', 'calls for Johnny Depp', 'Amber Heard', 'reaction as Deputy PM declared NZ citizen']",25,none,"Barnaby Joyce: Internet calls for Johnny Depp, Amber Heard reaction as Deputy","Barnaby Joyce: Internet calls for Johnny Depp, Amber Heard reaction as Deputy 

Support America News 365 Channel with the links below!
Source Photo and Content:
Learn more about news on Youtube: http://bit.ly/americanews365
======================================
Thank you so much. Wish you with good things,
Videos can use content-based copyright law contains reasonable use Fair Use (https://www.youtube.com/yt/copyright/)
Very excited to partner with other electronic newspaper pages.
Please send me an email,
Thanks you for watching.",en,PT57S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,27,0,0,0,,
youtube#video,3KFqlKmGpzUjV7ecmysK6_UmCaE,Bcm-o_xhqAo,2012-08-03T08:20:22Z,UC9wGspLRsG7Av23tLuujD9w,Amber Heard by markus12345ism,"Präsentation
Created with MAGIX Slideshow Maker 2",https://i.ytimg.com/vi/Bcm-o_xhqAo/default.jpg,120,90,https://i.ytimg.com/vi/Bcm-o_xhqAo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Bcm-o_xhqAo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Bcm-o_xhqAo/sddefault.jpg,640.0,480.0,,,,Brunner markus,"['Amber', 'Heard', 'MAGIX Slideshow Maker 2']",1,none,Amber Heard by markus12345ism,"Präsentation
Created with MAGIX Slideshow Maker 2",,PT3M47S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,232,0,0,1,,
youtube#video,z-KOCn4yGkxvOQiIFJa-5eyX6k8,BN16iQhd3HQ,2020-03-08T00:15:02Z,UChs7lcuw4qOCxl3SJRPuidQ,Bianca Butti gets jealous after Amber Heard secretly meets deal with Johnny Depp,,https://i.ytimg.com/vi/BN16iQhd3HQ/default.jpg,120,90,https://i.ytimg.com/vi/BN16iQhd3HQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BN16iQhd3HQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BN16iQhd3HQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/BN16iQhd3HQ/maxresdefault.jpg,1280.0,720.0,DT Media,"['DT Media', 'news', 'Bianca Butti', 'jealous', 'Amber Heard', 'secretly', 'deal', 'Johnny Depp']",24,none,Bianca Butti gets jealous after Amber Heard secretly meets deal with Johnny Depp,,,PT3M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,2505,7,0,7,,
youtube#video,eFz4kHomFbQgE8VoE4g6xXAGRGk,CZV6q-n65Wc,2016-05-25T23:49:27Z,UCKA5o4rem1Kj-y6M-OASyGg,How Much Taller? - Amber Heard vs Shay Mitchell!,"We compare Amber Heard and Shay Mitchell in height, visually and with data, and reveal just how much the difference is between the two actresses!",https://i.ytimg.com/vi/CZV6q-n65Wc/default.jpg,120,90,https://i.ytimg.com/vi/CZV6q-n65Wc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CZV6q-n65Wc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CZV6q-n65Wc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/CZV6q-n65Wc/maxresdefault.jpg,1280.0,720.0,HMT Height Comparisons,"['Height', 'Celebrity', 'Comparison', 'Tall', 'Size', 'Small', 'Difference', 'Feet', 'Inches', 'Metric', 'cm', 'ft', 'body', 'length', 'facts', 'info', 'measurements', 'Amber Heard', 'Shay Mitchell']",24,none,How Much Taller? - Amber Heard vs Shay Mitchell!,"We compare Amber Heard and Shay Mitchell in height, visually and with data, and reveal just how much the difference is between the two actresses!",,PT42S,2d,sd,false,False,rectangular,processed,public,youtube,True,False,False,21,1,0,0,,
