kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage,snippet.defaultAudioLanguage
youtube#video,-AGcsjUvp0yAMM3J2aKk_GsjoVw,1btGGWQlA6I,2021-03-23T19:40:50Z,UCJQplYDHQjYbmADXC-_y27Q,Miranda Lambert - Tin Man (2017 ACM Awards Performance),"Listen to ‘The Weight of These Wings’

Buy: iTunes: http://smarturl.it/mltwotw
Google Play:  http://smarturl.it/mltwotwgp
Amazon: http://smarturl.it/mltwotwamzphy
Stream: Spotify: http://smarturl.it/mltwotwspotify
Apple Music: http://smarturl.it/mltwotwstream
Amazon Prime Music:  http://smarturl.it/mltwotwamz

Sign up to receive email updates from Miranda Lambert: mirandalmbrt.co/updatesYT

See Miranda LIVE on the Livin’ Like Hippies Tour: http://mirandalmbrt.co/hippiesYTD

http://vevo.ly/ehn2sM",https://i.ytimg.com/vi/1btGGWQlA6I/default.jpg,120,90,https://i.ytimg.com/vi/1btGGWQlA6I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1btGGWQlA6I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1btGGWQlA6I/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1btGGWQlA6I/maxresdefault.jpg,1280.0,720.0,mirandalambertVEVO,"['vice', 'the weight of these wings', 'anderson east', 'blake shelton', ""somethin' bad"", 'carrie underwood', ""mama's broken heart"", 'the house that built me', 'tin man', 'over you', 'little red wagon', 'natalie hemby', 'glamjam', 'highway vagabond tour', 'sony', 'vevo', 'cmt', 'rca', 'Country', 'Miranda Lambert', 'Tin Man (2017 ACM Awards Performance)', 'Vanner Records/RCA Records Label Nashville']",10,none,Miranda Lambert - Tin Man (2017 ACM Awards Performance),"Listen to ‘The Weight of These Wings’

Buy: iTunes: http://smarturl.it/mltwotw
Google Play:  http://smarturl.it/mltwotwgp
Amazon: http://smarturl.it/mltwotwamzphy
Stream: Spotify: http://smarturl.it/mltwotwspotify
Apple Music: http://smarturl.it/mltwotwstream
Amazon Prime Music:  http://smarturl.it/mltwotwamz

Sign up to receive email updates from Miranda Lambert: mirandalmbrt.co/updatesYT

See Miranda LIVE on the Livin’ Like Hippies Tour: http://mirandalmbrt.co/hippiesYTD

http://vevo.ly/ehn2sM",PT3M41S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,3160503,25131,0,1438,,
youtube#video,rjI1zUrJot6IuO93n9ivIT5C4Zk,2-IqjaDMFhw,2021-01-08T06:16:13Z,UCCdicbO4cLE4s1wbXjJSuSg,Johnny Depp Proves Amber Turd is a LIAR - A Rant for #JusticeForJohnnyDepp from Drunk Nerd Wars,"Johnny Depp Proves Amber Turd is a Liar! Henry Cavill Superman? & More!  - Drunken Nerd Wars! LIVE! Join us at 9:30PM EST LIVE! Its gonna be FUN!

S U P P O R T   T H I S.   C H A N N E L:
Subscribe, Donate and Follow Andy Here: https://linktr.ee/AndySignore

And JOIN this channel to get access to perks:
https://www.youtube.com/channel/UCCdicbO4cLE4s1wbXjJSuSg/join


F O L L O W    M Y   F R I E N D S:
Jody’s Corner: https://www.youtube.com/channel/UC4UkKUNzwgBjyEsAlvqDqCg
Nerd Report: https://www.youtube.com/user/NukeTheFridgeTV
The Planet of NERDS with Stef, Chris & Kev - https://www.youtube.com/channel/UCQdPgNhFwQT-ujEQKWiNKdA
Adan @ Nerdtots: https://www.youtube.com/channel/UCPEik5xccV2hgFQrNna074g
Damian''s Indie Horror Trailer THE OTHER SIDE: https://www.youtube.com/channel/UCir9krGjjKz3vbbrGQtmt6wA
Darth Daddy Lunga's The Grey Council - https://www.youtube.com/channel/UC2ZZQSOdTYnAwKUg8wW--qw

A B O UT    T H I S     C H A N N E L :
@PopcornedPlanet offers passionate takes on all things Movies, TV & Pop Culture, created and led by Andy Signore (creator of ScreenJunkies, Honest Trailers, MovieFights, Man At Arms and more) You can learn about Andy’s journey here: https://www.youtube.com/watch?v=3wgOFa4A0UM

Andy also launched HUGGING THE CACTUS, a channel & series detailing the dangers of Cancel Culture, stories of redemption and life experience, which you can learn more here: http://www.uncanceled.com or subscribe at: http://YouTube.com/HuggingTheCactus

C O N T A C T /  B U S I N E S S :
PopcornedPlanet@gmail.com",https://i.ytimg.com/vi/2-IqjaDMFhw/default.jpg,120,90,https://i.ytimg.com/vi/2-IqjaDMFhw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2-IqjaDMFhw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2-IqjaDMFhw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2-IqjaDMFhw/maxresdefault.jpg,1280.0,720.0,Popcorned Planet,,24,none,Johnny Depp Proves Amber Turd is a LIAR - A Rant for #JusticeForJohnnyDepp from Drunk Nerd Wars,"Johnny Depp Proves Amber Turd is a Liar! Henry Cavill Superman? & More!  - Drunken Nerd Wars! LIVE! Join us at 9:30PM EST LIVE! Its gonna be FUN!

S U P P O R T   T H I S.   C H A N N E L:
Subscribe, Donate and Follow Andy Here: https://linktr.ee/AndySignore

And JOIN this channel to get access to perks:
https://www.youtube.com/channel/UCCdicbO4cLE4s1wbXjJSuSg/join


F O L L O W    M Y   F R I E N D S:
Jody’s Corner: https://www.youtube.com/channel/UC4UkKUNzwgBjyEsAlvqDqCg
Nerd Report: https://www.youtube.com/user/NukeTheFridgeTV
The Planet of NERDS with Stef, Chris & Kev - https://www.youtube.com/channel/UCQdPgNhFwQT-ujEQKWiNKdA
Adan @ Nerdtots: https://www.youtube.com/channel/UCPEik5xccV2hgFQrNna074g
Damian''s Indie Horror Trailer THE OTHER SIDE: https://www.youtube.com/channel/UCir9krGjjKz3vbbrGQtmt6wA
Darth Daddy Lunga's The Grey Council - https://www.youtube.com/channel/UC2ZZQSOdTYnAwKUg8wW--qw

A B O UT    T H I S     C H A N N E L :
@PopcornedPlanet offers passionate takes on all things Movies, TV & Pop Culture, created and led by Andy Signore (creator of ScreenJunkies, Honest Trailers, MovieFights, Man At Arms and more) You can learn about Andy’s journey here: https://www.youtube.com/watch?v=3wgOFa4A0UM

Andy also launched HUGGING THE CACTUS, a channel & series detailing the dangers of Cancel Culture, stories of redemption and life experience, which you can learn more here: http://www.uncanceled.com or subscribe at: http://YouTube.com/HuggingTheCactus

C O N T A C T /  B U S I N E S S :
PopcornedPlanet@gmail.com",PT19M25S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,12679,897,0,129,en,en-US
youtube#video,nWvbQ-GqxWXUnrko7RixUkoKuvk,3MQ1TO9Nrbs,2016-05-27T08:20:10Z,UC6SVo5JmZvxL484Ix3VfT5Q,Amber Heard : Ses 15 apparitions envoûtantes !,"Abonnez vous !
 https://goo.gl/J38CUh 

C’est confirmé, Amber Heard a demandé le divorce à Johnny Depp. Mariés depuis quinze mois seulement, la jolie blonde claque finalement la porte. Une raison pour revenir sur les quinze plus belles apparitions d’Amber Heard ! Amber Heard est l’une des plus belles femmes à Hollywood et chacune de ses apparitions fait l’effet d’une bombe. Sur le red carpet, elle sait y faire pour mettre en valeur sa sensualité en optant pour des tenues toujours très affriolantes. A 30 ans, l’actrice de 3 Days to Kill maîtrise la séduction à la perfection. Bref, elle ne manque jamais l’occasion de faire monter la température. En plus de faire tourner la tête de la planète people, Amber Heard a réussi à attirer dans ses filets le très sexy Johnny Depp. Mais alors qu’on pensait qu’ils filaient le parfait amour, la belle lui demande le divorce
. Une nouvelle qui en a surpris plus d’un et qui promet de faire couler beaucoup d’encre… EV",https://i.ytimg.com/vi/3MQ1TO9Nrbs/default.jpg,120,90,https://i.ytimg.com/vi/3MQ1TO9Nrbs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3MQ1TO9Nrbs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3MQ1TO9Nrbs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/3MQ1TO9Nrbs/maxresdefault.jpg,1280.0,720.0,Public FR,"['3 days to kill', 'Amber Heard', 'Johnny Depp', 'Hollywood', 'Red Carpet', 'divorce', 'Public.fr', 'Public', 'People', 'Public TV']",22,none,Amber Heard : Ses 15 apparitions envoûtantes !,"Abonnez vous !
 https://goo.gl/J38CUh 

C’est confirmé, Amber Heard a demandé le divorce à Johnny Depp. Mariés depuis quinze mois seulement, la jolie blonde claque finalement la porte. Une raison pour revenir sur les quinze plus belles apparitions d’Amber Heard ! Amber Heard est l’une des plus belles femmes à Hollywood et chacune de ses apparitions fait l’effet d’une bombe. Sur le red carpet, elle sait y faire pour mettre en valeur sa sensualité en optant pour des tenues toujours très affriolantes. A 30 ans, l’actrice de 3 Days to Kill maîtrise la séduction à la perfection. Bref, elle ne manque jamais l’occasion de faire monter la température. En plus de faire tourner la tête de la planète people, Amber Heard a réussi à attirer dans ses filets le très sexy Johnny Depp. Mais alors qu’on pensait qu’ils filaient le parfait amour, la belle lui demande le divorce
. Une nouvelle qui en a surpris plus d’un et qui promet de faire couler beaucoup d’encre… EV",PT43S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,879,14,0,2,,
youtube#video,DVQSV28_IMwSZVSquDM_ZLS2nuE,45UNWPx81rs,2020-07-29T01:49:17Z,UCklGBONSXsd2PCqI0Ay-eWQ,Johnny Depp’s Lawyer Calls Amber Heard 'a Compulsive Liar' on Last Day of Actor's U.K. Libel Case [N,"Advertisement    Johnny Depp's legal team is claiming his ex-wife Amber Heard is an ""unreliable witness"" and ""compulsive liar.""    On Tuesday, in closing the Pirates of the Caribbean actor's libel case against News  ...
-------------------------------------------------------------------------
Please Click Subscribe
TV News, Previews, Spoilers, Casting Scoop, Interviews, Television News, Ratings, TV Show Reviews, TV - News, Pictures, Videos, Entertainment, 

#JohnnyDepp’sLawyerCallsAmberHeard, #CompulsiveLiar, #LastDay, #Actor, #UKLibel
#AmberHeard, #Celebrities, #CourtsandTrials, #DomesticViolence, #JohnnyDepp, #MovieCelebrities, #MovieNews, #News",https://i.ytimg.com/vi/45UNWPx81rs/default.jpg,120,90,https://i.ytimg.com/vi/45UNWPx81rs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/45UNWPx81rs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/45UNWPx81rs/sddefault.jpg,640.0,480.0,,,,Movie news,"['Amber Heard', 'Celebrities', 'Courts and Trials', 'Domestic Violence', 'Johnny Depp', 'Movie Celebrities', 'Movie News', 'News Television News', 'Ratings', 'TV Show Reviews', 'TV - News', 'Pictures', 'Videos', 'Entertainment']",22,none,Johnny Depp’s Lawyer Calls Amber Heard 'a Compulsive Liar' on Last Day of Actor's U.K. Libel Case [N,"Advertisement    Johnny Depp's legal team is claiming his ex-wife Amber Heard is an ""unreliable witness"" and ""compulsive liar.""    On Tuesday, in closing the Pirates of the Caribbean actor's libel case against News  ...
-------------------------------------------------------------------------
Please Click Subscribe
TV News, Previews, Spoilers, Casting Scoop, Interviews, Television News, Ratings, TV Show Reviews, TV - News, Pictures, Videos, Entertainment, 

#JohnnyDepp’sLawyerCallsAmberHeard, #CompulsiveLiar, #LastDay, #Actor, #UKLibel
#AmberHeard, #Celebrities, #CourtsandTrials, #DomesticViolence, #JohnnyDepp, #MovieCelebrities, #MovieNews, #News",PT4M44S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,11,0,0,0,,en
youtube#video,7aRtdjoscAQycrmCBWjvRtuTWNc,B1N-1Ni8-KQ,2020-07-22T07:57:31Z,UCq7psd-xuGU4kDWMKwUXyMA,[LIVE] AMBER THE LIAR!!! Going Over DAY 10 CONTRADICTIONS!!!,"DID YOUTUBE STRIP MY AUDIO?? OR DO I SUCK DiCh!?
ALSO!!!
AMBER DIDN'T KNOW JOHNNY CUT HIS FINGER? HMM....
7.20.20

LMK IF U GUYS WANT MORE!!!

this video contains the TRANSCRIPT for DAY 10 Proceedings; WE ARE ON WEEK 3!

Queens' Court DISCUSS AH Evidence and Witness Statements before She takes the Stand. Will Cover More Later

WARNING:  there is some RAW AUDIO presented to make a point in regards to contradictions in this case. Thank You to INDCREDIBLY AVERAGE for the great content & Nick Wallis for Providing Daily Transcripts",https://i.ytimg.com/vi/B1N-1Ni8-KQ/default.jpg,120,90,https://i.ytimg.com/vi/B1N-1Ni8-KQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/B1N-1Ni8-KQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/B1N-1Ni8-KQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/B1N-1Ni8-KQ/maxresdefault.jpg,1280.0,720.0,Rosalyn426,"['amberheard', 'amber turd', 'johnny depp', 'ngn', 'queens court', 'nick wallis', 'amber heard', 'court proceedings', 'live', 'elon musk', 'poopgate', 'youtube live', 'pirates of the Caribbean', 'Adderall diaries', 'james franco', 'evidence', 'johnny finger', 'amber liar', 'incredibly average', 'the umbrella guy']",24,none,[LIVE] AMBER THE LIAR!!! Going Over DAY 10 CONTRADICTIONS!!!,"DID YOUTUBE STRIP MY AUDIO?? OR DO I SUCK DiCh!?
ALSO!!!
AMBER DIDN'T KNOW JOHNNY CUT HIS FINGER? HMM....
7.20.20

LMK IF U GUYS WANT MORE!!!

this video contains the TRANSCRIPT for DAY 10 Proceedings; WE ARE ON WEEK 3!

Queens' Court DISCUSS AH Evidence and Witness Statements before She takes the Stand. Will Cover More Later

WARNING:  there is some RAW AUDIO presented to make a point in regards to contradictions in this case. Thank You to INDCREDIBLY AVERAGE for the great content & Nick Wallis for Providing Daily Transcripts",PT32M55S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,91,1,0,4,,
youtube#video,4ovqnL9duo_PdvwI3epCyNuq8uQ,BinjKU7ixbw,2020-11-14T18:15:36Z,UCLXe-Xr9iYAJrv2K-Z-zRcQ,Biggest liar in the history : Amber Heard-Part2,#Justice4depp,https://i.ytimg.com/vi/BinjKU7ixbw/default.jpg,120,90,https://i.ytimg.com/vi/BinjKU7ixbw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BinjKU7ixbw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BinjKU7ixbw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/BinjKU7ixbw/maxresdefault.jpg,1280.0,720.0,who is joe tho?,,22,none,Biggest liar in the history : Amber Heard-Part2,#Justice4depp,PT47S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1790,11,0,2,,
youtube#video,7OKCiSFgYtks6Cper7qe69vY6A8,bV5JuS6Edk0,2016-06-02T12:51:01Z,UCJIfKcm-NouMWpLvFjmdmRw,Trending   Ear witnesses claim Amber Heard is a liar  Emily Blunt to be Mary Pop,Trending   Ear witnesses claim Amber Heard is a liar  Emily Blunt to be Mary Pop,https://i.ytimg.com/vi/bV5JuS6Edk0/default.jpg,120,90,https://i.ytimg.com/vi/bV5JuS6Edk0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bV5JuS6Edk0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bV5JuS6Edk0/sddefault.jpg,640.0,480.0,,,,COVER,['Trending Ear witnesses claim Amber Heard is a liar Emily Blunt to be Mary Pop'],22,none,Trending   Ear witnesses claim Amber Heard is a liar  Emily Blunt to be Mary Pop,Trending   Ear witnesses claim Amber Heard is a liar  Emily Blunt to be Mary Pop,PT1M12S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,327,2,0,1,,
youtube#video,Ee2o9yMNOf-1_T_gZgucStNpWh0,cRt0m2OZgvg,2021-03-20T04:28:36Z,UClhloyJ-ss_6vngYJWmJFRA,AMBER HEARD is a LIAR according to Depp's lawyers!  New alligations for Brad Pitt?!?,"#Justice4JohnnyDepp #BradPitt #AmberHeard #AngelinaJolie

Hollywood and lawsuits amongst celebrity couples!

Check out Gary Robinson 
Waves of Amber Pain: https://youtu.be/xFOFlPAaxOc.  Be sure to subscribe!",https://i.ytimg.com/vi/cRt0m2OZgvg/default.jpg,120,90,https://i.ytimg.com/vi/cRt0m2OZgvg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/cRt0m2OZgvg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/cRt0m2OZgvg/sddefault.jpg,640.0,480.0,,,,Gingerlocks,,24,none,AMBER HEARD is a LIAR according to Depp's lawyers!  New alligations for Brad Pitt?!?,"#Justice4JohnnyDepp #BradPitt #AmberHeard #AngelinaJolie

Hollywood and lawsuits amongst celebrity couples!

Check out Gary Robinson 
Waves of Amber Pain: https://youtu.be/xFOFlPAaxOc.  Be sure to subscribe!",PT55M57S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,118,19,0,1,,
youtube#video,vs92Deo9dQJBFn1DPEKajUJ7IAM,d3BjcKq5w2A,2020-07-13T19:51:07Z,UC-kBvjp01-VbKiDmOfF67nw,"GLEE - Full Performance of 'Rumour Has It/Someone Like You"" from ""Mash Off""","#Glee #NayaRivera #AmberRiley #HeatherMorris
#SantanaLopez #MercedesJones #BrittanyPierce",https://i.ytimg.com/vi/d3BjcKq5w2A/default.jpg,120,90,https://i.ytimg.com/vi/d3BjcKq5w2A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/d3BjcKq5w2A/hqdefault.jpg,480,360,https://i.ytimg.com/vi/d3BjcKq5w2A/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/d3BjcKq5w2A/maxresdefault.jpg,1280.0,720.0,Glee Forever!,['Glee'],24,none,"GLEE - Full Performance of 'Rumour Has It/Someone Like You"" from ""Mash Off""","#Glee #NayaRivera #AmberRiley #HeatherMorris
#SantanaLopez #MercedesJones #BrittanyPierce",PT4M34S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4011273,63243,0,2553,,en
youtube#video,8cQKynQJlZAtg_VLIpWhyJGhsrY,dOKC_vWIY9w,2021-05-24T14:07:18Z,UCIxIXEqc7FU4rbM5vxvGjwQ,"JOHNNY DEPP vs. Amber Heard 🥊 Psychic Truth Check ✅ Who is a liar, and who was the aggressor? 🔮","TODAY, we talk about the infamous divorce and libel case between Johnny Depp and Amber Heard to discover who is lying, who is telling the truth, and who was the true aggressor and abuser. The answer may shock you. It did me!

Please note: I intended for this to be a shorter reading which is why I mentioned this in the video. I'm finding these will be ""healthier"" lengths in order to capture all the information that's offered. 

🗣️ Welcome to PSYCHIC TRUE CRIME where we dive into the psychology of known and unknown killers, criminals, and celebrities and aim to bring greater awareness to unsolved crimes and crimes that left an imprint on history using intuition and psychic readings. 

🔮 Purchase a personal reading HERE:
https://www.erritygreen.com/shop​​​​​

✴️  Thank you for joining our community. If you enjoyed this video, please LIKE and SUBSCRIBE and press the BELL ICON. 

💎 If inspired, you may CONTRIBUTE to this channel, and THANK YOU for your support: https://www.paypal.me/yogimom​​​​​​​​

📖 By day, Errity Green, M.A. is a graduate-educated holistic leadership mentor supporting leading women to attain greater levels of personal and professional success. 

💋 You can find out more about her and her work at: 
https://erritygreen.com/about

🔮 Check out her other YouTube Channel Wise Woman Oracle & Tarot:
https://www.youtube.com/c/WiseWomanTelevisionwithErrityGreenMA

✴️ You can purchase her books: 

💟 YOUR SOUL-FIGURE YEAR: 
https://tinyurl.com/wehm5tv​​​​​​​​​

💟 READY. SET. WORTHY: 
https://tinyurl.com/8pdzrttm​​​​​​​​​

🌟 Follow Errity on Facebook:
https://facebook.com/erritygreen​​​​​

Please know: I do this *for fun*, and I have no intention to tolerate negative comments, trolls, or haters so please support each other, be kind, and let's use this channel to become better humans. 

Dislcaimer: This channel and all of the readings and videos are for entertainment purposes only.",https://i.ytimg.com/vi/dOKC_vWIY9w/default.jpg,120,90,https://i.ytimg.com/vi/dOKC_vWIY9w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dOKC_vWIY9w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dOKC_vWIY9w/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/dOKC_vWIY9w/maxresdefault.jpg,1280.0,720.0,Psychic True Crime,,22,none,"JOHNNY DEPP vs. Amber Heard 🥊 Psychic Truth Check ✅ Who is a liar, and who was the aggressor? 🔮","TODAY, we talk about the infamous divorce and libel case between Johnny Depp and Amber Heard to discover who is lying, who is telling the truth, and who was the true aggressor and abuser. The answer may shock you. It did me!

Please note: I intended for this to be a shorter reading which is why I mentioned this in the video. I'm finding these will be ""healthier"" lengths in order to capture all the information that's offered. 

🗣️ Welcome to PSYCHIC TRUE CRIME where we dive into the psychology of known and unknown killers, criminals, and celebrities and aim to bring greater awareness to unsolved crimes and crimes that left an imprint on history using intuition and psychic readings. 

🔮 Purchase a personal reading HERE:
https://www.erritygreen.com/shop​​​​​

✴️  Thank you for joining our community. If you enjoyed this video, please LIKE and SUBSCRIBE and press the BELL ICON. 

💎 If inspired, you may CONTRIBUTE to this channel, and THANK YOU for your support: https://www.paypal.me/yogimom​​​​​​​​

📖 By day, Errity Green, M.A. is a graduate-educated holistic leadership mentor supporting leading women to attain greater levels of personal and professional success. 

💋 You can find out more about her and her work at: 
https://erritygreen.com/about

🔮 Check out her other YouTube Channel Wise Woman Oracle & Tarot:
https://www.youtube.com/c/WiseWomanTelevisionwithErrityGreenMA

✴️ You can purchase her books: 

💟 YOUR SOUL-FIGURE YEAR: 
https://tinyurl.com/wehm5tv​​​​​​​​​

💟 READY. SET. WORTHY: 
https://tinyurl.com/8pdzrttm​​​​​​​​​

🌟 Follow Errity on Facebook:
https://facebook.com/erritygreen​​​​​

Please know: I do this *for fun*, and I have no intention to tolerate negative comments, trolls, or haters so please support each other, be kind, and let's use this channel to become better humans. 

Dislcaimer: This channel and all of the readings and videos are for entertainment purposes only.",PT52M6S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,467,13,0,14,,
