kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage,snippet.defaultAudioLanguage,snippet.tags
youtube#video,_RnSrCafPGYrwbK1eSrklvpzi_8,0chmOiZQL-c,2021-03-21T18:30:30Z,UC08ZRA57JD5g7d26Sqn-dlA,Amber Heard Apologies to Johnny Depp IG LIVE VIDEO #shorts,,https://i.ytimg.com/vi/0chmOiZQL-c/default.jpg,120,90,https://i.ytimg.com/vi/0chmOiZQL-c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0chmOiZQL-c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0chmOiZQL-c/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0chmOiZQL-c/maxresdefault.jpg,1280.0,720.0,Trendster Vision,22,none,Amber Heard Apologies to Johnny Depp IG LIVE VIDEO #shorts,,PT40S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,938,4,0,0,,,
youtube#video,JeqAUDyGYekwDYwCRY8p0U1--Gg,0VGEKumzRYQ,2021-10-01T16:00:01Z,UCmAPVHMKEbKcNOmpmzRa8Rg,Jason Momoa’s Relationship With Amber Heard Is Weird,"Join us in today’s video as we show you Jason Momoa’s Relationship With Amber Heard Is Weird. Amber and Jason were phenomenal on-screen and had infectious chemistry, but do they like each other IRL? Fans of the DC Comics franchise were introduced to a love story like no other in 2018 when the movie Aquaman came out.

The superhero movie tells the story of how Arthur A.K.A. Aquaman leads the kingdom of Atlantis to stop his half-brother, King Orm, from uniting the seven underwater kingdoms and destroying the world. Be sure to watch the whole video for the full details about this and in addition, do us a favor and like the video and subscribe and turn on the notification bell. We’ll see you in the next video!

#JasonMomoa
#AmberHeard
#Celebrity

Related Videos:

Amber Heard Sentenced In Court After Shocking Details Surface…
https://www.youtube.com/watch?v=Vjejpodph54&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=3

Amber Heard Faces Prison After This…
https://www.youtube.com/watch?v=dJe8bl_BLDE&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=4

Johnny Depp Speaks On Amber Heard Ruining Her Own Career
https://www.youtube.com/watch?v=TiW2Xpu1wPc&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=5

Disney Apologizes To Johnny Depp After This...
https://www.youtube.com/watch?v=siGE-fVUHG4&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=6

Amber Heard Exposed After Leaked LAPD Footage Surfaced…
https://www.youtube.com/watch?v=U8kIY_JREHk&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=7


I do not take any ownership of the music displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes only.",https://i.ytimg.com/vi/0VGEKumzRYQ/default.jpg,120,90,https://i.ytimg.com/vi/0VGEKumzRYQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0VGEKumzRYQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0VGEKumzRYQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0VGEKumzRYQ/maxresdefault.jpg,1280.0,720.0,Entertainment Connect,22,none,Jason Momoa’s Relationship With Amber Heard Is Weird,"Join us in today’s video as we show you Jason Momoa’s Relationship With Amber Heard Is Weird. Amber and Jason were phenomenal on-screen and had infectious chemistry, but do they like each other IRL? Fans of the DC Comics franchise were introduced to a love story like no other in 2018 when the movie Aquaman came out.

The superhero movie tells the story of how Arthur A.K.A. Aquaman leads the kingdom of Atlantis to stop his half-brother, King Orm, from uniting the seven underwater kingdoms and destroying the world. Be sure to watch the whole video for the full details about this and in addition, do us a favor and like the video and subscribe and turn on the notification bell. We’ll see you in the next video!

#JasonMomoa
#AmberHeard
#Celebrity

Related Videos:

Amber Heard Sentenced In Court After Shocking Details Surface…
https://www.youtube.com/watch?v=Vjejpodph54&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=3

Amber Heard Faces Prison After This…
https://www.youtube.com/watch?v=dJe8bl_BLDE&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=4

Johnny Depp Speaks On Amber Heard Ruining Her Own Career
https://www.youtube.com/watch?v=TiW2Xpu1wPc&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=5

Disney Apologizes To Johnny Depp After This...
https://www.youtube.com/watch?v=siGE-fVUHG4&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=6

Amber Heard Exposed After Leaked LAPD Footage Surfaced…
https://www.youtube.com/watch?v=U8kIY_JREHk&list=RDCMUCJPOs6kI_s7YpXgSWIM01ZQ&index=7


I do not take any ownership of the music displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes only.",PT9M55S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,11,0,0,1,,,
youtube#video,0tDDIvmRO7ZEvkkJhN7IsPBjJvQ,0XtLAWr2858,2021-07-26T01:19:43Z,UCaFhPje-_jfvLywSdL1MOCg,Response To Film Streak-For Those Who Believe Amber Heard Is Going To Prison(Amber Heard Playlist!!),,https://i.ytimg.com/vi/0XtLAWr2858/default.jpg,120,90,https://i.ytimg.com/vi/0XtLAWr2858/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0XtLAWr2858/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0XtLAWr2858/sddefault.jpg,640.0,480.0,,,,#JOHNNYDEPPBEATSWOMEN Johnny Depp es racista,22,none,Response To Film Streak-For Those Who Believe Amber Heard Is Going To Prison(Amber Heard Playlist!!),,PT2M35S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2,0,0,,en-US,en-US,
youtube#video,y1CgZxfOmIFGj7MeVdIP_wwArY4,2yAA6Xho8pY,2021-07-16T17:00:02Z,UCxLQ4EXqYGhJyQxsgTnlP0Q,Amber Heard Got Sentenced For THESE *SHOCKING DETAILS*,"Amber Heard Got Sentenced For THESE *SHOCKING DETAILS*

For never was a story of more woe than this of Amber Heard and Johnny Depp...

And the story gets even more sad and harsh.

But this time the things are not really good for Amber Heard.

Reportedly, the actress is at risk of facing jail time because now she is under investigation. 

#AmberHeard #JohnnyDepp",https://i.ytimg.com/vi/2yAA6Xho8pY/default.jpg,120,90,https://i.ytimg.com/vi/2yAA6Xho8pY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2yAA6Xho8pY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2yAA6Xho8pY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2yAA6Xho8pY/maxresdefault.jpg,1280.0,720.0,Fame,24,none,Amber Heard Got Sentenced For THESE *SHOCKING DETAILS*,"Amber Heard Got Sentenced For THESE *SHOCKING DETAILS*

For never was a story of more woe than this of Amber Heard and Johnny Depp...

And the story gets even more sad and harsh.

But this time the things are not really good for Amber Heard.

Reportedly, the actress is at risk of facing jail time because now she is under investigation. 

#AmberHeard #JohnnyDepp",PT4M29S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,101,3,0,0,,en-US,"['Amber Heard Got Sentenced For THESE *SHOCKING DETAILS*', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'depp heard', 'celebrity news', 'amber heard and johnny depp', 'johnny depp and amber heard', 'justice for johnny depp', 'johnny depp news', 'amber heard fired', 'amber heard loses', 'viral vision', 'johnny depp wins', 'johnny depp appeal', 'amber heard aquaman 2', 'johnny depp suing amber heard', 'johnny depp amber heard audio', 'crazed culture', 'fame']"
youtube#video,sS4GJJ6gGwMolgG-l72vh5dr4vE,6-F6TIow-Wo,2021-10-15T05:13:22Z,UCHEG6fQZtKBf-pzCuzG01Hg,"Los Angeles Police Corruption, Just One Example Of Many!! (Amber Heard Playlist!!)",https://www.youtube.com/watch?v=MVBZ3YF800c,https://i.ytimg.com/vi/6-F6TIow-Wo/default.jpg,120,90,https://i.ytimg.com/vi/6-F6TIow-Wo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6-F6TIow-Wo/hqdefault.jpg,480,360,,,,,,,Asshats Love Johnny Depp!! Johnny Depp Es Racista!!,1,none,"Los Angeles Police Corruption, Just One Example Of Many!! (Amber Heard Playlist!!)",https://www.youtube.com/watch?v=MVBZ3YF800c,PT13M46S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,6,,0,,,,
youtube#video,deA3Zv8sDs5BHIzsMba13K3Nhlo,7QBdOXYs_Uo,2021-12-25T03:12:57Z,UC-TH1SwtlwRekg3IycFPQdQ,Aquaman (2018) Official Trailer 1 | Amber Heard,"Once home to the most advanced civilization on Earth, the city of Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people -- and then the surface world. Standing in his way is Aquaman, Orm's half-human, half-Atlantean brother and true heir to the throne. With help from royal counselor Vulko, Aquaman must retrieve the legendary Trident of Atlan and embrace his destiny as protector of the deep.",https://i.ytimg.com/vi/7QBdOXYs_Uo/default.jpg,120,90,https://i.ytimg.com/vi/7QBdOXYs_Uo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7QBdOXYs_Uo/hqdefault.jpg,480,360,,,,,,,MOTION PICTURE ASSOCIATION,24,none,Aquaman (2018) Official Trailer 1 | Amber Heard,"Once home to the most advanced civilization on Earth, the city of Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people -- and then the surface world. Standing in his way is Aquaman, Orm's half-human, half-Atlantean brother and true heir to the throne. With help from royal counselor Vulko, Aquaman must retrieve the legendary Trident of Atlan and embrace his destiny as protector of the deep.",PT2M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,1,0,0,,,"['dc comics', 'dc', 'mera', 'aquaman', 'amber heard']"
youtube#video,I8EhcwC3sWKt4OTXzh8D6cwO1Vw,CdoFFnLj1i0,2020-04-16T11:41:12Z,UCnYET4SAmQmecYSN2Lnuuow,Little Hope Trailer Launched; Amber Heard Jailed for Assaulting Johnny Depp,Amber Heard has been jailed for beating up Johnny Depp; Halloween Horror Nights will go on in late Sept-Oct 31st by the time Universal parks reopen after the CV crisis; Little Hope's new trailer; Dracula; extended suspension of Disney Cruise Lines services through late June.,https://i.ytimg.com/vi/CdoFFnLj1i0/default.jpg,120,90,https://i.ytimg.com/vi/CdoFFnLj1i0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CdoFFnLj1i0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CdoFFnLj1i0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/CdoFFnLj1i0/maxresdefault.jpg,1280.0,720.0,Nathaniel Rego,24,none,Little Hope Trailer Launched; Amber Heard Jailed for Assaulting Johnny Depp,Amber Heard has been jailed for beating up Johnny Depp; Halloween Horror Nights will go on in late Sept-Oct 31st by the time Universal parks reopen after the CV crisis; Little Hope's new trailer; Dracula; extended suspension of Disney Cruise Lines services through late June.,PT46S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,True,48,1,0,0,,,"['Little', 'Hope', 'The', 'Dark', 'Pictures', 'Amber', 'Heard', 'Johnny', 'Depp', 'Trailers', 'Gaming']"
youtube#video,4Y1ppHdNNlFiUsEEl_hijF-Pz_A,i27zWlqCiq4,2021-07-27T15:15:03Z,UCu2zJK5IsAsyhTwx5eXRU6Q,Amber Heard About Johnny Depp Losing The Case,"Amber Heard About Johnny Depp Losing The Case
SUBSCRIBE and LIKE this video for MORE",https://i.ytimg.com/vi/i27zWlqCiq4/default.jpg,120,90,https://i.ytimg.com/vi/i27zWlqCiq4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/i27zWlqCiq4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/i27zWlqCiq4/sddefault.jpg,640.0,480.0,,,,TV Moments,24,none,Amber Heard About Johnny Depp Losing The Case,"Amber Heard About Johnny Depp Losing The Case
SUBSCRIBE and LIKE this video for MORE",PT9M18S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,33,1,0,0,,,"['johnny depp', 'amber heard', 'amber heard johnny depp', 'Amber Heard About Johnny Depp Losing The Case', 'amber heard about johnny depp losing the case', 'celebrities', 'johnny depp amber heard', 'johnny depp loses case', 'amber heard defamation', 'johnny depp amber heard trial', 'johnny depp defamation', 'news', 'exposed', 'court case', 'amber heard trial', 'amber heard deposition', 'johnny depp court update', 'johnny depp court', 'amber heard court', 'celebrity news', 'hollywood news', 'celebrity gossip', 'court']"
youtube#video,k_yIuszrWsUYtqdQrVPdu9mrATs,J0HgaDAyBFQ,2021-10-04T15:15:01Z,UC-lZTlG05ETwyjDS1JQCv3w,Amber Heard SENTENCED TO 10 Years - Johnny Depp Hopes for Amber's Prison Time | Celebrity Craze,"Amber Heard SENTENCED TO 10 Years - Johnny Depp Hopes for Amber's Prison Time | Celebrity Craze

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
------------------------------------------------------------------------------------------------------------------------------
Subscribe: https://www.youtube.com/channel/UC-lZTlG05ETwyjDS1JQCv3w/featured?sub_confirmation=1

CHECK OUT OUR OTHER VIDEOS!

Johnny Depp - Amber Heard Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZeBBelsB9UPo7VTXRu_zcu

David Dobrik Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZvMGJgSPbWh2dnA6a1d1aX

Justin Bieber Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZTJh_XpqH_BjfmbY4sRJJD

Kardashian Family Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZOHixd1sAisB2wgS5JzLua

This Channel intends to provide the most breaking celeb news, drama and controversies all in one place. Also, information not only about Celebrities from Hollywood Film Industry but also Famous People around the World. We maintain different Playlists which you could come back and watch videos from your desired interest category. 

We also promise to keep our viewers entertained. Thanks for taking your time to checkout the Channel!

Subscribe to never miss a video.",https://i.ytimg.com/vi/J0HgaDAyBFQ/default.jpg,120,90,https://i.ytimg.com/vi/J0HgaDAyBFQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/J0HgaDAyBFQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/J0HgaDAyBFQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/J0HgaDAyBFQ/maxresdefault.jpg,1280.0,720.0,Celebrity Craze,24,none,Amber Heard SENTENCED TO 10 Years - Johnny Depp Hopes for Amber's Prison Time | Celebrity Craze,"Amber Heard SENTENCED TO 10 Years - Johnny Depp Hopes for Amber's Prison Time | Celebrity Craze

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD
------------------------------------------------------------------------------------------------------------------------------
Subscribe: https://www.youtube.com/channel/UC-lZTlG05ETwyjDS1JQCv3w/featured?sub_confirmation=1

CHECK OUT OUR OTHER VIDEOS!

Johnny Depp - Amber Heard Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZeBBelsB9UPo7VTXRu_zcu

David Dobrik Drama Playlist: https://youtube.com/playlist?list=PLlEaTEO50CGZvMGJgSPbWh2dnA6a1d1aX

Justin Bieber Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZTJh_XpqH_BjfmbY4sRJJD

Kardashian Family Drama: https://youtube.com/playlist?list=PLlEaTEO50CGZOHixd1sAisB2wgS5JzLua

This Channel intends to provide the most breaking celeb news, drama and controversies all in one place. Also, information not only about Celebrities from Hollywood Film Industry but also Famous People around the World. We maintain different Playlists which you could come back and watch videos from your desired interest category. 

We also promise to keep our viewers entertained. Thanks for taking your time to checkout the Channel!

Subscribe to never miss a video.",PT8M4S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1257,50,0,21,en-US,en-US,"['celebrity craze', 'celebrity', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', ""Amber Heard SENTENCED TO 10 Years - Johnny Depp Hopes for Amber's Prison Time""]"
youtube#video,IWO-EnryAjnX-IJY2HgyI5HuPzM,nUKXwHW4dvE,2021-05-22T02:00:45Z,UC5Hc6aJK2tSW3JHRAKjEb0w,AMBER HEARD NO DONO el DINERO que dijo haber donado,"Twitch ➥ http://twitch.tv/juanitosay​
► TUS 10 SEGUNDOS ➥ https://tus10segundos.com/products/de...​
► SE PARTE DEL TEAM DELCARAJO:
➥ https://youtube.com/channel/UCuWeBHxV...​
► TIENDA DELCARAJO ➥ http://delcarajo.net​

► Sigueme en:
Twitter ➥ http://twitter.com/juanitosay​
Instagram ➥ http://instagram.com/juanitosayoficial​

► Contacto: say@delcarajo.net


* Hey, Friki Delcarajo... ¿Que haces tan abajo? El boton de like esta mas arriba ( ͡° ͜ʖ ͡°)",https://i.ytimg.com/vi/nUKXwHW4dvE/default.jpg,120,90,https://i.ytimg.com/vi/nUKXwHW4dvE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nUKXwHW4dvE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/nUKXwHW4dvE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/nUKXwHW4dvE/maxresdefault.jpg,1280.0,720.0,DATA SUCULENTA,20,none,AMBER HEARD NO DONO el DINERO que dijo haber donado,"Twitch ➥ http://twitch.tv/juanitosay​
► TUS 10 SEGUNDOS ➥ https://tus10segundos.com/products/de...​
► SE PARTE DEL TEAM DELCARAJO:
➥ https://youtube.com/channel/UCuWeBHxV...​
► TIENDA DELCARAJO ➥ http://delcarajo.net​

► Sigueme en:
Twitter ➥ http://twitter.com/juanitosay​
Instagram ➥ http://instagram.com/juanitosayoficial​

► Contacto: say@delcarajo.net


* Hey, Friki Delcarajo... ¿Que haces tan abajo? El boton de like esta mas arriba ( ͡° ͜ʖ ͡°)",PT9M28S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,395,51,0,10,,,"['gamer delcarajo', 'juanito say']"
