kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,contentDetails.regionRestriction.blocked
youtube#video,nfVA52xnzv18kA-aTuGEKbeAQRI,2b-HyddjXL4,2019-03-20T15:20:43Z,UCiYWpId1oFW1F_E9HZUc3lQ,"Lily-Rose Depp, vengeance froide, un coup en douce contre Amber Heard","S’il est une chose qu’une personne que Lily-Rose Depp, la fille de Johnny Depp, ne voudrait pas croiser, ce serait bien son ex belle-mère, Amber Heard.",https://i.ytimg.com/vi/2b-HyddjXL4/default.jpg,120,90,https://i.ytimg.com/vi/2b-HyddjXL4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2b-HyddjXL4/hqdefault.jpg,480,360,la santé Plus,"['Johnny Depp', 'Lily-Rose Depp']",22,none,"Lily-Rose Depp, vengeance froide, un coup en douce contre Amber Heard","S’il est une chose qu’une personne que Lily-Rose Depp, la fille de Johnny Depp, ne voudrait pas croiser, ce serait bien son ex belle-mère, Amber Heard.",PT2M5S,2d,hd,true,False,rectangular,processed,public,youtube,True,True,False,26,0,0,0,,,,,,,,
youtube#video,wxBfcLDbJcTZ9aLale66AO4MpUI,2VQ3XqeB9e4,2020-09-06T19:55:51Z,UCXrhM5_Z11LvlvICp7T7_Dw,Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks,"#HollywoodMonstersAmberHeard #AmberHeard

Amber Heard Kicking #ass_and taking names   and by 'names' I mean 'a lot of breaks
Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks/
Amber Heard Kicking #ass and taking names   and by 'names' I mean 'a lot of breaks
Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks
Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks















































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",https://i.ytimg.com/vi/2VQ3XqeB9e4/default.jpg,120,90,https://i.ytimg.com/vi/2VQ3XqeB9e4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2VQ3XqeB9e4/hqdefault.jpg,480,360,Hollywood Monsters,,22,none,Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks,"#HollywoodMonstersAmberHeard #AmberHeard

Amber Heard Kicking #ass_and taking names   and by 'names' I mean 'a lot of breaks
Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks/
Amber Heard Kicking #ass and taking names   and by 'names' I mean 'a lot of breaks
Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks
Amber Heard Kicking ass and taking names   and by 'names' I mean 'a lot of breaks















































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",PT4S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,559,5,0,0,https://i.ytimg.com/vi/2VQ3XqeB9e4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2VQ3XqeB9e4/maxresdefault.jpg,1280.0,720.0,en,
youtube#video,f2ONkG6Wy1yT6JpslmqncGAAsx0,5M01s1M4ipA,2019-01-07T17:20:32Z,UCAVgFwnRKj2Ny8M2emfYm9w,#Repost @jonchapmanhair with @get repost   ・・・   @amberheard heading to this evenings @aquamanmovie,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",https://i.ytimg.com/vi/5M01s1M4ipA/default.jpg,120,90,https://i.ytimg.com/vi/5M01s1M4ipA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5M01s1M4ipA/hqdefault.jpg,480,360,Celebrity Scoop,,24,none,#Repost @jonchapmanhair with @get repost   ・・・   @amberheard heading to this evenings @aquamanmovie,"Media Networks Broacasting Bringing the juiciest gossip straight to your screen, Celebrity Scoop keeps you up to date with all things showbiz, beauty and lifestyle. Each item provides a weekly fix of breaking news and plenty of exciting items about Hollywood's hottest men and women. Find out how to live like a star, how to dress like one and who’s hot or who's not in movie, music, fashion and TV land. There is also an in-depth celebrity profile in which we dig up all the details about a certain star. Whether it's about their lifestyle, love life, favorite designers or their chosen profession, Celebrity Scoop covers it all.",PT38S,2d,sd,false,True,rectangular,processed,public,youtube,True,False,False,29,,0,0,https://i.ytimg.com/vi/5M01s1M4ipA/sddefault.jpg,640.0,480.0,,,,,
youtube#video,hcDlP4vEzAkfCLc-0YIF3JOVdHk,6NePaGhDSZs,2021-01-25T07:18:35Z,UCce818H6sYNTEdaWUKwfpTA,Aquaman mera WhatsApp status HD || Amber Heard || Full Screen Whatsapp Status || V-tube.,"Follow me on Instagram
https://www.instagram.com/q.factory36/ Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.

***Video download link***-

To download my status videos .
Use this link to download Videoder first.
Then you can easily download my status videos .
Videoder for android-
 https://www.videoder.com/download/videoder-for-android
-------------------------------------------------------------------------
😅Emotional Whatsapp status
😘Romantic Whatsapp status
❤Love Whatsapp status
💘Heart Touching Whatsapp status
💝College Lovers Whatsapp status
❣Special Occasion Whatsapp status
💛Latest Whatsapp status
-------------------------------------------------------------------------
So Keep supporting Me.. 
Please🙏🙏💓
➡SUBSCRIBE
➡LIKE
➡COMMENT
➡SHARE",https://i.ytimg.com/vi/6NePaGhDSZs/default.jpg,120,90,https://i.ytimg.com/vi/6NePaGhDSZs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6NePaGhDSZs/hqdefault.jpg,480,360,V-tube,"['V-tube', 'SB STATUS', 'rock saab', 'fallen clouds', 'subodh su2', '#shorts', 'Mkbhd', 'Bb', 'Bb ki vines', 'Imnitinnk', 'Amber Heard', 'Mera Aquaman']",1,none,Aquaman mera WhatsApp status HD || Amber Heard || Full Screen Whatsapp Status || V-tube.,"Follow me on Instagram
https://www.instagram.com/q.factory36/ Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.

***Video download link***-

To download my status videos .
Use this link to download Videoder first.
Then you can easily download my status videos .
Videoder for android-
 https://www.videoder.com/download/videoder-for-android
-------------------------------------------------------------------------
😅Emotional Whatsapp status
😘Romantic Whatsapp status
❤Love Whatsapp status
💘Heart Touching Whatsapp status
💝College Lovers Whatsapp status
❣Special Occasion Whatsapp status
💛Latest Whatsapp status
-------------------------------------------------------------------------
So Keep supporting Me.. 
Please🙏🙏💓
➡SUBSCRIBE
➡LIKE
➡COMMENT
➡SHARE",PT37S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,132,5,0,3,,,,,,,en-IN,
youtube#video,GdVsAONIKv4vJTfSnyZG71XaPP0,8MU9H6SJjgA,2020-09-06T20:06:49Z,UCXrhM5_Z11LvlvICp7T7_Dw,Amber Heard Cruisin with bestie,"#HollywoodMonstersAmberHeard #AmberHeard

Amber Heard Cruisin with bestie
Amber Heard Cruisin with bestie
Amber Heard Cruisin with bestie
Amber Heard Cruisin with bestie
Amber Heard #Cruisin with bestie

















































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",https://i.ytimg.com/vi/8MU9H6SJjgA/default.jpg,120,90,https://i.ytimg.com/vi/8MU9H6SJjgA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8MU9H6SJjgA/hqdefault.jpg,480,360,Hollywood Monsters,,22,none,Amber Heard Cruisin with bestie,"#HollywoodMonstersAmberHeard #AmberHeard

Amber Heard Cruisin with bestie
Amber Heard Cruisin with bestie
Amber Heard Cruisin with bestie
Amber Heard Cruisin with bestie
Amber Heard #Cruisin with bestie

















































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",PT15S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,159,3,0,4,,,,,,,en,
youtube#video,JJIRup9SrOLPKxIM-8q8ylY0gnY,aI0F_gr7oT0,2020-03-05T06:26:37Z,UClx_IR8_yVIKdFVUTdmaZTw,It Looks Like Amber Heard Is Running Out Of Luck. Is She About To Lose Mera? 🧜‍♀️🔫💀,"Oh would you look at that...a 36 minute Amber Heard video 😂 
that should be enough Darth News to get you by until tomorrow 

#AmberHeard #JusticeForJohnny #Mera #Aquaman2",https://i.ytimg.com/vi/aI0F_gr7oT0/default.jpg,120,90,https://i.ytimg.com/vi/aI0F_gr7oT0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aI0F_gr7oT0/hqdefault.jpg,480,360,DarthN3ws,"['domestic violence', 'abuse', 'abused', 'abusive', 'amber heard', 'Johnny Depp', 'media', 'fake news', 'Instagram', 'Ryan Reynolds', 'trump', 'maga', 'Deadpool', 'marvel', 'Disney', 'Joe Rogan', 'cosplay', 'movies', 'actors', 'Hollywood', 'aquaman 2', 'leaked', 'manipulator', 'liar', 'oscar party', 'offensive', 'triggered', 'fandom menace', 'news', 'trending', 'fox news', 'cnn', 'snowflake', 'sjw', 'TMZ', 'Tim Pool', 'the quartering', 'gamer', 'gaming', 'conservative', 'INSTAGRAM', 'models', 'elitists', 'Ben Shapiro', 'Steven Crowder', 'justice for johnny', 'comedian', 'satire', 'KAG', 'pewdiepie', 'Darth news']",24,none,It Looks Like Amber Heard Is Running Out Of Luck. Is She About To Lose Mera? 🧜‍♀️🔫💀,"Oh would you look at that...a 36 minute Amber Heard video 😂 
that should be enough Darth News to get you by until tomorrow 

#AmberHeard #JusticeForJohnny #Mera #Aquaman2",PT36M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7397,511,0,196,https://i.ytimg.com/vi/aI0F_gr7oT0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aI0F_gr7oT0/maxresdefault.jpg,1280.0,720.0,,
youtube#video,Cyho8RpSP66YcttIFzTj82PbnE4,asL-TsAVh3M,2018-07-04T15:23:30Z,UCyxlSLFpgQwPIV2UU-0uhJw,AMBER HEARD'S DISRESPECTFUL AND RACIST TWEET ABOUT LANDSCAPERS,"Amber Heard slammed for warning nannies and landscapers about ICE checkpoint Amber Heard faced massive reactions on Twitter when she tried to warn neighbors of a US immigration and customs checkpoint. UU Near your house.

""I just heard that there is an ICE checkpoint in Hollywood, a few blocks from where I live in. It is better that everyone give their housewives, nannies and landscapers a ride home tonight ..."" he wrote in an since-deleted tweet.

Twitter users were quick to call her.

damn amber, you think this sounds awoke, huh, ""tweeted a user.

""Hi, amber, I love you so much that I'm going to tell you this: not all immigrants are housewives, nannies and landscapers (not that there is anything wrong with being), but this stereotype should have been eradicated some time ago,"" he said. other.

Heard did not apologize for his original tweet, but followed up with another on the immigration checkpoints.

""Checkpoints in their home streets .... Is this the"" great ""United States we're targeting? Raids, fences and police state controls do not feel like the 'land of the free' they built our immigrant ancestors. """,https://i.ytimg.com/vi/asL-TsAVh3M/default.jpg,120,90,https://i.ytimg.com/vi/asL-TsAVh3M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/asL-TsAVh3M/hqdefault.jpg,480,360,Aban Usa News,"['reality tv series', 'tv show', 'tv recap', 'reality tv', 'gossip', 'celebrity', 'enterteiment', 'Amber Heard', 'johnny depp', 'amber', 'trailer', 'official', 'cinema', 'justice league', 'film', 'london fields', 'news', 'interview', 'hd', 'paranoia', 'heard', 'amber heard young', 'divorce', 'amber heard new movie', 'amber heard johnny depp', 'movie', 'amber heard through the years', 'cara delevingne', 'new', 'loreal', 'daily news', 'latest news', 'hot news', 'star insider', 'star', 'johnny', 'depp', 'pirates of the caribbean']",22,none,AMBER HEARD'S DISRESPECTFUL AND RACIST TWEET ABOUT LANDSCAPERS,"Amber Heard slammed for warning nannies and landscapers about ICE checkpoint Amber Heard faced massive reactions on Twitter when she tried to warn neighbors of a US immigration and customs checkpoint. UU Near your house.

""I just heard that there is an ICE checkpoint in Hollywood, a few blocks from where I live in. It is better that everyone give their housewives, nannies and landscapers a ride home tonight ..."" he wrote in an since-deleted tweet.

Twitter users were quick to call her.

damn amber, you think this sounds awoke, huh, ""tweeted a user.

""Hi, amber, I love you so much that I'm going to tell you this: not all immigrants are housewives, nannies and landscapers (not that there is anything wrong with being), but this stereotype should have been eradicated some time ago,"" he said. other.

Heard did not apologize for his original tweet, but followed up with another on the immigration checkpoints.

""Checkpoints in their home streets .... Is this the"" great ""United States we're targeting? Raids, fences and police state controls do not feel like the 'land of the free' they built our immigrant ancestors. """,PT1M3S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,147,1,0,1,https://i.ytimg.com/vi/asL-TsAVh3M/sddefault.jpg,640.0,480.0,,,,en,
youtube#video,HopASK0PQcWMFpk2SyV8uB42S8Y,cK0OKdkjHHw,2013-08-26T11:07:26Z,UC1ycTEyaWJGy8xIrErbnKvA,ALL THE BOYS LOVE MANDY LANE - Official Feature Trailer (HD) - Amber Heard,"Starring: Amber Heard
Directed by: Jonathan Levine

VOD Release Date: Sept. 6, 2014
Theatrical Release Date: Oct. 11 2014",https://i.ytimg.com/vi/cK0OKdkjHHw/default.jpg,120,90,https://i.ytimg.com/vi/cK0OKdkjHHw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/cK0OKdkjHHw/hqdefault.jpg,480,360,TheFilmChairTV,"['All The Boys Love Mandy Lane (Film)', 'Amber Heard (TV Actor)', 'Trailer (Website Category)']",24,none,ALL THE BOYS LOVE MANDY LANE - Official Feature Trailer (HD) - Amber Heard,"Starring: Amber Heard
Directed by: Jonathan Levine

VOD Release Date: Sept. 6, 2014
Theatrical Release Date: Oct. 11 2014",PT2M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1606,4,0,0,https://i.ytimg.com/vi/cK0OKdkjHHw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/cK0OKdkjHHw/maxresdefault.jpg,1280.0,720.0,,
youtube#video,hRAG5GDW-G6_QwpuAl7D70MByVI,EbeTXA-CIx0,2012-01-08T02:37:02Z,UCK29XJbRD6J-GoOoh5HrZqQ,Amber Heard & Johnny Depp 2012,Amber  & Johnny  Love me tonight 2012     http://youtu.be/audj1Q0Ssrw,https://i.ytimg.com/vi/EbeTXA-CIx0/default.jpg,120,90,https://i.ytimg.com/vi/EbeTXA-CIx0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EbeTXA-CIx0/hqdefault.jpg,480,360,73AgnessEve,['Amber HeardJohnny Depp'],10,none,Amber Heard & Johnny Depp 2012,Amber  & Johnny  Love me tonight 2012     http://youtu.be/audj1Q0Ssrw,PT2M14S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,5830,8,0,5,https://i.ytimg.com/vi/EbeTXA-CIx0/sddefault.jpg,640.0,480.0,,,,,
youtube#video,6E9EcYIU1w8u_cTpJYYg4GGydrQ,f-yZLfCmlB8,2017-10-01T10:45:18Z,UCiZMV7Aa47R1fKcLJ2n2ijA,"2011 Drive Angry Trailer HD Billy Burke, Nicolas Cage, Amber Heard",,https://i.ytimg.com/vi/f-yZLfCmlB8/default.jpg,120,90,https://i.ytimg.com/vi/f-yZLfCmlB8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/f-yZLfCmlB8/hqdefault.jpg,480,360,Billy Burke Fanpage,,1,none,"2011 Drive Angry Trailer HD Billy Burke, Nicolas Cage, Amber Heard",,PT2M31S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,861,,0,,https://i.ytimg.com/vi/f-yZLfCmlB8/sddefault.jpg,640.0,480.0,,,,en,
