,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.dislikeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage
0,youtube#video,RmPm6HD_ao-26a1pEaA3yTn-w_w,01Sd09XHUxY,2020-02-07T14:03:31Z,UCaqWE7d5A3A-YRXHOy4-C0w,Aquaman 2: i fan di Johnny Depp chiedono a Warner Bros il licenziamento di Amber Heard,"Johnny Depp Fans Petition For removal of Amber Heard from 'Aquaman 2': http://bit.ly/3794jiW

Johnny Depp: oltre 200.000 fan chiedono il licenziamento di Amber Heard da Aquaman 2: http://bit.ly/3794jiW

UNISCITI A NOI! ISCRIVITI anche tu GRATIS: http://bit.ly/2YuiKPs

#tenacemente #JohnnyDepp #AmberHeard #people #news #notizia #gossip #smile #cinema #film #hollywood #attori #actor #actress #actors #stars #celebrity #star #movie",https://i.ytimg.com/vi/01Sd09XHUxY/default.jpg,120,90,https://i.ytimg.com/vi/01Sd09XHUxY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/01Sd09XHUxY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/01Sd09XHUxY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/01Sd09XHUxY/maxresdefault.jpg,1280.0,720.0,Tenacemente - GOSSIP - CINEMA - STAR,"['Aquaman 2', 'Johnny Depp', 'Amber Heard', 'Aquaman', 'Warner Bros', 'licenziamento']",1,none,Aquaman 2: i fan di Johnny Depp chiedono a Warner Bros il licenziamento di Amber Heard,"Johnny Depp Fans Petition For removal of Amber Heard from 'Aquaman 2': http://bit.ly/3794jiW

Johnny Depp: oltre 200.000 fan chiedono il licenziamento di Amber Heard da Aquaman 2: http://bit.ly/3794jiW

UNISCITI A NOI! ISCRIVITI anche tu GRATIS: http://bit.ly/2YuiKPs

#tenacemente #JohnnyDepp #AmberHeard #people #news #notizia #gossip #smile #cinema #film #hollywood #attori #actor #actress #actors #stars #celebrity #star #movie",it,PT14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,0,0,0,0,
0,youtube#video,fnjVSuNraxvEKINHvAQsNugJaIA,0ESfN_yPHqI,2017-12-12T20:15:25Z,UCHTK-2W11Vh1V4uwofOfR4w,"JK Rowling, Warner Bros. voice support for Johnny Depp","(7 Dec 2017) JK ROWLING, WARNER BROS. VOICE SUPPORT FOR JOHNNY DEPP
J.K. Rowling is voicing her support for Johnny Depp and his casting in an upcoming sequel to ""Fantastic Beasts and Where to Find Them.""
The author published a statement on her website Thursday. Some ""Harry Potter"" fans have said they would boycott ""Fantastic Beasts: The Crimes of Grindelwald"" after Depp's ex-wife Amber Heard said during their divorce that Depp had hit her. The two settled their divorce last year.
Rowling said she and director David Yates considered recasting Depp's role. But she cited ""agreements that have been put in place to protect the privacy of two people,"" and said that she is not only comfortable with Depp's casting ""but genuinely happy"" to have him starring in the franchise.
Warner Bros. said it supported the decision.

Find out more about AP Archive: http://www.aparchive.com/HowWeWork 
Twitter: https://twitter.com/AP_Archive 
Facebook: https://www.facebook.com/APArchives ​​
Instagram: https://www.instagram.com/APNews/


You can license this story through AP Archive: http://www.aparchive.com/metadata/youtube/4f96fb3675b9849d063e8664ce720f29",https://i.ytimg.com/vi/0ESfN_yPHqI/default.jpg,120,90,https://i.ytimg.com/vi/0ESfN_yPHqI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0ESfN_yPHqI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0ESfN_yPHqI/sddefault.jpg,640.0,480.0,,,,AP Archive,"['AP Archive', '4129653', '4f96fb3675b9849d063e8664ce720f29', 'FILE Depp Rowling', 'John Tiffany', 'Amber Heard', 'JK Rowling', 'Johnny Depp', 'Jerry Bruckheimer', 'Tom Cruise', 'David Yates', 'Arts and entertainment']",24,none,"JK Rowling, Warner Bros. voice support for Johnny Depp","(7 Dec 2017) JK ROWLING, WARNER BROS. VOICE SUPPORT FOR JOHNNY DEPP
J.K. Rowling is voicing her support for Johnny Depp and his casting in an upcoming sequel to ""Fantastic Beasts and Where to Find Them.""
The author published a statement on her website Thursday. Some ""Harry Potter"" fans have said they would boycott ""Fantastic Beasts: The Crimes of Grindelwald"" after Depp's ex-wife Amber Heard said during their divorce that Depp had hit her. The two settled their divorce last year.
Rowling said she and director David Yates considered recasting Depp's role. But she cited ""agreements that have been put in place to protect the privacy of two people,"" and said that she is not only comfortable with Depp's casting ""but genuinely happy"" to have him starring in the franchise.
Warner Bros. said it supported the decision.

Find out more about AP Archive: http://www.aparchive.com/HowWeWork 
Twitter: https://twitter.com/AP_Archive 
Facebook: https://www.facebook.com/APArchives ​​
Instagram: https://www.instagram.com/APNews/


You can license this story through AP Archive: http://www.aparchive.com/metadata/youtube/4f96fb3675b9849d063e8664ce720f29",en-US,PT2M16S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,11357,207,10,0,31,
0,youtube#video,ct_raX9iz8RcEHOYT1DiMlsq8dM,1cMnHYaboyg,2021-11-30T22:56:13Z,UCjnFMWzN9Q3wHvqCQ-N1w-Q,"MR. BIRTHDAY 60Fps Trailer (2021) JASON LONDON, ERIC ROBERTS, ANNA MARIE DOBBINS","While working his maintenance job at an upscale hotel, Barry encounters the mysterious Mr. Jay. He introduces Barry to the International Birthday Network, an agency that helps children across the globe suffering from miserable birthdays.

Distributor: VMI Worldwide
Release Date: December 17, 2021
Rating: NR
Runtime: 93 min
Genre: Comedy
Director: Dan Hunter
Writer: Matthew Luke Tucci

#trailer #movietrailer #uniques",https://i.ytimg.com/vi/1cMnHYaboyg/default.jpg,120,90,https://i.ytimg.com/vi/1cMnHYaboyg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1cMnHYaboyg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1cMnHYaboyg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1cMnHYaboyg/maxresdefault.jpg,1280.0,720.0,Uniques Trailer,,22,none,"MR. BIRTHDAY 60Fps Trailer (2021) JASON LONDON, ERIC ROBERTS, ANNA MARIE DOBBINS","While working his maintenance job at an upscale hotel, Barry encounters the mysterious Mr. Jay. He introduces Barry to the International Birthday Network, an agency that helps children across the globe suffering from miserable birthdays.

Distributor: VMI Worldwide
Release Date: December 17, 2021
Rating: NR
Runtime: 93 min
Genre: Comedy
Director: Dan Hunter
Writer: Matthew Luke Tucci

#trailer #movietrailer #uniques",en-US,PT2M49S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1,1,0,0,0,
0,youtube#video,qTOB9GINMbDhvzsG54gqc-95TVc,1j5-5sxDyLo,2021-03-20T22:08:20Z,UCG2QYlhnYYxksvv6ve11ijw,🔴 Live Zach Snyder Protects Amber Heard ! Johnny’s Appeal & Movie. Much More !,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",https://i.ytimg.com/vi/1j5-5sxDyLo/default.jpg,120,90,https://i.ytimg.com/vi/1j5-5sxDyLo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1j5-5sxDyLo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1j5-5sxDyLo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1j5-5sxDyLo/maxresdefault.jpg,1280.0,720.0,Rob's Rules,"['Zach Snyder', 'Johnny Depp', 'Johnny Depp Amber', 'Johnny Depp Amber Heard', 'Geeks and Gamers', 'RK Outpost', 'Drunk3po', 'Jeremy geeks and Gamers', 'Aquaman', 'Aquaman 2', 'Warner Brothers', 'Snyder Cut', 'Justice League']",24,none,🔴 Live Zach Snyder Protects Amber Heard ! Johnny’s Appeal & Movie. Much More !,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",en,PT1H56M57S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1221,139,3,0,15,
0,youtube#video,9yRGYfUXj5X7QVj5jv9_oeVzMlI,1O2oIYwC3Xk,2021-06-30T17:30:01Z,UCMAwi5fm2yOSEeKd_Qv0Z2Q,Aquaman 2 Director PANICS! ADMITS HEARD will WRECK Warner's Sequel?!,"Aquaman 2 Director PANICS! ADMITS HEARD will WRECK Warner's Sequel?!

Tip Jar: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2AAZU385W88GE    Tip Jar

Patreon: https://www.patreon.com/thatumbrellaguy Patreon

Bitcoin address: 1NxxqwYKh16zQoFku64vofrJ1uGXXLWwVX
#thatumbrellaguy #amberheard #aquaman",https://i.ytimg.com/vi/1O2oIYwC3Xk/default.jpg,120,90,https://i.ytimg.com/vi/1O2oIYwC3Xk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1O2oIYwC3Xk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1O2oIYwC3Xk/sddefault.jpg,640.0,480.0,,,,ThatUmbrellaGuy,"['ThatUmbrellaGuy', 'that Umbrella Guy', 'umbrella Guy', 'ThatUmbrellaGuy johnny depp', 'that Umbrella Guy johnny depp', 'umbrella Guy johnny depp', 'johnny depp', 'DEPP', 'amber heard', 'heard', 'aquaman 2', 'aquaman 2 amber heard', 'James wan', 'James wan amber heard', 'warner bros', 'warner', 'Hollywood', 'Hollywood news', 'johnny depp amber heard', 'Depp heard', 'black widow', 'Disney', 'marvel', 'the eternal', 'suicide squad', 'Harry Potter', 'aquaman', 'aquaman2']",24,none,Aquaman 2 Director PANICS! ADMITS HEARD will WRECK Warner's Sequel?!,"Aquaman 2 Director PANICS! ADMITS HEARD will WRECK Warner's Sequel?!

Tip Jar: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2AAZU385W88GE    Tip Jar

Patreon: https://www.patreon.com/thatumbrellaguy Patreon

Bitcoin address: 1NxxqwYKh16zQoFku64vofrJ1uGXXLWwVX
#thatumbrellaguy #amberheard #aquaman",en,PT9M52S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,88394,6498,72,0,1156,
0,youtube#video,vOoOUVbnhfmEV0SjksUP0FqCdD4,1OqUbP9uDpI,2021-01-08T09:10:13Z,UCuLtLhpFF--OV4nogFqi9Zg,New Star Wars movie! Ray Fisher versus Warner Brothers Round 3,"Tonight I talked about the following stories

Capitol Building Riot

Ray Fisher vs Walter Hamada / WB (Round 3)

Kevin Feige taps Michael Waldron for his STAR WARS film. The writer and executive producer behind Marvel’s upcoming LOKI series, has nabbed the high-coveted gig. And Robert Downey Jr possibly joining STAR WARS

Amber Heard accused of defrauding Children's Hospital in Los Angeles from charity donations she promised to give millions after the Johnny Depp divorce settlement.

► SUBSCRIBE: http://youtube.com/3bucktheater?sub_confirmation=1
► TWITCH: http://twitch.tv/3bucktheater
► HOLLYWOOD AFTER DARK Archives: https://www.youtube.com/channel/UCdP_ZIQWvTV4E3HMAae99Cw
► FACEBOOK: http://facebook.com/groups/3bucktheater
► PATREON - http://patreon.com/MattJarbo
► PAYPAL: http://paypal.me/mundanematt
► AMAZON: https://www.amazon.com/shop/mundanematt
► BITCOIN: 1FGxTiyKZDSkphRLn1xEwNR3aaG2RYKhGQ
► DISCORD: https://discord.gg/jdjy9zQ",https://i.ytimg.com/vi/1OqUbP9uDpI/default.jpg,120,90,https://i.ytimg.com/vi/1OqUbP9uDpI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1OqUbP9uDpI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1OqUbP9uDpI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1OqUbP9uDpI/maxresdefault.jpg,1280.0,720.0,3 Buck Theater,,24,none,New Star Wars movie! Ray Fisher versus Warner Brothers Round 3,"Tonight I talked about the following stories

Capitol Building Riot

Ray Fisher vs Walter Hamada / WB (Round 3)

Kevin Feige taps Michael Waldron for his STAR WARS film. The writer and executive producer behind Marvel’s upcoming LOKI series, has nabbed the high-coveted gig. And Robert Downey Jr possibly joining STAR WARS

Amber Heard accused of defrauding Children's Hospital in Los Angeles from charity donations she promised to give millions after the Johnny Depp divorce settlement.

► SUBSCRIBE: http://youtube.com/3bucktheater?sub_confirmation=1
► TWITCH: http://twitch.tv/3bucktheater
► HOLLYWOOD AFTER DARK Archives: https://www.youtube.com/channel/UCdP_ZIQWvTV4E3HMAae99Cw
► FACEBOOK: http://facebook.com/groups/3bucktheater
► PATREON - http://patreon.com/MattJarbo
► PAYPAL: http://paypal.me/mundanematt
► AMAZON: https://www.amazon.com/shop/mundanematt
► BITCOIN: 1FGxTiyKZDSkphRLn1xEwNR3aaG2RYKhGQ
► DISCORD: https://discord.gg/jdjy9zQ",,PT1H2M34S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,996,62,16,0,12,
0,youtube#video,7p0XNWCmDJwumrnUYQXqaWSf_14,1zlqtI8U9Pg,2021-11-05T05:30:38Z,UC2NIZzZPU8rv21an6do_w6A,AQUAMAN 2 Making of - Teaser VO (2022) | Trailers Channel © 2021 - Warner Bros,"AQUAMAN 2 Making of - Teaser VO (2022) | Trailers Channel © 2021 - Warner Bros

US Release Date : December 22, 2022
Starring : Jason Momoa, Amber Heard, William Dafoe
Directed By : Will James Wan

Synopsis : Not release for the moment

If you want to be notified of all the latest movie trailers, Subscribe to the channel and click the bell icon to stay up to date.

© 2021 - dcuniverse 
© 2021 - Warner Bros
#jasonmomoa #amberheard #aquaman2",https://i.ytimg.com/vi/1zlqtI8U9Pg/default.jpg,120,90,https://i.ytimg.com/vi/1zlqtI8U9Pg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1zlqtI8U9Pg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1zlqtI8U9Pg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1zlqtI8U9Pg/maxresdefault.jpg,1280.0,720.0,Trailers Channel,"['AQUAMAN 2 Making of - Teaser VO (2022) | Trailers Channel © 2021 - Warn', '#Aquaman 2 Making of teaser', 'aquaman 2', 'aquaman trailer', 'aquaman movie trailer', 'aquaman trailer 2', 'amber heard', 'jason momoa', 'aquaman 2 movie trailer', 'aquaman 2 trailer', 'aquaman 2 movie', 'aquaman 2 teaser trailer', 'movie', 'aquaman 2 official teaser trailer', 'aquaman 2 official trailer', 'aquaman 2 teaser', 'Trailers Channel', 'williamdafoe', 'amber heard aquaman 2', 'aquaman and the lost kingdom trailer']",1,none,AQUAMAN 2 Making of - Teaser VO (2022) | Trailers Channel © 2021 - Warner Bros,"AQUAMAN 2 Making of - Teaser VO (2022) | Trailers Channel © 2021 - Warner Bros

US Release Date : December 22, 2022
Starring : Jason Momoa, Amber Heard, William Dafoe
Directed By : Will James Wan

Synopsis : Not release for the moment

If you want to be notified of all the latest movie trailers, Subscribe to the channel and click the bell icon to stay up to date.

© 2021 - dcuniverse 
© 2021 - Warner Bros
#jasonmomoa #amberheard #aquaman2",en-US,PT2M45S,2d,hd,false,False,rectangular,processed,public,youtube,False,True,False,13,3,0,0,2,
0,youtube#video,N0I9Ra2Dgl-AlGY4zgkpaw9h9YQ,2ECf925H0uA,2020-11-18T18:51:28Z,UCpqBUBMaK1-Myi1xTWPLW6g,"Episode #28 - Johnny Depp/Amber Heard, Spider-Man PS5 face change, Sony blunders, and more!","In this episode, we discuss the Johnny Depp/Amber Heard situation and Warner Brothers, Peter Parker's face change in the PS5 remaster and Miles Morales game, Sony's mistakes and how Spider-Man ended up in the MCU, and the new Tom and Jerry trailer that released on Tuesday!

Don't forget to consider liking and subscribing!


2 Awesome Men: https://www.youtube.com/channel/UC-kizrcGpc09phIm-zJLRFg",https://i.ytimg.com/vi/2ECf925H0uA/default.jpg,120,90,https://i.ytimg.com/vi/2ECf925H0uA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2ECf925H0uA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2ECf925H0uA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2ECf925H0uA/maxresdefault.jpg,1280.0,720.0,The Awesome Padron Podcast,"['johnny depp', 'amber heard', 'podcast', 'movies', 'film', 'warner brothers', 'tom and jerry', 'trailer', 'the awesome padron podcast', 'fantastic beasts', 'aquaman', 'spiderman', 'ps5', 'miles morales', 'sony', 'james franco', 'seth rogen', 'the interview', 'tom holland', 'harry potter', 'jason mamoa', 'venom', 'carnage', ""it's always sunny"", 'mcu', 'peter parker', 'remaster', 'grindewald']",22,none,"Episode #28 - Johnny Depp/Amber Heard, Spider-Man PS5 face change, Sony blunders, and more!","In this episode, we discuss the Johnny Depp/Amber Heard situation and Warner Brothers, Peter Parker's face change in the PS5 remaster and Miles Morales game, Sony's mistakes and how Spider-Man ended up in the MCU, and the new Tom and Jerry trailer that released on Tuesday!

Don't forget to consider liking and subscribing!


2 Awesome Men: https://www.youtube.com/channel/UC-kizrcGpc09phIm-zJLRFg",,PT56M36S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,42,2,0,0,2,
0,youtube#video,rQW6jkwBJNUT4KbIwZ6jys6ZJe4,2SFGFoU2VT0,2021-11-29T21:40:50Z,UCfy9oXYEdsQqUq15--Esm-A,We Are Extremely Sad To Report About Sad Ending of Lynda Carter After 'Wonder Woman',"Lynda Jean Cordova Carter is an American actress, singer, and beauty pageant titleholder who was crowned Miss World USA 1972 and finished in the top 15 at the Miss World 1972 pageant. Carter is best known as the star of the live-action television series Wonder Woman, in the role of Diana Prince / Wonder Woman.  We Are Extremely Sad To Report About Sad Ending of Lynda Carter After 'Wonder Woman'
#LyndaCarter #LyndaCarter #DianaPrince

★ Click to SUBSCRIBE for more awesome! 
https://www.youtube.com/channel/UCfy9oXYEdsQqUq15--Esm-A/
★ Thank you for stopping by the channel! If you enjoyed, I try to do videos every day! Check us out at:
 https://www.youtube.com/channel/UCfy9oXYEdsQqUq15--Esm-A/",https://i.ytimg.com/vi/2SFGFoU2VT0/default.jpg,120,90,https://i.ytimg.com/vi/2SFGFoU2VT0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2SFGFoU2VT0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2SFGFoU2VT0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2SFGFoU2VT0/maxresdefault.jpg,1280.0,720.0,Nene Star News,"['Reality TV', 'Entertainment', 'Celebrity News', 'Celebrity Gossip', 'Nene Star News', 'trending', 'celebrity', 'people', 'Lynda Carter', 'Wonder Woman', 'classic', 'TV', 'television', 'broadcast', 'show', 'watch', 'westerns', 'celebrity interviews', 'tv', 'abc', 'Disney', 'Lynda carter', 'wonder woman 1984', 'lynda carter wonder woman 1984', 'lynda carter marriage', 'robert altman marriage']",24,none,We Are Extremely Sad To Report About Sad Ending of Lynda Carter After 'Wonder Woman',"Lynda Jean Cordova Carter is an American actress, singer, and beauty pageant titleholder who was crowned Miss World USA 1972 and finished in the top 15 at the Miss World 1972 pageant. Carter is best known as the star of the live-action television series Wonder Woman, in the role of Diana Prince / Wonder Woman.  We Are Extremely Sad To Report About Sad Ending of Lynda Carter After 'Wonder Woman'
#LyndaCarter #LyndaCarter #DianaPrince

★ Click to SUBSCRIBE for more awesome! 
https://www.youtube.com/channel/UCfy9oXYEdsQqUq15--Esm-A/
★ Thank you for stopping by the channel! If you enjoyed, I try to do videos every day! Check us out at:
 https://www.youtube.com/channel/UCfy9oXYEdsQqUq15--Esm-A/",en,PT2M25S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1628,49,3,0,1,
0,youtube#video,aJ_-eereRCagUjgbY4i6tK_BSSE,338mGxPw4as,2020-11-06T18:18:39Z,UCAk03rcNVtLK1_LlgRTOh2w,JOHNNY DEPP Resigns From WARNER BROTHERS!😡NO #JusticeForJohnnyDepp,"Johnny Depp has resigned from warner brothers and fantastic beasts in an instagram post.
This is outrageous and Johnny Deserves Justice!!!

Petition to get Johnny Back - https://www.change.org/p/warner-brothers-bring-johnny-depp-back-to-fantastic-beasts?recruiter=24448735&recruited_by_id=229d8750-1a30-0130-d3ed-3c764e04873b&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard

Let's Talk.
Join us and enjoy!

Sign the petition here!! - https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2

Johnny Depp is innocent and Amber Heard must be held accountable for what she has done.

Checkout the stream and let us know what you think.

Website - steviejraw.com 

Thanks for watching!!

Website - steviejraw.com

Hit that Subscribe Button for more News & Entertainment.

Patreon support- https://www.patreon.com/user?u=21166375

Have an awesome day!

Let’s connect:

Instagram – Stevie_j_Raw

Twitter - https://twitter.com/StevieJRaw

Facebook - https://www.facebook.com/steviej.raw.3

Email - steviejraw@outlook.com

THANKS FOR WATCHING!!
#JusticeForJohnnyDepp #JohnnyDepp #JohnnyDeppUKVerdict",https://i.ytimg.com/vi/338mGxPw4as/default.jpg,120,90,https://i.ytimg.com/vi/338mGxPw4as/mqdefault.jpg,320,180,https://i.ytimg.com/vi/338mGxPw4as/hqdefault.jpg,480,360,https://i.ytimg.com/vi/338mGxPw4as/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/338mGxPw4as/maxresdefault.jpg,1280.0,720.0,Stevie J Raw,"['JOHNNY DEPP Resigns From WARNER BROTHERS!😡NO #JusticeForJohnnyDepp', 'JOHNNY DEPP Resigns From WARNER BROTHERS!', '#JusticeForJohnnyDepp', 'johnny depp resigns', 'johnny depp resigned from warner brothers', 'johnny depp resigns from fantastic beasts', 'johnny depp forced to resign', 'stevie j raw', 'stevie j raw johnny depp', 'johnny depp resigns stevie j raw', 'johnny depp', 'johnny depp no justice', '#justiceforjohnnydepp']",24,none,JOHNNY DEPP Resigns From WARNER BROTHERS!😡NO #JusticeForJohnnyDepp,"Johnny Depp has resigned from warner brothers and fantastic beasts in an instagram post.
This is outrageous and Johnny Deserves Justice!!!

Petition to get Johnny Back - https://www.change.org/p/warner-brothers-bring-johnny-depp-back-to-fantastic-beasts?recruiter=24448735&recruited_by_id=229d8750-1a30-0130-d3ed-3c764e04873b&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard

Let's Talk.
Join us and enjoy!

Sign the petition here!! - https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2

Johnny Depp is innocent and Amber Heard must be held accountable for what she has done.

Checkout the stream and let us know what you think.

Website - steviejraw.com 

Thanks for watching!!

Website - steviejraw.com

Hit that Subscribe Button for more News & Entertainment.

Patreon support- https://www.patreon.com/user?u=21166375

Have an awesome day!

Let’s connect:

Instagram – Stevie_j_Raw

Twitter - https://twitter.com/StevieJRaw

Facebook - https://www.facebook.com/steviej.raw.3

Email - steviejraw@outlook.com

THANKS FOR WATCHING!!
#JusticeForJohnnyDepp #JohnnyDepp #JohnnyDeppUKVerdict",en-US,PT1H2M21S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,5118,549,8,0,289,
