,snippet.topLevelComment.snippet.authorChannelId.value
313,UC5Y6at1OyNml2CnOGSbwNtA
314,UCEixpmzoY1y90U6GkraHj_A
315,UCPu7CI9ShxH4587jYPDp1Lg
316,UCKkHbTcPDxG1iG8WYmQNlqQ
317,UCg_xWfnAYJDLlvHPd39wiYQ
319,UCleQTscUyY1kYkmw3nSbppw
320,UCVKizSauuzZoBYrDVeAoj0g
321,UCaE8zMd2opXeqPnPAxdeZvw
322,UCym0nT49by2UlfnznGnNEVA
323,UCKEgd2ErkEo6Ng9hq4pOK1g
324,UCGR_WsT-fMdxvhTaOagvj6w
325,UCCBKyhorrc9uIHlt8TcpgUg
326,UCO6sRX9lLInLKovkTqKA4QA
328,UCgk03IgNNrBZGgazInsgU7w
329,UCJrIk7bQK2sH8iIGmherw5Q
330,UC6krazfvKG1FTRmKSL7H3UQ
331,UCiOAOsHWeqLRVApCiIq-0Iw
332,UChRZdpaW7Q5iGvsovKSv5uA
333,UCPaBlo5O206LWpVcuLFddqQ
334,UCaklamge-jqrCmIrHDhw12A
335,UCdG2p0OgZwI6IGiNBiLdE4w
337,UCWcaRWCJ6L_RzP4Jvq3S87A
338,UCHtwvXQkZevXfDbQNYQUDFw
339,UCjjuzgLoSnqIZPWX6uCCisg
340,UCrqkA6tSkAbLsnOG5dkU7MQ
341,UCAIycRkUrsSP73CZIYFLCWw
342,UCneRxzgt-gBYfsdxo_1INvw
343,UC2LPl-tJUS2DFlLHz3x9MnA
344,UCV82NjIcYDtGqftK_cNUlTg
345,UCI1-2bIxFA0M43Cvn3jHTPw
346,UCgOSMuw4mMrpIitYE9b3ASA
347,UC40zkIG2jdmbFUoHiklSFbA
348,UC9L7z2MdvfBJ9VRhmuZEObA
349,UCHBBSJ55W36bZWz2la3BvnQ
350,UC3f1ead3HqFXhHcizUXzygA
351,UCvymX49JXoVg9CQuNxBUgPA
352,UCkPXiu8WOMRUvVTbOBfvhaA
353,UC4ae58lREBjFKZcqyMBBrvQ
354,UCrO1qkCE4fOHkmOP0AlmpZg
355,UC_zd4S8ai99IEUaUCcx2Z9w
356,UCpEPxxgyadwpjheobRco9oA
357,UCHJyVOlowtIrNV9yDxB1-jw
358,UCvxIPxobj_1R08FVGy5mXuA
359,UCq5mbjI9iNJYBw4Ypq59-1A
360,UC04647YDAFzAYzt6ybZlu_g
361,UCo3gxBngS8he5KnIbHFE1XQ
366,UCcrmiq60MDnVSNgid7Db9Eg
369,UCaLwhxMo5qL0HPJJx97Zx5A
370,UCRsjkbdsOPEwTbws5S2I-gw
379,UCwSXSoNK7nB-GQGSwG-4ddA
380,UCPM3pOxOkUGLsTnHwRbjjlw
381,UCUsuhr7w1h73OzNFHmQoyLQ
382,UCi2ciqpyDdOB6feMywP6L5Q
383,UCicFEKskuhACEbp8CDvGVVQ
384,UCqeZ6J3nZ9qMUpjJye9v3qQ
385,UCbI6T1OGCk-_cT0mbl4xIIQ
386,UCrGYhxT7EHyrpcyGmgjYOMQ
387,UCr5WAAOL-PB2GBjmTW4w9kg
388,UC4mhxBbqPFv6vn-1Y0bJQnA
389,UCpiSnUqmPPrI2SQGmYSHOYA
390,UC9D5ZYI1qMv4NppJZMUObqQ
391,UCai5AkKmmd-TyOIJHj4rGPw
392,UCJ3-0TEkwkeoSE_DzgdkiXQ
393,UCNEd6d9FCkUJfxvRi_KeSKA
394,UCIH_TKFiKOCDC5pcVSxOfSw
395,UCLUFyewvjszigMlimCQJ6-A
396,UCZnM0saoo5JgRqNLyoabqDw
397,UCPQlP41H3ty6eKgU0htC-TA
398,UC0AluEdF9LnDyFIxU2fJ7pQ
399,UCMLjLMhAj7Hh8MjN-4Bt_xQ
400,UCp_Fmm3tg5q4YXwd04guitw
401,UCi9uTiz2u5GUXTG3koteaww
402,UCMIdvESVERCgtCjiKTOk2VA
403,UC58eGQ9iVVd7l2DgcCQDe9A
404,UCy-Xe6r-psTfzJoT5_cOWQA
405,UCDpqnzMSMC3PcQM56rC8qgw
406,UCbpuONpkQkfcpENenLbIXsw
407,UCTLDVENrA2L8MiX6JhU1D0A
411,UCRjZk5N6IeHSo8auOApGnsQ
414,UCp9u3DC375IPgZfs2PZ94BA
416,UCwaNyvOlvUcW2ABYQGmVxhg
417,UCAI_bgujGeMFCWDjpXmrEog
418,UCWxXOzbSM-hils8aG_RS7JQ
419,UCiA7b4nBDVQQb36XBcHUqCg
420,UC3Vt3GwJ3bo4obMFd_UEmjQ
421,UClYk7IETDEcyAd6QUhzFrxg
422,UCnOB73Tb8b3DrhNAHH7hmcw
423,UClaNgIevmJ99BeBFoI1TqJw
424,UC78nboPp52BOSL17IgQI4kQ
425,UCjf9LCyELoT48o1IxwrBjnQ
426,UCgn_uS_yGhUtqv6m91tm2_A
428,UCM0KNp1tDqFuRLl4USeGjLA
429,UCTl6gUB1Nf4tXU0ttOl0EAQ
430,UCbKeaKQZDrpX9SfVWyoBYaw
431,UCAJXYdjXJavbtnQKCg5CXhg
432,UCJQsRtpS_AcNUL6uYfoFeZg
433,UCcVxdJbBmVfmNElKw9RJO0w
434,UCicaBUl74osX0GRyikPRE3A
435,UCPND-NKObE3nAW3lNukBvcw
436,UCChSm6BaCwRCTLkSuxZMt9Q
438,UCNqOqj7mKq0nt5fn9tepK0A
439,UCldbZ-E70mXa39zoqP7U9_g
440,UC3QRHB7YcJ-6xfR5-lvWFvg
441,UCJ6ifojEMimnn_9ZBD6OArg
442,UCjOXs5eZsRzwu_T5TcN2QPw
443,UCWWdOKt20ejpqBP76tVkkRw
444,UCnuwZwFtQfAZRTzn3WDS6iw
445,UCHpNphsu5jHrauND5MSD8cw
446,UCWz1ITwNSKST3L7cVkpOK4g
447,UCiBs_2SAeACkqhlPzgzS_6A
448,UCNjCSVYsbCEqnA8X3yaQsFg
449,UC-isKuB4uNKETWcvYEHXaOA
450,UCVlDSLxWuM1r871-jFJjYKw
451,UC0vvMiQYP9TN8oXTLqjdFbg
454,UCSzhzVWem0eVJAL0yoZGYKw
455,UCKbQapN3afXGUY29P-HF5uA
456,UC4QahRnif_UpQMD2C2ZYSyQ
457,UCFhw71pFPRhjQuSsDz8Nm-A
458,UC19dv_ZvK0LHWZIk6A36mpA
459,UCp0QEchwgtxyiNjmfkqYORw
460,UCV6ftfdx06ZHsrvbAAa5bfw
461,UCP5XaUm24l1ajUTmJK7o1DQ
462,UCwcCrFECg-1pO2odlak8-Jw
463,UClNAUIB8pBxASjjxSwHc-rQ
464,UCk6WEPDHJjzyCBtPtlqW5KA
465,UCcM_gR_OvZfdHXlEa6c9xuA
466,UCOV7AXpExgw9gJM6xQ36y2A
467,UCW8ZwstgQRbZ2L3jJmtfxfA
468,UCJ2qnlU8PnTmyRTO_gLS5JA
469,UChyHXpcLBXch7WY9OQjJpbA
470,UCGDmKu2bI9MJyO_NlnA3oEA
471,UCRHGnT8AwceqMCLn4vYlO7A
472,UCxtSXKYJm8aGpA9syo9aipg
473,UCZJUga90ihv3RZo03kEGEJA
474,UCabJqhCo3pV4mE6xQDzCd7g
475,UCUa-v2iO7aTrL3_6q5TiWUQ
476,UCCWjKw-0GULpnLMQz_S4ULQ
477,UC-c6y6Xux_5btuTnxA3x6_Q
478,UCZXnJ6iPsi7S3qepTQ-4p-Q
479,UC6JJzQ9BEvWmO0JIVEr6J4w
480,UCDXPdTpTlLjHDGt4emHoMaw
481,UCxfa_2d6vuWMRqN_Um0gh6w
485,UCKc2MRndWHmXKhO6E2Y4SyA
486,UCeIHQFVdYtTSCITQ4lVBp1g
487,UCsmjsXJhVAP2Gk5OgzscfmQ
488,UC-t3l7NTTGNm3m42MQQ8SJg
489,UComk9RELJCJYqMPgyRztUUg
490,UC-P1OxFvoNtvWyquVqJ8law
491,UCqgr4-EyfrfXGZeKVJNoq4w
492,UCLCe7l17BXyrq_72u0Kl4qg
493,UCaqAaumkEmshRT31K8ELtmQ
494,UC7R1XKAnKTdHOUibQzzdfSw
496,UCfzBVYsW1XVvaT7vm9TVK-Q
498,UCZCQ0pXXUTe-pNpOk4fhNmg
499,UCEmCP13BWRV01NgNXYcm6PQ
500,UC09B5zj70Ns_ZEW7HwMZi9Q
501,UCnQ-58e2YYxpG2p6knsBbKA
502,UCuCWdTpX1xo2wvaeagrSQag
503,UCMgj9oOsaCxDYmlZ2wPcz2A
504,UC-Ica73JL2ebPv0RyfSiR8Q
505,UCDRM-krBfQnYmbA7iXZyDRg
506,UCAmQ6o8FqbvYSnv2St1hcNA
508,UCz2mqyuMPOd5Zu_NjGny8JQ
509,UCOhsawDRNqSt4RMcjUeaoag
511,UCuuiLigDW8oMyeufSw-LUUw
513,UCh3n3xF3971zZpJTa6RCUGA
514,UCBhhZ-amjiHCWTiqF-Zzw3A
515,UCY2jDC88HWZGIbBlt0Yc8TQ
516,UCtzHYa0DAgMB7VSvxilx0uw
518,UCENr8H_bYzQ64bMAS8cdzgQ
519,UC0L4fC1x4aZF7zQ7utYK3BA
520,UCsDBX5KHcIo-2BZnCokx2pA
521,UC9KJ0-qCCUpXNbTHRspPRlw
523,UCz_vOEBoGUVlacMjZ-pLLyA
524,UCoX4kXr1fg6xH2tFDE1bJbg
525,UCxytGpMnCQacSY62-wT_2zw
526,UC7lBu4MFEZUrDPWf6yeAUHA
527,UCtefTbRhbwVmZRyQGk80vZw
528,UCdTETub1MI1jghIPbgvPPmw
529,UCTT7KJzW_NOI4DpE30zW5rg
530,UCimhMpOW7eNHqt1Gz69DcxA
531,UCu7EjpkjmGjt3Sfc9qm0-ow
533,UCmV-F5ztQESLP11hAPnX1cA
534,UCqYPS8DvHEYAc-Dq2UIu0yQ
535,UCxJz5k5MazVp5k2lM-Mtl3w
536,UCxtpHN4u-S0dNCfvrGqbipA
537,UCkaKLnFeov53vX4fqDXpXbw
538,UCWXu2iG-xU4hGNQJxITuwqA
539,UC3Fdo28HgdOl_ZFbaxiMrBg
540,UCmX0mQoCFywUgjXeeOafDQw
541,UCOjUJJhSypi_mmXwdrtg1cg
542,UCAZjDkXQifnpY-F52JPt3Kg
543,UCSFhgm6Bjbz7-I3SWpkdTkw
544,UCR09trmf0mkX4XglrTfFcRA
545,UCV_EoW5w35SvBKJciuD4uAw
546,UCeA1oE6N8FlfoMBhjBNVYCA
547,UCqQn1jRRg1c7pt0HivRXLZA
548,UCnnwrojGydkEHg9tG54e1QA
549,UCN6B245aGcX5_xmeSe5FaNw
550,UCMAehJXhCpcgQgTOTNXJRIg
551,UCEoW_-2UxLjcmHtiwl6AK2Q
552,UCk-AW_JmbjJe3-ZCbWvAEzQ
553,UCb7meGqqmROi7FqeBMuuecQ
554,UC-pInv3X6QKJOx-_2YBZEpg
555,UCR1U2-2UjWdGlGh0I1BXCAw
556,UCny3qBIBHaUdEcMYDiPJuWQ
557,UCL7YFv0yw4kszAQHjtH9Dqw
558,UCGzYvQBzLRaxE9grcXEll5g
559,UC3ITtvz-vwuAUiY-jqFaQOg
560,UCZzFwj4uCJHEwD1s1h3ky7A
562,UC-zgfyxucRN8BlObiKNIreg
563,UCVTwr2bBlLlE1FWgHHv7_Nw
564,UCTVNHDfeMLuaUEYmZY85I8w
565,UCyPk9stvTebkafMPPuSdB-g
566,UCxvfMZaw79EewtnFFw1T47g
568,UCf4IaXCjf699aSklfxYu_Zg
569,UCLnEqGtCLIn2T__a8xYZeXQ
570,UCEAomcLuClCPT-HRB-KBu_w
571,UCZ_CsiFKUJ-HwoOsVVoHlBA
572,UCt-Y_w9AWD6iN6G53j-nvfA
573,UCjzDxpNmT0c0Aj9ZI7UtCAg
574,UC5lTh0SVD29i0gJt3JAUYzA
575,UCzubD3OdCL3dof9t4Gc9eAw
576,UCHEIjrozmh-TtqpCzoQ6rXA
577,UCb5bME9pcMOyAE_3Y5JwTWw
578,UChmhSg3uL6tp9WPIw6xpJ7g
579,UCG6m9-Lp9qxmsS4aFRplfpw
580,UCEJVxfRF5KNxn-HdnwJmJXg
581,UCJ3so6i5NDBMwggq0n23BUQ
582,UCl467eAaenAKAF-nYnxz6gA
583,UC_Kng-x54WJPKXlckB5AmEw
584,UCNzmqI8DgNV3vNZdReshu_A
585,UC09QNRJGaJo9PLbT4Lj6VQw
586,UCpAXzGRkHoaXK39eQ1pZGAQ
588,UCYWH2KmmrqQi1OrQOq9eK_g
589,UCz6vZLEiwxdVWspDOBwovhQ
590,UCP0vNp1k_PTb6RNVnE7hyTQ
591,UC7et7PggLwePQJOWoEDK4TQ
592,UCrlFlqdru01r8ARQPE3tpVQ
593,UCGelB5leXUr1S7bvxyJjRSw
594,UCDWcFIXor1ZUpZzqgZV-T5A
595,UCo91SHPq8WzkvSSAfw2nOOw
596,UCtBaFhKZjBJPBSw4XCBY8zA
